symbol,date,time,expirationDate,mid,bid,ask,strike,days,typo,oi,iv_traded,delta_bs,gamma_bs,theta_bs,volume,prem_ivalue,moneyness,iv_bs,vanna_bs,merton,gex,vex
AAPL230421C00144000,2023-04-07,10:00:00,2023-04-21,17.225,16.7,17.75,144.0,14,c,76,0.4853114651750053,0.9725419088148612,0.006564916361639916,-0.036148017742497984,18,0.06978309929727544,-0.11729166666666657,0.3014883023495299,5.720974438322687e-21,17.261329853657408,0.012915192780210047,1.463226705794431e-23
AAPL230421C00145000,2023-04-07,10:00:00,2023-04-21,16.174999999999997,15.7,16.65,145.0,14,c,11306,0.451718838011392,0.9829494597001442,0.0051629711705913905,-0.027488255894308367,27,0.01978309929727118,-0.10958620689655163,0.2552316341428193,2.141836455610022e-25,16.296931939456538,1.511008072324143,8.149356313061623e-26
AAPL230421C00152500,2023-04-07,10:00:00,2023-04-21,8.85,8.75,8.95,152.5,14,c,522,0.2998153813125699,0.9253490792783481,0.022564591226625907,-0.04657431351254537,35,0.19478309929727367,-0.05501639344262288,0.196577320730512,6.774251946816322e-12,9.428787814886098,0.3048990538945433,1.1900353634294466e-13
AAPL230421C00155000,2023-04-07,10:00:00,2023-04-21,6.75,6.7,6.8,155.0,14,c,58400,0.2859923494290432,0.8319308635268197,0.037728172754825096,-0.07371407368698524,527,0.594783099297274,-0.03799999999999981,0.209665776504179,1.2183456887815198e-05,7.401409204649029,57.034379691608564,2.394481011273369e-05
AAPL230421C00157500,2023-04-07,10:00:00,2023-04-21,4.9,4.85,4.95,157.5,14,c,4040,0.2773971528022962,0.7127685157935826,0.04989461419135921,-0.09573505584639008,69,1.2447830992972744,-0.0215238095238095,0.2151547846541395,0.017701405787149776,5.596193655056401,5.2178685890153575,0.0024066733143812656
AAPL230421C00160000,2023-04-07,10:00:00,2023-04-21,3.25,3.2,3.3,160.0,14,c,60857,0.258673878934123,0.5772826802984854,0.0590536601174918,-0.10335530157777928,1365,2.094783099297274,-0.005562499999999915,0.20885680478967797,0.21889714157985163,4.0658198188921535,93.02838105565195,0.44831023032519396
AAPL230421C00162500,2023-04-07,10:00:00,2023-04-21,1.95,1.94,1.96,162.5,14,c,12760,0.2441369324019976,0.4250291371159842,0.06116524707833193,-0.09756999178559633,2060,3.294783099297274,0.009907692307692395,0.20189653952916242,-0.24566866727947875,2.840035948324988,20.20289060257472,-0.10549417098377606
AAPL230421C00165000,2023-04-07,10:00:00,2023-04-21,1.03,1.02,1.04,165.0,14,c,48944,0.2324658116662508,0.2758966068136526,0.05409738900175043,-0.07839432803826041,3717,4.874783099297274,0.024909090909090992,0.19469255321890017,-0.013040077455172832,1.9151242864065279,68.53838511840159,-0.021478683082279827
AAPL230421C00167500,2023-04-07,10:00:00,2023-04-21,0.475,0.47,0.48,167.5,14,c,13161,0.2247782641134291,0.15441319755772065,0.03963950030827501,-0.05275751744205004,1826,6.819783099297274,0.03946268656716423,0.18897806134110626,-3.5777144054858824e-06,1.255829609977567,13.504395970062285,-1.5846106780965484e-06
AAPL230421C00170000,2023-04-07,10:00:00,2023-04-21,0.205,0.2,0.21,170.0,14,c,50779,0.2221753113132327,0.07741256760503967,0.024308069233591745,-0.031133251290004854,3765,9.049783099297274,0.053588235294117714,0.18800824962426366,-1.52006018701489e-11,0.8080446301957253,31.95160745383792,-2.5976040193151654e-11
AAPL230421C00172500,2023-04-07,10:00:00,2023-04-21,0.095,0.09,0.1,172.5,14,c,13345,0.2274638995175783,0.03898619908945522,0.013736176712741965,-0.018156703361795354,322,11.439783099297275,0.06730434782608707,0.19363354501749752,-1.6473616528800428e-17,0.514489543470151,4.745069204447093,-7.39836152967666e-18
AAPL230421C00175000,2023-04-07,10:00:00,2023-04-21,0.045,0.04,0.05,175.0,14,c,57523,0.2330461066333055,0.01955845820221687,0.007461567390551482,-0.010315270906556914,515,13.889783099297274,0.0806285714285715,0.20067447967850913,-7.129741069620136e-24,0.3260423618180027,11.110400052230094,-1.3802040740955224e-23
AAPL230421C00177500,2023-04-07,10:00:00,2023-04-21,0.025,0.02,0.03,177.5,14,c,4121,0.2456022731467747,0.011000653271059889,0.004306503631652803,-0.00649564142429767,239,16.369783099297273,0.09357746478873252,0.21195588395988055,-2.2249432047218342e-29,0.20615127220907423,0.4593942295072545,-3.085670604898557e-30
AAPL230421C00180000,2023-04-07,10:00:00,2023-04-21,0.025,0.02,0.03,180.0,14,c,16614,0.2747860381146896,0.009909799400624822,0.0034970044940352274,-0.006623809558847258,75,18.869783099297273,0.10616666666666674,0.23831233335478663,-1.9389549117532033e-30,0.13004280374133625,1.5039330380607445,-1.0841014759062454e-30
