symbol,date,time,expirationDate,mid,bid,ask,strike,days,typo,oi,iv_traded,delta_bs,gamma_bs,theta_bs,volume,prem_ivalue,moneyness,iv_bs,vanna_bs,merton,gex,vex
ABBV230421C00157500,2023-04-07,10:00:00,2023-04-21,3.675,3.55,3.8,157.5,14,c,829,0.1392770008592248,0.883841960960785,0.06501729303387549,-0.024626372435798682,59,0.16153010945460533,-0.021809523809523723,0.0939044079056277,4.531556245317749e-08,4.717869037250465,1.395996801137853,9.65967896735487e-10
ABBV230421C00160000,2023-04-07,10:00:00,2023-04-21,1.92,1.82,2.02,160.0,14,c,10985,0.1343022717971801,0.62030614138332,0.11137523015625206,-0.049600869259269986,20,0.9065301094546054,-0.005843749999999925,0.10747089547355171,0.3318000319992841,3.1728722472000017,31.687624605689148,0.09372107743212099
ABBV230421C00162500,2023-04-07,10:00:00,2023-04-21,0.8400000000000001,0.8,0.88,162.5,14,c,3657,0.1373594990809751,0.34667906646072,0.10083033674890274,-0.05001264950414508,146,2.3265301094546054,0.00963076923076922,0.11524401174524075,-0.18861057440512108,2.016330268606297,9.55030379407989,-0.01773584096561424
ABBV230421C00165000,2023-04-07,10:00:00,2023-04-21,0.3349999999999999,0.32,0.35,165.0,14,c,4248,0.1454004404900812,0.16230801568068165,0.06214077483523983,-0.034954838847809144,229,4.3215301094546055,0.024636363636363567,0.12447225152905866,-1.23789747368016e-05,1.220368555333847,6.836946491323563,-1.3521658787846018e-06
ABBV230421C00167500,2023-04-07,10:00:00,2023-04-21,0.12,0.1,0.14,167.5,14,c,430,0.1532384706286764,0.06609377541759512,0.030662826125821274,-0.01879676178146998,20,6.606530109454606,0.03919402985074627,0.13194963168387064,-1.033691543485027e-12,0.7114365148069023,0.34149287322102734,-1.1429315117153629e-14
ABBV230421C00170000,2023-04-07,10:00:00,2023-04-21,0.055,0.01,0.1,170.0,14,c,12742,0.1695810598534344,0.03079102075692064,0.014975436798958519,-0.010980297567273083,158,9.041530109454605,0.05332352941176466,0.14624987998294692,-1.620197959589639e-19,0.40382502115438174,4.9421748698243215,-5.308434578982304e-20
ABBV230421C00172500,2023-04-07,10:00:00,2023-04-21,0.045,0.01,0.08,172.5,14,c,26,0.1973063740504958,0.0223169870151977,0.009695817355034886,-0.009776905566400158,4,11.531530109454605,0.06704347826086954,0.17259981459457838,-1.4593350974727362e-22,0.22484279244604932,0.006529182118353616,-9.756390245732235e-26
ABBV230421P00130000,2023-04-07,10:00:00,2023-04-21,0.025,0.02,0.03,130.0,14,p,88,0.4864807546930895,-0.005535604028656001,0.0011478286425156692,-0.006961238042471694,8,31.038469890545393,-0.23796153846153856,0.43447710878878404,2.1926923382581488e-36,1.5067595382220584e-05,-0.0026161385394088406,-4.961593261671765e-39
ABBV230421P00135000,2023-04-07,10:00:00,2023-04-21,0.045,0.04,0.05,135.0,14,p,624,0.4423337464825108,-0.010350809127914612,0.002202128913803003,-0.01112436626393648,1,26.058469890545396,-0.19211111111111112,0.39292721528462693,3.1454585810029405e-30,0.000194248225606442,-0.035590028648002245,-5.046954022477377e-32
ABBV230421P00140000,2023-04-07,10:00:00,2023-04-21,0.065,0.05,0.08,140.0,14,p,2618,0.3748128265501943,-0.016519484315624666,0.0038336148214246357,-0.01451913463055439,2,21.078469890545396,-0.14953571428571433,0.3380550939644276,1.0939247573928883e-25,0.0020480259492210344,-0.2599435982565405,-7.364069546286702e-27
ABBV230421P00143000,2023-04-07,10:00:00,2023-04-21,0.08,0.06,0.1,143.0,14,p,59,0.3351500687967778,-0.021932335247802637,0.00544083005704632,-0.016688040255725844,6,18.093469890545393,-0.12541958041958035,0.3031013032318647,5.66688429922769e-23,0.0075973699554587265,-0.008314156237063528,-8.59720228065385e-26
