symbol,date,time,expirationDate,mid,bid,ask,strike,days,typo,oi,iv_traded,delta_bs,gamma_bs,theta_bs,volume,prem_ivalue,moneyness,iv_bs,vanna_bs,merton,gex,vex
ABT230421C00088000,2023-04-07,10:00:00,2023-04-21,16.35,16.2,16.5,88,14,c,1,0.4530560734706887,0.9712359656996128,0.006787291972898402,-0.026615858097972733,1,0.0751096297437428,-0.18357954545454547,0.4615456993272442,6.999843137808424e-21,16.24477919318831,7.3630335336765e-05,1.2317886651765593e-25
ABT230421C00095000,2023-04-07,10:00:00,2023-04-21,9.4,9.3,9.5,95,14,c,205,0.3018337122261741,0.9456400471724358,0.01776682209353453,-0.029732934789260312,2,0.12510962974374173,-0.09636842105263166,0.298849854028646,7.130434437707693e-15,9.298362025868657,0.0395115312759525,2.572277077890469e-17
ABT230421C00096000,2023-04-07,10:00:00,2023-04-21,8.425,8.3,8.55,96,14,c,12,0.2864871857999962,0.9349468316735887,0.02177948923431927,-0.03185080153353326,10,0.1501096297437421,-0.08494791666666668,0.2811619258324045,2.799546587659517e-13,8.332401566947677,0.002835235794522486,5.911760626211487e-17
ABT230421C00097000,2023-04-07,10:00:00,2023-04-21,7.5,7.4,7.6,97,14,c,145,0.2909134103231883,0.9107040369082497,0.028156639544363316,-0.03852649686080856,3,0.22510962974374138,-0.07376288659793806,0.2774510532447212,1.3202002745923465e-10,7.386093665234826,0.044290345675931306,3.3686486509563755e-13
ABT230421C00098000,2023-04-07,10:00:00,2023-04-21,6.550000000000001,6.45,6.65,98,14,c,907,0.2736023137669168,0.8905398298078904,0.034818438647832295,-0.041592147670534096,1,0.2751096297437421,-0.06280612244897954,0.2607246456914733,6.103452938733837e-09,6.467632299580947,0.3425916911586835,9.741610988024733e-11
ABT230421C00099000,2023-04-07,10:00:00,2023-04-21,5.699999999999999,5.6,5.8,99,14,c,300,0.2813646436729973,0.8475905672313377,0.043560740801140696,-0.0510615458965491,12,0.42510962974374067,-0.052070707070707156,0.26249086750401834,1.9069650974712796e-06,5.586639246461687,0.14176752520060928,1.0067274133322402e-08
ABT230421C00100000,2023-04-07,10:00:00,2023-04-21,4.875,4.8,4.95,100,14,c,2217,0.2793485404826207,0.7998562095815842,0.052391338716262226,-0.05897474949124959,12,0.6001096297437414,-0.041549999999999976,0.2596455270669956,0.00013722454750139898,4.753589259363687,1.2600432013131706,5.353593550187983e-06
ABT230421C00101000,2023-04-07,10:00:00,2023-04-21,4.075,4.0,4.15,101,14,c,248,0.2738381173490938,0.7464732266224239,0.061550815182442875,-0.0648906417853592,13,0.8001096297437416,-0.031237623762376154,0.25276634534059544,0.003501965567832611,3.978961535227681,0.16559443452517347,1.528309976420489e-05
ABT230421C00102000,2023-04-07,10:00:00,2023-04-21,3.4000000000000004,3.35,3.45,102,14,c,253,0.2784335194436328,0.6777880261642943,0.06823102264075231,-0.07252458526747185,2,1.1251096297437417,-0.02112745098039226,0.2555659585866517,0.04495924106889028,3.2722287778379315,0.18726760152056637,0.00020016465313131912
ABT230421C00103000,2023-04-07,10:00:00,2023-04-21,2.745,2.69,2.8,103,14,c,376,0.2737301527959884,0.6070955090857977,0.07436970054452985,-0.07586851423764562,77,1.4701096297437415,-0.011213592233009662,0.25144459099145716,0.16013721611875226,2.640851048205711,0.3033500872596846,0.0010595660021306167
