symbol,date,time,expirationDate,mid,bid,ask,strike,days,typo,oi,iv_traded,delta_bs,gamma_bs,theta_bs,volume,prem_ivalue,moneyness,iv_bs,vanna_bs,merton,gex,vex
AMGN230421C00205000,2023-04-07,10:00:00,2023-04-21,47.599999999999994,45.8,49.4,205.0,14,c,3,0.6306473792770197,0.9448873171255201,0.0032538259375769485,-0.13156707809272916,1,0.7211191390413205,-0.22785365853658535,0.6778813887977239,3.480570389771253e-15,46.79167703264965,0.0006184669703628349,4.102696139937625e-19
AMGN230421C00217500,2023-04-07,10:00:00,2023-04-21,35.0,33.7,36.3,217.5,14,c,1,0.4332334226956407,0.9372540817036423,0.004907783264229693,-0.11019142218741962,1,0.6211191390413262,-0.1572873563218391,0.49874135169405553,6.621833524919613e-14,34.31597656198805,0.0003109469595543151,2.6018121361024703e-18
AMGN230421C00220000,2023-04-07,10:00:00,2023-04-21,32.725,31.85,33.6,220.0,14,c,120,0.4675588594179919,0.9211480617867807,0.005849183466466457,-0.1318434451839181,7,0.8461191390413276,-0.14413636363636373,0.500514869598829,6.064425513632256e-12,31.822315867708134,0.0444710546538428,2.859358364805658e-14
AMGN230421C00222500,2023-04-07,10:00:00,2023-04-21,29.975,28.65,31.3,222.5,14,c,1,0.3638836468101805,0.9319266569594475,0.006045351312877756,-0.10306653413224609,1,0.5961191390413276,-0.13128089887640448,0.43187358419231175,3.912229931137849e-13,29.3309448138764,0.00038302090963914426,1.537170524712241e-17
AMGN230421C00225000,2023-04-07,10:00:00,2023-04-21,27.4,26.05,28.75,225.0,14,c,160,0.3003147065132807,0.9332193287406199,0.006608350062720092,-0.09257865552669386,80,0.5211191390413248,-0.11871111111111121,0.38915389209035006,2.966848056697374e-13,26.84438162349673,0.06699061467200797,1.865146564216826e-15
AMGN230421C00227500,2023-04-07,10:00:00,2023-04-21,25.275,24.05,26.5,227.5,14,c,23,0.3672198144272958,0.9030535176721699,0.008391832544418776,-0.12738771422649364,1,0.8961191390413248,-0.10641758241758237,0.4080008563414439,3.839822033487845e-10,24.367240451611817,0.012228849056411478,3.47005700431654e-13
AMGN230421C00230000,2023-04-07,10:00:00,2023-04-21,22.825000000000003,21.35,24.3,230.0,14,c,1933,0.3477010726960838,0.8931056270183646,0.009674894734246209,-0.12811362864782083,43,0.946119139041329,-0.09439130434782617,0.380342741368363,2.515875547718683e-09,21.90734463299396,1.1848927489971153,1.910815190026983e-10
AMGN230421C00232500,2023-04-07,10:00:00,2023-04-21,20.15,19.3,21.0,232.5,14,c,132,0.2765275899298436,0.8971498479519724,0.010918641386581385,-0.10880190608853013,5,0.7711191390413248,-0.08262365591397858,0.32761426334370647,1.4388374160021472e-09,19.47695833112228,0.09131528369649078,7.462482589607477e-12
AMGN230421C00235000,2023-04-07,10:00:00,2023-04-21,17.975,16.95,19.0,235.0,14,c,874,0.3020825649830105,0.8649759349975028,0.013289727505139126,-0.13101044001241746,25,1.0961191390413276,-0.07110638297872351,0.327052795196061,1.878148894130985e-07,17.093834721226315,0.7359163437111709,6.449694267047345e-09
AMGN230421C00237500,2023-04-07,10:00:00,2023-04-21,15.6,14.85,16.35,237.5,14,c,277,0.2837836473808314,0.8439432018744419,0.015851007599820832,-0.13405737712628962,7,1.2211191390413259,-0.05983157894736846,0.3025576663505043,2.335252381460331e-06,14.781654046992697,0.2781874813877781,2.5416238056277415e-08
