symbol,date,time,expirationDate,mid,bid,ask,strike,days,typo,oi,iv_traded,delta_bs,gamma_bs,theta_bs,volume,prem_ivalue,moneyness,iv_bs,vanna_bs,merton,gex,vex
AMT230421C00195000,2023-04-07,10:00:00,2023-04-21,10.15,9.8,10.5,195,14,c,1237,0.2603415873651062,0.9302667522277375,0.019038653995551158,-0.0405847112209301,1,0.19440837227298324,-0.050256410256410255,0.17194014413732497,1.63425425803866e-12,11.32204209695148,0.9877927752628922,1.075748625013697e-13
AMT230421C00200000,2023-04-07,10:00:00,2023-04-21,6.35,6.1,6.6,200,14,c,1198,0.2603395550104082,0.7307771948900754,0.039227414090348134,-0.10576628811733446,1,1.3944083722729825,-0.02400000000000002,0.20785955258131997,0.00866501566333023,7.742334439012613,1.9710897639490665,0.0005523923366741045
AMT230421C00210000,2023-04-07,10:00:00,2023-04-21,1.625,1.5,1.75,210,14,c,2113,0.2566399914619179,0.29536117829482844,0.03870496637858878,-0.11263430667114749,8,6.669408372272983,0.024761904761904763,0.2207187065318352,-0.02421380099175831,2.8954437234234263,3.430252552722395,-0.0027226006295240717
AMT230421C00220000,2023-04-07,10:00:00,2023-04-21,0.275,0.2,0.35,220,14,c,2645,0.2721073619861168,0.06692382354673843,0.013601663381157536,-0.04310210667630937,1,15.319408372272983,0.06909090909090909,0.2360323112389256,-7.359484541458951e-13,0.7845574729098359,1.5089595692891167,-1.0358444622772611e-13
AMT230421P00175000,2023-04-07,10:00:00,2023-04-21,0.15,0.1,0.2,175,14,p,482,0.4560996954724183,-0.023419301556412697,0.0033276697974926606,-0.030531081207208224,28,30.105591627727016,-0.17028571428571437,0.4115892120142795,1.6925733756204563e-22,0.014792654249254723,-0.0672739871378988,-4.3412622136822024e-24
AMT230421P00180000,2023-04-07,10:00:00,2023-04-21,0.325,0.2,0.45,180,14,p,2174,0.4417080109117836,-0.0468984397812483,0.006025459015623902,-0.05389275568221907,2,25.280591627727016,-0.13777777777777778,0.40256773560999626,3.518287699498183e-16,0.06255864909363987,-0.5494264729422053,-4.070168272118743e-17
AMT230421P00185000,2023-04-07,10:00:00,2023-04-21,0.575,0.5,0.65,185,14,p,968,0.415512591758554,-0.08010607578931572,0.009689030168180679,-0.07829570100538585,19,20.530591627727016,-0.10702702702702704,0.38019590236673567,1.4452948500208427e-11,0.21205882366770074,-0.3933829837482423,-7.444804322002089e-13
AMT230421P00190000,2023-04-07,10:00:00,2023-04-21,1.0499999999999998,0.95,1.15,190,14,p,868,0.396411414136548,-0.13682387487270464,0.014937754868604713,-0.11131413432000126,53,16.005591627727018,-0.07789473684210524,0.36308450598358105,2.4591077111966823e-07,0.5907316617171261,-0.5438322497688235,-1.1358441658621163e-08
AMT230421P00195000,2023-04-07,10:00:00,2023-04-21,1.9,1.8,2.0,195,14,p,1458,0.3808454502883189,-0.22475209026362464,0.02117739925200368,-0.14794193100394426,2,11.855591627727017,-0.050256410256410255,0.3502679601112166,0.0005494347236672615,1.3849705333048183,-1.2950604867193851,-4.262801419254255e-05
AMT230421P00200000,2023-04-07,10:00:00,2023-04-21,3.25,3.1,3.4,200,14,p,3193,0.3635977708656275,-0.34380531954374405,0.026979763445567073,-0.17518312412270776,10,8.205591627727017,-0.02400000000000002,0.33745883845052566,0.057915269709176556,2.795961537598762,-3.613241258559749,-0.00984041640989768
AMT230421P00210000,2023-04-07,10:00:00,2023-04-21,8.7,8.4,9.0,210,14,p,1592,0.3752603172549233,-0.6204647280006803,0.026239224713009435,-0.18896987006083954,5,3.6555916277270164,0.024761904761904763,0.35856759967409396,-0.10541258891028327,7.930468146475187,-1.7520801399171353,0.008930114305122923
AMT230421P00220000,2023-04-07,10:00:00,2023-04-21,17.549999999999997,17.2,17.9,220,14,p,446,0.4838543330974167,-0.7618456047003619,0.016200009049782693,-0.19791428041812154,76,2.5055916277270143,0.06909090909090909,0.471706230589385,-0.0008664064707944785,15.800979220427207,-0.30304702189862726,2.0562599685785256e-05
AMT230421P00230000,2023-04-07,10:00:00,2023-04-21,27.299999999999997,26.9,27.7,230,14,p,178,0.6276632255438289,-0.8164345769523962,0.010811801836041468,-0.21558589867728983,1,2.2555916277270143,0.10956521739130431,0.6058157592918036,-1.622433252974966e-05,25.151954273517056,-0.08071941096484661,1.5367680262130455e-07
AMT230421P00240000,2023-04-07,10:00:00,2023-04-21,37.5,36.8,38.2,240,14,p,49,0.7979309744207526,-0.8340100320296528,0.008048951798400594,-0.25449521510896744,1,2.455591627727017,0.1466666666666666,0.7629880588093857,-2.6549276700659407e-06,35.001682793756906,-0.016542277854681015,6.922616109408201e-09
AMT230519C00180000,2023-04-07,10:00:00,2023-05-19,25.4,25.0,25.8,180,42,c,1,0.3035477271079115,0.9553997755533672,0.005570430552381822,-0.023439763432200778,1,0.13287040658536142,-0.13777777777777778,0.2268124885380286,7.553050461429269e-06,26.125567525403987,0.00023364079147577285,4.0192392701402096e-10
AMT230519C00185000,2023-04-07,10:00:00,2023-05-19,21.15,20.7,21.6,185,42,c,16,0.3061211995297636,0.8866797134229998,0.010417336362422702,-0.04666692164944308,1,0.8828704065853614,-0.10702702702702704,0.25782494175904347,0.00298225731717734,21.866023361101064,0.0069909560918807985,2.5391395509027657e-06
AMT230519C00190000,2023-04-07,10:00:00,2023-05-19,17.25,16.9,17.6,190,42,c,187,0.3111634496339038,0.807586323338505,0.014212132022350943,-0.06706530525193699,1,1.9828704065853628,-0.07789473684210524,0.27182331443109126,0.0452387244636132,17.93659580075516,0.1114707040950656,0.0004501667690430015
AMT230519C00195000,2023-04-07,10:00:00,2023-05-19,13.6,13.3,13.9,195,42,c,496,0.3023761696850675,0.7222662296024751,0.017419474396263013,-0.08111359906672178,1,3.3328704065853625,-0.050256410256410255,0.2730923503793862,0.17878372089017014,14.401313031984838,0.36239035284519194,0.004718795135083484
AMT230519C00200000,2023-04-07,10:00:00,2023-05-19,10.3,10.0,10.6,200,42,c,805,0.293055990491675,0.6267395868943204,0.02000772363786041,-0.08927618119182945,3,5.0328704065853636,-0.02400000000000002,0.2691586622302572,0.2764167624204378,11.306268171774349,0.6755437260456383,0.011840818689819541
AMT230519C00210000,2023-04-07,10:00:00,2023-05-19,5.3,5.1,5.5,210,42,c,1308,0.2835600364867769,0.4162223173079127,0.02109320499599221,-0.08861270579700697,3,10.032870406585364,0.024761904761904763,0.26371201612922907,-0.29910687745497205,6.499477145644636,1.1572047882646321,-0.020818796393318184
AMT230519C00220000,2023-04-07,10:00:00,2023-05-19,2.275,2.15,2.4,220,42,c,891,0.2741945019061902,0.22740828704272964,0.01674224079373232,-0.0659707955970199,3,17.00787040658536,0.06909090909090909,0.25725400481931693,-0.1110612844253357,3.4011319530311077,0.6256784434933216,-0.005265769814836053
AMT230519C00230000,2023-04-07,10:00:00,2023-05-19,0.8,0.7,0.9,230,42,c,191,0.2663148556696118,0.09956198206941269,0.009940172404077074,-0.03688042730372543,3,25.532870406585364,0.10956521739130431,0.25135988804652465,-0.0018076419225867583,1.6235460049712938,0.07963192031146027,-1.8372457311047615e-05
AMT230519C00240000,2023-04-07,10:00:00,2023-05-19,0.4,0.05,0.75,240,42,c,158,0.288751859590231,0.051559757158545216,0.005525610891621291,-0.02394181817738472,1,35.13287040658536,0.1466666666666666,0.2732459637498591,-2.806683348957985e-05,0.7103345838479161,0.03661822514696979,-2.3597825207560625e-07
AMT230519P00165000,2023-04-07,10:00:00,2023-05-19,0.5,0.15,0.85,165,42,p,39,0.3979310474418804,-0.04298039491872907,0.003366548827488103,-0.02825079206378578,3,40.76712959341464,-0.2412121212121212,0.38761570686783453,5.701774511343753e-06,0.12637071960718096,-0.0055069283931981775,-1.1833034209922242e-08
AMT230519P00170000,2023-04-07,10:00:00,2023-05-19,0.85,0.75,0.95,170,42,p,183,0.3988402182790355,-0.06767200037349208,0.0048263819085736515,-0.040486401075417344,2,36.11712959341464,-0.2047058823529413,0.3871643030896094,0.00010729410629900013,0.27376503877464275,-0.03704526268872433,-1.0448367298477994e-06
AMT230519P00175000,2023-04-07,10:00:00,2023-05-19,1.275,1.2,1.35,175,42,p,201,0.3872723774338324,-0.09682360399384526,0.0064645749309200085,-0.05190278762237521,5,31.542129593414636,-0.17028571428571437,0.3786884636498501,0.0009629055197115175,0.5438091916085668,-0.054499928907025603,-1.0299145852428431e-05
AMT230519P00180000,2023-04-07,10:00:00,2023-05-19,1.85,1.75,1.95,180,42,p,127,0.3772759559508506,-0.13413897763689953,0.008363892787244254,-0.0637516755330001,5,27.11712959341464,-0.13777777777777778,0.36908595261741856,0.006107452074216586,0.9991866407682528,-0.04455250039584935,-4.127482717748552e-05
AMT230519P00185000,2023-04-07,10:00:00,2023-05-19,2.575,2.45,2.7,185,42,p,357,0.3626061273887929,-0.17961064504472546,0.0104944711498689,-0.07449118470697647,6,22.842129593414636,-0.10702702702702704,0.3565125861091186,0.027010802107088103,1.7117903399061312,-0.15714069828875363,-0.0005131297232174403
AMT230519P00190000,2023-04-07,10:00:00,2023-05-19,3.65,3.5,3.8,190,42,p,275,0.3535162462634338,-0.23884627115198231,0.01267061269683012,-0.08606423259203178,4,18.917129593414636,-0.07789473684210524,0.3492913047583119,0.08884723000108254,2.754510643001042,-0.14614710417110474,-0.0013001637730868276
AMT230519P00195000,2023-04-07,10:00:00,2023-05-19,5.0,4.8,5.2,195,42,p,430,0.3451459015780865,-0.30764016575264286,0.014746398351306311,-0.09454945756099686,1,15.267129593414637,-0.050256410256410255,0.3402299791752822,0.18439533331279015,4.191375737671524,-0.2659587736390531,-0.004219294661493357
AMT230519P00200000,2023-04-07,10:00:00,2023-05-19,6.7,6.5,6.9,200,42,p,344,0.3306316078478197,-0.38595913275880633,0.016489007066411432,-0.09920997948352284,20,11.967129593414636,-0.02400000000000002,0.33086330523001917,0.2095757538998804,6.068478740901848,-0.23791008453369142,-0.003836374136901766
AMT230519P00210000,2023-04-07,10:00:00,2023-05-19,11.65,11.4,11.9,210,42,p,50,0.3194180951869976,-0.5581040829244266,0.017358849948578836,-0.09748916916836059,1,6.9171295934146375,0.024761904761904763,0.3237485854708668,-0.21013648416895236,11.20598344165375,-0.036404146887362,0.000559104439705562
AMT230519P00220000,2023-04-07,10:00:00,2023-05-19,18.75,18.4,19.1,220,42,p,5,0.3277021196117823,-0.7042563128685231,0.014525576048640687,-0.08528748634906336,1,4.017129593414637,0.06909090909090909,0.3376022106639237,-0.19360449260816837,18.051933975921838,-0.0030462340861558915,5.151182184867011e-05
AMT230519P00230000,2023-04-07,10:00:00,2023-05-19,27.55,27.0,28.1,230,42,p,14,0.36029523977287,-0.7882174195568581,0.010754540937796264,-0.07751615157294722,2,2.817129593414638,0.10956521739130431,0.3809376502229967,-0.053812162159247647,26.218643754743635,-0.0063150939702987675,4.008943658625351e-05
AMT230519P00240000,2023-04-07,10:00:00,2023-05-19,37.45,36.7,38.2,240,42,p,2,0.4399385201003133,-0.8175906518985698,0.008120047567672373,-0.08480845701611628,2,2.71712959341464,0.1466666666666666,0.45995063061396896,-0.022918015014625863,35.24972806050187,-0.00068115895986557,2.439093619480906e-06
AMT230616C00170000,2023-04-07,10:00:00,2023-06-16,35.75,35.0,36.5,170,70,c,30,0.334819366409938,0.946888875933638,0.004089992984290802,-0.022512739297461337,30,0.1708588948807801,-0.2047058823529413,0.26822935982424256,0.001900819990816501,36.15322524974174,0.005146402180194855,3.034476093429226e-06
AMT230616C00180000,2023-04-07,10:00:00,2023-06-16,27.25,26.9,27.6,180,70,c,26,0.3282434399298278,0.8592514945178209,0.00824793431775106,-0.04608023931399785,2,1.67085889488078,-0.13777777777777778,0.29135516556375657,0.06373153685912021,27.559599248099307,0.00899452941417694,8.81757605349614e-05
AMT230616C00185000,2023-04-07,10:00:00,2023-06-16,23.3,23.0,23.6,185,70,c,4,0.3269400898318762,0.8063737752666,0.01017165136119047,-0.05603373910324905,4,2.720858894880781,-0.10702702702702704,0.29300099107786703,0.15165489806951535,23.64215624793746,0.0017065199196338655,3.228032567465535e-05
AMT230616C00190000,2023-04-07,10:00:00,2023-06-16,19.5,19.2,19.8,190,70,c,159,0.3134876555859953,0.7485923721082699,0.012059673828446194,-0.0634581844256843,124,3.92085889488078,-0.07789473684210524,0.28848538613349417,0.25974637150653007,20.031412607202466,0.08042528170198202,0.0021976983828283503
AMT230616C00195000,2023-04-07,10:00:00,2023-06-16,16.0,15.7,16.3,195,70,c,127,0.3092078434481006,0.6824222867622076,0.013775468215015962,-0.06920528195163023,1,5.42085889488078,-0.050256410256410255,0.2835200368192907,0.3285294908187601,16.75716693752016,0.07337869682386518,0.0022202381273685235
AMT230616C00200000,2023-04-07,10:00:00,2023-06-16,12.75,12.4,13.1,200,70,c,72,0.2941098253063483,0.6096124734360053,0.015291500208292064,-0.07202909680174052,2,7.17085889488078,-0.02400000000000002,0.27570159827699836,0.2718304612205899,13.837754340954044,0.04617878435254097,0.0010414827790426156
AMT230616C00210000,2023-04-07,10:00:00,2023-06-16,7.5,7.2,7.8,210,70,c,237,0.2779510749994581,0.447712585705462,0.016554289308245984,-0.0700966684377482,2,11.92085889488078,0.024761904761904763,0.2633143302332756,-0.2552745232933152,9.074721296298888,0.16455792081467807,-0.0032194174573641175
AMT230616C00220000,2023-04-07,10:00:00,2023-06-16,4.0,3.8,4.2,220,70,c,471,0.268944283989476,0.2914315709657833,0.01480528997621633,-0.05846791312145161,1,18.42085889488078,0.06909090909090909,0.255851024039945,-0.4299242587347984,5.653045760907082,0.2924810476211831,-0.010775423130689757
AMT230616C00230000,2023-04-07,10:00:00,2023-06-16,1.875,1.75,2.0,230,70,c,46,0.2617169904767597,0.16519513787504048,0.01104903635029686,-0.04073748768513408,1,26.29585889488078,0.10956521739130431,0.24848128743178302,-0.1448577080133144,3.3516330447833664,0.021317787985689937,-0.00035458545409869293
AMT230616C00240000,2023-04-07,10:00:00,2023-06-16,0.85,0.75,0.95,240,70,c,702,0.2613802257293768,0.08618276846835693,0.007013705931591119,-0.025491125006288695,2,35.27085889488078,0.1466666666666666,0.24788408764470515,-0.019184804030337517,1.8966134471669462,0.20651165620274842,-0.000716664602414532
