symbol,date,time,expirationDate,mid,bid,ask,strike,days,typo,oi,iv_traded,delta_bs,gamma_bs,theta_bs,volume,prem_ivalue,moneyness,iv_bs,vanna_bs,merton,gex,vex
AMZN230421C00080000,2023-04-07,10:00:00,2023-04-21,20.5,20.45,20.55,80,14,c,10712,0.6500240319699055,0.9646776777389121,0.0059778926342346494,-0.04444237977214982,1,0.15332834262022743,-0.252,0.6593596589963195,6.095769055711974e-19,20.364240096211777,0.642402624228708,1.8201536597230558e-19
AMZN230421C00081000,2023-04-07,10:00:00,2023-04-21,19.5,19.35,19.65,81,14,c,13,0.6181667733805354,0.9633879832858128,0.0064637102070719266,-0.04392574738691124,2,0.15332834262022743,-0.2365432098765432,0.6279803417477672,1.3506942569331086e-18,19.38264350657609,0.0008429733814882493,4.894511912459279e-22
AMZN230421C00082000,2023-04-07,10:00:00,2023-04-21,18.5,18.4,18.6,82,14,c,11,0.5867168313607638,0.9619891342179443,0.00701208698217215,-0.04339506522059011,2,0.15332834262022743,-0.22146341463414632,0.5968754839100575,3.0956786769148644e-18,18.405356869527516,0.0007737997972603552,9.491995970496615e-22
AMZN230421C00083000,2023-04-07,10:00:00,2023-04-21,17.549999999999997,17.45,17.65,83,14,c,20,0.6020674282069013,0.9534726790963788,0.008302362246581652,-0.049321119144199344,14,0.2033283426202246,-0.20674698795180713,0.5937308309985664,1.9778160172580026e-16,17.433320843331956,0.0016657902119636128,1.102617471027599e-19
AMZN230421C00084000,2023-04-07,10:00:00,2023-04-21,16.525,16.3,16.75,84,14,c,30,0.5525232860551067,0.9550403243789418,0.008730896396969001,-0.04552683561572479,1,0.178328342620226,-0.19238095238095232,0.5492478795408575,1.0643084337903377e-16,16.467634892722867,0.0026276572849602236,8.900158534105167e-20
AMZN230421C00085000,2023-04-07,10:00:00,2023-04-21,15.5,15.35,15.65,85,14,c,7975,0.4947306211048942,0.9569560086474915,0.009167881511729092,-0.041700592719948304,10,0.15332834262022743,-0.1783529411764706,0.5050195980469777,4.754779584877472e-17,15.509573329912884,0.7334800656368777,1.0569880208399246e-17
AMZN230421C00086000,2023-04-07,10:00:00,2023-04-21,14.575,14.45,14.7,86,14,c,48,0.5166078378704518,0.943077753988053,0.011322106399092036,-0.05019912505492918,2,0.22832834262022672,-0.1646511627906977,0.5110955574888715,1.3374465190218713e-14,14.560599650922324,0.005452015739597526,1.789479165589575e-17
AMZN230421C00087000,2023-04-07,10:00:00,2023-04-21,13.6,13.5,13.7,87,14,c,76,0.4990222313448264,0.9363917694659385,0.012880798454517617,-0.052187079003500614,4,0.2533283426202271,-0.15126436781609187,0.4900538304220032,1.2583879954294284e-13,13.622377518268802,0.009820757988156249,2.66585880210382e-16
AMZN230421C00088000,2023-04-07,10:00:00,2023-04-21,12.625,12.55,12.7,88,14,c,58,0.4816826131807735,0.9291122738940949,0.014671348811390317,-0.053931956405332215,4,0.27832834262022743,-0.13818181818181818,0.4678456973257683,1.0949986400429506e-12,12.696776670735414,0.008536634118019039,1.770315034416787e-15
AMZN230421C00089000,2023-04-07,10:00:00,2023-04-21,11.725,11.6,11.85,89,14,c,102,0.4897735266422444,0.9104229255820329,0.01746470026375846,-0.06266071085686242,26,0.3783283426202271,-0.12539325842696636,0.46910711008224604,9.445817651794384e-11,11.78587244883558,0.017871044654519865,2.685645669195669e-13
AMZN230421C00090000,2023-04-07,10:00:00,2023-04-21,10.7,10.65,10.75,90,14,c,44766,0.4475159746947738,0.9084983239376676,0.019447419585816306,-0.058974023645060214,28,0.3533283426202267,-0.11288888888888882,0.4279814357600573,1.5415947028607683e-10,10.891938529945017,8.733712800641785,1.9236563213848724e-10
AMZN230421C00091000,2023-04-07,10:00:00,2023-04-21,9.75,9.65,9.85,91,14,c,97,0.4284901220237239,0.8948061393077467,0.02253806780316836,-0.061931224796818896,28,0.40332834262022743,-0.10065934065934057,0.40901107182899904,2.0979626195253693e-09,10.017433641593213,0.021931939898064308,5.672551721536716e-12
AMZN230421C00092000,2023-04-07,10:00:00,2023-04-21,8.825,8.7,8.95,92,14,c,113,0.4182964080214059,0.8762128059011332,0.02626521645510138,-0.06624735849883123,19,0.4783283426202267,-0.08869565217391306,0.39410242579245003,3.957057561754953e-08,9.164983988042282,0.029774745596984366,1.2464067594308002e-10
AMZN230421C00093000,2023-04-07,10:00:00,2023-04-21,7.95,7.85,8.05,93,14,c,353,0.4131723173574484,0.8495543862286237,0.030566351947314274,-0.07311196356557925,5,0.6033283426202276,-0.07698924731182788,0.38695420827674903,1.1107906611667284e-06,8.337363290379695,0.1082447761076255,1.0929892977310935e-08
AMZN230421C00094000,2023-04-07,10:00:00,2023-04-21,7.050000000000001,6.95,7.15,94,14,c,250,0.3937945265112196,0.8244189073377761,0.03536328742725914,-0.07670261862570982,1,0.7033283426202281,-0.0655319148936171,0.36982335442110204,1.3867913684355276e-05,7.537471245670264,0.08869135119260543,9.664071241742654e-08
AMZN230421C00095000,2023-04-07,10:00:00,2023-04-21,6.225,6.2,6.25,95,14,c,27015,0.3914440450859826,0.7886615170728195,0.04040734274290969,-0.0831326467152067,199,0.8783283426202271,-0.054315789473684095,0.3624492941812627,0.00022306014279451208,6.768308819872818,10.951002926723165,0.00016797162821591372
AMZN230421C00096000,2023-04-07,10:00:00,2023-04-21,5.425000000000001,5.4,5.45,96,14,c,707,0.3812833619552762,0.7486475320694463,0.04565379499332778,-0.08842224643464469,209,1.0783283426202281,-0.043333333333333224,0.3534099799131031,0.002298822659033484,6.032945673028602,0.3238060283579227,4.5303720295532675e-05
AMZN230421C00097000,2023-04-07,10:00:00,2023-04-21,4.675000000000001,4.65,4.7,97,14,c,1496,0.3733405567012858,0.7023778969485139,0.0506934126942582,-0.09323293729691873,241,1.3283283426202281,-0.03257731958762888,0.34599210709139583,0.015852500423728603,5.33447230826393,0.760802190394644,0.0006610561519912996
AMZN230421C00098000,2023-04-07,10:00:00,2023-04-21,3.975,3.95,4.0,98,14,c,2518,0.3716355979144848,0.6507332654319686,0.055259073823421545,-0.09680518682197548,164,1.6283283426202275,-0.022040816326530654,0.3390992080727853,0.06397457293069413,4.675928616729967,1.3958795960502561,0.004490266376146453
AMZN230421C00099000,2023-04-07,10:00:00,2023-04-21,3.325,3.3,3.35,99,14,c,1276,0.3597184778849717,0.5944939504287872,0.05912836112731412,-0.09852522599108227,739,1.9783283426202276,-0.011717171717171793,0.3319639085638355,0.13033445211590178,4.060202462086902,0.756894148689472,0.004635738069622184
AMZN230421C00100000,2023-04-07,10:00:00,2023-04-21,2.75,2.74,2.76,100,14,c,44236,0.3595878183087188,0.5342259033257024,0.061504007518031756,-0.09880121814695997,2684,2.4033283426202274,-0.0016000000000000458,0.32718795046188665,0.08114577129699593,3.4898971143161055,27.29404453622337,0.10005774852480327
AMZN230421C00101000,2023-04-07,10:00:00,2023-04-21,2.2300000000000004,2.22,2.24,101,14,c,2964,0.3514824491357898,0.47186798632750104,0.06262825529290694,-0.09657002223268352,1639,2.883328342620228,0.008316831683168324,0.321699957986188,-0.09664355514087192,2.9671739095560574,1.86224640377159,-0.007984727166749713
AMZN230421C00102000,2023-04-07,10:00:00,2023-04-21,1.78,1.77,1.79,102,14,c,12535,0.3478847609742642,0.40905569833858957,0.062013528479010205,-0.09229502696481107,1069,3.4333283426202277,0.018039215686274535,0.317199048455306,-0.15439474775914913,2.493584681715621,7.798290561280666,-0.053946819431823306
AMZN230421C00103000,2023-04-07,10:00:00,2023-04-21,1.395,1.39,1.4,103,14,c,7625,0.3444887360895894,0.34759091800935504,0.059745259948229545,-0.08598781152473256,1822,4.048328342620227,0.02757281553398061,0.31308349941063607,-0.07150639529015589,2.0699149747203034,4.570165576754613,-0.015198254675227556
