option_1,option_2,c_p_s+k,mid_call,mid_put,K,spot,days,iv_call,iv_put
AMZN230616P00120000,AMZN230616C00120000,34.70155355959221,1.225,20.299999999999997,120,100.16,70,0.35911942479556497,0.39020952896444383
AMZN230526P00092000,AMZN230526C00092000,32.73854421569595,11.8,2.715,92,100.16,49,0.462305715856375,0.4351254552002997
AMZN230428P00082000,AMZN230428C00082000,26.629353725058635,19.025,0.37,82,100.16,21,0.6446280001215424,0.5640880968003067
AMZN230616P00115000,AMZN230616C00115000,26.568155494609158,2.035,16.075,115,100.16,70,0.3631040052563269,0.3823955212579609
AMZN230519P00120000,AMZN230519C00120000,26.345127742057173,0.64,20.075000000000003,120,100.16,42,0.389753146886393,0.4286546726405597
AMZN230526P00089000,AMZN230526C00089000,26.187287339097054,14.0,2.0,89,100.16,49,0.47082050666302605,0.4459198105538161
AMZN230505P00087000,AMZN230505C00087000,24.161451749889373,14.775,1.05,87,100.16,28,0.5450583290812085,0.5070620174899985
AMZN230428P00080000,AMZN230428C00080000,23.687174365911545,20.9,0.28,80,100.16,21,0.6683563652097262,0.5824779436229564
AMZN230526P00096000,AMZN230526C00096000,21.64022005115953,8.975,3.975,96,100.16,49,0.4381086093872985,0.42228313806129913
AMZN230421P00089000,AMZN230421C00089000,21.443618774396356,11.725,0.185,89,100.16,14,0.46910711008224604,0.3900094602382116
AMZN230428P00083000,AMZN230428C00083000,21.350443404633523,18.025,0.42,83,100.16,21,0.6144101425335943,0.5534761615740432
AMZN230428P00091000,AMZN230428C00091000,20.619160841224904,10.975,1.355,91,100.16,21,0.5328965633380707,0.5021721801257673
AMZN230428P00092000,AMZN230428C00092000,20.34025052079862,10.175,1.5550000000000002,92,100.16,21,0.5250981016504548,0.49667777370590277
AMZN230505P00084000,AMZN230505C00084000,19.77657410334217,17.375,0.705,84,100.16,28,0.5633088086286877,0.5239942106917008
AMZN230428P00086000,AMZN230428C00086000,19.013712443355857,15.25,0.66,86,100.16,21,0.5747207689245111,0.5328571871632641
AMZN230512P00090000,AMZN230512C00090000,18.702359484449005,12.55,1.785,90,100.16,35,0.4913713327958584,0.47037019312469047
AMZN230616P00081000,AMZN230616C00081000,18.43895134727518,21.375,1.28,81,100.16,70,0.4827913758189236,0.462087211086395
AMZN230616P00080000,AMZN230616C00080000,18.365630960271773,22.25,1.165,80,100.16,70,0.4886600878990483,0.4668144516007919
AMZN230421P00083000,AMZN230421C00083000,18.059779306458523,17.549999999999997,0.055,83,100.16,14,0.5937308309985664,0.46053809307996285
AMZN230505P00080000,AMZN230505C00080000,17.263403907944408,21.05,0.42,80,100.16,28,0.6006826118098657,0.5528854086493207
AMZN230505P00091000,AMZN230505C00091000,16.674621945286994,11.4,1.735,91,100.16,28,0.5063198435237374,0.48588624565825084
AMZN230428P00084000,AMZN230428C00084000,16.571533084207246,17.049999999999997,0.49,84,100.16,21,0.5906392670296242,0.5467212072042
AMZN230428P00087000,AMZN230428C00087000,16.23480212292936,14.325,0.76,87,100.16,21,0.5583824517125653,0.5252832744373426
AMZN230428P00100000,AMZN230428C00100000,16.10896795738963,4.85,4.25,100,100.16,21,0.4807903824330656,0.46402215349171244
AMZN230421P00086000,AMZN230421C00086000,16.001699040426764,14.575,0.095,86,100.16,14,0.5110955574888715,0.42123492249946126
AMZN230519P00080000,AMZN230519C00080000,15.936581505295067,21.425,0.66,80,100.16,42,0.5376057668691587,0.5073423148010612
