symbol,date,time,expirationDate,mid,bid,ask,strike,days,typo,oi,iv_traded,delta_bs,gamma_bs,theta_bs,volume,prem_ivalue,moneyness,iv_bs,vanna_bs,merton,gex,vex
APD230421C00270000,2023-04-07,10:00:00,2023-04-21,13.1,11.0,15.2,270,14,c,82,0.3195211641921104,0.8211420167090644,0.01943229404943736,-0.13756890745514205,1,1.297239088375397,-0.04270370370370369,0.24140781078230586,2.6673384314874734e-05,13.576055196288221,0.12629532843011612,1.0865627804817572e-07
APD230421C00280000,2023-04-07,10:00:00,2023-04-21,5.300000000000001,4.4,6.2,280,14,c,82,0.2442045311574912,0.5727793716289398,0.035860281588639964,-0.16385766331829466,3,3.497239088375398,-0.005464285714285699,0.1968149979566484,0.2312532242343323,6.568475303321987,0.2330649191141106,0.0009420294903459365
APD230421C00290000,2023-04-07,10:00:00,2023-04-21,1.35,0.8,1.9,290,14,c,658,0.2237644995373288,0.22630524980494782,0.028654334107702795,-0.1160198380050439,7,9.547239088375397,0.02920689655172426,0.18906851602068112,-0.0011460814188512664,2.3968617422676695,1.494395581120264,-3.7463143407515745e-05
APD230421C00300000,2023-04-07,10:00:00,2023-04-21,0.35,0.15,0.55,300,14,c,412,0.2459889713233608,0.06887086880267568,0.011322292582938154,-0.054540101339287494,4,18.5472390883754,0.06156666666666677,0.2108978579870232,-1.4347671221194785e-12,0.6982582713202216,0.3697268154545533,-2.9365776014774786e-14
APD230421P00250000,2023-04-07,10:00:00,2023-04-21,0.525,0.15,0.9,250,14,p,137,0.4280029885966775,-0.055365751760672044,0.005160360811995446,-0.08208492413326474,1,32.3277609116246,-0.1261199999999998,0.39024967007661915,1.0274592250902798e-14,0.18595903108939107,-0.05603378976291159,-6.992750173162267e-17
APD230421P00270000,2023-04-07,10:00:00,2023-04-21,1.375,0.9,1.85,270,14,p,276,0.2589337614056776,-0.18154909727291502,0.019369470625196783,-0.12344409218151386,1,13.177760911624603,-0.04270370370370369,0.2452429060972165,3.568309966142821e-05,1.795250577828487,-0.42371729799768354,-4.892541348110664e-07
APD230421P00280000,2023-04-07,10:00:00,2023-04-21,4.25,3.0,5.5,280,14,p,267,0.2352775422192368,-0.43464971885369685,0.030640603005949174,-0.17214663081398118,5,6.052760911624603,-0.005464285714285699,0.23119477742530226,0.18892570397454891,4.76906800932786,-0.6484222815328334,-0.002505908217043395
APD230421P00290000,2023-04-07,10:00:00,2023-04-21,10.3,9.4,11.2,290,14,p,418,0.2077239712570452,-0.7258515535384369,0.02574943406941088,-0.13743439011093272,15,2.1027609116246033,0.02920689655172426,0.23256962218386013,-0.009882640016180949,10.578851772739155,-0.8530870136151274,0.00020521642022766653
APD230519C00270000,2023-04-07,10:00:00,2023-05-19,18.4,16.1,20.7,270,42,c,38,0.3356091015997814,0.6854484996312138,0.012258573427459396,-0.1308481946250737,4,6.050924214204791,-0.04270370370370369,0.29961081426710623,0.21673435838017466,17.281229000506748,0.03692095194376,0.00040914213844861665
APD230519C00280000,2023-04-07,10:00:00,2023-05-19,11.0,9.3,12.7,280,42,c,21,0.2844699972498956,0.5538159589451475,0.015946307403424953,-0.12421661880155277,4,8.650924214204792,-0.005464285714285699,0.25697320693080894,0.15546942261428442,11.162540703909976,0.0265417031317782,0.00016219114139378918
