symbol,date,time,expirationDate,mid,bid,ask,strike,days,typo,oi,iv_traded,delta_bs,gamma_bs,theta_bs,volume,prem_ivalue,moneyness,iv_bs,vanna_bs,merton,gex,vex
AVGO230421C00500000,2023-04-07,10:00:00,2023-04-21,120.1,118.9,121.3,500.0,14,c,122,0.5748786093288999,0.9787455367352038,0.0007315141203889652,-0.12581674114107955,8,0.2896907907829416,-0.23865999999999987,0.5457148589428651,5.111660849226261e-24,119.6268301760622,0.0342315669474045,6.963168019018199e-26
AVGO230421C00510000,2023-04-07,10:00:00,2023-04-21,110.05,108.7,111.4,510.0,14,c,161,0.5143973784756228,0.9793492329933429,0.0007923421208033687,-0.11368232128856448,22,0.23969079078294442,-0.21437254901960778,0.49099365673305134,2.9484103924011356e-24,109.67756303056292,0.048930860642721945,5.300280111792539e-26
AVGO230421C00520000,2023-04-07,10:00:00,2023-04-21,100.2,99.1,101.3,520.0,14,c,302,0.4947704615881856,0.9732253328763818,0.0010454067478349316,-0.13465261016872887,3,0.3896907907829501,-0.19101923076923066,0.4682041085438682,1.0713053432395939e-21,99.75198158001041,0.12109786236587011,3.6124781307305855e-23
AVGO230421C00530000,2023-04-07,10:00:00,2023-04-21,90.1,88.8,91.4,530.0,14,c,239,0.4264199297654861,0.975204792619877,0.001119442458730191,-0.11469798401516584,9,0.2896907907829416,-0.16854716981132056,0.40879265189290004,2.2168424206691147e-22,89.86558981663822,0.10262281205527518,5.915857945717894e-24
AVGO230421C00540000,2023-04-07,10:00:00,2023-04-21,80.3,79.1,81.5,540.0,14,c,182,0.4178469533120723,0.9656720728358437,0.0015580815215798793,-0.14125709286332722,27,0.4896907907829444,-0.14690740740740726,0.38913385290541647,2.9878523717431935e-19,80.0420002491525,0.10876916635857489,6.071773132207921e-21
AVGO230421C00550000,2023-04-07,10:00:00,2023-04-21,70.75,69.8,71.7,550.0,14,c,516,0.4132650072668277,0.9462376354022695,0.00229623879022256,-0.1952628145277373,10,0.9396907907829473,-0.12605454545454542,0.3832416707006877,3.8709741692515815e-15,70.31528794417491,0.4544760333830136,2.23025739269677e-16
AVGO230421C00555000,2023-04-07,10:00:00,2023-04-21,65.8,64.8,66.8,555.0,14,c,1,0.3923138665943111,0.9418453726460996,0.0025838347994522337,-0.1976320257558939,1,0.9896907907829444,-0.11590990990990968,0.36283883500428493,2.0314298960920758e-14,65.50242068656723,0.000991080606841495,2.2682287572510548e-18
AVGO230421C00560000,2023-04-07,10:00:00,2023-04-21,60.95,60.0,61.9,560.0,14,c,194,0.381116928223141,0.9335013929455016,0.002991572429777989,-0.210721689986741,12,1.13969079078295,-0.10594642857142844,0.34865043100354903,3.1373151726344934e-13,60.7327926292342,0.22261041899047937,6.7958673381292576e-15
AVGO230421C00570000,2023-04-07,10:00:00,2023-04-21,51.349999999999994,50.4,52.3,570.0,14,c,400,0.3626794432167406,0.9110997679268706,0.0040615663721155215,-0.24161487471631915,1,1.5396907907829416,-0.08654385964912259,0.32133841353401615,9.728748620705131e-11,51.36063156682662,0.6231574349345588,4.345122110489941e-12
AVGO230421C00575000,2023-04-07,10:00:00,2023-04-21,46.7,45.8,47.6,575.0,14,c,1,0.3529978770057298,0.8935069389703898,0.004784865765827817,-0.2667261928801139,1,1.88969079078295,-0.07709565217391301,0.3119316401836333,2.9162365942655824e-09,46.78197231206319,0.0018353292818322048,3.25617522848608e-13
AVGO230421C00580000,2023-04-07,10:00:00,2023-04-21,42.15,41.5,42.8,580.0,14,c,598,0.3453347986814037,0.8716962068618272,0.005619471750151206,-0.2950389041754491,1,2.339690790782946,-0.06781034482758619,0.3035347817764422,8.443530209106402e-08,42.29550661892257,1.2889643661129617,5.637807696821824e-09
AVGO230421C00585000,2023-04-07,10:00:00,2023-04-21,37.650000000000006,37.1,38.2,585.0,14,c,5,0.3296366145566934,0.8470235994114006,0.006556841398719371,-0.32066237297037503,1,2.839690790782953,-0.058683760683760466,0.2934833966362782,1.7495368342422444e-06,37.921087236752214,0.012575026765998868,9.76738052081508e-10
AVGO230421C00590000,2023-04-07,10:00:00,2023-04-21,33.15,32.4,33.9,590.0,14,c,576,0.3141059540314643,0.8203069495586135,0.007629580949242154,-0.33931605089220085,1,3.339690790782946,-0.04971186440677955,0.2801119294512837,2.433076439293404e-05,33.68259127403172,1.685649995110046,1.5648158965641264e-06
AVGO230421C00595000,2023-04-07,10:00:00,2023-04-21,29.049999999999997,28.7,29.4,595.0,14,c,7,0.3122201302327107,0.7815861231980747,0.008750338515994827,-0.37325517532635644,1,4.239690790782944,-0.040890756302520925,0.2749885895615828,0.0004430036171898246,29.607840917233844,0.023494549906353974,3.4625043286330424e-07
