option_1,option_2,c_p_s+k,mid_call,mid_put,K,spot,days,iv_call,iv_put
AVGO230616P00740000,AVGO230616C00740000,553.7429136174851,2.05,121.4,740.0,619.3299999999999,70,0.25700454155659547,0.3065003408116332
AVGO230616P00730000,AVGO230616C00730000,509.47611748752024,2.7,111.7,730.0,619.3299999999999,70,0.2576706507194629,0.2932498405257708
AVGO230616P00720000,AVGO230616C00720000,405.20932135754464,3.55,101.6,720.0,619.3299999999999,70,0.2588930373958979,0.2720115116538228
AVGO230616P00700000,AVGO230616C00700000,286.67572909761816,6.1,83.15,700.0,619.3299999999999,70,0.26381717897451795,0.25654335314879356
AVGO230519P00700000,AVGO230519C00700000,252.92991182865734,1.5,80.8,700.0,619.3299999999999,42,0.23314069593647307,0.24976059465353592
AVGO230616P00690000,AVGO230616C00690000,227.4089329676542,7.85,74.4,690.0,619.3299999999999,70,0.2666082251422228,0.25223040683220727
AVGO230519P00690000,AVGO230519C00690000,199.85948451681566,2.275,71.1,690.0,619.3299999999999,42,0.234555534658513,0.23408767909086517
AVGO230616P00680000,AVGO230616C00680000,193.14213683768884,10.05,66.35,680.0,619.3299999999999,70,0.27048848163215194,0.25347349191071455
AVGO230428P00690000,AVGO230428C00690000,180.44812109400823,0.35,70.9,690.0,619.3299999999999,21,0.22731483029572896,0.28398881654845926
AVGO230421P00665000,AVGO230421C00665000,176.70779230366662,0.55,46.75,665.0,619.3299999999999,14,0.21519215371893435,0.2775021155916167
AVGO230519P00680000,AVGO230519C00680000,161.78905720498662,3.35,61.849999999999994,680.0,619.3299999999999,42,0.23574804987162992,0.22694918019516935
AVGO230421P00680000,AVGO230421C00680000,159.49819363382858,0.25,61.25,680.0,619.3299999999999,14,0.2342693438502264,0.31327173147082754
AVGO230421P00670000,AVGO230421C00670000,155.13792608038415,0.425,51.400000000000006,670.0,619.3299999999999,14,0.22208561229118343,0.281623299319194
AVGO230428P00655000,AVGO230428C00655000,148.18625987908973,2.675,38.0,655.0,619.3299999999999,21,0.22081649952931015,0.23355396568963188
AVGO230421P00695000,AVGO230421C00695000,144.7885949639783,0.125,75.94999999999999,695.0,619.3299999999999,14,0.2539515203419867,0.34901025705523697
AVGO230505P00670000,AVGO230505C00670000,137.0439922709629,2.3,51.85,670.0,619.3299999999999,28,0.22994477382844697,0.230685989107508
