symbol,date,time,expirationDate,mid,bid,ask,strike,days,typo,oi,iv_traded,delta_bs,gamma_bs,theta_bs,volume,prem_ivalue,moneyness,iv_bs,vanna_bs,merton,gex,vex
AXP230421C00130000,2023-04-07,10:00:00,2023-04-21,30.075000000000003,29.85,30.3,130.0,14,c,9,0.6018612300889206,0.941796135574613,0.005327484835504492,-0.09660229048529345,3,0.5092981565262704,-0.22576923076923072,0.6899357664615785,1.3025195331175234e-14,29.512463995012233,0.0012174997122492575,4.522905033802365e-18
AXP230421C00135000,2023-04-07,10:00:00,2023-04-21,25.275,24.95,25.6,135.0,14,c,10,0.5907204425192328,0.9196326101498897,0.007486622948249533,-0.11288703333245564,2,0.7092981565262662,-0.1803703703703703,0.6309938295317367,8.064747676909987e-12,24.533177587796292,0.0019010349300014778,3.111583779386419e-15
AXP230421C00140000,2023-04-07,10:00:00,2023-04-21,20.424999999999997,20.2,20.65,140.0,14,c,563,0.5302935898863589,0.895760867347839,0.010426818271014326,-0.11981045284868941,1,0.8592981565262647,-0.13821428571428562,0.5500116357767235,1.2147472362930282e-09,19.600175417038994,0.1490611044508615,2.6386696951776548e-11
AXP230421C00145000,2023-04-07,10:00:00,2023-04-21,15.625,15.4,15.85,145.0,14,c,829,0.4575002401008243,0.8602261079009743,0.015077765542770294,-0.12581677460608987,5,1.0592981565262676,-0.09896551724137925,0.4680067748298359,2.5405781140269724e-07,14.82152827547197,0.31739176321189305,8.126018333475707e-09
AXP230421C00146000,2023-04-07,10:00:00,2023-04-21,14.75,14.45,15.05,146.0,14,c,2,0.461401804479342,0.8459969772065534,0.016313018491587172,-0.1321012541324844,2,1.1842981565262676,-0.09143835616438345,0.46176736010394026,1.3009533988476905e-06,13.901597473677652,0.0008284541155773883,1.0038814990286485e-10
AXP230421C00147000,2023-04-07,10:00:00,2023-04-21,13.875,13.65,14.1,147.0,14,c,1,0.4540562336190668,0.8313300043750083,0.017614836185231297,-0.1374976740842495,2,1.3092981565262676,-0.08401360544217673,0.45389590273083574,5.760385646214435e-06,12.998577639899136,0.00044728336268368135,2.2225025825778532e-10
AXP230421C00148000,2023-04-07,10:00:00,2023-04-21,13.0,12.7,13.3,148.0,14,c,3,0.4449721369091065,0.8161020024607168,0.019001544515617752,-0.14201341946142243,2,1.4342981565262676,-0.07668918918918921,0.44452393105905835,2.2643246131106575e-05,12.114889192362334,0.0014474857394793715,2.620901243169491e-09
AXP230421C00149000,2023-04-07,10:00:00,2023-04-21,12.125,11.85,12.4,149.0,14,c,1,0.4359641818581406,0.8001785529774708,0.020493363912521545,-0.14564211589626908,1,1.5592981565262676,-0.06946308724832218,0.43374326468845037,8.054121933387206e-05,11.253029901066146,0.0005203761549130001,3.107484098588708e-09
AXP230421C00150000,2023-04-07,10:00:00,2023-04-21,11.35,11.2,11.5,150.0,14,c,1266,0.4409999998497795,0.7782489989517138,0.02185662838272151,-0.15380194889353405,1,1.7842981565262672,-0.06233333333333335,0.43240104788269756,0.00035488163488551973,10.41552540083351,0.7026208117765582,1.7334365344272254e-05
AXP230421C00152500,2023-04-07,10:00:00,2023-04-21,9.3,9.15,9.45,152.5,14,c,13,0.420268905721763,0.7262184608600286,0.025907192782170796,-0.1621410604553244,360,2.2342981565262683,-0.04491803278688522,0.4084799203278713,0.005379697839448615,8.444488664953164,0.008552003003879807,2.6983106685533436e-06
