option_1,option_2,c_p_s+k,mid_call,mid_put,K,spot,days,iv_call,iv_put
AXP230616P00190000,AXP230616C00190000,83.56912646935406,0.675,30.4,190.0,159.35,70,0.26584144385987635,0.3012818817061953
AXP230616P00185000,AXP230616C00185000,47.93572840437257,1.185,25.6,185.0,159.35,70,0.2726303528555143,0.27755952915021787
AXP230616P00150000,AXP230616C00150000,45.99805805050998,15.825,4.625,150.0,159.35,70,0.36290473616271285,0.32751313710904617
AXP230519P00150000,AXP230519C00150000,43.943590322427895,13.95,3.325,150.0,159.35,42,0.3821174677493301,0.3448081580092897
AXP230421P00135000,AXP230421C00135000,43.38638802857737,25.275,0.24,135.0,159.35,14,0.6309938295317367,0.4899006928125611
AXP230421P00157500,AXP230421C00157500,43.200786033339696,5.825,3.25,157.5,159.35,14,0.379451823649759,0.33749652498694743
AXP230421P00140000,AXP230421C00140000,42.95625425185712,20.424999999999997,0.385,140.0,159.35,14,0.5500116357767235,0.44327074032568275
AXP230421P00160000,AXP230421C00160000,42.73571914498113,4.35,4.275,160.0,159.35,14,0.3637844413958855,0.32320193005803816
AXP230616P00140000,AXP230616C00140000,41.76485418047662,23.674999999999997,2.61,140.0,159.35,70,0.4069941292785053,0.3633438682008725
AXP230519P00155000,AXP230519C00155000,41.15837666651032,10.35,4.725,155.0,159.35,42,0.35673068339926345,0.3248240867189421
