symbol,date,time,expirationDate,mid,bid,ask,strike,days,typo,oi,iv_traded,delta_bs,gamma_bs,theta_bs,volume,prem_ivalue,moneyness,iv_bs,vanna_bs,merton,gex,vex
BAC230421C00022000,2023-04-07,10:00:00,2023-04-21,6.125,6.05,6.2,22.0,14,c,255,0.9057139665676374,0.9432244914294508,0.02502370788803887,-0.017714589475239073,1,0.10149123835611462,-0.27295454545454567,0.811379734601859,5.3038581908325225e-15,6.0124738311493235,0.005004526533246076,1.0189384793733469e-17
BAC230421C00022500,2023-04-07,10:00:00,2023-04-21,5.725,5.6,5.85,22.5,14,c,58,0.9721196414499672,0.9109016550759019,0.03285945221698228,-0.02741318195408482,100,0.20149123835611427,-0.2446666666666668,0.8789776167489622,3.569370893413316e-11,5.513797060477587,0.0014947186963608279,1.559680169893744e-14
BAC230421C00023000,2023-04-07,10:00:00,2023-04-21,5.15,5.1,5.2,23.0,14,c,314,0.8021979649544909,0.9265282386627494,0.03449383556564101,-0.019534428811195603,20,0.12649123835611498,-0.2176086956521741,0.7221177738565485,1.0472125930301968e-12,5.015825254945466,0.008494587433006781,2.4773101567553906e-15
BAC230421C00023500,2023-04-07,10:00:00,2023-04-21,4.575,4.45,4.7,23.5,14,c,49,0.6040437062674372,0.9527189853078877,0.031925204089233716,-0.010631478823763807,19,0.0514912383561148,-0.1917021276595745,0.5478313101987504,1.804298890974554e-16,4.519499982356436,0.0012268766932004818,6.660708710281338e-20
BAC230421C00024000,2023-04-07,10:00:00,2023-04-21,4.175000000000001,4.15,4.2,24.0,14,c,1311,0.6913928757081572,0.9052446052099317,0.04837608325480858,-0.0207439484327141,10,0.15149123835611533,-0.1668750000000001,0.6253274670980941,1.6183776146981183e-10,4.026617104608365,0.049739858873457686,1.5984477087177803e-12
BAC230421C00024500,2023-04-07,10:00:00,2023-04-21,3.7,3.65,3.75,24.5,14,c,163,0.6531919082879123,0.887692739217405,0.058469517583148445,-0.02213110435250476,4,0.1764912383561148,-0.14306122448979597,0.586312977086295,3.981388792044584e-09,3.540220317452782,0.007474605378031488,4.889203038672248e-12
BAC230421C00025000,2023-04-07,10:00:00,2023-04-21,3.25,3.2,3.3,25.0,14,c,1441,0.6264830509117982,0.8594770225347714,0.07123360180383287,-0.024991262301716777,13,0.22649123835611462,-0.12020000000000008,0.5636975809164705,2.1399912921970825e-07,3.0649073761963743,0.08050447813611569,2.323228175434303e-09
BAC230421C00025500,2023-04-07,10:00:00,2023-04-21,2.8049999999999997,2.75,2.86,25.5,14,c,369,0.5919912020817952,0.8270013496446404,0.08609487067712251,-0.027344306702676846,4,0.28149123835611434,-0.0982352941176472,0.5355759807214041,6.886350146236798e-06,2.606875164176535,0.02491579782367238,1.9143940970095952e-08
BAC230421C00026000,2023-04-07,10:00:00,2023-04-21,2.3600000000000003,2.33,2.39,26.0,14,c,1401,0.5582217594460817,0.7904029969642234,0.10410081237921531,-0.028765103862506525,21,0.33649123835611494,-0.0771153846153847,0.4987911838141944,0.00013406696602188376,2.1735612296501228,0.11438350701714313,1.4150630655175695e-06
BAC230421C00026500,2023-04-07,10:00:00,2023-04-21,1.945,1.93,1.96,26.5,14,c,1544,0.5206542235533534,0.7407681958260137,0.12418355845200679,-0.030638040005369183,6,0.4214912383561147,-0.056792452830188855,0.4708283764300079,0.0023929063319462866,1.7728560835804068,0.1503773926013958,2.7834849275394393e-05
BAC230421C00027000,2023-04-07,10:00:00,2023-04-21,1.5750000000000002,1.56,1.59,27.0,14,c,2094,0.5064940408981047,0.676506997804327,0.14290404274586166,-0.032828398579944906,58,0.5514912383561148,-0.03722222222222227,0.4541537150774108,0.025497532057237662,1.4120217360818095,0.23468879033907955,0.000402245044888099
BAC230421C00027500,2023-04-07,10:00:00,2023-04-21,1.24,1.23,1.25,27.5,14,c,3730,0.4847282683463732,0.602315837514722,0.1589398772661177,-0.03406878577237715,121,0.7164912383561146,-0.01836363636363636,0.43872146447033,0.09222571388315742,1.0965816811213753,0.46495707351581367,0.002591652305882777
BAC230421C00028000,2023-04-07,10:00:00,2023-04-21,0.945,0.93,0.96,28.0,14,c,24277,0.4762510088850676,0.5200596546542979,0.16978468561856808,-0.03401047056690598,2384,0.9214912383561146,-0.00017857142857158337,0.4243816040268755,0.03207966224826735,0.8294791500001729,3.2326946698395345,0.005867332287645861
BAC230421C00028500,2023-04-07,10:00:00,2023-04-21,0.7,0.69,0.71,28.5,14,c,7602,0.4575002329804657,0.4336521815215155,0.17194334126724442,-0.032671498289088774,140,1.1764912383561146,0.017368421052631478,0.4138925444199127,-0.12297169184344285,0.6107172569609103,1.0251428361621762,-0.007042857356327061
BAC230421C00029000,2023-04-07,10:00:00,2023-04-21,0.5,0.49,0.51,29.0,14,c,23725,0.4499738724266761,0.3479854045663977,0.16537528006344004,-0.029868806431825934,1298,1.4764912383561146,0.0343103448275861,0.40439191648902634,-0.05671840153586407,0.4375378551097843,3.0771450453656852,-0.010137855180436146
BAC230421C00029500,2023-04-07,10:00:00,2023-04-21,0.345,0.33,0.36,29.5,14,c,6322,0.4416294910733616,0.2682112638821843,0.15033348596538154,-0.025970980858977866,131,1.8214912383561146,0.05067796610169484,0.3966884998842473,-0.004738887442034551,0.30503704026760875,0.7453862439298675,-0.00022570790205437668
BAC230421C00030000,2023-04-07,10:00:00,2023-04-21,0.2299999999999999,0.22,0.24,30.0,14,c,63651,0.4326936128181005,0.19842155409079965,0.1291223008559328,-0.021453646700915208,337,2.2064912383561146,0.06649999999999989,0.3905425353849977,-8.78328751799427e-05,0.2070154586680644,6.445812099545478,-4.211901533569611e-05
BAC230421C00030500,2023-04-07,10:00:00,2023-04-21,0.155,0.15,0.16,30.5,14,c,10106,0.4408220137203992,0.14454287020438383,0.10525352801993293,-0.017383422020618378,69,2.6314912383561144,0.08180327868852455,0.39111716551372466,-5.927093452691301e-07,0.1368446669848657,0.834232509264314,-4.5127050374793643e-08
BAC230421C00031000,2023-04-07,10:00:00,2023-04-21,0.105,0.1,0.11,31.0,14,c,20090,0.4384853199717666,0.10414455235172593,0.08287564254860769,-0.013812027813865715,1033,3.0814912383561146,0.0966129032258064,0.3948068841096458,-1.8958045362724553e-09,0.08818170588488759,1.3058040141891545,-2.8693886355920565e-10
BAC230421C00031500,2023-04-07,10:00:00,2023-04-21,0.075,0.07,0.08,31.5,14,c,7199,0.4569900452023125,0.07693336667400769,0.06455379450737153,-0.011199241479989908,105,3.551491238356115,0.11095238095238091,0.40471131753131917,-6.419204200232694e-12,0.05544656379154534,0.36447278305305064,-3.4815228011689316e-13
BAC230421C00032000,2023-04-07,10:00:00,2023-04-21,0.055,0.05,0.06,32.0,14,c,44375,0.4641662042432478,0.057644041044515454,0.050166317526745274,-0.009135670175471587,156,4.031491238356114,0.12484374999999992,0.4165512581211384,-2.2072038477335938e-14,0.03405556426114829,1.745909558903997,-7.378986056386918e-15
BAC230421C00032500,2023-04-07,10:00:00,2023-04-21,0.045,0.04,0.05,32.5,14,c,10323,0.4876761829050603,0.04660097728930307,0.040421141833807406,-0.008029736142852024,8,4.5214912383561146,0.13830769230769224,0.43660360851389346,-2.911172039806449e-16,0.020456297091403154,0.3272545238827972,-2.2640691017739516e-17
BAC230421C00033000,2023-04-07,10:00:00,2023-04-21,0.025,0.02,0.03,33.0,14,c,24317,0.4777891614109205,0.028445013402535364,0.02766251106043477,-0.005152422778786268,32,5.001491238356115,0.15136363636363626,0.42603540019881225,-1.0461945197929567e-20,0.012031588284928982,0.5275610808775083,-1.9166301454749767e-21
