option_1,option_2,c_p_s+k,mid_call,mid_put,K,spot,days,iv_call,iv_put
BAC230421P00034000,BAC230421C00034000,34.324909681692084,0.025,6.300000000000001,34.0,28.005000000000003,14,0.48934367134476797,0.8633535500405904
BAC230616P00034000,BAC230616C00034000,22.507106841884816,0.145,6.05,34.0,28.005000000000003,70,0.3050101282653377,0.3318654633984299
BAC230616P00033000,BAC230616C00033000,21.080427228888432,0.225,5.125,33.0,28.005000000000003,70,0.30334708599106847,0.3195095525896115
BAC230616P00031000,BAC230616C00031000,20.727068002894853,0.56,3.4749999999999996,31.0,28.005000000000003,70,0.3119921316568461,0.3218665220521333
BAC230616P00032000,BAC230616C00032000,19.15374761589166,0.36,4.25,32.0,28.005000000000003,70,0.30687602017502325,0.31405244696972945
BAC230616P00030000,BAC230616C00030000,17.800388389898526,0.845,2.74,30.0,28.005000000000003,70,0.31946213932612505,0.3217328989108115
BAC230421P00033500,BAC230421C00033500,16.731896304020033,0.025,5.625,33.5,28.005000000000003,14,0.4581130488062158,0.663771733006045
BAC230526P00032000,BAC230526C00032000,16.286593316280307,0.25,4.2,32.0,28.005000000000003,49,0.3257631265240791,0.34396988520691163
BAC230616P00029000,BAC230616C00029000,15.37370877690174,1.25,2.13,29.0,28.005000000000003,70,0.33370851152790154,0.33082624887398815
BAC230428P00022000,BAC230428C00022000,15.36397295062537,6.3,0.08,22.0,28.005000000000003,21,0.8399616187684533,0.6162860202207683
BAC230421P00030500,BAC230421C00030500,14.173816037988196,0.155,2.735,30.5,28.005000000000003,14,0.39111716551372466,0.4689349699819721
BAC230421P00022500,BAC230421C00022500,11.314398004762705,5.725,0.065,22.5,28.005000000000003,14,0.8789776167489622,0.6672177805455751
BAC230526P00033000,BAC230526C00033000,10.936174357414075,0.16,5.050000000000001,33.0,28.005000000000003,49,0.3314628043663624,0.3270123252682476
BAC230421P00032500,BAC230421C00032500,9.545869548676134,0.045,4.575,32.5,28.005000000000003,14,0.43660360851389346,0.5253149409569787
