option_1,option_2,c_p_s+k,mid_call,mid_put,K,spot,days,iv_call,iv_put
BA230616P00250000,BA230616C00250000,60.1699032491517,2.1799999999999997,37.2,250.0,213.265,70,0.31017851711885946,0.3360860115721248
BA230421P00210000,BA230421C00210000,54.4343813777898,7.300000000000001,3.1,210.0,213.265,14,0.31697838563148323,0.28280447355596233
BA230428P00210000,BA230428C00210000,52.42883271051832,9.8,5.425,210.0,213.265,21,0.37937066879561493,0.353044292305727
BA230616P00200000,BA230616C00200000,50.66407740067973,22.575,6.949999999999999,200.0,213.265,70,0.37948100628329445,0.36393518053135254
BA230616P00195000,BA230616C00195000,50.297475465664476,26.2,5.625,195.0,213.265,70,0.3902272124237177,0.37343163114921213
BA230519P00195000,BA230519C00195000,49.876667419159304,23.45,3.5999999999999996,195.0,213.265,42,0.404998663678052,0.3818181725850471
BA230421P00205000,BA230421C00205000,49.364515154506705,10.925,1.785,205.0,213.265,14,0.3387116523958393,0.30142855401202756
BA230421P00212500,BA230421C00212500,48.969314489428314,5.725,4.075,212.5,213.265,14,0.30627584584606155,0.27686512131749136
BA230519P00180000,BA230519C00180000,48.232308386914724,36.3,1.55,180.0,213.265,42,0.45937305305883613,0.423685751036439
BA230616P00190000,BA230616C00190000,47.43087353064617,30.049999999999997,4.550000000000001,190.0,213.265,70,0.40186849562157967,0.3843617340266318
BA230616P00185000,BA230616C00185000,47.06427159562878,34.1,3.65,185.0,213.265,70,0.4146373913561722,0.39516204615304573
BA230428P00205000,BA230428C00205000,46.32338431265044,13.075,3.775,205.0,213.265,21,0.3918441326454582,0.36619264185618045
BA230616P00205000,BA230616C00205000,46.030679335697755,19.125,8.5,205.0,213.265,70,0.3673291171943883,0.35410783174967914
