symbol,date,time,expirationDate,mid,bid,ask,strike,days,typo,oi,iv_traded,delta_bs,gamma_bs,theta_bs,volume,prem_ivalue,moneyness,iv_bs,vanna_bs,merton,gex,vex
BLK230421C00530000,2023-04-07,10:00:00,2023-04-21,123.35,121.1,125.6,530,14,c,1,0.6546648664960019,0.979416602488925,0.0006977708721933595,-0.12216023104474516,1,0.2693987102261133,-0.23135849056603774,0.5259450223210314,2.3660374560339974e-24,122.85342512859968,0.0002971895908707601,3.138229055852733e-28
BLK230421C00540000,2023-04-07,10:00:00,2023-04-21,113.45,111.2,115.7,540,14,c,9,0.6108612776201338,0.975465314528634,0.0008631148773474706,-0.135220833528237,1,0.3693987102261218,-0.2085555555555556,0.49724467205426087,1.3493220231223005e-22,112.87635304118932,0.003308505567455843,1.6107240445745494e-25
BLK230421C00550000,2023-04-07,10:00:00,2023-04-21,103.55,101.5,105.6,550,14,c,50,0.567886874966683,0.9710305683192644,0.001064107806314496,-0.14707928292315842,4,0.4693987102261161,-0.18658181818181818,0.46646306619323646,5.829007734669767e-21,102.90762371525183,0.022660860190890374,3.865695657750427e-23
BLK230421C00560000,2023-04-07,10:00:00,2023-04-21,93.8,91.7,95.9,560,14,c,17,0.5396204862826695,0.9614305060836159,0.0014120445257503889,-0.1790230749085282,15,0.7193987102261161,-0.16539285714285712,0.44896330365675813,3.0423654688376754e-18,92.95958812342192,0.010223934786585691,6.859987558699403e-21
BLK230421C00570000,2023-04-07,10:00:00,2023-04-21,83.85,81.8,85.9,570,14,c,27,0.4935237586354364,0.9569195586287549,0.0017013120157116646,-0.18048430017486794,1,0.7693987102261133,-0.1449473684210527,0.4087680488889525,3.506785137483332e-17,83.05764064942859,0.01956448819394711,1.2558447227513534e-19
BLK230421C00580000,2023-04-07,10:00:00,2023-04-21,74.7,72.9,76.5,580,14,c,34,0.4930552598061355,0.9281628218197113,0.0024945374832441303,-0.27380388675837253,1,1.6193987102261218,-0.12520689655172412,0.4212380992598876,1.1754868115478457e-12,73.24830494964448,0.03612349056461694,5.301023157953607e-15
BLK230421C00590000,2023-04-07,10:00:00,2023-04-21,64.95,63.2,66.7,590,14,c,18,0.449588212652359,0.9141706093743096,0.00312526935886126,-0.2885930470439746,2,1.8693987102261218,-0.10613559322033894,0.3856515533232742,4.081732978807664e-11,63.607664948646885,0.023959663643774717,9.744961306249274e-14
BLK230421C00600000,2023-04-07,10:00:00,2023-04-21,55.65,54.3,57.0,600,14,c,13,0.4302059417753145,0.8858498554282335,0.0040662418143710966,-0.33747377153882496,2,2.5693987102261175,-0.08770000000000011,0.366165006332095,8.673000989508802e-09,54.24683230497886,0.022514241080524012,1.495463342243151e-11
BLK230421C00610000,2023-04-07,10:00:00,2023-04-21,47.05,46.2,47.9,610,14,c,182,0.4133061036611496,0.8387561232865437,0.005232012796341223,-0.4203377306379039,4,3.969398710226116,-0.0698688524590163,0.36132953481369495,3.340473942791207e-06,45.310434060058995,0.40556544331342026,8.06385110123672e-08
BLK230421C00620000,2023-04-07,10:00:00,2023-04-21,38.45,37.7,39.2,620,14,c,10,0.39556385129745,0.7883105674697077,0.006547943414147994,-0.47176578265724345,2,5.369398710226122,-0.05261290322580647,0.3423398739475782,0.0002274072460032783,36.965271675820546,0.027888533354488883,3.016249912269706e-07
BLK230421C00625000,2023-04-07,10:00:00,2023-04-21,34.2,33.4,35.0,625,14,c,1,0.3758843106550036,0.7597242796087755,0.007305433484816604,-0.48857814915947273,1,6.119398710226122,-0.04419200000000001,0.3298110997693678,0.0013289286760336048,33.067594462452654,0.003111478101201914,1.7626443628983007e-07
BLK230421C00630000,2023-04-07,10:00:00,2023-04-21,30.75,30.2,31.3,630,14,c,85,0.3769078001618546,0.7184266503635683,0.007853947892044744,-0.534306585825238,1,7.669398710226119,-0.035904761904761884,0.33307140796135887,0.00890131534098665,29.379452672725566,0.28433328270167507,0.00010035433467918867
BLK230421C00635000,2023-04-07,10:00:00,2023-04-21,27.1,26.5,27.7,635,14,c,4,0.3728183307776773,0.6791913073154632,0.00848818331178336,-0.5560182058318013,1,9.01939871022612,-0.027748031496062975,0.32698933846749734,0.033322010733310994,25.91775135273984,0.014460905871495717,1.7678858298042196e-05
BLK230421C00640000,2023-04-07,10:00:00,2023-04-21,23.6,23.1,24.1,640,14,c,58,0.3627112233777507,0.636902755675095,0.009093671451410046,-0.56997676167585,1,10.51939871022612,-0.019718750000000007,0.3200117959788928,0.08587802286989658,22.69624589708362,0.2246404760353884,0.0006606524569020223
BLK230421C00645000,2023-04-07,10:00:00,2023-04-21,20.35,19.9,20.8,645,14,c,16,0.3529996331215926,0.5910820696529484,0.009602274921860499,-0.5782703873123829,1,12.26939871022612,-0.011813953488372109,0.31388004329206787,0.13965670003249633,19.7249423407295,0.06543571866761426,0.00029637719404231906
BLK230421C00650000,2023-04-07,10:00:00,2023-04-21,17.4,17.0,17.8,650,14,c,83,0.3499839503653456,0.5423891139015424,0.009956757942575223,-0.5807299620668154,1,14.319398710226118,-0.004030769230769282,0.3091592090086709,0.10650896227598913,17.009688381479293,0.35197903752315207,0.0011725389257670994
BLK230421C00655000,2023-04-07,10:00:00,2023-04-21,14.75,14.3,15.2,655,14,c,40,0.3448838415485468,0.4920178623646798,0.010132317118660694,-0.5759532483412677,2,16.66939871022612,0.003633587786259551,0.30552792545721635,-0.0395561115349695,14.551981792563877,0.17261936828071725,-0.00020986335315869832
BLK230421C00660000,2023-04-07,10:00:00,2023-04-21,12.3,11.9,12.7,660,14,c,65,0.337123012744228,0.4406755179162225,0.010178886018508138,-0.55975494213979,18,19.21939871022612,0.011181818181818182,0.30087098807870816,-0.15958372904474194,12.349003540365175,0.2817957025353543,-0.001375830678986186
BLK230421C00665000,2023-04-07,10:00:00,2023-04-21,10.15,9.8,10.5,665,14,c,40,0.3359410375834187,0.3895049808172679,0.010023320324847873,-0.5358271906893091,1,22.069398710226118,0.01861654135338342,0.29707589062069467,-0.14302511154956843,10.393863788815532,0.17076244281418784,-0.0007588139564515577
BLK230421C00670000,2023-04-07,10:00:00,2023-04-21,8.3,8.0,8.6,670,14,c,219,0.3306010506061894,0.3398581657185318,0.009667344933461663,-0.5052609077757815,7,25.21939871022612,0.02594029850746271,0.2942441879401353,-0.06478543401160321,8.67603225448284,0.901720799214013,-0.0018818478661659214
BLK230421C00675000,2023-04-07,10:00:00,2023-04-21,6.65,6.3,7.0,675,14,c,10,0.32510305986863,0.29159245244101406,0.009175717954335028,-0.4653849630733715,2,28.569398710226118,0.033155555555555494,0.290430740921862,-0.01619861999643791,7.1819117731892534,0.039080563168573404,-2.1485281142906852e-05
BLK230421C00680000,2023-04-07,10:00:00,2023-04-21,5.3,5.0,5.6,680,14,c,129,0.3269782238296855,0.24718353510251312,0.008513484486272205,-0.4230705924924303,20,32.219398710226116,0.04026470588235298,0.28812862460155275,-0.0024055471126830912,5.8955064495514335,0.4677543307009373,-4.115916928635371e-05
BLK230421C00685000,2023-04-07,10:00:00,2023-04-21,4.15,3.9,4.4,685,14,c,19,0.3196690985556012,0.20602255851409623,0.007752486332890385,-0.3762805589169873,4,36.06939871022612,0.047270072992700696,0.2854794035085861,-0.00020633777309364987,4.799133626362375,0.06273578954500073,-5.199904452328155e-07
BLK230421C00690000,2023-04-07,10:00:00,2023-04-21,3.225,2.95,3.5,690,14,c,334,0.3182046917409006,0.169597543667388,0.006917553667662446,-0.32969911593534995,1,40.14439871022612,0.054173913043478295,0.2836916265829847,-1.0969833585741369e-05,3.874131681491775,0.9840558824764359,-4.859700778005543e-07
BLK230421C00695000,2023-04-07,10:00:00,2023-04-21,2.425,2.15,2.7,695,14,c,40,0.3171786990783194,0.13600727276958935,0.006046588545416398,-0.2795827339126844,5,44.344398710226116,0.060978417266187024,0.2803282862246299,-2.945715735161964e-07,3.1015223575949813,0.10301279388906112,-1.5628375935964117e-09
BLK230421C00700000,2023-04-07,10:00:00,2023-04-21,1.775,1.5,2.05,700,14,c,394,0.3094321265323286,0.10639335536334338,0.005157667086752582,-0.23027088343420377,56,48.69439871022612,0.06768571428571424,0.27647273696226454,-3.971963312152858e-09,2.46259566272171,0.8655064044409159,-2.0756994668098018e-10
BLK230421C00705000,2023-04-07,10:00:00,2023-04-21,1.225,0.9,1.55,705,14,c,16,0.3064280938732754,0.07943132117582685,0.004248878320289862,-0.17977353217928838,2,53.14439871022612,0.07429787234042551,0.27033296810244134,-1.763114019161645e-11,1.9393959667597094,0.02895443097410745,-3.7416521058725717e-14
BLK230421C00710000,2023-04-07,10:00:00,2023-04-21,0.95,0.7,1.2,710,14,c,100,0.3073424187995272,0.06348468835901677,0.0035430006595227326,-0.1517208700110826,3,57.86939871022612,0.08081690140845066,0.2729486525227488,-2.265800171826648e-13,1.5150984839351922,0.15090095594684164,-3.005277839473193e-15
BLK230421C00715000,2023-04-07,10:00:00,2023-04-21,0.625,0.3,0.95,715,14,c,6,0.3004062535231283,0.04509201071774549,0.002762117904397954,-0.11200067626568744,1,62.54439871022612,0.08724475524475528,0.26702277033160665,-2.422482217476646e-16,1.1742748466985242,0.007058529290835947,-1.9278572440475855e-19
BLK230421C00720000,2023-04-07,10:00:00,2023-04-21,0.7250000000000001,0.1,1.35,720,14,c,204,0.327291728878949,0.047596302179420125,0.002642110665806996,-0.12778275736999734,1,67.64439871022611,0.09358333333333335,0.29153053646073157,-6.672937749012322e-16,0.903054237051197,0.22956302003407236,-1.8055530963814987e-17
BLK230421C00725000,2023-04-07,10:00:00,2023-04-21,0.375,0.1,0.65,725,14,c,15,0.3091778715601007,0.028218646178312934,0.00183415968746381,-0.07705135747895553,3,72.29439871022612,0.09983448275862072,0.2739013360965848,-1.3689415383853934e-20,0.6891921839440638,0.011717883093820802,-2.723574029165571e-23
BLK230421C00730000,2023-04-07,10:00:00,2023-04-21,0.3,0.05,0.55,730,14,c,151,0.3135048673609191,0.022816319315363542,0.0015085795274094593,-0.06515637821436152,9,77.21939871022612,0.10599999999999998,0.278717251100077,-1.4498621218960307e-22,0.5220626029646488,0.09702103758181832,-2.9037998252010995e-24
BLK230421P00530000,2023-04-07,10:00:00,2023-04-21,0.675,0.05,1.3,530,14,p,133,0.6203234326888037,-0.024288065216154786,0.0008024165987219334,-0.13517518475071366,2,123.75560128977388,-0.23135849056603774,0.5522892125741304,2.7453250314865765e-22,0.0017866878628121099,-0.045454020416500616,-4.84293270601747e-24
BLK230421P00535000,2023-04-07,10:00:00,2023-04-21,0.75,0.05,1.45,535,14,p,6,0.6117619435045536,-0.027166025100849867,0.0009001464407187854,-0.14577965715705643,5,118.83060128977388,-0.2198504672897197,0.540704327960665,3.0464419459144937e-21,0.003350440198333629,-0.0023003036936760164,-2.4244162172300033e-24
BLK230421P00540000,2023-04-07,10:00:00,2023-04-21,0.8,0.1,1.5,540,14,p,123,0.5916996604974204,-0.02951643600159759,0.0009929149102916313,-0.15204832908801869,1,113.88060128977388,-0.2085555555555556,0.5252316733512111,1.817022193157033e-20,0.006111924918040169,-0.052016113726376656,-2.9643424060754382e-22
BLK230421P00545000,2023-04-07,10:00:00,2023-04-21,0.775,0.05,1.5,545,14,p,11,0.5638523886286028,-0.029967651386980654,0.0010542490336273858,-0.14685330594551027,2,108.85560128977389,-0.19746788990825692,0.5009404282579539,2.6251390842472145e-20,0.010854271902763274,-0.00493920048273489,-3.830081599812576e-23
BLK230421P00550000,2023-04-07,10:00:00,2023-04-21,0.8,0.1,1.5,550,14,p,88,0.5409427796027858,-0.03188094869344127,0.0011523074161523539,-0.14905615116031878,1,103.88060128977388,-0.18658181818181818,0.4823978738872919,1.0028940074595598e-19,0.018779923446187872,-0.04318886460088745,-1.1705790089623842e-21
BLK230421P00555000,2023-04-07,10:00:00,2023-04-21,0.825,0.15,1.5,555,14,p,1,0.5182471408992747,-0.033937335486622366,0.0012621392553313626,-0.15106152484558144,1,98.90560128977388,-0.17589189189189192,0.4637032503055647,3.865765333598497e-19,0.03167969110801848,-0.0005375613455098637,-5.127415486203832e-23
BLK230421P00560000,2023-04-07,10:00:00,2023-04-21,0.875,0.25,1.5,560,14,p,31,0.4980822441542888,-0.0368975476742639,0.0014013545945879002,-0.15636191102311026,1,93.95560128977388,-0.16539285714285712,0.4472821133217718,2.289066063415313e-18,0.0521416560818713,-0.018502503432052033,-9.412024395148362e-21
BLK230421P00565000,2023-04-07,10:00:00,2023-04-21,0.925,0.35,1.5,565,14,p,39,0.4781057703474244,-0.04007642961001978,0.001557721237555043,-0.16125457891889772,1,89.00560128977388,-0.15507964601769908,0.43041926000622865,1.315996692532121e-17,0.08379672897304871,-0.02587468705472747,-6.807418151718015e-20
BLK230421P00570000,2023-04-07,10:00:00,2023-04-21,1.05,0.5,1.6,570,14,p,200,0.4652146128432896,-0.04576937638552936,0.0017801170693054758,-0.17547979754724718,16,84.13060128977388,-0.1449473684210527,0.4193235197302115,2.0580914384858877e-16,0.131591506554146,-0.15163495199104574,-5.459560528415705e-18
BLK230421P00575000,2023-04-07,10:00:00,2023-04-21,1.2,0.95,1.45,575,14,p,8,0.4547360108978125,-0.05252149524492822,0.00203880087035202,-0.19152888621849473,1,79.28060128977388,-0.13499130434782614,0.4086549132922425,3.4243220143379308e-15,0.20207183876477752,-0.006946812149062735,-3.63352044646145e-18
BLK230421P00580000,2023-04-07,10:00:00,2023-04-21,1.45,1.25,1.65,580,14,p,102,0.4534461750918555,-0.06250785902185418,0.0023716286734476455,-0.21746937120291787,1,74.53060128977388,-0.12520689655172412,0.40286585824075255,1.1118343430266443e-13,0.30365313123563453,-0.10303093048332843,-1.5041920187343115e-15
BLK230421P00585000,2023-04-07,10:00:00,2023-04-21,1.675,1.5,1.85,585,14,p,38,0.4378147438770639,-0.07217322271627635,0.0027168785643461035,-0.23788376129518873,10,69.75560128977388,-0.1155897435897435,0.3930143096785746,1.8896473582356568e-12,0.44684706245699624,-0.043971834199569126,-9.524175398520017e-15
BLK230421P00590000,2023-04-07,10:00:00,2023-04-21,2.0,1.75,2.25,590,14,p,29,0.4271672735795515,-0.08501950207102649,0.0031294559521555243,-0.2657453657039355,1,65.08060128977388,-0.10613559322033894,0.3863144868025335,4.400568740301754e-11,0.6444104547036774,-0.03865339090928947,-1.692660387891678e-13
BLK230421P00595000,2023-04-07,10:00:00,2023-04-21,2.4000000000000004,2.2,2.6,595,14,p,18,0.4205231721915804,-0.10027137648873641,0.003591467994112918,-0.2966663245468184,1,60.48060128977388,-0.09684033613445386,0.38032196606405844,9.61718762284842e-10,0.9113817819672179,-0.027533743573923995,-2.2960620340964597e-12
BLK230421P00600000,2023-04-07,10:00:00,2023-04-21,2.875,2.65,3.1,600,14,p,356,0.4178217847913566,-0.11787480283751428,0.004097805268443722,-0.32917909225772046,2,55.95560128977388,-0.08770000000000011,0.37442617132086636,1.7974603220642504e-08,1.2649751355012768,-0.6213296407505144,-8.487354337696361e-10
BLK230421P00605000,2023-04-07,10:00:00,2023-04-21,3.3,3.1,3.5,605,14,p,9,0.404359859275194,-0.13509294288209794,0.004638284174518503,-0.352522916859102,1,51.38060128977388,-0.078710743801653,0.36375871747739813,1.9778893656572413e-07,1.7243106804977606,-0.01777954408803329,-2.3610627442368975e-10
BLK230421P00610000,2023-04-07,10:00:00,2023-04-21,3.95,3.7,4.2,610,14,p,648,0.3944447797361555,-0.15809608138381837,0.005235536080228087,-0.3867787177593156,1398,47.030601289773884,-0.0698688524590163,0.3581376206267896,2.752796226385869e-06,2.3099742150470095,-1.4449636452524712,-2.3659855815614872e-07
BLK230421P00615000,2023-04-07,10:00:00,2023-04-21,4.6,4.4,4.8,615,14,p,23,0.3846246568676902,-0.18205296540361182,0.005877165447643051,-0.4137032312988316,1,42.68060128977388,-0.06117073170731713,0.3492371834841698,2.6124145029543417e-05,3.0434150586436695,-0.05757268851824228,-7.969534328312238e-08
BLK230421P00620000,2023-04-07,10:00:00,2023-04-21,5.4,5.2,5.6,620,14,p,220,0.3799644505738178,-0.2100153410141914,0.006554443157114065,-0.44194170813049993,2,38.48060128977388,-0.05261290322580647,0.3415060201447336,0.00022014721388560982,3.946209155274181,-0.6141567651105547,-6.423901866480105e-06
BLK230421P00625000,2023-04-07,10:00:00,2023-04-21,6.45,6.2,6.7,625,14,p,28,0.3711355345911731,-0.24324658355894258,0.007221630582421312,-0.47416352770004266,1,34.530601289773884,-0.04419200000000001,0.33675357780277704,0.0016207635898029815,5.039230604139102,-0.08612199027593564,-6.019227065153222e-06
BLK230421P00630000,2023-04-07,10:00:00,2023-04-21,7.6,7.3,7.9,630,14,p,166,0.362110390882109,-0.2790567672653843,0.007896994045353267,-0.4997249942076252,1,30.680601289773882,-0.035904761904761884,0.33047571967590794,0.008505151678742539,6.341787476644813,-0.5583296047650215,-0.00018726351660506598
