symbol,date,time,expirationDate,mid,bid,ask,strike,days,typo,oi,iv_traded,delta_bs,gamma_bs,theta_bs,volume,prem_ivalue,moneyness,iv_bs,vanna_bs,merton,gex,vex
BMY230421C00057000,2023-04-07,10:00:00,2023-04-21,13.475,13.35,13.6,57.0,14,c,0,0.6838583987145657,0.9625942365924622,0.009299745915569702,-0.024406893020723075,1,0.10370665884531682,-0.2337719298245613,0.6158132374821068,1.1168174605245408e-18,13.346419574882795,0.0,0.0
BMY230421C00058000,2023-04-07,10:00:00,2023-04-21,12.525,12.45,12.6,58.0,14,c,0,0.6781081893153261,0.9508274666305994,0.011767718284261264,-0.030403513201546772,1,0.15370665884531753,-0.2124999999999999,0.6112283905339434,3.6544267984749996e-16,12.34828190679144,0.0,0.0
BMY230421C00060000,2023-04-07,10:00:00,2023-04-21,10.525,10.45,10.6,60.0,14,c,4,0.5811247547786142,0.9444550307157407,0.015249595701760654,-0.029024366343740837,1500,0.15370665884531753,-0.17208333333333314,0.5208867488570438,5.31243031310985e-15,10.35206480861566,0.0003016739451264132,3.476234419983062e-19
BMY230421C00061000,2023-04-07,10:00:00,2023-04-21,9.525,9.45,9.6,61.0,14,c,0,0.5337842415403805,0.940503021449679,0.017628204069808362,-0.028268490554820502,3,0.15370665884531753,-0.15286885245901627,0.47623982218231414,2.360421954507142e-14,9.35414234710238,0.0,0.0
BMY230421C00062000,2023-04-07,10:00:00,2023-04-21,8.524999999999999,8.45,8.6,62.0,14,c,0,0.4871655031417689,0.935841572162488,0.020646704790294734,-0.027455347457566504,1,0.15370665884531576,-0.13427419354838688,0.43183260543746976,1.1938542680990162e-13,8.356816172461706,0.0,0.0
BMY230421C00062500,2023-04-07,10:00:00,2023-04-21,8.025,7.95,8.1,62.5,14,c,6,0.4615660550114686,0.9331758542846735,0.022475472345462322,-0.02702302515697319,2,0.15370665884531753,-0.12519999999999976,0.40968778672380013,2.843287867886797e-13,7.858717830109971,0.0006669289347375021,2.790794768980895e-17
BMY230421C00063000,2023-04-07,10:00:00,2023-04-21,7.550000000000001,7.45,7.65,63.0,14,c,0,0.4474505952471933,0.9239051856256619,0.02543505575935967,-0.029224843945930168,218,0.1787066588453179,-0.11626984126984108,0.40074469956300424,3.784152784255963e-12,7.361368017956038,0.0,0.0
BMY230421C00064000,2023-04-07,10:00:00,2023-04-21,6.525,6.45,6.6,64.0,14,c,22,0.3834896137494316,0.9233374256636395,0.029862400019453617,-0.025593910235707007,11,0.15370665884531753,-0.09882812499999982,0.34330186470168783,5.115809852471086e-12,6.371078109898841,0.003249128377268617,1.841165772706561e-15
BMY230421C00065000,2023-04-07,10:00:00,2023-04-21,5.575,5.5,5.65,65.0,14,c,30,0.35632287468146,0.8998128792733873,0.03914088908985036,-0.02922138579273792,6,0.20370665884531736,-0.08192307692307677,0.3208020505910252,9.019440830910634e-10,5.393117439815172,0.005807262037507951,4.4264614523091046e-13
BMY230421C00066000,2023-04-07,10:00:00,2023-04-21,4.65,4.55,4.75,66.0,14,c,278,0.337450104998512,0.8657408399951549,0.05153773093624636,-0.03369105320535937,266,0.27870665884531753,-0.06553030303030294,0.3006472120998056,1.8512203709582154e-07,4.4407953530376565,0.07085811118101414,8.418965590662907e-10
BMY230421C00067000,2023-04-07,10:00:00,2023-04-21,3.675,3.6,3.75,67.0,14,c,10,0.2861801507092752,0.8380993210463705,0.06820009159635987,-0.03303242134428075,752,0.303706658845317,-0.04962686567164165,0.2578743027838796,5.000235535285466e-06,3.5349205218477193,0.003372907566244725,8.17986771181122e-10
BMY230421C00067500,2023-04-07,10:00:00,2023-04-21,3.2,3.15,3.25,67.5,14,c,711,0.2647587805020349,0.8172544422026418,0.07967063056835144,-0.03312788665969091,31,0.32870665884531736,-0.041851851851851585,0.23865457880733926,3.68198824634391e-05,3.1077194255326113,0.2801478777858425,4.282602996088713e-07
BMY230421C00068000,2023-04-07,10:00:00,2023-04-21,2.75,2.68,2.82,68.0,14,c,490,0.251289987213169,0.7864521054639084,0.09325386895575605,-0.034208336778821735,20,0.3787066588453172,-0.034191176470588,0.22418897611078692,0.00039443378996793663,2.7025425574889654,0.2259864608416939,3.1617389583283077e-06
BMY230421C00069000,2023-04-07,10:00:00,2023-04-21,1.96,1.91,2.01,69.0,14,c,1795,0.2330878329547487,0.6893053699016938,0.12105854749089318,-0.03863431293328001,23,0.5887066588453171,-0.019202898550724434,0.20984389813218016,0.03908124676703911,1.9721116579534157,1.074680560998397,0.0011475950887282725
BMY230421C00070000,2023-04-07,10:00:00,2023-04-21,1.255,1.21,1.3,70.0,14,c,7667,0.2129808769598133,0.5622931345083626,0.14759944131581548,-0.03929140600361669,57,0.8837066588453171,-0.004642857142856949,0.1922312098620644,0.2266412081237575,1.3661751261984552,5.596669464883122,0.02842628839223705
BMY230421C00071000,2023-04-07,10:00:00,2023-04-21,0.71,0.67,0.75,71.0,14,c,2283,0.1984422022166715,0.4067552939086061,0.15633701344053286,-0.03565926325304403,8,1.3387066588453171,0.00950704225352128,0.17879169180195453,-0.2652808062222797,0.8947350446285417,1.7651727094324166,-0.009907579324800164
BMY230421C00072000,2023-04-07,10:00:00,2023-04-21,0.345,0.32,0.37,72.0,14,c,649,0.188895626771277,0.250844139126033,0.1359446886428639,-0.027223702816119577,6,1.9737066588453172,0.023263888888889084,0.1687585831957841,-0.004906634841831216,0.5525283245840185,0.43634140212982275,-5.20935858678897e-05
BMY230421C00072500,2023-04-07,10:00:00,2023-04-21,0.2299999999999999,0.21,0.25,72.5,14,c,2729,0.1840884064664503,0.18545735271922187,0.11606558616678031,-0.022277181046609945,1,2.358706658845317,0.030000000000000138,0.16601099381223375,-7.458098140743265e-05,0.4245677826558789,1.566485886560092,-3.3295646159310696e-06
BMY230421C00073000,2023-04-07,10:00:00,2023-04-21,0.15,0.13,0.17,73.0,14,c,359,0.1847973787033366,0.13248668863894558,0.09388746913280288,-0.017511640259680078,1,2.778706658845317,0.03664383561643847,0.1645476664341734,-3.194085065932799e-07,0.3214009392109845,0.1666946119702131,-1.875844113415683e-09
