option_1,option_2,c_p_s+k,mid_call,mid_put,K,spot,days,iv_call,iv_put
BMY230616P00077500,BMY230616C00077500,35.31767000723649,0.365,7.175,77.5,70.32499999999999,70,0.184164739754607,0.17328965111525188
BMY230616P00057500,BMY230616C00057500,12.215922252696387,13.625,0.145,57.5,70.32499999999999,70,0.4024275773448907,0.275350551566869
BMY230616P00075000,BMY230616C00075000,11.500970974744096,0.8300000000000001,4.925,75.0,70.32499999999999,70,0.1909405607969488,0.1576296645158208
BMY230421P00066000,BMY230421C00066000,11.222234147305521,4.65,0.09,66.0,70.32499999999999,14,0.3006472120998056,0.21951603547023577
BMY230512P00075000,BMY230512C00075000,10.331367096291189,0.295,4.725,75.0,70.32499999999999,35,0.1852823231881015,0.16172773658366071
BMY230512P00068000,BMY230512C00068000,9.919560499363023,3.6,0.8600000000000001,68.0,70.32499999999999,35,0.2535904803704995,0.21276576029804903
BMY230616P00065000,BMY230616C00065000,9.265825155221297,6.775,0.755,65.0,70.32499999999999,70,0.2815223505187305,0.22409865088023947
BMY230505P00063000,BMY230505C00063000,9.082430577507417,7.825,0.175,63.0,70.32499999999999,28,0.35645242535927574,0.2782978562872401
BMY230519P00062500,BMY230519C00062500,8.684829301012797,8.524999999999999,0.265,62.5,70.32499999999999,42,0.34120359551860735,0.2669654985612649
BMY230616P00062500,BMY230616C00062500,8.58252418771297,8.95,0.4599999999999999,62.5,70.32499999999999,70,0.31564256978620564,0.24400220402201817
BMY230616P00060000,BMY230616C00060000,8.399223220204632,11.25,0.285,60.0,70.32499999999999,70,0.3560495042860543,0.2652570667510047
