option_1,option_2,c_p_s+k,mid_call,mid_put,K,spot,days,iv_call,iv_put
CAT230616P00250000,CAT230616C00250000,123.66990324915292,1.625,36.325,250.0,214.22,70,0.2836112362941934,0.2983165065558099
CAT230512P00250000,CAT230512C00250000,101.10455698764227,0.495,36.125,250.0,214.22,35,0.30291943718486414,0.3590572756727497
CAT230512P00255000,CAT230512C00255000,94.42664812739707,0.285,40.825,255.0,214.22,35,0.30031586033206265,0.36515983534763286
CAT230616P00240000,CAT230616C00240000,89.40310711918578,3.2,27.65,240.0,214.22,70,0.29135130292651057,0.28983382616660713
CAT230421P00185000,CAT230421C00185000,85.58505026138477,30.6,0.18,185.0,214.22,14,0.6040535771928239,0.3975963200865991
CAT230519P00250000,CAT230519C00250000,85.26068279595194,0.685,35.925,250.0,214.22,42,0.2960324980309073,0.3220028294907168
CAT230421P00180000,CAT230421C00180000,80.51518403810434,35.5,0.14,180.0,214.22,14,0.6724083880618327,0.44106890198446674
CAT230421P00190000,CAT230421C00190000,73.15491648466477,25.625,0.32,190.0,214.22,14,0.5240053254751708,0.37548908545587295
CAT230428P00250000,CAT230428C00250000,66.72758010652728,0.3,36.05,250.0,214.22,21,0.3563368394939802,0.4217683847871533
CAT230512P00240000,CAT230512C00240000,65.96037470813592,1.225,26.55,240.0,214.22,35,0.3008402575194468,0.3141756024814138
CAT230421P00195000,CAT230421C00195000,65.7247827079452,20.8,0.56,195.0,214.22,14,0.459644188998543,0.3525605527868138
