symbol,date,time,expirationDate,mid,bid,ask,strike,days,typo,oi,iv_traded,delta_bs,gamma_bs,theta_bs,volume,prem_ivalue,moneyness,iv_bs,vanna_bs,merton,gex,vex
CB230421C00185000,2023-04-07,10:00:00,2023-04-21,12.85,12.1,13.6,185,14,c,41,0.3390960082038231,0.9448624634788239,0.01334094557492449,-0.04564345608801901,3,0.17058219573542566,-0.06724324324324327,0.21254984585753636,1.3696080711314471e-14,13.172905522852647,0.021322629163916248,2.1806380674378497e-17
CB230421C00190000,2023-04-07,10:00:00,2023-04-21,8.4,7.9,8.9,190,14,c,127,0.2911081783686953,0.8340662627758455,0.030225664335858937,-0.08513929682693266,13,0.7205821957354264,-0.03915789473684206,0.21111503264141113,9.528184892200802e-06,9.031603897164977,0.14964074466866512,4.699128517819919e-08
CB230421C00195000,2023-04-07,10:00:00,2023-04-21,5.0,4.5,5.5,195,14,c,204,0.2815614126141404,0.6277890318537427,0.042734351106687996,-0.12967279921943486,36,2.320582195735426,-0.012512820512820433,0.2271284694996274,0.14117367516274001,5.647010497792515,0.33984240304584756,0.0011183746493228263
CB230421C00200000,2023-04-07,10:00:00,2023-04-21,2.325,1.95,2.7,200,14,c,158,0.2608729678657817,0.3994633528910274,0.046113199116959436,-0.1221104762678995,62,4.645582195735426,0.012800000000000034,0.2149997699748777,-0.21221211535426332,3.1801880072647593,0.28402242048660636,-0.001302059070677047
CB230421C00210000,2023-04-07,10:00:00,2023-04-21,0.2249999999999999,0.1,0.35,210,14,c,306,0.2353454606327123,0.06646686900088905,0.016447434972310937,-0.035738269176902177,3,12.545582195735426,0.05980952380952387,0.2014197482752697,-7.472953455521443e-13,0.7185225679833885,0.19619588270953145,-8.88008514043815e-15
CB230421P00180000,2023-04-07,10:00:00,2023-04-21,0.525,0.2,0.85,180,14,p,118,0.3788810667075625,-0.08213375794587363,0.011114509220755409,-0.07038997764575405,1,18.204417804264573,-0.0968888888888888,0.35037403156185165,2.504112700573815e-11,0.15586095115567003,-0.051126090269423455,-1.1474646211365937e-13
CB230421P00185000,2023-04-07,10:00:00,2023-04-21,0.7999999999999999,0.45,1.15,185,14,p,117,0.3313349812822286,-0.13010124707794612,0.017708224421264518,-0.08656273074634147,6,13.479417804264575,-0.06724324324324327,0.3069213234047503,1.2214997334213847e-07,0.5170748281258151,-0.08076648149654443,-5.54986813260677e-10
CB230421P00190000,2023-04-07,10:00:00,2023-04-21,1.4249999999999998,0.95,1.9,190,14,p,394,0.2921375012569187,-0.2243302624426846,0.027931769781552873,-0.11009205340628347,2,9.104417804264575,-0.03915789473684206,0.27522745671401727,0.0006804267478811862,1.3664718646709464,-0.4290075747849846,-1.0410726213848006e-05
CB230421P00195000,2023-04-07,10:00:00,2023-04-21,2.675,2.15,3.2,195,14,p,133,0.2569750852926065,-0.3815787651628044,0.03902710558723044,-0.12655571231645757,2,5.354417804264574,-0.012512820512820433,0.2507729418811444,0.14464354509819125,2.9725771275312947,-0.2023430393091403,-0.0007470576620708732
CB230421P00200000,2023-04-07,10:00:00,2023-04-21,5.15,4.5,5.8,200,14,p,97,0.2466720992924503,-0.5841387417068411,0.040248672039666644,-0.1246232957888358,1,2.8294178042645743,0.012800000000000034,0.2486756233277701,-0.1991244677563678,5.496453299236347,-0.15219261346616725,0.0007500665328996058
CB230421P00210000,2023-04-07,10:00:00,2023-04-21,13.3,12.6,14.0,210,14,p,33,0.2349955066577042,-0.8352717940038445,0.020867970285110005,-0.08716822911026689,1,0.9794178042645747,0.05980952380952387,0.3043374869420438,-6.0019871389527715e-06,13.016185184420591,-0.026845063415362764,7.691524474282949e-09
CB230421P00220000,2023-04-07,10:00:00,2023-04-21,23.200000000000003,22.3,24.1,220,14,p,0,0.306359230358608,-0.884203259669647,0.011424045567309804,-0.09704142036100905,15,0.8794178042645768,0.1025454545454546,0.436692304207786,-1.03582990228321e-08,22.382702551529956,-0.0,0.0
CB230519C00165000,2023-04-07,10:00:00,2023-05-19,33.65,33.0,34.3,165,42,c,1,0.4402690240186241,0.9369574812104986,0.004953203216473412,-0.04574566354687448,1,0.49087527357726657,-0.19660606060606067,0.36153913049978514,5.99445734359257e-05,33.120178733920945,0.00019308850987786717,2.327840930055914e-09
CB230519C00180000,2023-04-07,10:00:00,2023-05-19,19.85,19.0,20.7,180,42,c,2,0.3449512354769803,0.8374543732871942,0.012068079406901688,-0.06940418532509085,2,1.6908752735772694,-0.0968888888888888,0.2994882512526641,0.018930289783939888,19.395067544499387,0.0009408891046572026,1.4702482927492063e-06
CB230519C00185000,2023-04-07,10:00:00,2023-05-19,15.95,15.3,16.6,185,42,c,58,0.3311018411816562,0.7652509802354324,0.015251792486736804,-0.08290645516558648,2,2.7908752735772673,-0.06724324324324327,0.29695836186942837,0.09583660837547643,15.420954677090835,0.034484121450397094,0.00021585536894566185
CB230519C00190000,2023-04-07,10:00:00,2023-05-19,12.3,11.6,13.0,190,42,c,316,0.3195105239470111,0.6820142714744293,0.018317676016010864,-0.09124781995573628,1,4.140875273577269,-0.03915789473684206,0.2876479051208663,0.23146569626779742,11.901483143606406,0.22564605273041863,0.002840384573453234
CB230519C00195000,2023-04-07,10:00:00,2023-05-19,8.85,8.2,9.5,195,42,c,38,0.2940179996118207,0.5862008221592774,0.021398882275036613,-0.09207019818036954,1,5.690875273577268,-0.012512820512820433,0.26926781107757464,0.22717878496607802,8.899446818925,0.031698956860134776,0.0003352391995363468
CB230519C00200000,2023-04-07,10:00:00,2023-05-19,6.05,5.5,6.6,200,42,c,74,0.2770338436250723,0.47454157685327125,0.02294238456990172,-0.0885076330966621,16,7.890875273577268,0.012800000000000034,0.2568584041351636,-0.13955159701959835,6.439587857627575,0.0661821024793925,-0.00040102362328201684
CB230519C00210000,2023-04-07,10:00:00,2023-05-19,2.375,2.0,2.75,210,42,c,547,0.2608156968103591,0.2533720035256648,0.01963295302775947,-0.06524017579596508,2,14.215875273577268,0.05980952380952387,0.2414896925806474,-0.17368178612506346,3.0488000404683593,0.418642426120811,-0.0036893089801644107
CB230519C00220000,2023-04-07,10:00:00,2023-05-19,0.875,0.4,1.35,220,42,c,279,0.2596069265211633,0.11303036698963043,0.011613988479819426,-0.03874053369694619,2,22.715875273577268,0.1025454545454546,0.24465452007539842,-0.003817341756900624,1.263727977964354,0.12631527703039178,-4.1358870728595094e-05
CB230519C00230000,2023-04-07,10:00:00,2023-05-19,0.4,0.05,0.75,230,42,c,397,0.2807220184359131,0.05459846199466212,0.006185671014846683,-0.023797589715313316,16,32.24087527357727,0.14156521739130434,0.2650206863054586,-4.1643346463018235e-05,0.4615416603091081,0.09572990099962621,-6.420066918400546e-07
CB230519P00160000,2023-04-07,10:00:00,2023-05-19,0.475,0.1,0.85,160,42,p,19,0.3894366960469166,-0.0432311833159893,0.0035810623710830214,-0.026552831058456072,1,38.63412472642273,-0.23399999999999999,0.3798597030667264,6.004499724104033e-06,0.05593915013272684,-0.0026523801606880525,-4.430307348957388e-09
CB230519P00165000,2023-04-07,10:00:00,2023-05-19,0.7749999999999999,0.4,1.15,165,42,p,39,0.3833878015187741,-0.06669571726494739,0.005135436170755625,-0.03679275188215103,1,33.93412472642273,-0.19660606060606067,0.37332752668271685,0.00010096975136152153,0.14576450151092102,-0.007807504215648536,-1.5291825016584627e-07
CB230519P00170000,2023-04-07,10:00:00,2023-05-19,1.1,0.65,1.55,170,42,p,34,0.3631661053550516,-0.09317356297230406,0.006931099567619725,-0.04514488766482838,2,29.259124726422733,-0.16141176470588237,0.3562721191631089,0.0008131972153383322,0.33771662755684084,-0.009186526653656874,-1.0736883127418693e-06
CB230519P00175000,2023-04-07,10:00:00,2023-05-19,1.525,1.15,1.9,175,42,p,66,0.3440792202065872,-0.12765798374625437,0.009177618633948725,-0.05340228303843242,1,24.68412472642273,-0.12822857142857136,0.3373099839660125,0.005115016739189857,0.7042929587392612,-0.023612622681005488,-1.3109750329358486e-05
CB230519P00180000,2023-04-07,10:00:00,2023-05-19,2.175,1.75,2.6,180,42,p,47,0.3260791618325412,-0.1761818573316365,0.011910118944413739,-0.06286030573792267,7,20.334124726422733,-0.0968888888888888,0.32207566219583933,0.027338556800105076,1.3370969024117942,-0.02182148195625025,-4.989727957828336e-05
CB230519P00185000,2023-04-07,10:00:00,2023-05-19,3.0,2.5,3.5,185,42,p,44,0.3047840875878387,-0.23695170898359041,0.015068385716965338,-0.07003246111329542,2,16.159124726422732,-0.06724324324324327,0.3035197453115905,0.0998428981306501,2.335131898444052,-0.025845782770591335,-0.0001705977429977689
CB230519P00190000,2023-04-07,10:00:00,2023-05-19,4.2,3.7,4.7,190,42,p,88,0.2911512453651675,-0.3163037099169763,0.018287949270501258,-0.07567128237572973,2,12.359124726422731,-0.03915789473684206,0.28821846113666916,0.2312897646544532,3.7878082284004315,-0.06273616471508285,-0.0007903919571105091
CB230519P00195000,2023-04-07,10:00:00,2023-05-19,5.75,5.3,6.2,195,42,p,118,0.2671631161042677,-0.41214279762922246,0.021277218351656302,-0.07615094798711741,2,8.909124726422732,-0.012512820512820433,0.2708523481432458,0.22505173659877192,5.757919767159839,-0.09787395597257677,-0.001031259118702074
CB230519P00200000,2023-04-07,10:00:00,2023-05-19,8.05,7.5,8.6,200,42,p,465,0.2545737021537468,-0.5220751571068938,0.022396338454910847,-0.07346302809246907,2,6.209124726422733,0.012800000000000034,0.2631776181856351,-0.13216861648491557,8.270208669303218,-0.405975905881971,0.0023866279519840178
CB230519P00210000,2023-04-07,10:00:00,2023-05-19,14.7,14.0,15.4,210,42,p,492,0.2434753444049742,-0.7217596525464387,0.018595943842569795,-0.05659597717844278,6,2.8591247264227313,0.05980952380952387,0.2664168816056568,-0.20716565323477493,14.823716579025625,-0.35665934977209895,0.003958095626608112
