symbol,date,time,expirationDate,mid,bid,ask,strike,days,typo,oi,iv_traded,delta_bs,gamma_bs,theta_bs,volume,prem_ivalue,moneyness,iv_bs,vanna_bs,merton,gex,vex
CCI230421C00125000,2023-04-07,10:00:00,2023-04-21,8.25,8.0,8.5,125,14,c,361,0.3927140375705369,0.9050137929284219,0.026241200856702562,-0.03686378653919675,1,0.2672639528967693,-0.06372,0.24220213337481536,4.0225374521181647e-10,8.517549614491374,0.16748101459561415,4.4141694063093084e-12
CCI230421C00130000,2023-04-07,10:00:00,2023-04-21,4.550000000000001,4.4,4.7,130,14,c,466,0.3595606579510129,0.6720637957319919,0.050374540281339364,-0.09228415101999854,1,1.56726395289677,-0.022807692307692307,0.2726164764430432,0.04801989132814668,4.768779758084767,0.41502254408333866,0.0006802190457769231
CCI230421C00135000,2023-04-07,10:00:00,2023-04-21,1.875,1.75,2.0,135,14,c,982,0.3291644604980641,0.39502844318730634,0.0557847424831337,-0.09519757320851663,3,3.8922639528967693,0.015074074074074018,0.26290956168679025,-0.16930066021083975,2.216227504538998,0.9685043957689207,-0.005053727696640311
CCI230421C00140000,2023-04-07,10:00:00,2023-04-21,0.575,0.5,0.65,140,14,c,1700,0.3118871434898047,0.16340979647999632,0.03623513910699927,-0.059170908606925865,2,7.5922639528967695,0.05025000000000002,0.2594708062982769,-6.690084212791991e-06,0.8384044054397434,1.0890643205413382,-3.457181689545565e-07
CCI230421C00145000,2023-04-07,10:00:00,2023-04-21,0.175,0.1,0.25,145,14,c,993,0.3225758156303995,0.05795819682180847,0.016102116747740425,-0.02858395276066672,2,12.19226395289677,0.08299999999999996,0.27447617820238046,-3.7571908463929346e-14,0.2571074079998186,0.2826876890037692,-1.1341074472599288e-15
CCI230421P00115000,2023-04-07,10:00:00,2023-04-21,2.55,0.1,5.0,115,14,p,364,0.9815937872389968,-0.1820379052069443,0.011176691390168969,-0.220562067122549,1,20.53273604710323,-0.15621739130434786,0.9011197734831259,9.949829903116544e-06,0.013767943298859237,-0.07192656478109044,-1.1009275459565236e-07
CCI230421P00120000,2023-04-07,10:00:00,2023-04-21,0.425,0.35,0.5,120,14,p,563,0.4192345954465577,-0.08658126276494538,0.01526681655983353,-0.05642446771088788,1,13.407736047103231,-0.10804166666666659,0.39394698210890894,6.141399677304709e-11,0.11188627375167914,-0.15196079535758092,-1.0510356689060737e-12
CCI230421P00125000,2023-04-07,10:00:00,2023-04-21,0.875,0.8,0.95,125,14,p,924,0.3618607783764396,-0.17344659575979082,0.028172071507848173,-0.08197299491721577,2,8.85773604710323,-0.06372,0.346767546978458,1.254662163740422e-05,0.5496635922442132,-0.4602199374948953,-3.524037091207993e-07
CCI230421P00130000,2023-04-07,10:00:00,2023-04-21,2.1,2.0,2.2,130,14,p,713,0.3317405518386604,-0.3500997018124785,0.04307344448228889,-0.11306688602371606,1,5.08273604710323,-0.022807692307692307,0.3276250583844028,0.06806326807468886,1.7915923980704136,-0.542967466490606,-0.0014751766384227011
CCI230421P00135000,2023-04-07,10:00:00,2023-04-21,4.449999999999999,4.3,4.6,135,14,p,255,0.3022023790442799,-0.5815987228059427,0.04670655563643322,-0.11519376359547895,13,2.43273604710323,0.015074074074074018,0.31818948839638417,-0.15807233777988663,4.229738806757451,-0.21056815786803285,0.001225286800018216
CCI230421P00140000,2023-04-07,10:00:00,2023-04-21,8.2,7.9,8.5,140,14,p,518,0.2794681159802757,-0.7640859243029041,0.03396413784884089,-0.09611492080770212,3,1.18273604710323,0.05025000000000002,0.3441326440831852,-0.0010131773892367915,7.8426143698910025,-0.3110462934034565,1.5953535650533878e-05
