symbol,date,time,expirationDate,mid,bid,ask,strike,days,typo,oi,iv_traded,delta_bs,gamma_bs,theta_bs,volume,prem_ivalue,moneyness,iv_bs,vanna_bs,merton,gex,vex
COP230421C00097000,2023-04-07,10:00:00,2023-04-21,10.8,10.6,11.0,97.0,14,c,366,0.4460415959642261,0.9601931368768746,0.012792970878194865,-0.01841667793685353,1,0.08143848419343058,-0.11025773195876276,0.3051825898437789,6.844411993045148e-18,10.90965378984171,0.05430547013726068,1.5960187998499382e-19
COP230421C00097500,2023-04-07,10:00:00,2023-04-21,10.3,10.1,10.5,97.5,14,c,1076,0.4290803507472476,0.9590246544085801,0.013687263091810564,-0.018161656064842546,15,0.08143848419343058,-0.10456410256410242,0.29233608648252885,1.333537833334793e-17,10.449097053507675,0.17081262534121,9.14194041715143e-19
COP230421C00098000,2023-04-07,10:00:00,2023-04-21,9.85,9.65,10.05,98.0,14,c,288,0.4278524385522306,0.9447241743278489,0.01691295212324917,-0.024357709602780275,4,0.13143848419342952,-0.09892857142857125,0.30349368198905685,7.107181798014824e-15,9.99412178433092,0.05649408622283614,1.3040993728617183e-16
COP230421C00099000,2023-04-07,10:00:00,2023-04-21,8.95,8.75,9.15,99.0,14,c,257,0.424747233678406,0.9180414938271042,0.022486071422633813,-0.03459355701012612,1,0.23143848419342916,-0.08782828282828281,0.3121133940260431,1.8724819906347517e-11,9.103131286156618,0.06702514933895344,3.065995735133809e-13
COP230421C00100000,2023-04-07,10:00:00,2023-04-21,8.05,7.9,8.2,100.0,14,c,7116,0.4060459165357029,0.8918877534425995,0.027832900233448754,-0.04271026628009977,7,0.3314384841934306,-0.07694999999999985,0.3105845088926607,3.5465159763813137e-09,8.241235386100822,2.2971295231750646,1.6078985134957265e-09
COP230421C00101000,2023-04-07,10:00:00,2023-04-21,7.225,7.0,7.45,101.0,14,c,325,0.402609428785334,0.8532723092687711,0.033688684624166854,-0.054717432434196134,1,0.5064384841934295,-0.06628712871287123,0.31851825785300314,7.602499941027796e-07,7.413062701146858,0.12698677576101697,1.5742023635234235e-08
COP230421C00102000,2023-04-07,10:00:00,2023-04-21,6.4,6.25,6.55,102.0,14,c,260,0.3990985153093074,0.8154018161924625,0.03931198635953592,-0.06367758233138776,2,0.6814384841934302,-0.05583333333333318,0.31731502546738477,3.1270595348620016e-05,6.623130249034045,0.11854668598078588,5.180006102037767e-07
COP230421C00103000,2023-04-07,10:00:00,2023-04-21,5.6,5.45,5.75,103.0,14,c,151,0.3816813490256071,0.7737639147834763,0.04497300530204029,-0.07136848992950462,11,0.8814384841934295,-0.045582524271844616,0.31345898651121246,0.0006134530772636144,5.875645240422709,0.07876258087599518,5.901726376895326e-06
COP230421C00104000,2023-04-07,10:00:00,2023-04-21,4.85,4.75,4.95,104.0,14,c,342,0.3729889436702021,0.7259874611883266,0.05031401445698691,-0.0786027838565202,128,1.1314384841934295,-0.035528846153846105,0.31052655495869663,0.006941283838752958,5.174311262288681,0.1995750089727518,0.0001512469701479685
COP230421C00105000,2023-04-07,10:00:00,2023-04-21,4.199999999999999,4.1,4.3,105.0,14,c,3277,0.3775738456220897,0.6702381067898333,0.05410729868593478,-0.08668320975693966,339,1.4814384841934292,-0.025666666666666504,0.3141220115294707,0.043562230422602564,4.522154545755399,2.0564747185539187,0.009095096743495458
COP230421C00106000,2023-04-07,10:00:00,2023-04-21,3.525,3.4,3.65,106.0,14,c,555,0.3617539817592886,0.6152968917312762,0.05844226091511473,-0.08966311186306486,20,1.8064384841934298,-0.015990566037735743,0.30715745698589053,0.1194985153564593,3.9213843749626696,0.3761933144246532,0.004225482101852566
COP230421C00107000,2023-04-07,10:00:00,2023-04-21,2.945,2.84,3.05,107.0,14,c,787,0.3586641580609532,0.5552963289673585,0.060886522508241114,-0.09213139502450707,4,2.2264384841934297,-0.00649532710280365,0.3049490661238032,0.13081984091125684,3.3732984360506753,0.5557596135624036,0.006559475627063424
COP230421C00110000,2023-04-07,10:00:00,2023-04-21,1.5699999999999998,1.49,1.65,110.0,14,c,3538,0.348685659742325,0.37120810451517494,0.05962156220951087,-0.08596454163211664,42,3.8514384841934297,0.02095454545454556,0.2981669832005429,-0.11435437158281522,2.043905596332603,2.446539663878978,-0.02577694078625992
COP230421C00115000,2023-04-07,10:00:00,2023-04-21,0.435,0.42,0.45,115.0,14,c,2146,0.3441371257603435,0.13877048618730903,0.034975263121794775,-0.04917155069178569,172,7.7164384841934295,0.0635217391304348,0.2976982902494431,-3.9362806695339406e-07,0.7502355875961854,0.870526085218637,-5.381911460614762e-08
COP230421C00120000,2023-04-07,10:00:00,2023-04-21,0.14,0.1,0.18,120.0,14,c,3758,0.370203844016103,0.049617844438847036,0.014804526974609988,-0.024208432755213394,8,12.42143848419343,0.10254166666666675,0.32591427905861764,-1.4009597168560428e-15,0.22508028133178115,0.6452713644077572,-3.3543100023182574e-16
