symbol,date,time,expirationDate,mid,bid,ask,strike,days,typo,oi,iv_traded,delta_bs,gamma_bs,theta_bs,volume,prem_ivalue,moneyness,iv_bs,vanna_bs,merton,gex,vex
COST230421C00415000,2023-04-07,10:00:00,2023-04-21,70.1,69.35,70.85,415.0,14,c,7,0.3765354150796297,0.9799615583709453,0.0012831004880808905,-0.10311981939202042,8,0.14732251607304647,-0.16672289156626507,0.3909953373973653,4.476752262547804e-24,69.86492447005465,0.0021056701546830077,5.045825112449731e-27
COST230421C00425000,2023-04-07,10:00:00,2023-04-21,60.1,59.5,60.7,425.0,14,c,49,0.3177188535284658,0.9783784758909064,0.0015956381105297623,-0.09948276855597982,50,0.14732251607305358,-0.13927058823529403,0.3356354535706235,2.756734889895316e-23,59.94401053488355,0.018329985100620134,2.1750145918323785e-25
COST230421C00430000,2023-04-07,10:00:00,2023-04-21,55.175,54.5,55.85,430.0,14,c,4,0.3189467895178049,0.9726693263974795,0.0020302281455997218,-0.10963246328677911,3,0.22232251607304931,-0.12602325581395357,0.32194779428782605,4.584610695930176e-21,55.00751480985083,0.001903866389309533,2.9527966989896894e-24
COST230421C00435000,2023-04-07,10:00:00,2023-04-21,50.375,49.65,51.1,435.0,14,c,8,0.3369510467851505,0.9592058271906012,0.002833169219229603,-0.13607352838569398,3,0.42232251607305216,-0.11308045977011494,0.3217999149786099,2.1612527633230933e-17,50.096256382208374,0.005313664539040476,2.78398339509522e-20
COST230421C00440000,2023-04-07,10:00:00,2023-04-21,45.275,44.8,45.75,440.0,14,c,41,0.2859959036516282,0.9625471324717694,0.003027067521088611,-0.1197481527728641,2,0.32232251607305074,-0.10043181818181823,0.28079086928953745,4.1789193549363295e-18,45.22053822868183,0.02909628864698574,2.758791879481265e-20
COST230421C00445000,2023-04-07,10:00:00,2023-04-21,40.425,39.95,40.9,445.0,14,c,43,0.2791634727878067,0.9498212762839131,0.004004373792554361,-0.13646803682754438,5,0.4723225160730493,-0.08806741573033716,0.26925401645371017,1.8201941793346555e-15,40.394975280834984,0.040367764293780695,1.2602516330793565e-17
COST230421C00450000,2023-04-07,10:00:00,2023-04-21,35.8,35.1,36.5,450.0,14,c,78,0.2906960224037541,0.9229548393157927,0.005570036449853433,-0.17414220957468984,2,0.8473225160730493,-0.0759777777777777,0.2708750660665733,8.864095498307536e-12,35.64082541365133,0.101855449860765,1.1132690132844919e-13
COST230421C00455000,2023-04-07,10:00:00,2023-04-21,31.075000000000003,30.6,31.55,455.0,14,c,36,0.2741951767668063,0.9002436329270225,0.007129968828678557,-0.19396104173776507,5,1.122322516073055,-0.06415384615384623,0.25676255202487047,1.2155194098160437e-09,30.989128441441128,0.0601757848508317,7.045884034698933e-12
COST230421C00460000,2023-04-07,10:00:00,2023-04-21,26.4,25.95,26.85,460.0,14,c,108,0.2615087877226872,0.8720319944863775,0.009094701312051257,-0.21201342866601536,15,1.4473225160730507,-0.05258695652173917,0.2405597190849455,1.1222810049778857e-07,26.483890333476342,0.2302734286447102,1.9516253919671105e-09
COST230421C00465000,2023-04-07,10:00:00,2023-04-21,21.825,21.45,22.2,465.0,14,c,232,0.2414176497810624,0.8346737838525797,0.011613671162535866,-0.2295728432430657,41,1.8723225160730514,-0.04126881720430098,0.22386300963586628,8.723099850695758e-06,22.18369590235404,0.6316683853411007,3.2585915028369126e-07
COST230421C00467500,2023-04-07,10:00:00,2023-04-21,19.875,19.4,20.35,467.5,14,c,18,0.2460462400515161,0.800328221399127,0.012931073101185575,-0.25467366060007635,61,2.422322516073052,-0.03570053475935819,0.22629743902179195,0.00015622697189969314,20.13239275833857,0.05456808378302107,4.527929040902747e-07
COST230421C00470000,2023-04-07,10:00:00,2023-04-21,17.7,17.5,17.9,470.0,14,c,318,0.2391263122008135,0.7735864143210591,0.014476743217528565,-0.26150361965929747,2,2.7473225160730514,-0.03019148936170213,0.21755403955488858,0.0009575420151539224,18.15970539641247,1.0792688001155015,4.902934045589314e-05
COST230421C00472500,2023-04-07,10:00:00,2023-04-21,15.775,15.6,15.95,472.5,14,c,20,0.2338758649964319,0.7368871981382696,0.015877513490636375,-0.2764837388143615,6,3.3223225160730525,-0.02474074074074073,0.21511570127025487,0.006565337713730959,16.27533825891703,0.074446471314439,2.1142588558355256e-05
COST230421C00475000,2023-04-07,10:00:00,2023-04-21,13.825,13.65,14.0,475.0,14,c,254,0.2278239299571462,0.6994489021041161,0.017414849864394455,-0.2840252928771321,9,3.8723225160730514,-0.019347368421052558,0.20914655828203557,0.029021817401924777,14.488635559040066,1.0370151059749686,0.0011869417713910896
COST230421C00477500,2023-04-07,10:00:00,2023-04-21,12.025,11.85,12.2,477.5,14,c,30,0.2268035213844841,0.6564879943588231,0.018788349347431677,-0.29129798798121165,2,4.5723225160730525,-0.014010471204188413,0.20494109249920572,0.09495743921650936,12.808145497648557,0.13214219388610038,0.0004586921851051538
