option_1,option_2,c_p_s+k,mid_call,mid_put,K,spot,days,iv_call,iv_put
COST230616P00580000,COST230616C00580000,501.4741755380328,0.525,95.975,580.0,484.19,70,0.2058354433011932,0.3391957186654864
COST230616P00570000,COST230616C00570000,484.7073794080714,0.8,86.17500000000001,570.0,484.19,70,0.20373730327028763,0.31807465893534415
COST230616P00560000,COST230616C00560000,401.4405832780952,1.24,75.875,560.0,484.19,70,0.20274708507676234,0.2860189259855061
COST230616P00545000,COST230616C00545000,294.54038908314857,2.395,61.1,545.0,484.19,70,0.20307927674474574,0.24947091484102543
COST230616P00540000,COST230616C00540000,286.4069910181677,2.98,56.650000000000006,540.0,484.19,70,0.20391883546227405,0.24495266101353833
COST230519P00530000,COST230519C00530000,226.73264752741602,1.35,46.475,530.0,484.19,42,0.18723770705079534,0.240967295017395
COST230616P00530000,COST230616C00530000,222.6401948882028,4.625,47.75,530.0,484.19,70,0.2077469656647246,0.23256419737620979
COST230616P00520000,COST230616C00520000,198.373398758239,6.9,39.875,520.0,484.19,70,0.2119792345343171,0.2301253734033103
COST230505P00540000,COST230505C00540000,189.72202362136983,0.25,55.95,540.0,484.19,28,0.19254789038277192,0.291240382168941
COST230519P00520000,COST230519C00520000,188.66222021558698,2.5250000000000004,37.325,520.0,484.19,42,0.18890784010683895,0.2227585451638935
COST230616P00515000,COST230616C00515000,183.74000069325155,8.325,36.2,515.0,484.19,70,0.21448665904596842,0.2296878246176519
COST230512P00515000,COST230512C00515000,181.67538739453875,2.49,32.725,515.0,484.19,35,0.18771980080744727,0.2233862399655305
COST230519P00515000,COST230519C00515000,173.37700655966552,3.425,33.099999999999994,515.0,484.19,42,0.1910353852266663,0.21812359153399274
COST230428P00540000,COST230428C00540000,159.1115730300963,0.08,55.975,540.0,484.19,21,0.19015458692367676,0.3175648771575808
