symbol,date,time,expirationDate,mid,bid,ask,strike,days,typo,oi,iv_traded,delta_bs,gamma_bs,theta_bs,volume,prem_ivalue,moneyness,iv_bs,vanna_bs,merton,gex,vex
CSX230421C00025000,2023-04-07,10:00:00,2023-04-21,5.050000000000001,4.9,5.2,25.0,14,c,1,0.6100120719830872,0.9595525749827694,0.02670846473762367,-0.01150351839864694,8,0.04470515819268073,-0.1985999999999999,0.5451701019335741,9.485687669562423e-18,4.996229189247504,2.3981563205781603e-05,8.823176381395887e-23
CSX230421C00027500,2023-04-07,10:00:00,2023-04-21,2.65,2.55,2.75,27.5,14,c,5,0.4481172763394661,0.8752682710530424,0.08743494913421301,-0.018994127017981643,1,0.14470515819267993,-0.08963636363636374,0.3966079410593569,4.210452437112021e-08,2.540907886933658,0.0003925397396771128,1.9581903701785734e-12
CSX230421C00028000,2023-04-07,10:00:00,2023-04-21,2.175,2.1,2.25,28.0,14,c,5,0.3960992800484275,0.8460185985948332,0.11262664364686259,-0.019661564810886656,2,0.16970515819267984,-0.07017857142857142,0.3556265367766077,1.6907310295859126e-06,2.0843626884789037,0.000505638006490782,7.863224368752448e-11
CSX230421C00028500,2023-04-07,10:00:00,2023-04-21,1.775,1.7,1.85,28.5,14,c,61,0.3981288438753098,0.7797931967278182,0.14153501853853,-0.0239529622681236,3,0.26970515819267993,-0.051403508771929785,0.3536617026044118,0.0003954652645734906,1.658526085374427,0.007752152458094771,2.2438525715732714e-07
CSX230421C00029000,2023-04-07,10:00:00,2023-04-21,1.375,1.3,1.45,29.0,14,c,101,0.3700761636634971,0.7089779101548288,0.1739426996261173,-0.0259185470449117,36,0.36970515819268,-0.03327586206896549,0.3332047318401832,0.012912218712321396,1.2747917121371772,0.015774519670483877,1.2130491221520463e-05
CSX230421C00029500,2023-04-07,10:00:00,2023-04-21,1.025,0.95,1.1,29.5,14,c,416,0.3546735702819063,0.6180520325001826,0.20195956458746167,-0.027384486617238024,119,0.5197051581926799,-0.01576271186440681,0.31929447475935946,0.11232502087884033,0.9430799083863645,0.07543733202451618,0.0004346362840579801
CSX230421C00030000,2023-04-07,10:00:00,2023-04-21,0.75,0.7,0.8,30.0,14,c,4225,0.3563684894482393,0.5133364682734731,0.212559569563453,-0.028157439039267818,108,0.74470515819268,0.0011666666666666492,0.3172661563138166,0.026948489148347396,0.6695753736513015,0.8063729286127007,0.0010590519773419345
CSX230421C00030500,2023-04-07,10:00:00,2023-04-21,0.475,0.4,0.55,30.5,14,c,246,0.3260884572253595,0.39917655107563066,0.22351809190634953,-0.024932092884051904,32,0.96970515819268,0.017540983606557425,0.29223368365851854,-0.15754814244376844,0.45533333577601753,0.04937150345896396,-0.0003604993902925619
CSX230421C00031000,2023-04-07,10:00:00,2023-04-21,0.3,0.25,0.35,31.0,14,c,375,0.3174450886434441,0.29102430480693886,0.2027902648632507,-0.021419631574119913,2,1.29470515819268,0.0333870967741936,0.2860440501943503,-0.016011870791757053,0.2962687929567084,0.06828211021454524,-5.58508111561789e-05
CSX230421C00031500,2023-04-07,10:00:00,2023-04-21,0.175,0.15,0.2,31.5,14,c,241,0.3098523028209348,0.196053504605119,0.1676306498413216,-0.016638871163473706,2,1.66970515819268,0.048730158730158735,0.2791903951949827,-0.00010147537317927637,0.1844233774650066,0.036274299567456564,-2.274750871581001e-07
CSX230421C00032000,2023-04-07,10:00:00,2023-04-21,0.1,0.05,0.15,32.0,14,c,51,0.310066996000619,0.125501069704579,0.12574578364413225,-0.012163071197847805,6,2.09470515819268,0.06359375,0.27776641191958956,-7.361538412887632e-08,0.10990891250508694,0.005758271951805217,-3.4921661560195284e-11
CSX230421C00032500,2023-04-07,10:00:00,2023-04-21,0.075,0.05,0.1,32.5,14,c,845,0.3344540902886797,0.09299468177467879,0.0939654711198945,-0.010444306797538341,5,2.56970515819268,0.07799999999999996,0.29959846211518176,-3.067776899119908e-10,0.06280131476391485,0.07129409632418582,-2.41121880575341e-12
CSX230421P00027000,2023-04-07,10:00:00,2023-04-21,0.1,0.05,0.15,27.0,14,p,11,0.4510406394783402,-0.08738643919787223,0.0661344210022008,-0.013014009628203635,15,3.10529484180732,-0.10981481481481481,0.40645799074072275,6.929147655961926e-11,0.017843900536371807,-0.0006532039539579601,-7.0897127839461135e-15
CSX230421P00027500,2023-04-07,10:00:00,2023-04-21,0.15,0.1,0.2,27.5,14,p,979,0.4467018494817145,-0.12450442617750884,0.0874625739019641,-0.016536461791460594,1,2.65529484180732,-0.08963636363636374,0.39713136682119154,4.3798949760751135e-08,0.04027356383234959,-0.07688356445101384,-3.988435095040587e-10
CSX230421P00028000,2023-04-07,10:00:00,2023-04-21,0.2,0.15,0.25,28.0,14,p,87,0.4139840183759836,-0.16486522262723208,0.11219062195005902,-0.01888591768597414,19,2.20529484180732,-0.07017857142857142,0.3741669367168058,5.1184794711512224e-06,0.08279823160087543,-0.008764040428774881,-4.142059744533618e-09
CSX230421P00028500,2023-04-07,10:00:00,2023-04-21,0.25,0.2,0.3,28.5,14,p,20,0.3819405329724738,-0.21181457319501135,0.14386480092498655,-0.020073696479381176,2,1.75529484180732,-0.051403508771929785,0.3406516290232236,0.00024691893094132495,0.15603149471968034,-0.002583527619698531,-4.593466189260521e-08
CSX230421P00029000,2023-04-07,10:00:00,2023-04-21,0.375,0.3,0.45,29.0,14,p,87,0.3700322336534656,-0.2913444038372709,0.1732980365093395,-0.023367689742654685,1,1.38029484180732,-0.03327586206896549,0.33489579513983314,0.013238378441247015,0.27136698770571127,-0.013537593176649267,-1.0712977307703837e-05
CSX230421P00029500,2023-04-07,10:00:00,2023-04-21,0.525,0.45,0.6,29.5,14,p,269,0.3546595423990067,-0.38197606559696173,0.20083034361628727,-0.024780396556236872,12,1.03029484180732,-0.01576271186440681,0.3212280872357095,0.1123024300599348,0.4387250501781792,-0.04850764330701329,-0.0002809943413969966
CSX230421P00030000,2023-04-07,10:00:00,2023-04-21,0.7250000000000001,0.65,0.8,30.0,14,p,4555,0.3442563872918602,-0.4864439992530778,0.21832612450478628,-0.024617643111803145,36,0.7302948418073201,0.0011666666666666492,0.3088941041677632,0.02715800355022332,0.6642903816663972,-0.8929407670959048,-0.0011506476702370623
CSX230421P00030500,2023-04-07,10:00:00,2023-04-21,0.975,0.9,1.05,30.5,14,p,3,0.3259796800016673,-0.5991898768975212,0.22161618181248954,-0.022274990964396224,2,0.48029484180731996,0.017540983606557425,0.2949575882774312,-0.15739838525721972,0.9491182100143939,-0.0005969683233877712,4.392155098235747e-06
CSX230421P00031000,2023-04-07,10:00:00,2023-04-21,1.3,1.25,1.35,31.0,14,p,3,0.316763878962249,-0.7059241629498336,0.20113360795104285,-0.018801958152800724,1,0.30529484180732,0.0333870967741936,0.28956453313570757,-0.017317651508141563,1.2891235334183655,-0.0005417943389037335,4.832439115347597e-07
CSX230421P00031500,2023-04-07,10:00:00,2023-04-21,1.675,1.6,1.75,31.5,14,p,1,0.3076850389784405,-0.7990466326956103,0.16694677193562768,-0.014131256836322326,1,0.18029484180732003,0.048730158730158735,0.2840986824623022,-0.00013800623549843846,1.6763479841499445,-0.00014990171103079568,1.2836743101318573e-09
CSX230421P00032500,2023-04-07,10:00:00,2023-04-21,2.575,2.45,2.7,32.5,14,p,21,0.3269674957718605,-0.8989780076457787,0.09632371122947347,-0.008278583446405197,2,0.08029484180732016,0.07799999999999996,0.3094157792165646,-1.245431945452342e-09,2.5528656538954135,-0.0018162727444993,2.4327385454745514e-13
