symbol,date,time,expirationDate,mid,bid,ask,strike,days,typo,oi,iv_traded,delta_bs,gamma_bs,theta_bs,volume,prem_ivalue,moneyness,iv_bs,vanna_bs,merton,gex,vex
CTVA230421C00055000,2023-04-07,10:00:00,2023-04-21,5.800000000000001,4.4,7.2,55,14,c,9,0.5243122314106058,0.8763315472447353,0.039625621983674364,-0.04156362552351833,1,0.31565122196424866,-0.09809090909090923,0.431936976227059,3.3796627368324454e-08,5.535161557186817,0.0013008300858983152,4.481748775414985e-12
CTVA230421C00060000,2023-04-07,10:00:00,2023-04-21,1.325,1.15,1.5,60,14,c,1278,0.2663904227635054,0.580268760106839,0.14555874024768656,-0.04107443611215711,9,0.8406512219642479,-0.0065833333333333854,0.22533525657547884,0.2023666510019797,1.613366953281658,0.678533217456816,0.0038106708169686953
CTVA230421C00065000,2023-04-07,10:00:00,2023-04-21,0.125,0.05,0.2,65,14,c,1106,0.3025948661123006,0.08781331503394524,0.050601492549706695,-0.01788020409044036,15,4.640651221964248,0.07084615384615378,0.26453778792190963,-1.1866414795718733e-10,0.1755864163255619,0.20413638760018488,-1.9337765431131724e-12
CTVA230421P00055000,2023-04-07,10:00:00,2023-04-21,0.4,0.05,0.75,55,14,p,207,0.5067451580126593,-0.13771861436653599,0.04005752744451474,-0.0416364595620351,18,5.884348778035752,-0.09809090909090923,0.46128535443595897,2.1298075089463626e-07,0.06101513523458429,-0.030245199644406424,-6.495944938364843e-10
CTVA230421P00060000,2023-04-07,10:00:00,2023-04-21,0.9,0.8,1.0,60,14,p,1078,0.2503813940753507,-0.4225961787525878,0.13810674854841665,-0.03698273719359746,1,1.384348778035752,-0.0065833333333333854,0.2378869815255938,0.19096326235072253,1.1299191935622306,-0.5430447667762903,-0.0030331942355457
CTVA230421P00070000,2023-04-07,10:00:00,2023-04-21,10.2,9.3,11.1,70,14,p,0,0.7478383988324439,-0.8337113790727102,0.029367674940772304,-0.0676377021152117,1,0.6843487780357513,0.13721428571428562,0.7121212008192633,-3.0982981009293814e-06,9.504523645219525,-0.0,0.0
CTVA230519C00055000,2023-04-07,10:00:00,2023-05-19,6.6,5.7,7.5,55,42,c,2,0.4117370560156439,0.7929813814465003,0.036320038221404616,-0.03041118251395769,1,0.9365569207513058,-0.09809090909090923,0.37999351423500277,0.045579800049624634,6.099387408463757,0.0002649587484854294,1.3431794758676738e-06
CTVA230519C00060000,2023-04-07,10:00:00,2023-05-19,2.75,2.4,3.1,60,42,c,199,0.3149560039745565,0.5627683354011204,0.06478412627686225,-0.031403829720335175,6,2.086556920751306,-0.0065833333333333854,0.29439695149806383,0.1520420333736059,2.6923239563452586,0.04702444229498042,0.000445808537514209
CTVA230519C00065000,2023-04-07,10:00:00,2023-05-19,0.7,0.55,0.85,65,42,c,352,0.2754198684138828,0.23254537177743728,0.056693250876094226,-0.020711266080048696,8,5.036556920751306,0.07084615384615378,0.26110123713090255,-0.11847870284036725,0.8736317605634162,0.07279071670109678,-0.0006144896747779697
CTVA230519P00055000,2023-04-07,10:00:00,2023-05-19,0.775,0.65,0.9,55,42,p,76,0.3554352944155843,-0.18706756131784963,0.03761837753413211,-0.02130900470841046,2,6.438443079248694,-0.09809090909090923,0.3461972162813852,0.03324498177902517,0.4674921272227556,-0.010428350611526468,-3.722813903960659e-05
CTVA230519P00060000,2023-04-07,10:00:00,2023-05-19,2.375,2.0,2.75,60,42,p,14,0.3336850965186242,-0.4383055736819408,0.0579400236766503,-0.028545901334286583,6,3.038443079248694,-0.0065833333333333854,0.3294641105735512,0.1262505106833279,2.0325765385450687,-0.0029587527543057184,-2.604310817689481e-05
CTVA230519P00065000,2023-04-07,10:00:00,2023-05-19,5.45,4.5,6.4,65,42,p,15,0.3190456919316078,-0.7125817369335596,0.050480797115781684,-0.021776475157852637,15,1.113443079248694,0.07084615384615378,0.32650843743071223,-0.188369555025983,5.186032206204037,-0.0027619730349970817,4.163260697399283e-05
CTVA230616C00050000,2023-04-07,10:00:00,2023-06-16,10.9,9.3,12.5,50,70,c,18,0.3220145818989335,0.949473941353407,0.01357216897091007,-0.009795237103512378,1,0.05693232088467859,-0.20789999999999997,0.2788772154525899,0.001956041169050311,10.921391750218595,0.0008910944406388995,5.187786946024576e-07
CTVA230616C00055000,2023-04-07,10:00:00,2023-06-16,6.8,6.5,7.1,55,70,c,200,0.3252523632012929,0.7915695174508297,0.03506550695142607,-0.020458463242497338,5,0.9569323208846781,-0.09809090909090923,0.30534286407116307,0.1774540813299019,6.662841491514813,0.025580680230070714,0.0005229348959226954
CTVA230616C00060000,2023-04-07,10:00:00,2023-06-16,3.35,3.1,3.6,60,70,c,408,0.2913955479661507,0.5685024182923826,0.05318522247499402,-0.02357617106383847,3,2.5069323208846783,-0.0065833333333333854,0.2768286498107688,0.16149352167945108,3.4596596753226083,0.07915040010128899,0.0009708383066211396
CTVA230616C00065000,2023-04-07,10:00:00,2023-06-16,1.125,0.8,1.45,65,70,c,1461,0.2571497167542256,0.28918757808146234,0.05205800905239144,-0.017480790704311744,11,5.281932320884678,0.07084615384615378,0.24632687512938753,-0.44184127412936597,1.5113064402608407,0.27742126117465876,-0.009511480770534356
