symbol,date,time,expirationDate,mid,bid,ask,strike,days,typo,oi,iv_traded,delta_bs,gamma_bs,theta_bs,volume,prem_ivalue,moneyness,iv_bs,vanna_bs,merton,gex,vex
C230421C00037000,2023-04-07,10:00:00,2023-04-21,9.6,9.55,9.65,37.0,14,c,37,0.7369259840475697,0.9422418302728275,0.016178447701520327,-0.026218161694011144,4,0.15886564717209062,-0.2550000000000001,0.7616819857794093,6.724137214266913e-15,9.423755207462719,0.0012907123726673326,3.0159553624542115e-18
C230421C00037500,2023-04-07,10:00:00,2023-04-21,9.125,9.05,9.2,37.5,14,c,411,0.7330211545865369,0.9347325825210362,0.018198331410701485,-0.02861300042817838,25,0.18386564717209097,-0.23826666666666663,0.7472554641300746,8.287328953231246e-14,8.924909099424177,0.016127397537685703,4.128982269837052e-16
C230421C00038000,2023-04-07,10:00:00,2023-04-21,8.625,8.55,8.7,38.0,14,c,98,0.6953974642241961,0.9319958849643761,0.01979790146933169,-0.02815742906347829,3,0.18386564717209097,-0.22197368421052643,0.7097352859158401,1.9971918757989065e-13,8.426293992307102,0.004183464942813777,2.372643479313387e-16
C230421C00038500,2023-04-07,10:00:00,2023-04-21,8.149999999999999,8.1,8.2,38.5,14,c,66,0.6913159484036141,0.9237026062289821,0.022219002016043987,-0.0302793263493637,30,0.20886564717208955,-0.20610389610389612,0.6923979835106816,2.018826992927963e-12,7.9281061339191865,0.003161981929740985,1.6152124618762215e-15
C230421C00039000,2023-04-07,10:00:00,2023-04-21,7.65,7.6,7.7,39.0,14,c,34,0.6543901598834911,0.9201864708528795,0.02433773200749556,-0.02973249708811121,13,0.20886564717209133,-0.1906410256410258,0.654671734468972,5.17312404058721e-12,7.430671689057629,0.00178422623718475,2.1321533020095766e-15
C230421C00039500,2023-04-07,10:00:00,2023-04-21,7.175,7.1,7.25,39.5,14,c,95,0.6439091791304785,0.9108566014695452,0.02732718226816644,-0.03156625144460801,2,0.2338656471720908,-0.1755696202531647,0.6347328901387376,4.532000971323562e-11,6.934505963925905,0.005597696637488306,5.219155275880011e-14
C230421C00040000,2023-04-07,10:00:00,2023-04-21,6.7,6.65,6.75,40.0,14,c,1597,0.6213405389792075,0.9009127053067001,0.03064977629030352,-0.03318248862436768,88,0.25886564717209115,-0.1608750000000001,0.612884602846402,3.4830009093196115e-10,6.440383630521486,0.10554146661899796,6.742875209058233e-12
C230421C00040500,2023-04-07,10:00:00,2023-04-21,6.2,6.15,6.25,40.5,14,c,154,0.580287999721733,0.8955610225687138,0.03401169033523388,-0.03242248260791669,12,0.25886564717209115,-0.14654320987654335,0.5743051144828638,9.917699569385158e-10,5.949413724652344,0.011293793350635895,1.8514768552253164e-12
C230421C00041000,2023-04-07,10:00:00,2023-04-21,5.75,5.7,5.8,41.0,14,c,72,0.5765634949962556,0.8786644402660748,0.03862032921020386,-0.03574158180934717,1,0.308865647172091,-0.1325609756097561,0.5640502700391132,1.5484288715280722e-08,5.46310912386998,0.005995692728321654,1.3514823401090196e-11
C230421C00041500,2023-04-07,10:00:00,2023-04-21,5.25,5.2,5.3,41.5,14,c,192,0.536217080099267,0.871285592068638,0.0433276776590219,-0.03474236535590425,2,0.308865647172091,-0.1189156626506025,0.5242992859153963,4.749651889338182e-08,4.983436922605923,0.017937319347112214,1.105476786720174e-10
