option_1,option_2,c_p_s+k,mid_call,mid_put,K,spot,days,iv_call,iv_put
C230616P00055000,C230616C00055000,65.96737871481331,0.21,8.925,55.0,46.435,70,0.26979200193148006,0.33569438120332323
C230616P00052500,C230616C00052500,56.150679682322306,0.4599999999999999,6.6,52.5,46.435,70,0.2696617870511274,0.29986773117379234
C230519P00055000,C230519C00055000,51.63735021511009,0.075,8.850000000000001,55.0,46.435,42,0.2802190594854166,0.39809849955175935
C230512P00056000,C230512C00056000,51.00742076523179,0.035,9.85,56.0,46.435,35,0.29338001394899926,0.4659733555655715
C230512P00054000,C230512C00054000,50.578584309330665,0.08,7.9,54.0,46.435,35,0.2836326899967698,0.4138464266136233
C230519P00052500,C230519C00052500,49.744743387150336,0.205,6.475,52.5,46.435,42,0.273719299130002,0.3487420043496945
C230512P00052000,C230512C00052000,48.6497478534301,0.19,6.0,52.0,46.435,35,0.27718846195624824,0.3664331778298884
C230616P00050000,C230616C00050000,48.333980649830636,1.015,4.6,50.0,46.435,70,0.28161570891000004,0.29337894120546393
C230505P00054000,C230505C00054000,48.072202362137695,0.055,7.9,54.0,46.435,28,0.29586287250574633,0.45910569515407834
C230505P00055000,C230505C00055000,47.94390981328824,0.035,8.875,55.0,46.435,28,0.3015439330375234,0.48877803914588536
C230505P00053000,C230505C00053000,47.20049491098699,0.0849999999999999,6.925,53.0,46.435,28,0.2892241093190984,0.42689801827843354
C230505P00052000,C230505C00052000,46.82878745983636,0.135,5.975,52.0,46.435,28,0.28438203589433014,0.39964193175093427
