option_1,option_2,c_p_s+k,mid_call,mid_put,K,spot,days,iv_call,iv_put
DE230616P00440000,DE230616C00440000,206.7390297184943,2.565,65.375,440.0,375.1799999999999,70,0.278881722218473,0.3118804628356689
DE230519P00450000,DE230519C00450000,178.66922903270108,0.7,74.8,450.0,375.1799999999999,42,0.2995708512105356,0.3739560953362522
DE230616P00430000,DE230616C00430000,171.47223358852983,3.825,56.375,430.0,375.1799999999999,70,0.2821307188320528,0.3016683446349781
DE230519P00440000,DE230519C00440000,148.5988017208676,1.0699999999999998,64.92500000000001,440.0,375.1799999999999,42,0.29387212600211815,0.3419700001298005
DE230505P00415000,DE230505C00415000,119.75859222752447,1.15,40.625,415.0,375.1799999999999,28,0.25944855899719615,0.3017353447167713
DE230519P00430000,DE230519C00430000,119.52837440902542,1.7799999999999998,55.4,430.0,375.1799999999999,42,0.29467168281660483,0.32144278400792065
DE230616P00420000,DE230616C00420000,109.70543745856602,5.65,47.675,420.0,375.1799999999999,70,0.28768594685092264,0.291919360836012
DE230428P00405000,DE230428C00405000,104.45867977256178,1.365,31.1,405.0,375.1799999999999,21,0.25735705246292406,0.29599612854300134
DE230519P00420000,DE230519C00420000,102.45794709719078,2.895,46.400000000000006,420.0,375.1799999999999,42,0.29648592792195094,0.3122414936341391
DE230512P00400000,DE230512C00400000,101.26729118021913,4.475,28.450000000000003,400.0,375.1799999999999,35,0.26957169264252656,0.28470143254203784
DE230616P00410000,DE230616C00410000,95.43864132859667,8.0,39.975,410.0,375.1799999999999,70,0.29231574010813616,0.29348304347234155
DE230512P00420000,DE230512C00420000,90.5556557392309,1.35,45.125,420.0,375.1799999999999,35,0.2618189829254354,0.2832777918915662
DE230512P00410000,DE230512C00410000,87.91147345972234,2.5549999999999997,36.35,410.0,375.1799999999999,35,0.2658721652789869,0.2806247149595721
