symbol,date,time,expirationDate,mid,bid,ask,strike,days,typo,oi,iv_traded,delta_bs,gamma_bs,theta_bs,volume,prem_ivalue,moneyness,iv_bs,vanna_bs,merton,gex,vex
DHR230421C00230000,2023-04-07,10:00:00,2023-04-21,16.3,15.8,16.8,230.0,14,c,15,0.3155302295954815,0.9294678722747918,0.011857966946138276,-0.07835884774631552,3,0.3310958393718302,-0.06760869565217398,0.234788343596257,1.9124389597043877e-12,17.163483086203925,0.010724606626034035,1.6276241278086364e-15
DHR230421C00240000,2023-04-07,10:00:00,2023-04-21,8.05,7.7,8.4,240.0,14,c,320,0.2852797033572088,0.7111014715778907,0.03023381598410424,-0.15779719840244155,1,2.08109583937183,-0.023125000000000062,0.2333148675985118,0.017362802613260498,8.946842930442603,0.5833414283465308,0.0003152427330633607
DHR230421C00242500,2023-04-07,10:00:00,2023-04-21,6.25,6.1,6.4,242.5,14,c,23,0.2683557913773695,0.634254282656288,0.034643267676770506,-0.16413731099994155,17,2.7810958393718295,-0.012577319587628866,0.22416207605411317,0.13074728769805438,7.218450798890523,0.04804260659808676,0.0001706223039618148
DHR230421C00245000,2023-04-07,10:00:00,2023-04-21,4.7,4.5,4.9,245.0,14,c,96,0.2615154886142077,0.5450416352100529,0.03757371993096115,-0.165411435899526,2,3.7310958393718296,-0.0022448979591838114,0.21782829403226772,0.162818191024233,5.679034266457586,0.21748800215305117,0.000886848500340228
DHR230421C00247500,2023-04-07,10:00:00,2023-04-21,3.4000000000000004,3.2,3.6,247.5,14,c,487,0.249218072429449,0.4493838822500873,0.03843212467380397,-0.1587898994548178,1,4.93109583937183,0.007878787878787818,0.21261309312897614,-0.2062800292234092,4.3502922985411905,1.1285043376619828,-0.005699823704539102
DHR230421C00250000,2023-04-07,10:00:00,2023-04-21,2.3499999999999996,2.15,2.55,250.0,14,c,985,0.2426936285627707,0.3533841247382874,0.036921597725836364,-0.14373696262113755,14,6.381095839371829,0.017799999999999927,0.20787431516848223,-0.11964633421926903,3.2425117690729715,2.192787736220797,-0.0066866856237894
DHR230421C00252500,2023-04-07,10:00:00,2023-04-21,1.5499999999999998,1.45,1.65,252.5,14,c,118,0.2387205210351183,0.26381244857442976,0.0330896698885752,-0.12217482105415445,4,8.08109583937183,0.027524752475247438,0.20393767812930402,-0.0074184186671965415,2.3524655560804653,0.23542594306517697,-4.966707961733541e-05
DHR230421C00255000,2023-04-07,10:00:00,2023-04-21,1.0,0.9,1.1,255.0,14,c,189,0.2336068004332023,0.18887181555866106,0.02754023104345471,-0.09893966965280288,98,10.03109583937183,0.0370588235294117,0.2027290147379014,-7.942403513344715e-05,1.6640329969720673,0.31384069760663,-8.517046717830299e-07
DHR230421C00257500,2023-04-07,10:00:00,2023-04-21,0.625,0.55,0.7,257.5,14,c,1098,0.2333353287792192,0.1296282405956528,0.021543767957377113,-0.07589269970472257,1,12.15609583937183,0.046407766990291255,0.20237008641128526,-1.756497299624343e-07,1.1512487087449397,1.426277003037278,-1.0942715402339246e-08
DHR230421C00260000,2023-04-07,10:00:00,2023-04-21,0.475,0.25,0.7,260.0,14,c,1506,0.246169542614109,0.09854225205890854,0.016708437970969214,-0.06528284637421966,3,14.50609583937183,0.05557692307692308,0.2145867877056094,-1.2395858646887887e-09,0.7827521862421472,1.5171925431198932,-1.059197299357752e-10
DHR230421C00262500,2023-04-07,10:00:00,2023-04-21,0.3,0.05,0.55,262.5,14,c,51,0.2485638050165357,0.06641742224934577,0.012304063226609152,-0.0481335707206485,6,16.83109583937183,0.0645714285714285,0.21639392035026037,-6.795526282801022e-13,0.5263502940741394,0.0378354241719915,-1.9663849892790708e-15
DHR230421C00265000,2023-04-07,10:00:00,2023-04-21,0.275,0.05,0.5,265.0,14,c,109,0.2693398873300646,0.057305996521322955,0.010052369482371759,-0.04639175356894826,7,19.306095839371828,0.07339622641509425,0.23604657687144034,-3.382472080829696e-14,0.3526400391446814,0.06606551395303295,-2.0918762836961688e-16
DHR230421C00267500,2023-04-07,10:00:00,2023-04-21,0.275,0.05,0.5,267.5,14,c,12,0.2950151929045701,0.052966626064937516,0.008605103782866053,-0.047575172427826246,1,21.806095839371828,0.08205607476635512,0.25911544301297035,-6.379588103660665e-15,0.2371655430208574,0.006226116396958939,-4.343593386992731e-18
DHR230421C00280000,2023-04-07,10:00:00,2023-04-21,0.075,0.05,0.1,280.0,14,c,786,0.3450149267274864,0.014922320106539044,0.0026084397783399105,-0.01823259253598305,3,34.10609583937183,0.12303571428571425,0.2984823297365498,-1.3215889058234025e-26,0.039290433402414025,0.12361843395676489,-5.893783898960715e-28
DHR230421P00210000,2023-04-07,10:00:00,2023-04-21,0.4,0.05,0.75,210.0,14,p,230,0.5231849661811038,-0.04139778894280133,0.003852289832129152,-0.06825109293664222,4,36.36890416062817,-0.16928571428571426,0.4750029262853714,2.2785581949020695e-17,0.16768052611282566,-0.05342280255822665,-2.973467792487524e-19
DHR230421P00215000,2023-04-07,10:00:00,2023-04-21,0.275,0.05,0.5,215.0,14,p,8,0.4270591062737862,-0.035904776112757886,0.0042075700040777875,-0.049173539758331414,1,31.24390416062817,-0.14209302325581397,0.38726079540786595,1.4722739127776664e-18,0.29016545144378697,-0.0020295568192063556,-6.682729488145163e-22
DHR230421P00217500,2023-04-07,10:00:00,2023-04-21,0.275,0.05,0.5,217.5,14,p,6,0.3952748075760643,-0.03835986418679882,0.004782699672967183,-0.04819978847603271,5,28.74390416062817,-0.12896551724137928,0.359614147307065,6.260867637015305e-18,0.3767724356826557,-0.0017302315931902257,-2.1313808057115735e-21
DHR230421P00220000,2023-04-07,10:00:00,2023-04-21,0.4,0.05,0.75,220.0,14,p,2207,0.3947024537488209,-0.05318005984080998,0.0062438775455531115,-0.0629255841449588,9,26.36890416062817,-0.1161363636363637,0.3582448423712894,4.928623997728186e-15,0.4847149036702192,-0.8308767131193843,-6.171678553827324e-16
DHR230421P00222500,2023-04-07,10:00:00,2023-04-21,0.35,0.1,0.6,222.5,14,p,29,0.3513438476604334,-0.052413020740865734,0.006915310390986917,-0.05534299567512535,2,23.818904160628172,-0.10359550561797759,0.31975473164348006,4.1276578068163515e-15,0.6178701647095065,-0.012091760953271868,-6.791676032499802e-18
DHR230421P00225000,2023-04-07,10:00:00,2023-04-21,0.4499999999999999,0.2,0.7,225.0,14,p,38,0.339086228629525,-0.06710882116041095,0.008715328594366412,-0.06497023827189435,1,21.41890416062817,-0.09133333333333349,0.3079569494457697,5.767799811825456e-13,0.78093662496354,-0.019968582620157167,-1.2435666105402098e-15
DHR230421P00227500,2023-04-07,10:00:00,2023-04-21,0.55,0.3,0.8,227.5,14,p,11,0.3175813982902281,-0.0831859617656805,0.010824430493050485,-0.0727770028118136,1,19.01890416062817,-0.07934065934065937,0.2920960866665569,3.7960799182816046e-11,0.9801295937004777,-0.007179225886288024,-2.3692086513248418e-14
DHR230421P00230000,2023-04-07,10:00:00,2023-04-21,0.7749999999999999,0.7,0.85,230.0,14,p,913,0.3137946719141032,-0.1122540579147624,0.013730059487127022,-0.08946790515427072,3,16.74390416062817,-0.06760869565217398,0.286948270574324,9.701091838792742e-09,1.2242853598497547,-0.7558281685067822,-5.025354128845672e-10
DHR230421P00232500,2023-04-07,10:00:00,2023-04-21,1.025,0.95,1.1,232.5,14,p,9,0.2996352148723039,-0.14505452977447986,0.016987973781024124,-0.1034320205446928,1,14.49390416062817,-0.05612903225806454,0.2771281279522078,8.519074759388528e-07,1.5262566486822582,-0.00921857871601825,-4.350209941486324e-10
DHR230421P00235000,2023-04-07,10:00:00,2023-04-21,1.35,1.25,1.45,235.0,14,p,111,0.2880403554430445,-0.18605076463805714,0.02070964885581006,-0.11713118135819611,18,12.31890416062817,-0.04489361702127659,0.26709860944983643,4.704514714306366e-05,1.9042067849523885,-0.13860394482420146,-2.9628733500944514e-07
DHR230421P00237500,2023-04-07,10:00:00,2023-04-21,1.7999999999999998,1.65,1.95,237.5,14,p,8,0.2773013218700726,-0.23821629402590583,0.024699673180084147,-0.13093997618274145,5,10.268904160628171,-0.03389473684210542,0.2588437205129303,0.0015993370341932966,2.3821512855135594,-0.011914095329661764,-7.25947574505465e-07
DHR230421P00240000,2023-04-07,10:00:00,2023-04-21,2.425,2.25,2.6,240.0,14,p,1299,0.2702375567213387,-0.30255123098297254,0.02846280852786265,-0.14374172819718778,2,8.393904160628171,-0.023125000000000062,0.2532115431517133,0.0257220230236716,2.989042528554042,-2.2292910849988496,-0.0018957870459930803
DHR230421P00242500,2023-04-07,10:00:00,2023-04-21,3.15,3.0,3.3,242.5,14,p,97,0.2566404655296004,-0.37470628441342857,0.03208442869162553,-0.14903098428800776,9,6.618904160628171,-0.012577319587628866,0.24398419921440076,0.13657992551719922,3.7559997281183666,-0.18764885625482883,-0.0007516815376425499
DHR230421P00245000,2023-04-07,10:00:00,2023-04-21,4.15,3.9,4.4,245.0,14,p,306,0.252639880388851,-0.45725536098961683,0.03418934545251773,-0.15099655872960493,44,5.118904160628171,-0.0022448979591838114,0.23955441163708968,0.14056639231469173,4.711932526801832,-0.6308005884891319,-0.0024404965767930906
DHR230421P00247500,2023-04-07,10:00:00,2023-04-21,5.449999999999999,5.1,5.8,247.5,14,p,135,0.2460050794264683,-0.54274669115979,0.03415117963534442,-0.14835027644382315,5,3.91890416062817,0.007878787878787818,0.23981176963521397,-0.16755707567324582,5.878539890001838,-0.27798371521944043,0.0012834289114968085
DHR230421P00250000,2023-04-07,10:00:00,2023-04-21,6.8,6.6,7.0,250.0,14,p,1092,0.2316610773472022,-0.6305025835422473,0.03367590209357729,-0.1316383205930487,2,2.7689041606281704,0.017799999999999927,0.23137991139741834,-0.14133864277386884,7.2661086916500235,-2.217286197389805,0.008757070229838475
DHR230421P00252500,2023-04-07,10:00:00,2023-04-21,8.55,8.3,8.8,252.5,14,p,117,0.2328320310653313,-0.7073621681453979,0.03038828991108744,-0.11635004444744013,2,2.0189041606281712,0.027524752475247438,0.2335302258210355,-0.020518145738738773,8.871411809773925,-0.21437394480470592,0.00013620694420800382
DHR230421P00255000,2023-04-07,10:00:00,2023-04-21,10.7,10.0,11.4,255.0,14,p,33,0.242268839548952,-0.7589687546948554,0.02561392637545623,-0.11048724255119247,5,1.6689041606281698,0.0370588235294117,0.25112086854351223,-0.001957254097763654,10.678328581781928,-0.05096475885790326,3.664683126609545e-06
DHR230421P00260000,2023-04-07,10:00:00,2023-04-21,15.65,14.7,16.6,260.0,14,p,921,0.3126166742441896,-0.8025000003128113,0.017989567133724904,-0.12557149296539372,6,1.6189041606281709,0.05557692307692308,0.31878308840151437,-9.759209563687969e-05,14.787746433284813,-0.9989878829947479,5.099757810511214e-06
DHR230421P00275000,2023-04-07,10:00:00,2023-04-21,30.0,28.1,31.9,275.0,14,p,0,0.3839952416262029,-0.8949097332168421,0.008603591901135133,-0.10292031446402916,1,0.9689041606281705,0.10709090909090901,0.43624105583776973,-1.9354612799712457e-09,29.054693098649253,-0.0,0.0
DHR230421P00280000,2023-04-07,10:00:00,2023-04-21,34.9,33.5,36.3,280.0,14,p,8,0.3982043659886786,-0.9091858889391347,0.007098461054511063,-0.09838671298091839,1,0.8689041606281691,0.12303571428571425,0.474975361293264,-1.2027951033781967e-10,34.0070793293763,-0.003424002458685491,5.459550859240095e-14
DHR230421P00290000,2023-04-07,10:00:00,2023-04-21,44.9,43.3,46.5,290.0,14,p,0,0.4812561824526044,-0.920340728133695,0.00535898770692711,-0.10759094869781904,2,0.8689041606281691,0.15327586206896548,0.5701748898424642,-8.41844885445395e-12,43.95974702373976,-0.0,0.0
DHR230428C00230000,2023-04-07,10:00:00,2023-04-28,18.1,16.9,19.3,230.0,21,c,1,0.375938246812089,0.8181179657039905,0.013751534879702376,-0.14115642044958676,1,1.921375843918561,-0.06760869565217398,0.3235592497852933,0.0009221038191599048,17.994236957286507,0.0008291460796435162,5.231847764494202e-08
DHR230428C00250000,2023-04-07,10:00:00,2023-04-28,5.15,4.2,6.1,250.0,21,c,77,0.318982522637857,0.42621834972251804,0.022870356186643903,-0.17144131694541098,2,8.97137584391856,0.017799999999999927,0.2890305046468735,-0.2080123413003932,4.601827930427688,0.10618019792213276,-0.0009087723505305498
DHR230428C00255000,2023-04-07,10:00:00,2023-04-28,3.2,2.4,4.0,255.0,21,c,7,0.3048655332650397,0.31195622457043104,0.021428207941376343,-0.14694623999184753,1,12.021375843918559,0.0370588235294117,0.27833252167950556,-0.09258196890403515,2.785979623502008,0.009044066960279528,-3.6770516495533106e-05
DHR230428C00260000,2023-04-07,10:00:00,2023-04-28,1.95,1.45,2.45,260.0,21,c,33,0.3016930812422844,0.21571408122486035,0.017893169081961702,-0.11882007019048735,2,15.771375843918559,0.05557692307692308,0.27584966046615045,-0.005774809074299248,1.5805006771130494,0.03560254816456758,-1.0812518107974166e-05
DHR230428C00265000,2023-04-07,10:00:00,2023-04-28,1.275,0.25,2.3,265.0,21,c,19,0.3158494715441725,0.15009934815739534,0.013799356990418232,-0.09648386794030195,1,20.09637584391856,0.07339622641509425,0.2850047300561268,-0.00014924995184101343,0.8499939792422118,0.015808560582920975,-1.6089519642627575e-07
DHR230428C00270000,2023-04-07,10:00:00,2023-04-28,0.775,0.2,1.35,270.0,21,c,22,0.3154405496303156,0.0986198841858077,0.01014238491303665,-0.07186806666191592,2,24.59637584391856,0.0905555555555555,0.28879812170213104,-1.1696998497216733e-06,0.441639712785171,0.01345372809463154,-1.4600656798966658e-09
