symbol,date,time,expirationDate,mid,bid,ask,strike,days,typo,oi,iv_traded,delta_bs,gamma_bs,theta_bs,volume,prem_ivalue,moneyness,iv_bs,vanna_bs,merton,gex,vex
DOW230421C00044500,2023-04-07,10:00:00,2023-04-21,11.0,10.9,11.1,44.5,14,c,1,0.6770141577770737,0.9524543171591127,0.012814438701269637,-0.022492582249391546,1,0.12720518303290618,-0.24449438202247187,0.6837534687796469,1.1587947822215087e-16,10.855466423369084,3.930117101400218e-05,1.577304512724885e-21
DOW230421C00045000,2023-04-07,10:00:00,2023-04-21,10.5,10.4,10.6,45.0,14,c,119,0.6476959435619842,0.9508604179107039,0.013766928361746977,-0.022178627856877853,10,0.12720518303290618,-0.2306666666666668,0.6542607370917949,2.44020626211543e-16,10.357670483010692,0.0050244660574670676,3.95259678921246e-19
DOW230421C00045500,2023-04-07,10:00:00,2023-04-21,10.025,9.95,10.1,45.5,14,c,6,0.6452815185815955,0.9437312153625754,0.01558203525320323,-0.02488789962620963,4,0.15220518303290653,-0.2171428571428573,0.6466414974285432,4.230934790292041e-15,9.860383314855202,0.0002867354145624854,3.455386220316975e-19
DOW230421C00046000,2023-04-07,10:00:00,2023-04-21,9.525,9.4,9.65,46.0,14,c,4,0.6144593430387671,0.9416592557699666,0.016823313035985166,-0.024514693997673476,3,0.15220518303290653,-0.203913043478261,0.616910751421782,9.384122353798794e-15,9.363786017176281,0.0002063846628206468,5.109314872210018e-19
DOW230421C00046500,2023-04-07,10:00:00,2023-04-21,9.0,8.9,9.1,46.5,14,c,6,0.5560494517571056,0.9452705951450646,0.01737172100391149,-0.02117689314523652,1,0.12720518303290618,-0.19096774193548383,0.5669525839537032,2.714858313250549e-15,8.868115190305708,0.00031966861470785233,2.2172130913583323e-19
DOW230421C00047000,2023-04-07,10:00:00,2023-04-21,8.55,8.5,8.6,47.0,14,c,1,0.5812190804532906,0.9312709781724493,0.02055510829990226,-0.02650503591795328,1,0.1772051830329069,-0.1782978723404256,0.5762400839395037,2.8424424370599124e-13,8.373676590686161,6.304137429177876e-05,3.869017492933705e-18
DOW230421C00047500,2023-04-07,10:00:00,2023-04-21,8.075,8.0,8.15,47.5,14,c,7,0.5783363819634406,0.9227839706245078,0.023065661238774737,-0.028663920969867362,2,0.20220518303290547,-0.16589473684210532,0.562969606946478,2.963919325193361e-12,7.880861108385783,0.0004951877039799008,2.824056838271503e-16
DOW230421C00048000,2023-04-07,10:00:00,2023-04-21,7.6,7.5,7.7,48.0,14,c,34,0.5682418488405288,0.9138666575520649,0.025799361482725658,-0.030610206467212464,3,0.22720518303290582,-0.15375000000000005,0.547826439675063,2.578209192966634e-11,7.390163234947878,0.002690257045582719,1.1931803279148863e-14
DOW230421C00048500,2023-04-07,10:00:00,2023-04-21,7.075,7.0,7.15,48.5,14,c,17,0.5184548049879615,0.915499629992933,0.027723857627393045,-0.027563618707772797,10,0.20220518303290635,-0.14185567010309286,0.5023447122241185,1.9428627093527512e-11,6.902202046846334,0.001445468008244417,4.4957282189574475e-15
DOW230421C00049000,2023-04-07,10:00:00,2023-04-21,6.550000000000001,6.45,6.65,49.0,14,c,2,0.4629433705666346,0.9175909156926121,0.029877364751129676,-0.02449994809658751,2,0.1772051830329069,-0.13020408163265307,0.4572006519971703,1.312532285510256e-11,6.41774434165934,0.0001832644330204691,3.5731315480443616e-16
DOW230421C00049500,2023-04-07,10:00:00,2023-04-21,6.075,6.0,6.15,49.5,14,c,2,0.4516595261488262,0.9064685952302476,0.034060309008765444,-0.026335252301909584,2,0.20220518303290635,-0.11878787878787889,0.44187005677987146,1.5583536462320665e-10,5.937728836776695,0.00020892214795340547,4.242335703153452e-15
DOW230421C00050000,2023-04-07,10:00:00,2023-04-21,5.6,5.55,5.65,50.0,14,c,379,0.434028365556089,0.8945130110813881,0.038781546836119674,-0.027915599174180628,2,0.22720518303290582,-0.10760000000000014,0.4246309253126363,1.5553714666982967e-09,5.4632893585749285,0.045078581351210116,8.023841706217157e-12
