symbol,date,time,expirationDate,mid,bid,ask,strike,days,typo,oi,iv_traded,delta_bs,gamma_bs,theta_bs,volume,prem_ivalue,moneyness,iv_bs,vanna_bs,merton,gex,vex
ECL230421C00160000,2023-04-07,10:00:00,2023-04-21,6.95,5.9,8.0,160,14,c,396,0.2934508249310604,0.822645443394121,0.03679583973514866,-0.07717156292238858,4,0.6752993967089767,-0.03778124999999988,0.21535663841577535,2.705465946151285e-05,7.5497391230313164,0.4017404017831941,3.467012943714055e-07
ECL230421C00165000,2023-04-07,10:00:00,2023-04-21,3.225,2.45,4.0,165,14,c,2671,0.2454811908282651,0.5864735798464249,0.060916904063290644,-0.09827135415759836,36,1.9502993967089766,-0.006333333333333302,0.195160161650842,0.23310535402001423,4.062569742388371,4.4860418052551045,0.02014857526396531
ECL230421C00170000,2023-04-07,10:00:00,2023-04-21,1.1,0.65,1.55,170,14,c,2996,0.2303091589121097,0.2856947988899905,0.053990817943105895,-0.08058294981089476,35,4.825299396708976,0.023264705882352965,0.19221015004518674,-0.0194467489676382,1.7480261672412831,4.45977882332954,-0.0018854152798914335
ECL230421C00175000,2023-04-07,10:00:00,2023-04-21,0.35,0.1,0.6,175,14,c,162,0.2415630546304335,0.10893925915891611,0.027532825875309364,-0.045693320830054784,1,9.075299396708976,0.051171428571428645,0.20709497179996741,-8.016426132060957e-09,0.5885614425380149,0.12297516325079703,-4.202560893698863e-11
ECL230421P00140000,2023-04-07,10:00:00,2023-04-21,0.5,0.05,0.95,140,14,p,603,0.6433131770155152,-0.05881730398331897,0.0061897917713604755,-0.07550595320558645,18,26.774700603291024,-0.1860357142857143,0.578572729078578,2.283203689961466e-14,0.0322132828138279,-0.10290700921522605,-4.455333056669221e-16
ECL230421P00160000,2023-04-07,10:00:00,2023-04-21,1.2,0.65,1.75,160,14,p,377,0.2863563342601776,-0.22743218493948003,0.03401850136697249,-0.09133599550603111,2,7.474700603291024,-0.03778124999999988,0.2708245726931943,0.0008310122779293951,1.2867111416801102,-0.3535966426202505,-1.0138343367326768e-05
ECL230421P00165000,2023-04-07,10:00:00,2023-04-21,2.55,1.8,3.3,165,14,p,120,0.2461507482129269,-0.42632765012229346,0.04949735410431089,-0.10409422594489115,11,3.8247006032910233,-0.006333333333333302,0.24184238781693784,0.18649253961184084,2.790240423269971,-0.16376264164810214,-0.000724203992068132
ECL230421P00170000,2023-04-07,10:00:00,2023-04-21,5.449999999999999,4.6,6.3,170,14,p,17,0.2323284049748115,-0.6663739308983008,0.04495812034654989,-0.09337491997048186,12,1.7247006032910228,0.023264705882352965,0.24686224960473344,-0.0654337389309032,5.46639551035569,-0.02107214140367089,3.599721181973671e-05
ECL230421P00180000,2023-04-07,10:00:00,2023-04-21,14.65,13.1,16.2,180,14,p,0,0.3164640701712463,-0.8470830162027987,0.019019548869181335,-0.08677927935034369,20,0.9247006032910239,0.07752777777777786,0.37835528954694964,-1.4630225789537756e-06,13.860171957675862,-0.0,0.0
ECL230519C00155000,2023-04-07,10:00:00,2023-05-19,13.5,11.6,15.4,155,42,c,11,0.3117662564735093,0.7961392759465724,0.018268379520236522,-0.06231425348502917,3,1.7649444722130454,-0.07125806451612893,0.27200957235837137,0.06034132710490581,13.618850805290066,0.0055404407590745235,2.1479578161552686e-05
ECL230519C00160000,2023-04-07,10:00:00,2023-05-19,10.15,8.3,12.0,160,42,c,22,0.3149195767590983,0.6821030352916146,0.022243074351280256,-0.0768230513323882,5,3.4149444722130458,-0.03778124999999988,0.2819160570463316,0.2369665910224506,9.961602194127632,0.013491775294732071,0.0001687050205141941
ECL230519C00165000,2023-04-07,10:00:00,2023-05-19,6.75,5.0,8.5,165,42,c,72,0.2873338746439371,0.5635869058154164,0.02663969377536546,-0.07677279817963445,51,5.014944472213045,-0.006333333333333302,0.26022486355661867,0.18023112162437774,6.887576795760924,0.052882664590393515,0.0004199334666586441
ECL230519C00170000,2023-04-07,10:00:00,2023-05-19,4.5,3.3,5.7,170,42,c,64,0.2842945125152054,0.43126126260117914,0.026380171203044256,-0.07534526464414792,14,7.764944472213045,0.023264705882352965,0.26237069395773643,-0.2706081046844788,4.470558146881629,0.04654887493431728,-0.0005604527168936971
ECL230519C00175000,2023-04-07,10:00:00,2023-05-19,2.4749999999999996,0.85,4.1,175,42,c,13,0.2631959988698929,0.2951004000644408,0.024856853548804736,-0.06079753623282391,2,10.739944472213045,0.051171428571428645,0.24459523894503335,-0.26741153721605393,2.710824261192157,0.00890924928553414,-0.00011249719610501426
ECL230519C00180000,2023-04-07,10:00:00,2023-05-19,1.175,0.35,2.0,180,42,c,23,0.2466086704271325,0.17398152902668995,0.019724926378916763,-0.04184261003648282,6,14.439944472213046,0.07752777777777786,0.22945045548402793,-0.03869889553128605,1.5322268198600733,0.012508200437731664,-2.8803456780205652e-05
ECL230519C00185000,2023-04-07,10:00:00,2023-05-19,0.675,0.1,1.25,185,42,c,5,0.2534022452701039,0.10760952967881487,0.01371109818681937,-0.030808494793149954,4,18.939944472213046,0.10245945945945956,0.23792102922322098,-0.0029607143955593836,0.8078436662135797,0.0018901394660393968,-4.790542803795431e-07
ECL230519P00140000,2023-04-07,10:00:00,2023-05-19,1.175,0.25,2.1,140,42,p,12,0.4297866034909393,-0.09835590773910052,0.007277287688012279,-0.04662462332441253,1,27.910055527786955,-0.1860357142857143,0.4199252401777052,0.0009393953883242989,0.2919784844947183,-0.002407700123345194,-3.647941583994901e-07
ECL230519P00145000,2023-04-07,10:00:00,2023-05-19,1.525,0.1,2.95,145,42,p,46,0.3943129527299095,-0.13059529597395647,0.009664015394594827,-0.052363697298521084,1,23.260055527786953,-0.1451379310344827,0.38701338289254306,0.005000041669994666,0.5837792501667636,-0.012256516375961746,-7.443028136267465e-06
