symbol,date,time,expirationDate,mid,bid,ask,strike,days,typo,oi,iv_traded,delta_bs,gamma_bs,theta_bs,volume,prem_ivalue,moneyness,iv_bs,vanna_bs,merton,gex,vex
EMR230421C00079000,2023-04-07,10:00:00,2023-04-21,5.35,4.5,6.2,79.0,14,c,2,0.3278269508213366,0.8782871226836519,0.0438656702961282,-0.0362139415292253,1,0.2695340253492642,-0.06335443037974686,0.27641078761635973,3.72351011178963e-08,5.432030905387788,0.0006191060357383421,1.6770818976109524e-12
EMR230421C00080000,2023-04-07,10:00:00,2023-04-21,4.75,4.3,5.2,80.0,14,c,76,0.3815334758287845,0.7870697763974643,0.053125876968707075,-0.05964407439692376,2,0.6695340253492645,-0.0500624999999999,0.32913277029057325,0.0002598374544579719,4.6143675735367795,0.02849246193665583,4.44720432284971e-07
EMR230421C00082000,2023-04-07,10:00:00,2023-04-21,3.225,2.85,3.6,82.0,14,c,19,0.3562463780025328,0.6696670227641643,0.07049230769773374,-0.06951815831121388,19,1.1445340253492646,-0.024451219512195088,0.3097014209377464,0.04538265847174497,3.1702170390589175,0.009451605829903677,1.941848177343897e-05
EMR230421C00082500,2023-04-07,10:00:00,2023-04-21,2.875,2.45,3.3,82.5,14,c,207,0.3454267542271015,0.6349350725082248,0.07454714423094089,-0.07068032537576707,1,1.2945340253492645,-0.01824242424242417,0.30391960746826385,0.09370200984910669,2.8547275284817437,0.10889592512977875,0.0004368084083612089
EMR230421C00083000,2023-04-07,10:00:00,2023-04-21,2.55,2.1,3.0,83.0,14,c,37,0.3380378344502212,0.5975780478026271,0.07790994441148058,-0.0715525801841066,14,1.4695340253492644,-0.01210843373493975,0.2994078826346409,0.14250592945814367,2.5587974750055515,0.020342526520533064,0.00011874255708438926
EMR230421C00084000,2023-04-07,10:00:00,2023-04-21,1.95,1.5,2.4,84.0,14,c,185,0.3307397772263224,0.5175714830369382,0.08304885779741866,-0.07096743172315989,61,1.8695340253492645,-5.952380952378711e-05,0.2893968617938656,0.045682412402731215,2.026766889935512,0.10842156319104108,0.00019032353541742177
EMR230421C00085000,2023-04-07,10:00:00,2023-04-21,1.5,1.15,1.85,85.0,14,c,3539,0.3257594694865064,0.4353573779991904,0.08191543397151335,-0.0698233438885103,3,2.4195340253492645,0.011705882352941233,0.28988848748241924,-0.16991435985179437,1.5743896356836942,2.0457688963154714,-0.013541986740851107
EMR230421C00086000,2023-04-07,10:00:00,2023-04-21,1.025,0.7,1.35,86.0,14,c,353,0.3085484338841043,0.34728007243629566,0.08150687516472743,-0.06144862123150607,188,2.9445340253492644,0.023197674418604652,0.27337002811085304,-0.08154302234967574,1.1988034537015988,0.2030388855782198,-0.0006482361516599938
EMR230421C00087000,2023-04-07,10:00:00,2023-04-21,0.7,0.4,1.0,87.0,14,c,511,0.3013625637504178,0.2666914387550512,0.0742690840760396,-0.05298193574529386,25,3.6195340253492647,0.03442528735632189,0.2669537710613948,-0.006521236619619247,0.894463887045554,0.26781767806034995,-7.504514425029037e-05
EMR230421C00087500,2023-04-07,10:00:00,2023-04-21,0.725,0.6,0.85,87.5,14,c,1866,0.3332620207958957,0.25496923263462756,0.06585692884364391,-0.05683221721670362,2,4.144534025349264,0.03994285714285717,0.29417576045285726,-0.0034585228550565636,0.7667129564314155,0.8672082200488946,-0.0001453362758082577
EMR230421C00088000,2023-04-07,10:00:00,2023-04-21,0.5,0.2,0.8,88.0,14,c,122,0.3033850645602481,0.20382499873420057,0.063155162928763,-0.04586303341738712,1,4.4195340253492645,0.045397727272727284,0.2705379008607349,-0.00018593328997810023,0.6538366147382006,0.054372457548013085,-5.108445007760294e-07
EMR230421C00089000,2023-04-07,10:00:00,2023-04-21,0.4,0.05,0.75,89.0,14,c,124,0.3221955091193271,0.1635317008894882,0.05204337599595821,-0.041940431794207034,3,5.319534025349265,0.056123595505618074,0.28616185528411153,-6.0752049417126765e-06,0.4682043042442458,0.04554046056678586,-1.696501922702744e-08
