symbol,date,time,expirationDate,mid,bid,ask,strike,days,typo,oi,iv_traded,delta_bs,gamma_bs,theta_bs,volume,prem_ivalue,moneyness,iv_bs,vanna_bs,merton,gex,vex
EOG230421C00116000,2023-04-07,10:00:00,2023-04-21,6.4,6.2,6.6,116.0,14,c,253,0.3103791676673907,0.9480850484225201,0.026103724106718573,-0.02055639586544533,2,0.07481954841576943,-0.053620689655172304,0.16627527371302428,4.512525283058217e-15,7.310674817722089,0.09865237625647776,7.537224636892838e-17
EOG230421C00117500,2023-04-07,10:00:00,2023-04-21,5.25,5.1,5.4,117.5,14,c,182,0.311855669001245,0.8389998915951491,0.04812045792057518,-0.04892224089767794,3,0.4248195484157691,-0.040170212765957336,0.20971297561641852,5.724795479189405e-06,6.1828597937912955,0.1308234802240149,6.878641151731665e-08
EOG230421C00119000,2023-04-07,10:00:00,2023-04-21,4.2,4.0,4.4,119.0,14,c,869,0.3104449226422299,0.7381052226166585,0.05953817615811374,-0.0680752133669289,2,0.8748195484157693,-0.027058823529411802,0.22632861185022704,0.005756314116092122,5.15709050502612,0.7728582761418137,0.00033024446771042214
EOG230421C00120000,2023-04-07,10:00:00,2023-04-21,3.55,3.4,3.7,120.0,14,c,517,0.3058502191929035,0.6708443781940243,0.0648674438874508,-0.07642103100974529,21,1.224819548415769,-0.01849999999999996,0.2309751134214077,0.05946116837119683,4.535065351919936,0.5009586577959707,0.002029529046418987
EOG230421C00121000,2023-04-07,10:00:00,2023-04-21,2.975,2.85,3.1,121.0,14,c,595,0.3034708803506895,0.601013961794794,0.06785119853969235,-0.08259091958353615,117,1.6498195484157692,-0.010082644628099269,0.23575471689097516,0.17896557889509832,3.9648023820079756,0.6030579513632385,0.007030039495434241
EOG230421C00122500,2023-04-07,10:00:00,2023-04-21,2.2750000000000004,2.2,2.35,122.5,14,c,229,0.3074021722642365,0.49740449170654344,0.06730927582410118,-0.08802866036350476,9,2.4498195484157694,0.0022857142857143353,0.245662534900877,-0.024017771899594455,3.2080130729015055,0.23024751896299409,-0.0003631110688957227
EOG230421C00124000,2023-04-07,10:00:00,2023-04-21,1.675,1.6,1.75,124.0,14,c,1817,0.3091260560091813,0.4005283578346952,0.064041213165833,-0.08613953323692214,20,3.349819548415769,0.014354838709677464,0.2501993703945867,-0.18478317594124807,2.567797344446901,1.7381971618474126,-0.02216606713075081
EOG230421C00125000,2023-04-07,10:00:00,2023-04-21,1.325,1.25,1.4,125.0,14,c,675,0.3041663607148939,0.3392570533101269,0.060650462003764005,-0.08118774929901207,20,3.9998195484157693,0.022240000000000038,0.25029148708233423,-0.0747573293375022,2.202779233763621,0.6115365869040539,-0.0033314157952974597
EOG230421C00126000,2023-04-07,10:00:00,2023-04-21,1.075,1.0,1.15,126.0,14,c,355,0.3077320674438319,0.2867218959093032,0.055249224928388685,-0.07663344952672779,10,4.749819548415769,0.030000000000000027,0.25554892307819543,-0.015344540736014073,1.8839370241095665,0.2929807602832268,-0.00035962803262152535
EOG230421C00127500,2023-04-07,10:00:00,2023-04-21,0.75,0.7,0.8,127.5,14,c,888,0.3093493292723295,0.2157885470394305,0.04689098398236169,-0.06617439895618771,2,5.924819548415769,0.04141176470588237,0.2589766267668336,-0.0004370390512104764,1.484540398680502,0.6219949674258951,-2.5621496953174464e-05
EOG230421C00129000,2023-04-07,10:00:00,2023-04-21,0.525,0.45,0.6,129.0,14,c,450,0.3142698236775884,0.1601900404512635,0.03820163614220995,-0.05562729596848781,1,7.199819548415769,0.05255813953488375,0.26437003672531784,-4.716316074140392e-06,1.1679306870303179,0.2567905493075802,-1.4011566940879327e-07
