datetime,symbol,exch,spot,bid,ask,hv_cc_30D,hv_zh_30D,catm_30D,patm_30D,vix_30D,mrtn_30D,skew_30D,q_min,q_max,gex,vex,gamma_flip,hv_zh_5D,hv_cc_5D,lamda,mu_j,sig_j,q,r,volume,volume10D,open,high,low,hv_hl_30D,hv_hl_5D
2023-02-22 10:59:00,EOG,NYSE,117.235,117.16,117.31,0.3710475346726689,0.3548621215765193,0.4371036519579149,0.375052572707217,0.3979978369585249,0.3716270917391495,106.7616230182141,0.3613807175639769,0.4105416608908114,-2.815643782724835,-0.1189004031593184,114.91868845278609,0.5560248526767192,0.6183890332811447,9.545454545454549,0.0073288029959494,0.032379180692442,0.025161453,0.047,1048889,3629210,118.89,120.845,116.7901,0.5181864418702541,0.7208486706907069
2023-02-22 14:17:00,EOG,NYSE,118.33,118.22,118.44,0.3710475346726689,0.3548621215765193,0.3860318868498918,0.4041683612043819,0.3937384327490859,0.3760972647266466,106.0279745281568,0.3656545398107888,0.4112494041435561,-2.495159736761388,-0.1175049741373436,125.9803847546066,0.5560248526767192,0.6183890332811447,9.545454545454549,0.0073288029959603,0.0323791806924498,0.025161453,0.0469,2081665,3629210,118.89,120.845,116.7901,0.5181864418702541,0.7208486706907069
2023-02-22 15:45:00,EOG,NYSE,116.995,116.98,117.01,0.3710475346726689,0.3548621215765193,0.4171587194389858,0.3814888377587871,0.395279624543687,0.3728718704332276,106.0473255580054,0.362755538334698,0.4080389517804913,-2.8880643800671235,-0.1080317423862442,123.39538579381868,0.5560248526767192,0.6183890332811447,9.545454545472555,0.0073288029959586,0.0323791806924169,0.025161453,0.04695,2772687,3629210,118.89,120.845,116.7901,0.5181864418702541,0.7208486706907069
2023-02-23 10:00:00,EOG,NYSE,118.45,118.42,118.48,0.3732524600414919,0.3581440622176696,0.4101646996565374,0.3627862467184868,0.3713068792083447,0.3619307401165411,107.57159520674126,0.3528959379541457,0.3970490719485338,-1.7856671723514248,-0.1324804753399093,122.71943161500712,0.5754981862958827,0.5938940202884948,9.545454545544493,0.0073511056909844,0.0323722736740254,0.025516713,0.0469,482673,3753930,120.02,120.07,118.38,0.524169198304863,0.7344427710971525
2023-02-24 14:06:00,EOG,NYSE,113.06,113.05,113.07,0.3759173564114046,0.3622082532140037,0.3503915738576736,0.3471335373404225,0.3466245929227241,0.3327979020644748,105.8760724986606,0.3263909973354567,0.3723816682470645,-3.1223209573810693,-0.0248373383596772,114.07118434370877,0.5750961479118655,0.6032606199348425,9.545454545475248,0.0077805088097333,0.032787733130555,0.025098301,0.04698,5062618,3727480,114.81,115.875,111.78,0.5205176058459647,0.6958092277406439
2023-02-24 15:45:00,EOG,NYSE,114.045,114.03,114.06,0.3759173564114046,0.3622082532140037,0.3517346110637553,0.3319546321061493,0.3391457901945242,0.3240718839493203,106.00851475946452,0.3188633150003513,0.3624066526775284,-3.2801820163130766,-0.0645240852547885,116.87681667965307,0.5750961479118655,0.6032606199348425,9.545454545633511,0.0077805088096742,0.0327877331308015,0.025098301,0.04703,7249014,3727480,114.81,115.875,111.78,0.5205176058459647,0.6958092277406439
2023-02-27 10:00:00,EOG,NYSE,113.42,113.45,113.39,0.389633399604536,0.3849819257000264,0.382084737789496,0.2978707990527922,0.3251852440873015,0.3157224180282965,107.63246391663483,0.3109830524890037,0.3544252572968608,-2.122704098166835,-0.0507754188118731,66.44339878762511,0.5010884984704614,0.3579498383148756,9.545454545454549,0.0084456170888791,0.0327771857803074,0.026912306,0.047,528263,4354240,114.49,114.49,113.105,0.5402430193510216,0.5633966483916507
2023-02-28 10:12:00,EOG,NYSE,114.59,114.53,114.65,0.3890259131710727,0.385537300187996,0.356506329202474,0.3344199653854143,0.3382390939124524,0.3249107715129123,106.46200209801634,0.3187597862597813,0.3645751081421758,-0.9255732526050277,-0.0945560111558019,115.72899253432654,0.5124284897651723,0.3580464112402886,9.545454545622423,0.0084907941072212,0.0327826170781569,0.026797386,0.0473,298687,4427550,115.82,116.04,114.09,0.5396058182784129,0.57004476009942
2023-03-01 10:00:00,EOG,NYSE,114.71,114.62,114.8,0.3904057959033894,0.3868756269285819,0.4103687074394201,0.2912809263197805,0.33624293163752,0.3310645496516459,106.89112087238357,0.3250313978152185,0.3736705317875936,-1.3500177234543749,-0.112674147339985,114.97815147935118,0.5220739385365629,0.365751801959216,9.545454545459208,0.0086701548659377,0.0327855423519913,0.027207576,0.047,543003,4624580,115.82,116.33,112.81,0.5434548152080603,0.5934243227547107
2023-03-01 15:06:00,EOG,NYSE,118.0,118.0,118.0,0.3904057959033894,0.3868756269285819,0.3522171964819002,0.3269822264576655,0.340036880265113,0.3223022191255666,106.67411267012058,0.3162773669892347,0.3632700856083076,1.2731084850426633,-0.1295609299521067,115.4297158300737,0.5220739385365629,0.365751801959216,9.545454545467653,0.0086701548659377,0.0327855423520126,0.027207576,0.0472499999999999,3140050,4624580,115.82,118.68,112.81,0.5434548152080603,0.5934243227547107
