symbol,date,time,expirationDate,mid,bid,ask,strike,days,typo,oi,iv_traded,delta_bs,gamma_bs,theta_bs,volume,prem_ivalue,moneyness,iv_bs,vanna_bs,merton,gex,vex
EQIX230421C00670000,2023-04-07,10:00:00,2023-04-21,32.5,28.5,36.5,670,14,c,21,0.3683377958675943,0.8616094016129949,0.007559337760199014,-0.2714655328907014,26,2.0161260587103698,-0.04426119402985074,0.2109766141515189,4.717783791312463e-07,35.649053821926415,0.07770893008429987,1.8421736240944266e-09
EQIX230421C00680000,2023-04-07,10:00:00,2023-04-21,24.7,20.5,28.9,680,14,c,75,0.3439862523806551,0.7622366682920045,0.010314631637697858,-0.37017067306787155,44,4.216126058710369,-0.02890441176470593,0.2169180177319323,0.0018093080285394045,28.03729508276939,0.378689157231748,2.5231728615087856e-05
EQIX230421C00690000,2023-04-07,10:00:00,2023-04-21,18.25,14.1,22.4,690,14,c,30,0.3274917231618104,0.640573765178587,0.01199763389081454,-0.4514588316298145,17,7.76612605871037,-0.013992753623188303,0.22563171809190233,0.11639048196824009,21.3783645711555,0.17619141532044708,0.0006492499912848207
EQIX230421C00700000,2023-04-07,10:00:00,2023-04-21,13.0,9.0,17.0,700,14,c,105,0.3170946900041094,0.5147989844119572,0.012444559143176548,-0.4858172827109879,9,12.51612605871037,0.0004928571428571837,0.23202038194209262,0.04884124726025427,15.828222714327023,0.6396415976269205,0.0009535627473687629
EQIX230421C00710000,2023-04-07,10:00:00,2023-04-21,8.5,5.1,11.9,710,14,c,27,0.3044299917797058,0.39099026317384045,0.012139590843673886,-0.4559116883019705,1,18.01612605871037,0.014570422535211347,0.22912245196835326,-0.18613593421003416,11.436638392852664,0.16044851347031278,-0.0009344739918421315
EQIX230421C00720000,2023-04-07,10:00:00,2023-04-21,5.3,2.9,7.7,720,14,c,22,0.2972445406499929,0.27828409903749574,0.010642998802268266,-0.3918593624611084,1,24.81612605871037,0.028256944444444487,0.22847290764739017,-0.012322649518125263,8.133470398607948,0.11461846245240352,-5.040806288538858e-05
EQIX230421C00730000,2023-04-07,10:00:00,2023-04-21,3.1,0.8,5.4,730,14,c,27,0.2874270567538096,0.18460588849087411,0.008489945719780678,-0.3052562345587173,2,32.61612605871037,0.041568493150685004,0.22751385332391957,-5.0501824745679306e-05,5.754872294101084,0.11221129177449302,-2.535385870852584e-07
EQIX230421C00740000,2023-04-07,10:00:00,2023-04-21,1.575,0.15,3.0,740,14,c,27,0.2756270291687033,0.10877732656709993,0.006093457975975269,-0.2045139582483284,1,41.09112605871037,0.05452027027027029,0.22182471926475608,-7.3143229228524465e-09,4.093431127921082,0.08053700381908169,-3.672071472039208e-11
EQIX230421C00750000,2023-04-07,10:00:00,2023-04-21,0.8500000000000001,0.1,1.6,750,14,c,200,0.2759872994345551,0.0640955453455827,0.004049229084257533,-0.13654419778422278,11,50.36612605871037,0.06712666666666667,0.22445904430782251,-3.292635956361521e-13,2.9475459885058934,0.39643339111959724,-1.2244666000295675e-14
EQIX230421C00760000,2023-04-07,10:00:00,2023-04-21,2.3249999999999997,0.05,4.6,760,14,c,17,0.3934405234551716,0.1094549146136492,0.004141477565333673,-0.3007209098894643,8,61.84112605871037,0.07940131578947374,0.32783572067032485,-5.553052251947304e-09,2.152560853618622,0.03446451082690978,-1.755310345789287e-11
