symbol,date,time,expirationDate,mid,bid,ask,strike,days,typo,oi,iv_traded,delta_bs,gamma_bs,theta_bs,volume,prem_ivalue,moneyness,iv_bs,vanna_bs,merton,gex,vex
ETN230421C00130000,2023-04-07,10:00:00,2023-04-21,27.3,26.8,27.8,130,14,c,17,0.4943197340073508,0.9693749642821103,0.004162479854130652,-0.04491456908284164,1,0.14419385891510572,-0.20761538461538476,0.5252907954033648,2.2371817551204938e-20,27.10573407218184,0.0017439942346175318,1.852668785332482e-23
ETN230421C00135000,2023-04-07,10:00:00,2023-04-21,22.35,21.8,22.9,135,14,c,23,0.4374624017552437,0.958953564240872,0.006180239395803255,-0.04957266018606532,1,0.19419385891510643,-0.16288888888888886,0.4525151202901034,1.351661039097638e-17,22.12030806837793,0.0035032982572699386,1.5144091529800073e-20
ETN230421C00140000,2023-04-07,10:00:00,2023-04-21,17.35,16.8,17.9,140,14,c,48,0.3446896792745019,0.9514755669624009,0.008931516788379668,-0.04663724231419053,1,0.19419385891510643,-0.12135714285714294,0.3592685055752212,5.579950111275102e-16,17.170230228000168,0.010565995835865918,1.304725491236274e-18
ETN230421C00145000,2023-04-07,10:00:00,2023-04-21,12.65,12.2,13.1,145,14,c,146,0.3426064697740778,0.8962925560729751,0.017464914439102586,-0.07299491040128103,7,0.49419385891510537,-0.08268965517241389,0.3313396336735334,1.7634285785940484e-09,12.379487053651172,0.06284392433699049,1.2541755347167737e-11
ETN230421C00150000,2023-04-07,10:00:00,2023-04-21,8.15,7.7,8.6,150,14,c,66,0.3054762948515865,0.8014994667446373,0.031185267737043887,-0.0961305382442319,4,0.9941938589151054,-0.046599999999999975,0.2878661851247171,0.00010887240128705098,8.04659057067776,0.050726791224663004,3.500332750751649e-07
ETN230421C00155000,2023-04-07,10:00:00,2023-04-21,4.35,4.0,4.7,155,14,c,191,0.2786650966141343,0.6163457409324113,0.04780406523074987,-0.11567447684707322,30,2.1941938589151047,-0.012838709677419402,0.2577093037801675,0.14268474286265087,4.58174075050169,0.22503091004267212,0.0013275732662099754
ETN230421C00160000,2023-04-07,10:00:00,2023-04-21,1.825,1.6,2.05,160,14,c,448,0.2691097532743541,0.36324505337543833,0.049691641601512515,-0.10522757015879391,132,4.669193858915105,0.0188124999999999,0.24380369121799156,-0.1224131533864456,2.2425853727046015,0.5486625746784975,-0.002671490866420188
ETN230421C00165000,2023-04-07,10:00:00,2023-04-21,0.5249999999999999,0.35,0.7,165,14,c,1326,0.2554416768561769,0.14622687916204247,0.032212847410617584,-0.05877065199020298,130,8.369193858915105,0.04854545454545445,0.22978341353767978,-1.2095177790369402e-06,0.9396886220400223,1.05272907651447,-7.812740055340118e-08
ETN230421C00170000,2023-04-07,10:00:00,2023-04-21,0.15,0.05,0.25,170,14,c,1917,0.2634391092142835,0.04958211962562964,0.013886557023168322,-0.026229602694241738,10,12.994193858915105,0.07652941176470585,0.23825980299507912,-1.854695928000529e-15,0.3406461729638422,0.6560858535692726,-1.7319782164164753e-16
ETN230421C00180000,2023-04-07,10:00:00,2023-04-21,0.125,0.05,0.2,180,14,c,2329,0.4012500153650053,0.029809709811624147,0.006093949507651741,-0.025474311941038733,3,22.969193858915105,0.12783333333333324,0.3587081329225891,-3.314793568736514e-20,0.03170482707943452,0.34979397033435145,-3.7607422588581244e-21
ETN230421P00140000,2023-04-07,10:00:00,2023-04-21,0.275,0.1,0.45,140,14,p,1032,0.4211307897032451,-0.054441121560372396,0.009520247918892721,-0.04323589062584915,1,17.430806141084894,-0.12135714285714294,0.3743302544832468,7.637544227533768e-15,0.046338476432595116,-0.24214300867278926,-3.839556207060043e-16
ETN230421P00145000,2023-04-07,10:00:00,2023-04-21,0.425,0.25,0.6,145,14,p,1668,0.3512597257860985,-0.09157021142927046,0.01691250714919157,-0.05456289440180351,12,12.580806141084896,-0.08268965517241389,0.31408815116209593,2.167901954173193e-10,0.24629396431640554,-0.6952612396122279,-1.761502554292296e-11
ETN230421P00150000,2023-04-07,10:00:00,2023-04-21,1.025,0.8,1.25,150,14,p,1838,0.3261432755184273,-0.1992389507394332,0.03111273937594916,-0.08642990294709796,19,8.180806141084895,-0.046599999999999975,0.28989464739463894,0.0001211598084383003,0.904096143575801,-1.4093788080128493,-1.0848050023482008e-05
ETN230421P00155000,2023-04-07,10:00:00,2023-04-21,2.25,2.0,2.5,155,14,p,1896,0.2947230006946655,-0.38441815776550925,0.047061571537554414,-0.10625853713439914,134,4.405806141084895,-0.012838709677419402,0.2620932359594839,0.14258808700789694,2.42994498563254,-2.1991190339485427,-0.013169496450964869
ETN230421P00160000,2023-04-07,10:00:00,2023-04-21,4.7,4.4,5.0,160,14,p,1386,0.2834380432387385,-0.6340722431327439,0.04915161793128675,-0.09468136143674233,28,1.8558061410848952,0.0188124999999999,0.24690968471159766,-0.12465948595929731,5.081488270068257,-1.6789780843232787,0.008416589696721362
ETN230421P00165000,2023-04-07,10:00:00,2023-04-21,8.25,7.9,8.6,165,14,p,729,0.2526828235075571,-0.8702210924099951,0.03168518050600255,-0.03752224498329859,5,0.405806141084895,0.04854545454545445,0.21442111554158044,-1.5354981503221845e-07,8.769290181636485,-0.5692823154497617,5.452860911167356e-09
ETN230421P00170000,2023-04-07,10:00:00,2023-04-21,13.0,12.6,13.4,170,14,p,927,0.2925381095009751,-0.9430313750685926,0.014777386105890855,-0.01679263263546993,12,0.155806141084895,0.07652941176470585,0.24716207498944762,-2.1885014242516836e-14,13.160946394793116,-0.33761468909497855,9.882666998760684e-16
ETN230421P00175000,2023-04-07,10:00:00,2023-04-21,18.05,17.5,18.6,175,14,p,84,0.3893141001858216,-0.9436784572624646,0.010792052620445247,-0.02628065116911671,2,0.2058061410848957,0.10291428571428562,0.3353551911983525,-1.2823844878795357e-14,17.920122105153037,-0.022342271202327887,5.2474116626288436e-17
ETN230421P00180000,2023-04-07,10:00:00,2023-04-21,23.049999999999997,22.4,23.7,180,14,p,6,0.4660560386660364,-0.950320546638217,0.008057957252560755,-0.029100731905060684,5,0.20580614108489215,0.12783333333333324,0.4059081226802728,-8.166416582746068e-16,22.833402373374312,-0.0011915717228303565,2.3868788418989566e-19
ETN230421P00185000,2023-04-07,10:00:00,2023-04-21,27.95,27.2,28.7,185,14,p,0,0.5023304926600031,-0.9681190850583832,0.005217921774658407,-0.01652305491300865,3,0.10580614108489428,0.15140540540540537,0.43360757147173634,-6.593075345211081e-20,27.80096322178679,-0.0,0.0
ETN230519C00140000,2023-04-07,10:00:00,2023-05-19,18.700000000000003,18.3,19.1,140,42,c,125,0.336805420173336,0.8603310878759984,0.012282050825263013,-0.053634782177475415,999,1.212056039674124,-0.12135714285714294,0.3331702755760093,0.0076381039408583064,18.101052041385067,0.037837713297565224,4.650966069371874e-05
ETN230519C00145000,2023-04-07,10:00:00,2023-05-19,14.4,14.0,14.8,145,42,c,3,0.3161958576024345,0.7955687289601165,0.016916188574356283,-0.06251617444288726,3,1.9120560396741215,-0.08268965517241389,0.3101990777224839,0.05233674305467693,13.918421006216745,0.0012507420510864105,7.648487153780737e-06
ETN230519C00150000,2023-04-07,10:00:00,2023-05-19,10.45,10.0,10.9,150,42,c,9,0.2930957391560629,0.7049345350015557,0.022191431092721814,-0.06953105542518223,1,2.9620560396741205,-0.046599999999999975,0.288510249856192,0.1982492984428356,10.253134708579918,0.004922342155170108,8.69164065560192e-05
ETN230519C00155000,2023-04-07,10:00:00,2023-05-19,7.05,6.8,7.3,155,42,c,30,0.2754064793556958,0.5850523518323936,0.026775254022837203,-0.07252199169072249,3,4.562056039674121,-0.012838709677419402,0.2706549342438293,0.22397777470097222,7.212972253623751,0.019796974943664242,0.000327320928385454
ETN230519C00160000,2023-04-07,10:00:00,2023-05-19,4.449999999999999,4.1,4.8,160,42,c,226,0.2662792151784761,0.44601659554022177,0.028193788708108514,-0.06979754538801686,3,6.9620560396741205,0.0188124999999999,0.26092728122136966,-0.2310879407138086,4.837578997767395,0.1570383989147145,-0.002544094949163187
ETN230519C00165000,2023-04-07,10:00:00,2023-05-19,2.525,2.3,2.75,165,42,c,574,0.2562639931080698,0.30703412233765714,0.026133981259057748,-0.05876165049187376,1,10.037056039674122,0.04854545454545445,0.25035240450490526,-0.28665480824892964,3.092372507829832,0.3697102119849198,-0.008015280352734862
ETN230519C00170000,2023-04-07,10:00:00,2023-05-19,1.3,1.1,1.5,170,42,c,683,0.249330285968583,0.18878684351357755,0.020748539415471612,-0.04330557703822513,2,13.812056039674122,0.07652941176470585,0.24272005654058296,-0.05366754993594809,1.885980353244507,0.3492627046040126,-0.0017855831002111288
ETN230519C00175000,2023-04-07,10:00:00,2023-05-19,0.55,0.4,0.7,175,42,c,400,0.2389927158501595,0.09728184285128227,0.013865918664368593,-0.025933663075307978,31,18.062056039674122,0.10291428571428562,0.23117372090834135,-0.0017062423530002366,1.0995542603983761,0.1366949966240029,-3.3246681538246086e-05
ETN230519C00180000,2023-04-07,10:00:00,2023-05-19,0.25,0.1,0.4,180,42,c,513,0.2402906005514546,0.0495979875314051,0.008238702183249735,-0.01531043930172804,15,22.76205603967412,0.12783333333333324,0.23184376558202016,-2.5472579179052208e-05,0.6144487330293507,0.10416459942534999,-6.365578527882218e-07
ETN230519P00130000,2023-04-07,10:00:00,2023-05-19,0.55,0.45,0.65,130,42,p,63,0.3977022652271413,-0.060018848333942554,0.005888591030345225,-0.027328033685362185,25,28.03794396032588,-0.20761538461538476,0.3771529421731403,5.138585231346565e-05,0.10245670024066854,-0.009143151615360208,-1.5770000530593555e-07
ETN230519P00135000,2023-04-07,10:00:00,2023-05-19,0.925,0.7,1.15,135,42,p,48,0.3778062279159799,-0.09593865593239825,0.008733571575936239,-0.03758105437622339,1,23.41294396032588,-0.16288888888888886,0.3632968308997951,0.0009485038841471639,0.292524546105478,-0.010331826395225332,-2.217828424097911e-06
ETN230519P00140000,2023-04-07,10:00:00,2023-05-19,1.35,1.2,1.5,140,42,p,141,0.3500289876033206,-0.13944607952928179,0.012289052089275998,-0.0452214893132703,7,18.83794396032588,-0.12135714285714294,0.33659617617109366,0.00821215462964758,0.7105234017236834,-0.04270527045610117,-5.6405808034954864e-05
ETN230519P00145000,2023-04-07,10:00:00,2023-05-19,2.125,1.95,2.3,145,42,p,151,0.3362306398964341,-0.20808096913729202,0.016708637131657156,-0.055098162891759284,1,14.612943960325879,-0.08268965517241389,0.3196175364351719,0.057382364280862665,1.5000402299961642,-0.06218160871448163,-0.000422087975014558
ETN230519P00150000,2023-04-07,10:00:00,2023-05-19,3.3,3.1,3.5,150,42,p,1260,0.3169278837879878,-0.30067314807205037,0.021287558498173098,-0.06303094615421978,1,10.78794396032588,-0.046599999999999975,0.30449981401706233,0.19854970786138285,2.8069017958001474,-0.6610592376568409,-0.012186735676670645
