symbol,date,time,expirationDate,mid,bid,ask,strike,days,typo,oi,iv_traded,delta_bs,gamma_bs,theta_bs,volume,prem_ivalue,moneyness,iv_bs,vanna_bs,merton,gex,vex
FCX230421C00036000,2023-04-07,10:00:00,2023-04-21,4.225,4.1,4.35,36.0,14,c,433,0.5496664363279665,0.9423044091656063,0.040317215885821156,-0.014064883648405413,9,0.06351124996841939,-0.11416666666666675,0.3593280575768053,2.0660115764381966e-14,4.3725674696048085,0.028085603119097417,1.162775874956921e-16
FCX230421C00036500,2023-04-07,10:00:00,2023-04-21,3.8,3.7,3.9,36.5,14,c,42,0.5376249678843268,0.9016189136340058,0.05654136736144011,-0.02116377157373206,11,0.13851124996841957,-0.09890410958904106,0.38602147434522294,5.93356649532741e-10,3.935232975357528,0.0038205063103884567,3.2392201818560135e-13
FCX230421C00037000,2023-04-07,10:00:00,2023-04-21,3.3499999999999996,3.3,3.4,37.0,14,c,624,0.5140798622768112,0.8726072053722334,0.06979692449782249,-0.024470937881986288,2,0.1885112499684194,-0.08405405405405397,0.37656722003266063,6.370984871433936e-08,3.51251956002375,0.07006904528512714,5.167333942218744e-10
FCX230421C00037500,2023-04-07,10:00:00,2023-04-21,3.015,2.93,3.1,37.5,14,c,273,0.5369918780492795,0.8091987423123559,0.0824934893994822,-0.0342087981406638,5,0.35351124996841987,-0.06959999999999988,0.4160865303086332,4.2147325658754203e-05,3.107140473949372,0.036231611029370676,1.4955744440581125e-07
FCX230421C00038000,2023-04-07,10:00:00,2023-04-21,2.675,2.55,2.8,38.0,14,c,1997,0.5398206675591453,0.7548867784428426,0.09178313016722228,-0.040637619921140455,19,0.5135112499684196,-0.055526315789473646,0.43245811153133784,0.0013332940011754196,2.722026226899054,0.29488063534663767,3.460822738290587e-05
FCX230421C00038500,2023-04-07,10:00:00,2023-04-21,2.33,2.21,2.45,38.5,14,c,362,0.54050971406043,0.7036520950320257,0.10052288511364083,-0.04463438004907072,2,0.6685112499684198,-0.041818181818181754,0.4343261647891579,0.01183903768839757,2.3601777328809663,0.05854352107098015,5.570579019583034e-05
FCX230421C00039000,2023-04-07,10:00:00,2023-04-21,2.02,1.91,2.13,39.0,14,c,1414,0.5319137955035215,0.6486042722873675,0.10682649719040427,-0.04811853552073764,1,0.8585112499684198,-0.028461538461538538,0.4385634959637008,0.05061657833749986,2.0244552861422944,0.24301535845068123,0.0009302882992806227
FCX230421C00039500,2023-04-07,10:00:00,2023-04-21,1.73,1.62,1.84,39.5,14,c,311,0.5276883271063018,0.5925130774387943,0.11152849952900112,-0.050284570444557364,177,1.0685112499684197,-0.015443037974683493,0.4396684848225727,0.09716122197054002,1.7173271326971493,0.05580223225603851,0.00039276133064889974
FCX230421C00040000,2023-04-07,10:00:00,2023-04-21,1.405,1.36,1.45,40.0,14,c,12470,0.5073709285260997,0.5355663525566934,0.1194121599290554,-0.049127524358350216,40,1.2435112499684198,-0.00275000000000003,0.4204199951060382,0.062975447721613,1.4406178946498136,2.395633245429064,0.010207351791477876
FCX230421C00040500,2023-04-07,10:00:00,2023-04-21,1.235,1.14,1.33,40.5,14,c,896,0.5204366004543411,0.478626058681908,0.11404103625656248,-0.051424422982317086,30,1.5735112499684198,0.009629629629629655,0.4413913954542163,-0.061058465416179916,1.1953039330708184,0.1643896567273824,-0.0007110976774098027
FCX230421C00041000,2023-04-07,10:00:00,2023-04-21,0.98,0.94,1.02,41.0,14,c,2678,0.5033070050077224,0.41899368710973106,0.11584613509030284,-0.04854633545083287,2,1.8185112499684197,0.02170731707317075,0.426174993022797,-0.12086371890826432,0.9813964871278383,0.49911134984791383,-0.004207090857952904
FCX230421C00041500,2023-04-07,10:00:00,2023-04-21,0.835,0.76,0.91,41.5,14,c,656,0.5146559130978199,0.36798643970600287,0.10880946520019918,-0.04787428141162964,2,2.1735112499684197,0.03349397590361447,0.4377434843371588,-0.07503672311596984,0.7979355340587233,0.11483541364084775,-0.0006398130071332401
FCX230421C00042000,2023-04-07,10:00:00,2023-04-21,0.64,0.61,0.67,42.0,14,c,4685,0.4927541492998549,0.31045650750917697,0.10532211221492283,-0.04320822433753668,57,2.47851124996842,0.04500000000000004,0.42361491193054895,-0.020834929498908743,0.6430934691906421,0.7938427437580168,-0.0012687527482241566
FCX230421C00043000,2023-04-07,10:00:00,2023-04-21,0.41,0.38,0.44,43.0,14,c,3450,0.4938289001548948,0.22045308502729177,0.08788503651546709,-0.03612843821624451,3,3.24851124996842,0.06720930232558142,0.42633704858384397,-0.00035820913811893747,0.4088084169774761,0.48779726003483725,-1.6063165033794466e-05
FCX230421C00044000,2023-04-07,10:00:00,2023-04-21,0.265,0.24,0.29,44.0,14,c,4651,0.5074055548648754,0.15353158483492058,0.06879562885253598,-0.02910716615278172,30,4.103511249968419,0.08840909090909088,0.43506677058530513,-1.4360637981246287e-06,0.2546989650510318,0.5147691458216959,-8.681513385552962e-08
FCX230421C00045000,2023-04-07,10:00:00,2023-04-21,0.16,0.15,0.17,45.0,14,c,20862,0.5024368966984721,0.10098476634391451,0.05108058079794642,-0.021554330637603897,34,4.99851124996842,0.10866666666666669,0.4374091390203728,-9.66313057876392e-10,0.1569792605945159,1.7144194759261797,-2.62028876557914e-10
FCX230421C00046000,2023-04-07,10:00:00,2023-04-21,0.105,0.08,0.13,46.0,14,c,4746,0.5193872262205783,0.06906342749709166,0.03726455659436301,-0.016487790217588005,3,5.94351124996842,0.1280434782608696,0.45076232682050926,-7.090460938673263e-13,0.09631584098813263,0.2845306236849929,-4.3739878088342975e-14
FCX230421C00047000,2023-04-07,10:00:00,2023-04-21,0.1149999999999999,0.05,0.18,47.0,14,c,1275,0.589645222121546,0.06693372248425186,0.031862200713800304,-0.018317362132740156,12,6.95351124996842,0.14659574468085113,0.5145950134364844,-3.376624773387488e-13,0.058996669025209135,0.06535687490226298,-5.595879484332428e-15
FCX230421C00048000,2023-04-07,10:00:00,2023-04-21,0.0849999999999999,0.02,0.15,48.0,14,c,2011,0.608404166696323,0.05012167850045324,0.024503518407659186,-0.014970346348964478,5,7.92351124996842,0.16437500000000005,0.5330952008938198,-1.0342761214405409e-15,0.0360963140034771,0.07927675093960464,-2.703484813141945e-17
FCX230421P00032000,2023-04-07,10:00:00,2023-04-21,0.125,0.04,0.21,32.0,14,p,1157,0.801732597502752,-0.04922596662381637,0.01766310967182827,-0.01994491649579362,12,8.28648875003158,-0.2534375,0.7289842110742815,5.098017100362171e-16,0.02184285646648216,-0.03287803462015965,-7.666727236108127e-18
FCX230421P00032500,2023-04-07,10:00:00,2023-04-21,0.09,0.05,0.13,32.5,14,p,112,0.7034133722516226,-0.04156655630459874,0.017475963846186326,-0.01526492886997935,15,7.75148875003158,-0.23415384615384616,0.6430693649291818,1.8379485654606455e-17,0.030092746618205633,-0.0031489407146295958,-2.675634220393073e-20
FCX230421P00033000,2023-04-07,10:00:00,2023-04-21,0.085,0.07,0.1,33.0,14,p,3544,0.6530009007957693,-0.04225875430125328,0.01905052742293134,-0.014375592899521061,78,7.24648875003158,-0.21545454545454534,0.5978590736973334,2.778356139416858e-17,0.04107203013237629,-0.10861906024017148,-1.2798438712454642e-18
