symbol,date,time,expirationDate,mid,bid,ask,strike,days,typo,oi,iv_traded,delta_bs,gamma_bs,theta_bs,volume,prem_ivalue,moneyness,iv_bs,vanna_bs,merton,gex,vex
GD230421C00220000,2023-04-07,10:00:00,2023-04-21,9.15,8.9,9.4,220.0,14,c,161,0.1614170145642366,0.9621642331532954,0.015482705322256152,-0.02869081423974329,2,0.06073776791469676,-0.04027272727272724,0.11564965393286927,9.26176948983254e-18,9.859903787568205,0.1305607124542316,7.147709365881684e-20
GD230421C00222500,2023-04-07,10:00:00,2023-04-21,7.0,6.8,7.2,222.5,14,c,35,0.165159600269497,0.8641967806676032,0.0353928078755672,-0.05985525655625956,1,0.4107377679146964,-0.02858426966292149,0.13584865661415255,5.21406650390241e-07,7.813612636831004,0.06488179406312354,8.747655107605957e-10
GD230421C00225000,2023-04-07,10:00:00,2023-04-21,5.0,4.8,5.2,225.0,14,c,34,0.1603026347549343,0.7518796253149773,0.051251998467449766,-0.08082186280426118,10,0.9107377679146964,-0.01715555555555559,0.1365227055740087,0.004958287208082232,5.985788034933503,0.09127030645298499,8.080861027990601e-06
GD230421C00227500,2023-04-07,10:00:00,2023-04-21,3.5,3.2,3.8,227.5,14,c,127,0.168401448780198,0.6001169353499369,0.05824916363916799,-0.10086427379944674,6,1.9107377679146964,-0.005978021978022108,0.146772661056821,0.29344552802205204,4.434133457880365,0.3874656456555094,0.0017863981394001197
GD230421C00230000,2023-04-07,10:00:00,2023-04-21,2.25,1.95,2.55,230.0,14,c,617,0.1689482959398795,0.45159421778488973,0.05896839196051218,-0.10217774908755128,54,3.1607377679146964,0.004956521739130415,0.14868706785266364,-0.2810907827989559,3.190455305104611,1.9056548134434328,-0.00831340254974475
GD230421C00232500,2023-04-07,10:00:00,2023-04-21,1.2000000000000002,1.1,1.3,232.5,14,c,158,0.1591369413107334,0.3016174904508895,0.054886914873097936,-0.08349444406007245,4,4.610737767914697,0.01565591397849453,0.14063441647249467,-0.046565512329143126,2.2476232081042133,0.4542194158865956,-0.0003526699967733872
GD230421C00235000,2023-04-07,10:00:00,2023-04-21,0.6,0.5,0.7,235.0,14,c,90,0.1566482430647499,0.1791786505718207,0.041795992831161755,-0.060445206219846725,1,6.510737767914696,0.026127659574468054,0.13866261413467898,-5.2389866233121605e-05,1.5641883082480565,0.19702300681800713,-2.260147800121419e-07
GD230421C00237500,2023-04-07,10:00:00,2023-04-21,0.25,0.05,0.45,237.5,14,c,34,0.1528601372341841,0.08962904761503354,0.02659506604107964,-0.03543841621713539,2,8.660737767914696,0.036378947368420955,0.13484901131127583,-3.432592092838754e-10,1.0823610706392608,0.047360881532225924,-5.5943309663052e-13
GD230421P00210000,2023-04-07,10:00:00,2023-04-21,0.2249999999999999,0.1,0.35,210.0,14,p,165,0.2925059660724098,-0.04500011011649152,0.00794331233011647,-0.03786395906488704,5,19.314262232085305,-0.08980952380952378,0.26435731180324057,2.3053545207334076e-16,0.11088080242531045,-0.06864760194698215,-1.823344397014198e-18
GD230421P00212500,2023-04-07,10:00:00,2023-04-21,0.4,0.05,0.75,212.5,14,p,6,0.2967550886061307,-0.07293056885614158,0.011495419831031306,-0.05655774131880864,1,16.989262232085302,-0.0769882352941178,0.2670215431971232,3.39618241904819e-12,0.18617223352115395,-0.0036125667020986546,-9.767632273344762e-16
