symbol,date,time,expirationDate,mid,bid,ask,strike,days,typo,oi,iv_traded,delta_bs,gamma_bs,theta_bs,volume,prem_ivalue,moneyness,iv_bs,vanna_bs,merton,gex,vex
GE230421C00088000,2023-04-07,10:00:00,2023-04-21,7.199999999999999,7.1,7.3,88,14,c,33,0.3421665138722964,0.9509405202387633,0.022385897864296567,-0.02579638396983075,1,0.08067636565510483,-0.07903409090909097,0.2418063898003529,1.362399014653338e-15,8.057190856866672,0.006660765346289338,8.749922433689567e-19
GE230421C00089000,2023-04-07,10:00:00,2023-04-21,6.25,6.15,6.35,89,14,c,19,0.3232037238838016,0.9282248060207277,0.031181947184322212,-0.0306782540433419,3,0.13067636565510554,-0.06691011235955058,0.2340787705747437,2.7103826109649894e-12,7.253163285018683,0.005341860085836977,1.002236339862153e-15
GE230421C00090000,2023-04-07,10:00:00,2023-04-21,5.4,5.3,5.5,90,14,c,4780,0.3162163630821387,0.8762160072575575,0.04403860220492106,-0.04271741572956511,1,0.2806763656551059,-0.055055555555555635,0.24773129470856936,6.21947756207718e-08,6.4803748134468995,1.8980038924573295,5.785857648547075e-09
GE230421C00091000,2023-04-07,10:00:00,2023-04-21,4.550000000000001,4.45,4.65,91,14,c,115,0.3084900951155165,0.8261850514468705,0.05586151345937651,-0.05066103004146516,5,0.43067636565510625,-0.04346153846153844,0.2452396332312937,1.7778083613694102e-05,5.741978632448331,0.05792235545729141,3.978952248188422e-08
GE230421C00092000,2023-04-07,10:00:00,2023-04-21,3.75,3.65,3.85,92,14,c,350,0.2936871777586877,0.7651447728308058,0.0678389447061889,-0.05785748069676888,5,0.6306763656551055,-0.032119565217391344,0.2417379418020093,0.001412695066555317,5.041110268348023,0.214083306629493,9.622821176053153e-06
GE230421C00093000,2023-04-07,10:00:00,2023-04-21,2.97,2.89,3.05,93,14,c,271,0.280796505342218,0.697283040425245,0.08059250112157912,-0.06171566226590741,2,0.8506763656551057,-0.021021505376344063,0.23126796093899143,0.02823379771727346,4.380870207054954,0.19692443180305624,0.00014891022920712177
GE230421C00094000,2023-04-07,10:00:00,2023-04-21,2.33,2.26,2.4,94,14,c,422,0.2724948722165894,0.6112608804538677,0.08867161726655581,-0.06614636671145924,44,1.2106763656551056,-0.01015957446808513,0.2308171276797617,0.16922219828669413,3.7643092282086776,0.3373904276526123,0.0013898109395703569
GE230421C00095000,2023-04-07,10:00:00,2023-04-21,1.725,1.66,1.79,95,14,c,9574,0.2633441680974501,0.5200811223187052,0.0953867157060806,-0.06547037863985183,6,1.6056763656551056,0.00047368421052629284,0.223038154287855,0.07244111326141373,3.1943856684372047,8.234116268071778,0.013497846388507307
GE230421C00096000,2023-04-07,10:00:00,2023-04-21,1.235,1.2,1.27,96,14,c,1011,0.2543510413314145,0.4235479935198905,0.09583766804155402,-0.06202954094067037,11,2.115676365655106,0.010885416666666647,0.2181842686183295,-0.22818121392024374,2.6738562854497023,0.8736210091814776,-0.004489696501863069
GE230421C00097000,2023-04-07,10:00:00,2023-04-21,0.8500000000000001,0.81,0.89,97,14,c,367,0.2476095598780046,0.32936115676829303,0.09005795050143206,-0.055562945226744764,6,2.7306763656551056,0.021082474226804093,0.21456637017267174,-0.06819012988148204,2.205073549684899,0.2980051707909172,-0.0004870499737450435
GE230421C00098000,2023-04-07,10:00:00,2023-04-21,0.5700000000000001,0.54,0.6,98,14,c,614,0.2479962933259915,0.24560288852539802,0.07880865698917106,-0.047341641964460224,14,3.450676365655106,0.03107142857142864,0.2132926414981251,-0.0029483261741108584,1.7896939695244707,0.4362927275870907,-3.5231395154417924e-05
GE230421C00099000,2023-04-07,10:00:00,2023-04-21,0.365,0.34,0.39,99,14,c,308,0.2432912713622251,0.17441910782510783,0.06487216252404338,-0.03782830179083568,59,4.245676365655106,0.04085858585858593,0.21174542868934626,-2.2419605574000067e-05,1.4283446551359407,0.1801543562760603,-1.343892798507649e-07
