option_1,option_2,c_p_s+k,mid_call,mid_put,K,spot,days,iv_call,iv_put
GE2230616P00080000,GE2230616C00080000,2631.8656309602716,42.15,0.135,80,94.955,70,2.3053226197525896,0.230458147151564
GE2230616P00090000,GE2230616C00090000,2611.5988348303053,32.099999999999994,0.195,90,94.955,70,1.8511164843439794,0.10778200673846433
GE2230616P00095000,GE2230616C00095000,2596.965436765323,27.125,0.32,95,94.955,70,1.6435081364521695,0.03804809594785368
GE230616P00080000,GE2230616C00080000,2530.3656309602716,42.15,1.15,80,94.955,70,2.3053226197525896,0.3919246572425124
GE230616P00085000,GE2230616C00085000,2471.232232895288,37.35,1.895,85,94.955,70,2.08758683505837,0.363702985031264
GE230616P00090000,GE2230616C00090000,2318.5988348303053,32.099999999999994,3.125,90,94.955,70,1.8511164843439794,0.34152545933837414
GE230616P00095000,GE2230616C00095000,2136.4654367653225,27.125,4.925,95,94.955,70,1.6435081364521695,0.3191894702344217
GE230616P00100000,GE2230616C00100000,1901.8320387003391,22.55,7.65,100,94.955,70,1.466335557036867,0.310876536399466
GE230616P00105000,GE2230616C00105000,1594.6986406353556,18.049999999999997,11.175,105,94.955,70,1.293952256338489,0.31069286750425446
GE2230616P00095000,GE230616C00095000,439.4654367653228,5.550000000000001,0.32,95,94.955,70,0.3102959727304456,0.03804809594785368
