symbol,date,time,expirationDate,mid,bid,ask,strike,days,typo,oi,iv_traded,delta_bs,gamma_bs,theta_bs,volume,prem_ivalue,moneyness,iv_bs,vanna_bs,merton,gex,vex
GS230421C00260000,2023-04-07,10:00:00,2023-04-21,64.25,63.75,64.75,260.0,14,c,6,0.7147057840257305,0.9532826094314828,0.0021988711296216934,-0.15128551047806127,4,0.7439299235073804,-0.24328846153846162,0.6837112609460528,1.1784955804110596e-16,63.38830692854083,0.0013786103346304767,4.188142767046386e-20
GS230421C00270000,2023-04-07,10:00:00,2023-04-21,54.3,53.8,54.8,270.0,14,c,11,0.6161781664275532,0.9452624765351914,0.0028953552089205914,-0.15065086049314402,2,0.7939299235073776,-0.19724074074074083,0.5908636441256608,3.611804795210445e-15,53.411328823370226,0.0033280131909806574,2.3532020850040933e-18
GS230421C00275000,2023-04-07,10:00:00,2023-04-21,49.45,49.05,49.85,275.0,14,c,19,0.5917799435263933,0.9352584921710871,0.003488926907380119,-0.16386389303963966,1,0.9439299235073833,-0.17547272727272722,0.5607838083128306,1.1369777733321187e-13,48.430302007654646,0.00692685304922272,1.2795222572979771e-16
GS230421C00277500,2023-04-07,10:00:00,2023-04-21,47.025,46.55,47.5,277.5,14,c,2,0.5797591245124999,0.9298430798974522,0.003827484320595431,-0.1697197695961492,2,1.018929923507379,-0.16488288288288278,0.5445391100521435,5.785833972412835e-13,45.94464316581465,0.0007998967241154007,6.853907389973685e-17
GS230421C00280000,2023-04-07,10:00:00,2023-04-21,44.65,44.15,45.15,280.0,14,c,115,0.5697811433848907,0.9221350289127628,0.004239729562982575,-0.18017267208968946,10,1.143929923507379,-0.1544821428571428,0.533058220994618,4.563114974666495e-12,43.464472214952,0.05094792467030942,3.108146788741359e-14
GS230421C00282500,2023-04-07,10:00:00,2023-04-21,42.175,41.7,42.65,282.5,14,c,2,0.5430897768344135,0.9179836555972543,0.004612803650161368,-0.17987396251577792,1,1.1689299235073776,-0.14426548672566364,0.5098838755172775,1.3046523387905274e-11,40.99229600211556,0.0009640187182210676,1.5454930695935316e-15
GS230421C00285000,2023-04-07,10:00:00,2023-04-21,39.825,39.45,40.2,285.0,14,c,26,0.5299777038437572,0.9084709520081446,0.005123921340555171,-0.1912295773424404,4,1.3189299235073833,-0.13422807017543859,0.49884619578175965,1.0831085227479307e-10,38.53145817940641,0.013920867643389076,1.6679675232095629e-13
GS230421C00287500,2023-04-07,10:00:00,2023-04-21,37.375,37.05,37.7,287.5,14,c,3,0.5063719319660651,0.9023946129069316,0.005620328096256344,-0.1923805826863756,4,1.3689299235073804,-0.12436521739130435,0.4771577490321537,3.7875579391557834e-10,36.0862855650261,0.0017618682361903765,6.730120015431643e-14
GS230421C00290000,2023-04-07,10:00:00,2023-04-21,35.05,34.65,35.45,290.0,14,c,21,0.4961993841916206,0.8908348815324985,0.006250780870686867,-0.2039006772654588,5,1.5439299235073776,-0.11467241379310344,0.46582146748021774,3.0563071696851434e-09,33.66221095482979,0.013716524116002635,3.801531242691159e-12
GS230421C00292500,2023-04-07,10:00:00,2023-04-21,32.724999999999994,32.4,33.05,292.5,14,c,8,0.4861245084735191,0.8786638227800125,0.006938919554499989,-0.21390999400072985,2,1.7189299235073747,-0.10514529914529902,0.4527605202155248,2.1056318385627068e-08,31.265853170584084,0.00580059230098309,9.977338228300662e-12
GS230421C00295000,2023-04-07,10:00:00,2023-04-21,30.375,30.0,30.75,295.0,14,c,50,0.4735281194777971,0.8666613227999775,0.007694422556880909,-0.22049735277137472,6,1.8689299235073804,-0.09577966101694924,0.43629334491186395,1.142358595694623e-07,28.905035014810686,0.04020097067472251,3.3830991601052605e-10
GS230421C00297500,2023-04-07,10:00:00,2023-04-21,28.175,27.8,28.55,297.5,14,c,43,0.4622213471803786,0.8483691699868956,0.008547969159167224,-0.23640431689119978,2,2.168929923507381,-0.08657142857142852,0.428770155422925,1.0290844076370565e-06,26.588722380699572,0.03840801869951578,2.620968024503858e-09
GS230421C00300000,2023-04-07,10:00:00,2023-04-21,26.025,25.7,26.35,300.0,14,c,116,0.4533897342764428,0.827690647789936,0.009452252029973351,-0.2527382091969166,1,2.518929923507379,-0.07751666666666668,0.4217394904529439,8.323553737119898e-06,24.3268731870943,0.11457339559278237,5.7188544832407385e-08
GS230421C00302500,2023-04-07,10:00:00,2023-04-21,23.875,23.55,24.2,302.5,14,c,15,0.4446425722690056,0.8061735304709217,0.010420752936113331,-0.2657940496699247,1,2.8689299235073804,-0.06861157024793396,0.41193293228608474,5.218965851782876e-05,22.130192733917003,0.0163335603196859,4.636795938594553e-08
GS230421C00305000,2023-04-07,10:00:00,2023-04-21,21.775,21.45,22.1,305.0,14,c,165,0.4394054519934477,0.7821002608093153,0.01144430385124906,-0.278350130493223,1,3.268929923507379,-0.059852459016393356,0.40228559178907475,0.000291158038547545,20.00980167068393,0.19731669223797918,2.8454764676832307e-06
GS230421C00307500,2023-04-07,10:00:00,2023-04-21,19.625,19.45,19.8,307.5,14,c,37,0.4221353349740287,0.7579454905856764,0.012608561625881975,-0.2846054795393762,2,3.6189299235073804,-0.051235772357723475,0.38743424655862,0.0012443347404238947,17.97683281584389,0.0487481088015147,2.726975395468537e-06
GS230421C00310000,2023-04-07,10:00:00,2023-04-21,17.700000000000003,17.55,17.85,310.0,14,c,318,0.412574675214747,0.7266848957979022,0.013663144287079376,-0.29801116598446953,3,4.193929923507383,-0.04275806451612896,0.38097650085843404,0.005566312436751223,16.04198213501592,0.45401298793288086,0.0001048424035359839
