option_1,option_2,c_p_s+k,mid_call,mid_put,K,spot,days,iv_call,iv_put
GS230616P00375000,GS230616C00375000,267.004854873727,1.535,52.474999999999994,375.0,323.255,70,0.2438287323434143,0.27734378742780863
GS230616P00380000,GS230616C00380000,256.63825293870985,1.16,56.95,380.0,323.255,70,0.2429958665027442,0.2774663005060155
GS230616P00370000,GS230616C00370000,249.87145680874576,2.01,47.825,370.0,323.255,70,0.24469710857182017,0.2690052100618378
GS230616P00385000,GS230616C00385000,248.27165100369086,0.89,61.55,385.0,323.255,70,0.24350249082782616,0.27932233973619963
GS230616P00365000,GS230616C00365000,244.23805874376328,2.67,43.475,365.0,323.255,70,0.2475708090204683,0.2673498607517201
GS230616P00355000,GS230616C00355000,234.47126261379373,4.449999999999999,35.25,355.0,323.255,70,0.2526062377479374,0.26631307937413456
GS230616P00360000,GS230616C00360000,231.6046606787758,3.4749999999999996,39.2,360.0,323.255,70,0.25013796394499704,0.2646021252464682
GS230616P00350000,GS230616C00350000,222.33786454881184,5.725,31.45,350.0,323.255,70,0.2573593681551772,0.2673571957629556
GS230616P00345000,GS230616C00345000,212.70446648382978,7.199999999999999,27.875,345.0,323.255,70,0.2615724280788647,0.2690019400408541
GS230616P00335000,GS230616C00335000,200.9376703538601,11.025,21.675,335.0,323.255,70,0.27293439129959257,0.2776163510320076
GS230616P00340000,GS230616C00340000,195.57106841884763,8.975,24.525,340.0,323.255,70,0.2670059498506339,0.2708536690957102
GS230616P00330000,GS230616C00330000,191.30427228887825,13.375,18.975,330.0,323.255,70,0.2797619284867693,0.2826544076359608
GS230616P00325000,GS230616C00325000,181.67087422389602,15.975,16.525,325.0,323.255,70,0.2866791281736045,0.2878621561096033
GS230519P00365000,GS230519C00365000,66.82059688208781,1.1949999999999998,41.575,365.0,323.255,42,0.2562836318610142,0.23360640500289687
GS230505P00265000,GS230505C00265000,65.49752544506902,60.55,0.655,265.0,323.255,28,0.5501047581406119,0.4259124522987532
