symbol,date,time,expirationDate,mid,bid,ask,strike,days,typo,oi,iv_traded,delta_bs,gamma_bs,theta_bs,volume,prem_ivalue,moneyness,iv_bs,vanna_bs,merton,gex,vex
HD230421C00240000,2023-04-07,10:00:00,2023-04-21,49.525000000000006,48.95,50.1,240.0,14,c,10,0.6131301919648047,0.9659092618576892,0.0024404491227869585,-0.08481355601109897,10,0.3151607775051559,-0.20406250000000004,0.5298141836505638,1.9266459869584994e-19,49.1185255261269,0.00203793488219746,1.1464238274639324e-22
HD230421C00245000,2023-04-07,10:00:00,2023-04-21,44.3,44.0,44.6,245.0,14,c,9,0.5029188610296358,0.9795783796921143,0.0019907958659359792,-0.047547052249527155,8,0.0901607775051474,-0.17948979591836745,0.4153230495231322,2.8173289738352983e-24,44.1287519294232,0.0014962004618654123,1.508771086408715e-27
HD230421C00250000,2023-04-07,10:00:00,2023-04-21,39.275,38.9,39.65,250.0,14,c,24,0.4405365381898768,0.9807877276738708,0.0021796810045771053,-0.04141613172484426,1,0.06516077750514881,-0.15590000000000015,0.3590858449271056,8.062687492888079e-25,39.14200374646161,0.004368423411721655,1.1514215420344079e-27
HD230421C00255000,2023-04-07,10:00:00,2023-04-21,34.375,34.0,34.75,255.0,14,c,13,0.4090018042247698,0.9694828667665689,0.003416453679960796,-0.055878087088082395,1,0.16516077750515024,-0.13323529411764712,0.34427347384012574,2.6819763386681345e-20,34.165893293812296,0.0037088514083869796,2.0746344062184024e-23
HD230421C00260000,2023-04-07,10:00:00,2023-04-21,29.575,29.25,29.9,260.0,14,c,41,0.3950376931679911,0.9480964704135175,0.005444966362233572,-0.08053316875468397,1,0.3651607775051495,-0.11144230769230767,0.33683014082096296,2.1691647723295763e-15,29.221484396108014,0.018642304726350478,5.291998119976896e-18
HD230421C00262500,2023-04-07,10:00:00,2023-04-21,27.049999999999997,26.7,27.4,262.5,14,c,1,0.3626494634231906,0.9472279067628264,0.0060435017346094355,-0.07576205972462091,1,0.3401607775051474,-0.10085714285714298,0.3075870059016619,3.344012217120506e-15,26.774688431744803,0.0005046719835534382,1.9898078375516419e-19
HD230421C00265000,2023-04-07,10:00:00,2023-04-21,24.575,24.25,24.9,265.0,14,c,63,0.3380929953127231,0.9414564693024374,0.007054604722611657,-0.07698839799105528,2,0.3651607775051495,-0.09047169811320765,0.2864917406044674,2.987010363725589e-14,24.356793028346384,0.037113659503712475,1.1197486837400013e-16
HD230421C00267500,2023-04-07,10:00:00,2023-04-21,22.25,21.95,22.55,267.5,14,c,57,0.3278549640811191,0.921240848400906,0.008975636127672715,-0.09395091937731692,3,0.5401607775051502,-0.08028037383177589,0.2842552889675133,1.084399526648914e-11,21.98042256537642,0.0427228915231636,3.677963853380143e-14
HD230421C00270000,2023-04-07,10:00:00,2023-04-21,19.875,19.5,20.25,270.0,14,c,84,0.311911359466252,0.9042545657166556,0.01090682189897052,-0.10312727408836864,2,0.6651607775051502,-0.07027777777777788,0.2712179188137025,4.70950638311869e-10,19.66121811771931,0.07650645030539621,2.3539539233402087e-12
HD230421C00272500,2023-04-07,10:00:00,2023-04-21,17.575000000000003,17.3,17.85,272.5,14,c,24,0.3038470777133595,0.8795648125918376,0.01334236898742347,-0.11653405046227405,13,0.8651607775051531,-0.060458715596330315,0.26206358493565257,3.222103080835075e-08,17.417467591160197,0.026740205071337,4.6014420144665743e-11
