symbol,date,time,expirationDate,mid,bid,ask,strike,days,typo,oi,iv_traded,delta_bs,gamma_bs,theta_bs,volume,prem_ivalue,moneyness,iv_bs,vanna_bs,merton,gex,vex
ITW230421C00220000,2023-04-07,10:00:00,2023-04-21,9.6,9.0,10.2,220,14,c,17,0.2817693315675832,0.7851740951812403,0.0266439047180711,-0.12442907021246974,5,1.3473625491570314,-0.03647727272727286,0.24310489176397296,0.0004025276009962036,9.901812933539755,0.02355112850051739,3.5785888959166966e-07
ITW230421C00230000,2023-04-07,10:00:00,2023-04-21,2.925,2.45,3.4,230,14,c,59,0.2332434279139635,0.4337217414861927,0.04214336596586321,-0.13799832233039444,1,4.6723625491570315,0.00858695652173913,0.2074578578574458,-0.23465334727340714,3.9749424573031225,0.12928441062778182,-0.0007240123744964513
ITW230421C00240000,2023-04-07,10:00:00,2023-04-21,0.425,0.15,0.7,240,14,c,518,0.2215372045283166,0.10220959516439587,0.020065802071589367,-0.056546570561475995,2,12.172362549157032,0.04989583333333336,0.19757710249991853,-2.6605361225701842e-09,1.130209298158478,0.5404446383034585,-7.207192852715482e-11
ITW230421P00210000,2023-04-07,10:00:00,2023-04-21,0.325,0.15,0.5,210,14,p,529,0.308768564821354,-0.05958163580105924,0.009539824250559548,-0.0496289503227994,202,18.577637450842968,-0.08583333333333343,0.27612007728730376,6.273389142399879e-14,0.26737926153140873,-0.2623982744301651,-1.7355020206732337e-15
ITW230421P00220000,2023-04-07,10:00:00,2023-04-21,1.4,1.1,1.7,220,14,p,321,0.2739345930232356,-0.21647000762952118,0.0265152012302039,-0.11156986538377422,2,9.652637450842969,-0.03647727272727286,0.24594201785316186,0.0004681728553660833,1.664527596376887,-0.44255259190803925,-7.859202624455008e-06
ITW230421P00230000,2023-04-07,10:00:00,2023-04-21,4.95,4.5,5.4,230,14,p,338,0.2412479911510785,-0.5595847544733523,0.039240778644256125,-0.13221546920608418,201,3.2026374508429685,0.00858695652173913,0.22332703652860164,-0.2126615787537823,5.719054444605867,-0.6896349221784241,0.0037590054694727855
ITW230421P00240000,2023-04-07,10:00:00,2023-04-21,12.35,11.6,13.1,240,14,p,400,0.2219117558936371,-0.8706378101353884,0.021169153061606494,-0.05704204994429851,1,0.6026374508429679,0.04989583333333336,0.22039000230024058,-1.4032497239001408e-07,12.855718609926834,-0.44027943773207007,2.935365465458633e-09
ITW230421P00250000,2023-04-07,10:00:00,2023-04-21,22.45,21.7,23.2,250,14,p,0,0.3664551039032436,-0.8976792437598746,0.011172890772570554,-0.08033489387733894,1,0.7026374508429676,0.08789999999999998,0.35293238233269697,-1.3074551411988533e-09,21.931868758626972,-0.0,0.0
ITW230519C00220000,2023-04-07,10:00:00,2023-05-19,13.75,13.3,14.2,220,42,c,2,0.3068827856512217,0.6697430578422647,0.016082555926999476,-0.10435611836560632,1,5.041405668925734,-0.03647727272727286,0.28784855273434123,0.24373587428835436,13.147117229836752,0.0016724378769966122,2.549274929094217e-05
ITW230519C00230000,2023-04-07,10:00:00,2023-05-19,7.9,7.7,8.1,230,42,c,39,0.2879131483639022,0.49345710604637993,0.018612843843968108,-0.10733340912018097,6,9.191405668925734,0.00858695652173913,0.2744591636307612,-0.06549670070369955,7.657344776664915,0.03774350862506978,-0.0001335830189885584
ITW230519C00240000,2023-04-07,10:00:00,2023-05-19,3.7,3.4,4.0,240,42,c,147,0.2664354056314285,0.30467799671947127,0.017573675137327882,-0.08636884231159936,12,14.991405668925733,0.04989583333333336,0.25542620359125134,-0.2767046784331026,4.018036300299915,0.1343212910451879,-0.002127164421900706
ITW230519C00250000,2023-04-07,10:00:00,2023-05-19,1.25,1.05,1.45,250,42,c,349,0.2453820234357954,0.13992711918260348,0.01225416646821742,-0.04931817134766847,10,22.541405668925734,0.08789999999999998,0.23292997321823722,-0.012863760507669356,1.8984956486165896,0.22236894289930173,-0.00023477972879219655
ITW230519C00260000,2023-04-07,10:00:00,2023-05-19,0.35,0.15,0.55,260,42,c,104,0.2334891025105188,0.04967176087883329,0.005908496424344989,-0.021386245480910726,10,31.641405668925735,0.12298076923076917,0.2228263536979223,-2.6771600112391284e-05,0.810414189440065,0.03195032242222057,-1.45604531841328e-07
ITW230519P00185000,2023-04-07,10:00:00,2023-05-19,0.625,0.3,0.95,185,42,p,1,0.4016552804729425,-0.0474925567433504,0.0032775044889188365,-0.033925111681388675,1,44.333594331074266,-0.23256756756756758,0.3875483360035164,1.0983856482413522e-05,0.05972639766595817,-0.00017041515895157078,-5.744101076040011e-10
ITW230519P00190000,2023-04-07,10:00:00,2023-05-19,0.75,0.45,1.05,190,42,p,1,0.3797010421583831,-0.059015566409315046,0.004169242990847977,-0.0375995480403265,1,39.458594331074266,-0.20013157894736855,0.36191641987999024,4.818688115227713e-05,0.1403411559288167,-0.00021678145961211376,-2.5199738936955507e-09
ITW230519P00195000,2023-04-07,10:00:00,2023-05-19,1.1,0.85,1.35,195,42,p,9,0.363760263270083,-0.08327325445207645,0.005566431471315525,-0.04780522425600653,2,34.80859433107427,-0.1693589743589743,0.35320809010999304,0.000421073680940013,0.30073168098296277,-0.00260485950962393,-1.9818365333587922e-07
ITW230519P00200000,2023-04-07,10:00:00,2023-05-19,1.4,1.1,1.7,200,42,p,19,0.3441484565496586,-0.10730037408631654,0.007137811273150163,-0.05404682926443849,2,30.108594331074265,-0.14012500000000006,0.3320038274986048,0.0019883875506043775,0.5926448388090368,-0.007051533777928597,-1.97570391290772e-06
ITW230519P00210000,2023-04-07,10:00:00,2023-05-19,2.5999999999999996,2.3,2.9,210,42,p,23,0.3127412023563249,-0.1901369342704129,0.011481021893189336,-0.07202837461050349,5,21.308594331074268,-0.08583333333333343,0.303302312183932,0.04124611144576783,1.8459490896521509,-0.013730087657177837,-4.9611010221238396e-05
ITW230519P00220000,2023-04-07,10:00:00,2023-05-19,4.95,4.7,5.2,220,42,p,47,0.2925109239828575,-0.325466845914546,0.016321562155141578,-0.08764464541564543,21,13.658594331074266,-0.03647727272727286,0.2828594172744783,0.24624488125393287,4.487033490471998,-0.039886369664873966,-0.000605246508940684
ITW230519P00230000,2023-04-07,10:00:00,2023-05-19,8.850000000000001,8.4,9.3,230,42,p,108,0.2669087362143391,-0.5056639727559542,0.019372907296144604,-0.08723733887324592,39,7.558594331074268,0.00858695652173913,0.26367383541868616,-0.07271961237210363,8.94155676418178,-0.10878862422247462,0.0004107168631456396
ITW230519P00240000,2023-04-07,10:00:00,2023-05-19,14.8,14.1,15.5,240,42,p,108,0.2488820993637518,-0.6966498765767604,0.017802270004807497,-0.06687121294307907,4,3.508594331074267,0.04989583333333336,0.25069325263956166,-0.27362559391479707,15.246544014698399,-0.09996870538091375,0.0015454241564708858
ITW230519P00250000,2023-04-07,10:00:00,2023-05-19,22.85,22.2,23.5,250,42,p,6,0.2431330488728809,-0.8326385837717609,0.012416289756345122,-0.041657929633931445,6,1.5585943310742678,0.08789999999999998,0.2562278330971397,-0.026873030560438726,23.071299089896694,-0.0038735397609434893,8.432087801173846e-06
ITW230616C00185000,2023-04-07,10:00:00,2023-06-16,45.8,44.8,46.8,185,70,c,18,0.4355823058035278,0.8972459004382927,0.004255287819887599,-0.058045219312745644,4,1.6345379704057308,-0.23256756756756758,0.4050190970733818,0.016648433701899258,44.07353526822726,0.003982597109455294,1.5671591755613037e-05
ITW230616C00190000,2023-04-07,10:00:00,2023-06-16,41.35,40.6,42.1,190,70,c,5,0.4168822596918301,0.874735528826065,0.005081412766116955,-0.06455177764183162,1,2.184537970405735,-0.20013157894736855,0.3932016239374648,0.033094390231028364,39.36530491496561,0.0013210504625762029,8.653496285266795e-06
ITW230616C00195000,2023-04-07,10:00:00,2023-06-16,36.55,36.1,37.0,195,70,c,58,0.3810640948179997,0.8591720163252603,0.006016775131456598,-0.06489718587132387,5,2.384537970405731,-0.1693589743589743,0.361144746825818,0.05202098142246208,34.79379876035945,0.018144988738976124,0.00015778792265670814
ITW230616C00200000,2023-04-07,10:00:00,2023-06-16,31.95,31.4,32.5,200,70,c,7,0.3547716338077843,0.835714872122395,0.007180686196761599,-0.06716415300606826,1,2.784537970405733,-0.14012500000000006,0.3364492717806531,0.08720044673419011,30.404725261444863,0.0026135385889411887,3.1921550186249195e-05
ITW230616C00210000,2023-04-07,10:00:00,2023-06-16,23.45,22.7,24.2,210,70,c,30,0.3165679647546,0.7614111912372934,0.010068030924514915,-0.07489136122099538,1,4.284537970405733,-0.08583333333333343,0.30245484311535664,0.22819821459340178,22.364460656984186,0.015704739042751267,0.00035801458588659833
ITW230616C00220000,2023-04-07,10:00:00,2023-06-16,16.15,15.5,16.8,220,70,c,153,0.2939696897063774,0.6491613561037113,0.012991244169313632,-0.08199517198450934,4,6.984537970405732,-0.03647727272727286,0.28175006455566654,0.3198229286299549,15.58349674416141,0.10334919661570062,0.00255898800579133
ITW230616C00230000,2023-04-07,10:00:00,2023-06-16,10.3,10.1,10.5,230,70,c,178,0.2784221685140148,0.5090657417797573,0.014747198200382172,-0.08239812301964555,6,11.134537970405734,0.00858695652173913,0.26777522094254236,-0.03525292998306493,10.254269310060476,0.13648799317747676,-0.0003281575830900955
ITW230616C00240000,2023-04-07,10:00:00,2023-06-16,5.7,5.5,5.9,240,70,c,354,0.2579093493578054,0.3558130569729201,0.01483139424607316,-0.07070931014210124,79,16.534537970405733,0.04989583333333336,0.24914720534316306,-0.46810367070650766,6.365803178992823,0.2729921571207704,-0.008665877237468207
ITW230616C00250000,2023-04-07,10:00:00,2023-06-16,2.675,2.4,2.95,250,70,c,752,0.2396211715894841,0.21156904330450477,0.01236436281804032,-0.050632866791106235,577,23.509537970405734,0.08789999999999998,0.2324132779011457,-0.2803892852711765,3.73133943936397,0.4834532786440391,-0.01102672332943239
ITW230616C00260000,2023-04-07,10:00:00,2023-06-16,1.15,0.85,1.45,260,70,c,311,0.2318044774805864,0.10981351480198187,0.008305311534062554,-0.03136386671421554,11,31.984537970405732,0.12298076923076917,0.22461811319609465,-0.04732859888526149,2.0695239956900386,0.13430161816452393,-0.0007697527702067908
ITW230616C00270000,2023-04-07,10:00:00,2023-06-16,0.35,0.15,0.55,270,70,c,903,0.2195921332365558,0.04210772658935491,0.00425163191486444,-0.013862436316776805,1,41.184537970405735,0.15546296296296291,0.2099750254920426,-0.0015915379546240554,1.089392104107366,0.19962197016524144,-7.515743917260563e-05
ITW230616P00185000,2023-04-07,10:00:00,2023-06-16,1.2,0.95,1.45,185,70,p,280,0.357620346428438,-0.07180063382148383,0.003874381180324349,-0.03262273368159585,1,45.36546202959427,-0.23256756756756758,0.3510955317005396,0.006545835867758862,0.3173455712469864,-0.05640600046057897,-9.584961361519579e-05
ITW230616P00190000,2023-04-07,10:00:00,2023-06-16,1.5,1.3,1.7,190,70,p,228,0.341483378939961,-0.08992922953523497,0.004797475545714747,-0.03689974861915846,2,40.665462029594266,-0.20013157894736855,0.33607145489122536,0.014994692428513317,0.562781237335499,-0.05687383916128196,-0.00017878852135152552
ITW230616P00195000,2023-04-07,10:00:00,2023-06-16,1.9,1.6,2.2,195,70,p,171,0.3319482407800891,-0.11327996666108398,0.0059164851817783415,-0.041718498600793685,1,36.065462029594265,-0.1693589743589743,0.3223939380295789,0.03333489298131011,0.9449411020795186,-0.05260473296145338,-0.00029810029051713035
ITW230616P00200000,2023-04-07,10:00:00,2023-06-16,2.45,2.1,2.8,200,70,p,109,0.3145894891652707,-0.14356031408939707,0.007233694532260415,-0.04718645045081704,2,31.615462029594266,-0.14012500000000006,0.31082442783104625,0.07050430865457188,1.5095336225150935,-0.040996954127209,-0.00040189201732898324
ITW230616P00210000,2023-04-07,10:00:00,2023-06-16,3.95,3.5,4.4,210,70,p,342,0.2891552880905181,-0.22372488515576272,0.010390296756312978,-0.05640448424970357,1,23.115462029594266,-0.08583333333333343,0.28561064316250345,0.2238264060555972,3.3766010567547555,-0.1847646937203389,-0.004003175693888574
ITW230616P00220000,2023-04-07,10:00:00,2023-06-16,6.699999999999999,6.3,7.1,220,70,p,99,0.2738226729800336,-0.3428948803215981,0.013416877564509377,-0.06443593946350301,10,15.865462029594266,-0.03647727272727286,0.27174684327751253,0.33644173466731125,6.5029691826323175,-0.06906397648622069,-0.0017418561321238212
ITW230616P00230000,2023-04-07,10:00:00,2023-06-16,10.5,10.0,11.0,230,70,p,413,0.2510917000017253,-0.4887583187468181,0.015667765325133587,-0.061953934326394844,2,9.665462029594266,0.00858695652173913,0.2520766172569174,-0.04113511240240774,11.081073787231727,-0.33645116654624624,0.0008884438055623076
ITW230616P00240000,2023-04-07,10:00:00,2023-06-16,15.95,15.1,16.8,240,70,p,121,0.2295140834815021,-0.6495100691336297,0.015495656295883009,-0.04919394723672532,18,5.115462029594266,0.04989583333333336,0.23612600448263257,-0.49616431705486463,17.099939694864403,-0.09749004570326063,0.003139627480003386
ITW230616P00250000,2023-04-07,10:00:00,2023-06-16,23.65,23.1,24.2,250,70,p,14,0.2282744394714237,-0.7718340879454999,0.012181002411182362,-0.03609173124811349,1,2.815462029594265,0.08789999999999998,0.24370344371590053,-0.30117972544790766,24.372807993935897,-0.008866985405369253,0.00022050629511732923
