symbol,date,time,expirationDate,mid,bid,ask,strike,days,typo,oi,iv_traded,delta_bs,gamma_bs,theta_bs,volume,prem_ivalue,moneyness,iv_bs,vanna_bs,merton,gex,vex
JNJ230421C00135000,2023-04-07,10:00:00,2023-04-21,29.5,29.35,29.65,135.0,14,c,9,0.5697276014563721,0.9551105077767019,0.004761953853460454,-0.06687478919715062,1,0.3113833499760119,-0.2152222222222222,0.6023523195636621,5.914154632720405e-17,29.13431802352712,0.0011534708780558932,3.208596009441605e-20
JNJ230421C00140000,2023-04-07,10:00:00,2023-04-21,24.525,24.4,24.65,140.0,14,c,68,0.4949748013682366,0.9465941799904343,0.00642778434922775,-0.06675842356392536,1,0.3363833499760105,-0.17182142857142857,0.5143743263543112,2.543868253262126e-15,24.143622243543096,0.011763841188076536,1.0427576443182002e-17
JNJ230421C00142000,2023-04-07,10:00:00,2023-04-21,22.575,22.45,22.7,142.0,14,c,18,0.4735345546709703,0.9386473802850404,0.007546999505336771,-0.07111193537057403,1,0.3863833499760112,-0.15531690140845078,0.4897175209358027,4.4841330857735374e-14,22.147360198397926,0.0036561648491331765,4.8655378218272693e-17
JNJ230421C00143000,2023-04-07,10:00:00,2023-04-21,21.525,21.35,21.7,143.0,14,c,14,0.4352434406741192,0.9415848210901245,0.00776877005392862,-0.06455046751869631,2,0.3363833499760105,-0.1472377622377623,0.45745735668965837,1.7827141881477538e-14,21.1492505518448,0.002927246160758731,1.5044910575473624e-17
JNJ230421C00144000,2023-04-07,10:00:00,2023-04-21,20.575,20.45,20.7,144.0,14,c,22,0.4337997780464586,0.9346216382590811,0.008613555841918696,-0.06942342407831603,1,0.3863833499760112,-0.13927083333333345,0.45125650685177376,1.7418621191150416e-13,20.151180217119343,0.0051001634756080785,2.3100230287880774e-16
JNJ230421C00145000,2023-04-07,10:00:00,2023-04-21,19.549999999999997,19.4,19.7,145.0,14,c,638,0.4050271034609177,0.9349412998339801,0.009088997074968574,-0.0657725128662392,1,0.36138334997600907,-0.13141379310344825,0.42599892967257047,1.6742117457228836e-13,19.153193709623356,0.15606861801441457,6.438888687694443e-15
JNJ230421C00146000,2023-04-07,10:00:00,2023-04-21,18.5,18.3,18.7,146.0,14,c,27,0.3673330276657542,0.9381719447915771,0.009423983300393957,-0.05928920990943709,2,0.3113833499760119,-0.12366438356164378,0.3945965826594665,6.516248403285765e-14,18.15537806635793,0.006848212284369481,1.060574668151463e-16
JNJ230421C00147000,2023-04-07,10:00:00,2023-04-21,17.55,17.35,17.75,147.0,14,c,13,0.3661924957106641,0.9300468197057654,0.010564367229903837,-0.0639733395932005,15,0.3613833499760126,-0.11602040816326542,0.3880189631273267,7.774976861336471e-13,17.15789556302731,0.0036962878440479153,6.092875607387986e-16
JNJ230421C00148000,2023-04-07,10:00:00,2023-04-21,16.575,16.4,16.75,148.0,14,c,68,0.3560258284707088,0.9243939125754608,0.011624889957317919,-0.0656455154647162,3,0.3863833499760112,-0.10847972972972975,0.3746039702860255,3.707788301369601e-12,16.16103482530596,0.021275349616105853,1.519860389707199e-14
JNJ230421C00149000,2023-04-07,10:00:00,2023-04-21,15.6,15.45,15.75,149.0,14,c,36,0.34594004540879,0.9183269009815476,0.012812606797751869,-0.06712645609030865,2,0.41138334997601156,-0.10104026845637581,0.36067686402871396,1.7223580216564743e-11,15.165285752438225,0.012414205822215647,3.7377115874122345e-14
JNJ230421C00150000,2023-04-07,10:00:00,2023-04-21,14.65,14.5,14.8,150.0,14,c,1372,0.3380565158833882,0.9089429655781522,0.014295218608850746,-0.07080003009592417,18,0.46138334997601227,-0.09370000000000012,0.35106352696587856,1.411897892874337e-10,14.171442128041628,0.5278662005632146,1.1677160661868705e-11
JNJ230421C00152500,2023-04-07,10:00:00,2023-04-21,12.175,12.0,12.35,152.5,14,c,576,0.2953883936327138,0.8942395170290496,0.01833422761166048,-0.0695303038271664,1,0.4863833499760126,-0.07577049180327866,0.30586410171823347,2.6370429189738386e-09,11.70471057847507,0.28422615788373495,9.15628992422602e-11
JNJ230421C00155000,2023-04-07,10:00:00,2023-04-21,9.8,9.65,9.95,155.0,14,c,4032,0.2678029885453968,0.8621897298290548,0.02473854554096988,-0.07499008513216943,6,0.6113833499760126,-0.05841935483870975,0.2736116778425627,3.24622276131125e-07,9.297498305293834,2.6845631731924398,7.890030754951686e-08
JNJ230421C00157500,2023-04-07,10:00:00,2023-04-21,7.550000000000001,7.45,7.65,157.5,14,c,1723,0.2503609427091539,0.8071668554308076,0.033827280692122486,-0.08457048342522011,1,0.8613833499760126,-0.04161904761904767,0.24928770563243313,8.063588332878767e-05,7.022799500437656,1.5686689739663422,8.375167072653327e-06
JNJ230421C00160000,2023-04-07,10:00:00,2023-04-21,5.449999999999999,5.35,5.55,160.0,14,c,8223,0.2338798249439583,0.7247195382706462,0.04531028229060041,-0.09343867170743358,7,1.2613833499760112,-0.025343749999999998,0.22719140435951307,0.01024217269361468,4.984689302185228,10.027807780163759,0.005076942427905196
JNJ230421C00162500,2023-04-07,10:00:00,2023-04-21,3.575,3.5,3.65,162.5,14,c,4585,0.2162768580927072,0.6074473821640947,0.05747620305918133,-0.09710698684833607,16,1.886383349976012,-0.009569230769230774,0.20640623995462481,0.19538462768220985,3.2893886118075515,7.092614454392112,0.05400196782532736
JNJ230421C00165000,2023-04-07,10:00:00,2023-04-21,2.12,2.06,2.18,165.0,14,c,5818,0.2052655280137935,0.4557617504493683,0.06319395095655267,-0.0930354514425793,203,2.931383349976012,0.005727272727272692,0.1937554204196303,-0.20681743317558715,2.002215783296733,9.895281831662873,-0.07253384748328416
JNJ230421C00167500,2023-04-07,10:00:00,2023-04-21,1.11,1.07,1.15,167.5,14,c,794,0.1978357056799343,0.29819930195300604,0.057861107212175966,-0.07663394173510385,43,4.421383349976012,0.020567164179104425,0.1851277330661059,-0.03172055126287403,1.1194411521733165,1.2364774052122176,-0.0015182422843134633
