option_1,option_2,c_p_s+k,mid_call,mid_put,K,spot,days,iv_call,iv_put
JNJ230616P00195000,JNJ230616C00195000,163.70252453433773,0.075,30.85,195.0,164.055,70,0.17686292771164974,0.27925825115093544
JNJ230616P00190000,JNJ230616C00190000,147.0691264693553,0.12,25.775,190.0,164.055,70,0.1650557789724049,0.23786007371125964
JNJ230616P00185000,JNJ230616C00185000,135.93572840437355,0.235,20.825,185.0,164.055,70,0.1574583813760191,0.20511103536248015
JNJ230616P00180000,JNJ230616C00180000,128.30233033938896,0.54,16.1,180.0,164.055,70,0.1555064744101855,0.18419862757392158
JNJ230616P00175000,JNJ230616C00175000,117.66893227440676,1.225,11.725,175.0,164.055,70,0.15696552572947978,0.17226297182036318
JNJ230526P00175000,JNJ230526C00175000,103.67668219840613,0.6799999999999999,11.525,175.0,164.055,49,0.1543867448814056,0.1832056097637164
JNJ230616P00170000,JNJ230616C00170000,102.53553420942474,2.605,8.0,170.0,164.055,70,0.16357116990468884,0.16989290413205396
JNJ230519P00185000,JNJ230519C00185000,94.05290526900494,0.145,21.0,185.0,164.055,42,0.18773379813317662,0.2501787934984764
JNJ230616P00165000,JNJ230616C00165000,90.9021361444399,4.875,5.199999999999999,165.0,164.055,70,0.17442089245006479,0.1762229567875142
JNJ230526P00170000,JNJ230526C00170000,76.92877699273737,1.865,7.475,170.0,164.055,49,0.16408952088153952,0.1720253832078635
JNJ230519P00180000,JNJ230519C00180000,57.76769161308728,0.205,15.725,180.0,164.055,42,0.1621894272189436,0.17163530009859734
