symbol,date,time,expirationDate,mid,bid,ask,strike,days,typo,oi,iv_traded,delta_bs,gamma_bs,theta_bs,volume,prem_ivalue,moneyness,iv_bs,vanna_bs,merton,gex,vex
JPM230421C00105000,2023-04-07,10:00:00,2023-04-21,23.1,22.95,23.25,105.0,14,c,155,0.6792346065315018,0.9203969564177683,0.00796445785766764,-0.09561267051646283,42,0.6482443426910507,-0.21304761904761915,0.7315353248932254,4.923359962034342e-12,22.410746297501674,0.02002729128486018,2.011288134760785e-14
JPM230421C00110000,2023-04-07,10:00:00,2023-04-21,18.200000000000003,18.1,18.3,110.0,14,c,49,0.5879338700052433,0.8976696818121965,0.011446312093710276,-0.09822232042084522,36,0.7482443426910521,-0.157909090909091,0.6151533894523634,6.883039781632143e-10,17.43073895085956,0.009099048099337132,8.889091231443558e-13
JPM230421C00114000,2023-04-07,10:00:00,2023-04-21,14.325,14.2,14.45,114.0,14,c,0,0.5034315925911549,0.8691004057325813,0.01597824862642483,-0.10110852103965584,620,0.8732443426910486,-0.11728070175438599,0.5260049009037661,6.750436770635232e-08,13.494478324052357,0.0,0.0
JPM230421C00115000,2023-04-07,10:00:00,2023-04-21,13.4,13.25,13.55,115.0,14,c,37,0.494391727205345,0.8570721233593481,0.017501426352595217,-0.10439857292049304,3,0.9482443426910496,-0.10756521739130442,0.5103036955784552,3.1544862911759394e-07,12.528825958496244,0.010505324368491036,3.076177365528717e-10
JPM230421C00116000,2023-04-07,10:00:00,2023-04-21,12.45,12.3,12.6,116.0,14,c,1,0.4788143292349115,0.8461413161189313,0.019193684650531395,-0.10537310584117776,30,0.9982443426910486,-0.09801724137931034,0.4890719686276603,1.1319934157911098e-06,11.575776324060588,0.00031138138982730645,2.983492185463794e-11
JPM230421C00117000,2023-04-07,10:00:00,2023-04-21,11.525,11.4,11.65,117.0,14,c,195,0.465219077297256,0.8323782433879323,0.021089017696596102,-0.10755559103540513,7,1.0732443426910496,-0.08863247863247858,0.4709898738086555,4.745169424293727e-06,10.638884552151609,0.06671527188261923,2.4387503153511573e-08
JPM230421C00118000,2023-04-07,10:00:00,2023-04-21,10.625,10.5,10.75,118.0,14,c,297,0.4491035502106906,0.8157195911369541,0.023173184970914917,-0.11063890418809486,10,1.1732443426910493,-0.07940677966101695,0.4553886557605256,2.1716345683551455e-05,9.722211463164102,0.11165456275235733,1.6999032310389037e-07
JPM230421C00119000,2023-04-07,10:00:00,2023-04-21,9.725,9.6,9.85,119.0,14,c,294,0.433130299521684,0.7978426586573661,0.025501025149310408,-0.11284751739993482,7,1.273244342691049,-0.07033613445378162,0.43809613465154795,9.062001971898614e-05,8.830240882106288,0.12162959694772821,7.021865177884566e-07
JPM230421C00120000,2023-04-07,10:00:00,2023-04-21,8.85,8.75,8.95,120.0,14,c,781,0.4216330900805959,0.7768445071295815,0.028027419354259564,-0.11548975113315585,17,1.398244342691049,-0.061416666666666675,0.42248993590487227,0.00038275931671491177,7.967750297339298,0.35511453056038034,7.878758857146785e-06
JPM230421C00121000,2023-04-07,10:00:00,2023-04-21,8.075,7.95,8.2,121.0,14,c,184,0.4265160818947111,0.7483506628324754,0.030316385686290914,-0.12198309716276778,4,1.6232443426910486,-0.052644628099173696,0.41745612957570877,0.0018782700009472614,7.139639146901632,0.0904960334912499,9.108709447418216e-06
