option_1,option_2,c_p_s+k,mid_call,mid_put,K,spot,days,iv_call,iv_put
JPM230616P00105000,JPM230616C00105000,54.69864063535539,24.825,0.935,105.0,127.37,70,0.47588695954371996,0.35891719161104024
JPM230616P00115000,JPM230616C00115000,54.431844505389826,16.075,2.095,115.0,127.37,70,0.39050114925481855,0.31133549495259955
JPM230512P00110000,JPM230512C00110000,54.41399492543759,19.05,0.625,110.0,127.37,35,0.4868992582848768,0.3678175688353529
JPM230616P00120000,JPM230616C00120000,54.2984464404066,12.15,3.125,120.0,127.37,70,0.35661702836276254,0.2890748513125585
JPM230526P00127000,JPM230526C00127000,53.003207776013106,6.275,4.550000000000001,127.0,127.37,49,0.3193928310585513,0.26161806155222944
JPM230428P00110000,JPM230428C00110000,52.81986475312834,18.5,0.295,110.0,127.37,21,0.5507091599447687,0.3946537488895476
JPM230616P00110000,JPM230616C00110000,52.065242570373016,20.299999999999997,1.39,110.0,127.37,70,0.42791808975913465,0.3338292955346496
JPM230519P00105000,JPM230519C00105000,51.01051322569958,23.950000000000003,0.485,105.0,127.37,42,0.5265381430936318,0.389725263288146
JPM230519P00125000,JPM230519C00125000,50.86965860202328,7.075,3.5,125.0,127.37,42,0.3320582067436637,0.27389922713160075
JPM230519P00110000,JPM230519C00110000,50.22529956978019,19.275,0.79,110.0,127.37,42,0.46500504844101515,0.35889573954142195
JPM230505P00119000,JPM230505C00119000,49.266813313067104,10.7,1.395,119.0,127.37,28,0.3971370493347757,0.32223368045231304
JPM230519P00120000,JPM230519C00120000,49.15487225794237,10.675,2.145,120.0,127.37,42,0.3676771370205603,0.30151264464380545
