symbol,date,time,expirationDate,mid,bid,ask,strike,days,typo,oi,iv_traded,delta_bs,gamma_bs,theta_bs,volume,prem_ivalue,moneyness,iv_bs,vanna_bs,merton,gex,vex
KO230421C00061000,2023-04-07,10:00:00,2023-04-21,1.545,1.5,1.59,61.0,14,c,2120,0.1796097931528704,0.8390959913240015,0.1660299238914753,-0.015210995032103991,71,0.12177709062705411,-0.02254098360655732,0.1190031691968765,9.950205849099081e-06,1.6792958162516018,1.3694410657386036,1.8538971546502645e-07
KO230421C00062000,2023-04-07,10:00:00,2023-04-21,0.825,0.79,0.86,62.0,14,c,3124,0.1603310717860689,0.6163238503171076,0.25668317156557485,-0.02227916060914359,327,0.40177709062705413,-0.006048387096774244,0.12074879885700635,0.3095596392997939,0.9843388641468747,3.1198200100464226,0.00849910253372193
KO230421C00062500,2023-04-07,10:00:00,2023-04-21,0.535,0.51,0.56,62.5,14,c,26002,0.1494495762952682,0.4827664945553811,0.2773143521961341,-0.022070688804813776,40,0.6117770906270542,0.0020000000000000018,0.1167235630336055,-0.15498384045731262,0.7244492939286785,28.05435045926487,-0.03541692761236765
KO230421C00063000,2023-04-07,10:00:00,2023-04-21,0.315,0.29,0.34,63.0,14,c,6669,0.1410385389326839,0.34351533623071806,0.2646370952724686,-0.01936304484134521,104,0.8917770906270541,0.009920634920634885,0.11292537779032408,-0.17974625468470648,0.5256288088771066,6.866454643272492,-0.010535090696304414
KO230421C00064000,2023-04-07,10:00:00,2023-04-21,0.08,0.06,0.1,64.0,14,c,3215,0.1306885054791516,0.12282751924738572,0.15297584720741497,-0.009822985648701446,218,1.6567770906270542,0.025390625,0.10802807375350659,-1.3042287441286455e-07,0.27792189326881206,1.9134845572115111,-3.685126972220648e-09
KO230421C00065000,2023-04-07,10:00:00,2023-04-21,0.02,0.01,0.03,65.0,14,c,11632,0.1370923516209493,0.03627440527876162,0.05695455652508785,-0.0038567089200514174,229,2.596777090627054,0.04038461538461535,0.1135526045196052,-6.393841257466341e-18,0.15336205643820724,2.5775315229508933,-6.536329764150626e-19
KO230421P00053000,2023-04-07,10:00:00,2023-04-21,0.02,0.01,0.03,53.0,14,p,63,0.4179755118615315,-0.012220627082683462,0.00687753190748569,-0.004763934104555235,20,9.443222909372945,-0.17688679245283012,0.3750279987692495,1.3037863696430543e-28,0.0002718060419044456,-0.0016857543174568469,-7.218794808824213e-32
KO230421P00054000,2023-04-07,10:00:00,2023-04-21,0.025,0.02,0.03,54.0,14,p,32,0.3832026142635714,-0.015967225319021665,0.009325337679937096,-0.005610567040913353,5,8.448222909372946,-0.15509259259259256,0.34828861349225515,5.0217873407627184e-26,0.0007246263885932176,-0.0011610092038210084,-1.4122969049426102e-29
KO230421P00055000,2023-04-07,10:00:00,2023-04-21,0.03,0.02,0.04,55.0,14,p,7541,0.3491232903488171,-0.020357456901441,0.012536552045708249,-0.006352676214711219,4,7.453222909372946,-0.13409090909090904,0.31868174480226386,1.075445923964846e-23,0.0018793893580932764,-0.36781392411459,-7.12746724522627e-25
KO230421P00056000,2023-04-07,10:00:00,2023-04-21,0.03,0.02,0.04,56.0,14,p,53,0.3061360948916147,-0.02290779311625562,0.01578511765371743,-0.006169907285395133,7,6.453222909372946,-0.11383928571428581,0.27964116373333114,1.555192543747109e-22,0.0047340650167211696,-0.003254953660739758,-7.243988404639696e-26
KO230421P00057000,2023-04-07,10:00:00,2023-04-21,0.04,0.03,0.05,57.0,14,p,184,0.2764039536054084,-0.03228691868952041,0.023244179792880626,-0.007487544446836351,1,5.463222909372946,-0.0942982456140351,0.25284224953821655,2.5037864132475134e-19,0.01146145181853537,-0.01663999403624532,-4.048860491730039e-22
KO230421P00057500,2023-04-07,10:00:00,2023-04-21,0.05,0.04,0.06,57.5,14,p,5041,0.2619534103160392,-0.040699279464621874,0.0292984081014247,-0.008725903230961174,14,4.973222909372946,-0.08478260869565224,0.24245397093090176,3.2192393010020497e-17,0.017488261141610305,-0.5746214566852568,-1.4262237687939604e-18
KO230421P00058000,2023-04-07,10:00:00,2023-04-21,0.145,0.04,0.25,58.0,14,p,429,0.3032323870424855,-0.0884444787741176,0.046213890216584286,-0.01900639860218814,10,4.568222909372945,-0.07543103448275867,0.28190946335042605,1.2695907274089627e-10,0.026282580108029644,-0.0771349030091352,-4.786727951250335e-13
KO230421P00059000,2023-04-07,10:00:00,2023-04-21,0.085,0.07,0.1,59.0,14,p,820,0.2156064970731322,-0.07521439273599634,0.05714884657559427,-0.011923266747554229,3,3.508222909372946,-0.05720338983050843,0.20175619535310257,8.190987926565209e-12,0.056804107255955714,-0.18232341181029735,-5.902932942465649e-14
