symbol,date,time,expirationDate,mid,bid,ask,strike,days,typo,oi,iv_traded,delta_bs,gamma_bs,theta_bs,volume,prem_ivalue,moneyness,iv_bs,vanna_bs,merton,gex,vex
LIN230421C00335000,2023-04-07,10:00:00,2023-04-21,21.8,20.6,23.0,335,14,c,726,0.323823612010211,0.9297794201902576,0.008857965312358829,-0.09861947854647468,75,0.43366219207387147,-0.062343283582089626,0.21526759406918308,1.7470692474297906e-12,22.78921724650921,0.8144978890298687,8.772221028505064e-14
LIN230421C00340000,2023-04-07,10:00:00,2023-04-21,17.2,16.0,18.4,340,14,c,339,0.2911005779316425,0.8800362079359303,0.013787735753112429,-0.12872221749809043,2,0.83366219207387,-0.046720588235294125,0.2060341770917887,4.110042879726383e-08,18.470703811414236,0.5919867914006253,9.636268157128391e-10
LIN230421C00345000,2023-04-07,10:00:00,2023-04-21,13.75,12.4,15.1,345,14,c,245,0.3040174529061998,0.7612046682962337,0.018460244017859395,-0.2088605775647192,2,2.3836621920738708,-0.03155072463768116,0.23895768064835834,0.0017482382762381047,14.439155375033748,0.5728262202749734,2.9623033849517825e-05
LIN230421C00350000,2023-04-07,10:00:00,2023-04-21,9.55,8.4,10.7,350,14,c,593,0.2650510829704371,0.675288547409636,0.024361365085212583,-0.2113906473935323,3,3.1836621920738715,-0.01681428571428567,0.21023552288635158,0.05888254461355363,10.804287098716847,1.829682274373909,0.0024149274557417905
LIN230421C00355000,2023-04-07,10:00:00,2023-04-21,6.25,4.9,7.6,355,14,c,310,0.2464011166676338,0.5465845715683759,0.028437034460537802,-0.21549866299228615,2,4.883662192073871,-0.002492957746478952,0.19841354807121733,0.18501241133919102,7.6801291274265395,1.11651706483755,0.003966663712985212
LIN230421C00360000,2023-04-07,10:00:00,2023-04-21,3.8,2.9,4.7,360,14,c,1064,0.2341594468327633,0.40191501252782036,0.028582136750721077,-0.20037816527584873,116,7.433662192073871,0.01143055555555561,0.1927660564237044,-0.23975291843585764,5.152166767136112,3.8517286842573792,-0.017642834341316353
LIN230421C00365000,2023-04-07,10:00:00,2023-04-21,2.45,1.0,3.9,365,14,c,286,0.2411474154022303,0.2820004508797824,0.023646573930058423,-0.180822484426701,3,11.08366219207387,0.024972602739726013,0.2034850996211794,-0.015965748049876077,3.246166004892585,0.8565517889077955,-0.0003158043665525082
LIN230421C00370000,2023-04-07,10:00:00,2023-04-21,1.2999999999999998,0.95,1.65,370,14,c,615,0.2342718416971666,0.175255078150105,0.01839860833463547,-0.1330308507685416,18,14.933662192073871,0.03814864864864864,0.19978088301105731,-2.5731662019857145e-05,1.916620063009242,1.4331097715692522,-1.0944748342983325e-06
LIN230421C00375000,2023-04-07,10:00:00,2023-04-21,0.5750000000000001,0.1,1.05,375,14,c,345,0.2248810133550682,0.09271177106257023,0.012289020807632056,-0.08056831321069136,5,19.20866219207387,0.050973333333333315,0.19245135033423424,-4.499027979684248e-10,1.0615498661494553,0.5369770711082464,-1.073496456183115e-11
LIN230421C00385000,2023-04-07,10:00:00,2023-04-21,2.55,0.1,5.0,385,14,c,41,0.458613042757289,0.17439185879768448,0.009127144378062724,-0.26061823795118544,4,31.18366219207387,0.07562337662337659,0.4014608345942134,-1.1954253402012909e-05,0.2756127833901703,0.04739561296094161,-3.3897614804235356e-08
LIN230421P00310000,2023-04-07,10:00:00,2023-04-21,0.2,0.15,0.25,310,14,p,140,0.3895183355998323,-0.021220844070965472,0.0020462779465324488,-0.04160277827183459,5,46.56633780792613,-0.14801612903225814,0.354474054690963,2.3387309716684408e-23,0.1742181804775585,-0.036283738351770026,-2.2644937618565273e-25
LIN230421P00335000,2023-04-07,10:00:00,2023-04-21,1.25,0.4,2.1,335,14,p,454,0.3028905808004602,-0.12520907588031704,0.010502228637854216,-0.13756454075714086,14,22.61633780792613,-0.062343283582089626,0.2795724540093071,6.89227940078565e-08,1.4626265435429466,-0.603888401936422,-2.1641210704478527e-09
LIN230421P00340000,2023-04-07,10:00:00,2023-04-21,1.725,1.2,2.25,340,14,p,245,0.2755231936346244,-0.17242682438426415,0.014018524339132199,-0.1584183841248903,2,18.09133780792613,-0.046720588235294125,0.259503732284975,1.507214890096082e-05,2.1348117706807765,-0.43499849207025687,-2.553901165228381e-07
LIN230421P00345000,2023-04-07,10:00:00,2023-04-21,2.325,1.85,2.8,345,14,p,455,0.2473916250523085,-0.2350725034388823,0.018610088536874514,-0.17234733492575405,37,13.691337807926129,-0.03155072463768116,0.23527093808035257,0.0014875703831555734,3.0939619965331,-1.0724553079596493,-4.681141249166139e-05
LIN230421P00350000,2023-04-07,10:00:00,2023-04-21,3.85,3.1,4.6,350,14,p,226,0.2457559483040074,-0.3404626515291609,0.022134921402461316,-0.20517914766061285,55,10.216337807926129,-0.01681428571428567,0.23591523628704525,0.0775728153186503,4.449792382449003,-0.633586318236486,-0.0012124974069429911
LIN230421P00355000,2023-04-07,10:00:00,2023-04-21,5.4,4.6,6.2,355,14,p,125,0.2210910766240207,-0.45549709836758545,0.026033511710821244,-0.20023542294679508,91,6.76633780792613,-0.002492957746478952,0.21689430919967634,0.16115161846069953,6.316333073391505,-0.41215648256711895,-0.001393180895728159
LIN230421P00360000,2023-04-07,10:00:00,2023-04-21,7.9,6.9,8.9,360,14,p,67,0.2045058393322078,-0.5883501758573662,0.026365559770979985,-0.1843834551215151,1,4.26633780792613,0.01143055555555561,0.2101483829067641,-0.2310753029441549,8.779069375333883,-0.22373357702562174,0.0010707575854820726
LIN230421P00365000,2023-04-07,10:00:00,2023-04-21,11.5,10.5,12.5,365,14,p,53,0.2035616267235679,-0.7002925565565477,0.0223364266460635,-0.16699590030675182,1,2.8663378079261292,0.024972602739726013,0.22146793214331534,-0.027361765144474477,11.863767275323164,-0.14993704007865122,0.00010029581376099576
LIN230421P00370000,2023-04-07,10:00:00,2023-04-21,15.5,14.5,16.5,370,14,p,1,0.1862007961636531,-0.7886449326046652,0.017851801796808786,-0.13644304213875635,1,1.8663378079261292,0.03814864864864864,0.23052775335145595,-0.0003515661813530132,15.524919995672628,-0.0022610044830793144,2.4314756109734853e-08
