symbol,date,time,expirationDate,mid,bid,ask,strike,days,typo,oi,iv_traded,delta_bs,gamma_bs,theta_bs,volume,prem_ivalue,moneyness,iv_bs,vanna_bs,merton,gex,vex
LLY230421C00310000,2023-04-07,10:00:00,2023-04-21,55.5,54.0,57.0,310.0,14,c,273,0.4685576904271624,0.9834397312673104,0.001412099805975231,-0.06756099606209176,5,0.06620742292994919,-0.1771129032258063,0.3969777523347801,5.539658987647705e-26,55.33695501209937,0.05133193891472187,1.362172095807042e-27
LLY230421C00320000,2023-04-07,10:00:00,2023-04-21,45.575,43.75,47.4,320.0,14,c,1895,0.4097408182772101,0.9759351202433209,0.0022445138370130735,-0.07686954831088855,2,0.14120742292995203,-0.14032812499999991,0.3453636879328137,2.459093972332963e-22,45.393699969347715,0.5663581178048026,4.197306085062102e-23
LLY230421C00322500,2023-04-07,10:00:00,2023-04-21,43.099999999999994,41.55,44.65,322.5,14,c,15,0.3919097443767131,0.9732049771923101,0.0025519693025444212,-0.07987122243658717,15,0.1662074229299435,-0.1314883720930231,0.3328893487561818,2.6257744239108596e-21,42.92270383693448,0.005097137314378079,3.547602679243951e-24
LLY230421C00330000,2023-04-07,10:00:00,2023-04-21,35.6,34.1,37.1,330.0,14,c,977,0.3269693682861428,0.9701169965932621,0.0033521830999916347,-0.076727831926938,1,0.1662074229299506,-0.10577272727272713,0.27790265770009553,3.2875116356562827e-20,35.59436702635208,0.43609582040526096,2.8929982017101147e-21
LLY230421C00332500,2023-04-07,10:00:00,2023-04-21,33.425,32.5,34.35,332.5,14,c,171,0.3590367400015234,0.9426903667389297,0.005140587688856613,-0.11806711792956293,2,0.49120742292994635,-0.09745864661654124,0.3088403217216373,2.2213168911808303e-14,33.19680069337614,0.11704921639402116,3.4213139706293176e-16
LLY230421C00335000,2023-04-07,10:00:00,2023-04-21,31.05,29.65,32.45,335.0,14,c,343,0.3468041031117069,0.9311001585819767,0.006062263970818549,-0.12999768176531745,16,0.6162074229299499,-0.08926865671641782,0.3026130028127793,8.76729493899641e-13,30.832992912895527,0.27687809069672503,2.7086072601672936e-14
LLY230421C00337500,2023-04-07,10:00:00,2023-04-21,28.35,26.9,29.8,337.5,14,c,122,0.3036462950396813,0.9421810116458929,0.006149934854704497,-0.10544275399101721,1,0.4162074229299506,-0.08119999999999994,0.2599697402504978,3.1554199987934256e-14,28.511206889148816,0.09990563268175738,3.4673948974712643e-16
LLY230421C00340000,2023-04-07,10:00:00,2023-04-21,25.85,24.45,27.25,340.0,14,c,1030,0.2795639016168158,0.9386192839091478,0.006977210844638648,-0.10344791910647189,1,0.4162074229299506,-0.07324999999999982,0.24022268408679284,1.1280518094240741e-13,26.240605077345954,0.9569267614194632,1.0465321449669027e-14
LLY230421C00342500,2023-04-07,10:00:00,2023-04-21,24.15,23.4,24.9,342.5,14,c,59,0.3293214068528206,0.8790137074475624,0.009703490384538327,-0.17518742656774577,2,1.2162074229299478,-0.06541605839416054,0.28740888789694735,3.4570533465188714e-08,24.03103595173162,0.07623240476276115,1.8371490573356327e-10
LLY230421C00345000,2023-04-07,10:00:00,2023-04-21,21.700000000000003,20.55,22.85,345.0,14,c,220,0.3040092565529255,0.8677840856746499,0.01109853865699506,-0.17393324885577144,1,1.266207422929952,-0.057695652173912926,0.26737488182651903,1.7491427610415943e-07,21.892744380379746,0.3251233103990554,3.4660453377560343e-09
LLY230421C00347500,2023-04-07,10:00:00,2023-04-21,19.049999999999997,18.15,19.95,347.5,14,c,124,0.266622956039838,0.8667709233160181,0.012741164887586365,-0.1569967903053353,11,1.1162074229299463,-0.05008633093525172,0.23413660586777274,2.2806771822698449e-07,19.8360192507816,0.21037321771174125,2.54725136749632e-09
LLY230421C00350000,2023-04-07,10:00:00,2023-04-21,17.5,16.55,18.45,350.0,14,c,1598,0.2968680212156823,0.8045186039932872,0.014589223411576313,-0.2124898434870346,4,2.066207422929949,-0.04258571428571423,0.2626316289444098,9.756392271813817e-05,17.870799840143643,3.104334977534181,1.4042755353950356e-05
LLY230421C00352500,2023-04-07,10:00:00,2023-04-21,15.4,14.85,15.95,352.5,14,c,70,0.2874278116202949,0.7709961676881427,0.016522596251178356,-0.2238049232821009,8,2.4662074229299495,-0.03519148936170202,0.2544623691398736,0.0009469293499387424,16.006268327062006,0.15400540348407535,5.97037924713983e-06
LLY230421C00355000,2023-04-07,10:00:00,2023-04-21,13.375,12.95,13.8,355.0,14,c,170,0.2754207628927806,0.7323406924070852,0.018560684686974582,-0.23342824937553175,20,2.941207422929949,-0.0279014084507041,0.24623453889920202,0.006973517115588115,14.25045885524929,0.4201482342463855,0.00010677930600117044
LLY230421C00357500,2023-04-07,10:00:00,2023-04-21,11.375,11.05,11.7,357.5,14,c,49,0.2647104599437934,0.6897501452083787,0.020812683487747563,-0.23783208741360262,8,3.441207422929949,-0.02071328671328665,0.2354498211682971,0.03489358374899113,12.609913164208969,0.13579500270859834,0.00015400256608452619
LLY230421C00360000,2023-04-07,10:00:00,2023-04-21,10.25,9.3,11.2,360.0,14,c,1639,0.2834594751114002,0.6270734902114938,0.020746828539586204,-0.2691549743876376,28,4.816207422929949,-0.013624999999999998,0.2533834758420382,0.12768226714422148,11.089408994131553,4.52783195043547,0.018849326639978303
LLY230421C00365000,2023-04-07,10:00:00,2023-04-21,7.074999999999999,6.35,7.8,365.0,14,c,964,0.2703750371639201,0.5192322410531691,0.023150173573682764,-0.26422058943553317,5,6.6412074229299485,0.00026027397260286467,0.23909309800039472,0.0638456568567005,8.417843382839997,2.9716038604719808,0.005543635850690982
LLY230421C00370000,2023-04-07,10:00:00,2023-04-21,4.075,3.9,4.25,370.0,14,c,5766,0.2369915771498689,0.3903242614528235,0.0253010918083163,-0.22216025133166495,34,8.641207422929948,0.013770270270270335,0.21072207627621078,-0.20047513636452066,6.234469619845529,19.425559171143835,-0.10411695468736401
LLY230421C00375000,2023-04-07,10:00:00,2023-04-21,2.835,2.07,3.6,375.0,14,c,229,0.2502600244783388,0.2871765666962345,0.021078045118194666,-0.206278263430407,30,12.40120742292995,0.026920000000000055,0.22459118270795853,-0.01762001800499745,4.508785088311393,0.6427253664058639,-0.0003634361569834502
LLY230421C00380000,2023-04-07,10:00:00,2023-04-21,1.575,1.21,1.94,380.0,14,c,688,0.2424691762801816,0.18704765491196484,0.017145025987819196,-0.1551840776967519,20,16.14120742292995,0.03972368421052641,0.21780154559949796,-6.412767587904452e-05,3.188327202389513,1.5706745772732658,-3.9739302490745255e-06
LLY230421C00385000,2023-04-07,10:00:00,2023-04-21,0.815,0.63,1.0,385.0,14,c,19,0.2379432680767624,0.11152117702772912,0.0123631553039516,-0.10539154375094806,1,20.38120742292995,0.05219480519480524,0.21342284830948505,-1.1838344646667013e-08,2.2083419043699566,0.03127825775039589,-2.0259600704815246e-11
LLY230421C00390000,2023-04-07,10:00:00,2023-04-21,0.395,0.3,0.49,390.0,14,c,500,0.2360185922454501,0.06122627193712038,0.00797768589411163,-0.0649075610906415,6,24.96120742292995,0.06434615384615394,0.2107948444517447,-1.414054086705416e-13,1.501199435401154,0.5311370113624402,-6.368282592379425e-15
LLY230421C00395000,2023-04-07,10:00:00,2023-04-21,0.265,0.08,0.45,395.0,14,c,42,0.2526932275666907,0.04115960231409199,0.005465037957175234,-0.04951177887127928,4,29.83120742292995,0.07618987341772154,0.2242485805933145,-4.375923509569824e-17,1.003676363242588,0.03056343069294093,-1.6554090066147223e-19
LLY230421C00400000,2023-04-07,10:00:00,2023-04-21,0.155,0.01,0.3,400.0,14,c,309,0.2593586076880042,0.025034195453373098,0.0035161805830852266,-0.0332522454793515,55,34.72120742292995,0.08773750000000002,0.2312345177135608,-1.2517877368951202e-21,0.6613524241633963,0.1446735969226112,-3.483978557700163e-23
LLY230421P00300000,2023-04-07,10:00:00,2023-04-21,0.275,0.05,0.5,300.0,14,p,1929,0.558639040880662,-0.0201222315736993,0.0013530953701934578,-0.05767450574661878,93,65.70879257707006,-0.21634999999999982,0.49980919100629245,5.243707801278594e-24,0.0006339906578702616,-0.3475523777759056,-9.110810469782821e-25
LLY230421P00315000,2023-04-07,10:00:00,2023-04-21,0.16,0.05,0.27,315.0,14,p,113,0.4027448956963128,-0.016770217903161466,0.0016069076635982782,-0.03524253828991303,37,50.59379257707005,-0.15842857142857136,0.3603578126760978,1.3966490780248252e-25,0.017424829263160097,-0.024178479930078947,-1.4215169542951609e-27
LLY230421P00325000,2023-04-07,10:00:00,2023-04-21,0.31,0.05,0.57,325.0,14,p,50,0.368496786579613,-0.032689022053059014,0.0030899009145768375,-0.05722598425257697,1,40.74379257707005,-0.12278461538461527,0.32850130887176227,2.4611161114022455e-19,0.10435643940884848,-0.020571889630121448,-1.1083793072289017e-21
LLY230421P00327500,2023-04-07,10:00:00,2023-04-21,0.53,0.08,0.98,327.5,14,p,99,0.3838207101218575,-0.049851397787620266,0.004147206585924934,-0.08556009777439721,3,38.46379257707005,-0.11421374045801524,0.3447411900551712,1.4000408597000078e-15,0.15523419243630787,-0.054670178580103826,-1.2484242802420951e-17
LLY230421P00330000,2023-04-07,10:00:00,2023-04-21,0.45,0.27,0.63,330.0,14,p,1207,0.349729288010136,-0.04694294783210151,0.00433134805466473,-0.07415717347215511,1,35.883792577070054,-0.10577272727272713,0.3145906318808451,4.538522571493297e-16,0.2264907839084619,-0.6961294101554393,-4.93410140850884e-17
LLY230421P00332500,2023-04-07,10:00:00,2023-04-21,1.145,0.09,2.2,332.5,14,p,180,0.4076484279498918,-0.09043136101833937,0.006154210878683841,-0.14676174448146828,2,34.078792577070054,-0.09745864661654124,0.3679528365038114,1.4528796500793148e-10,0.3242737820489112,-0.1475042409593948,-2.3555289558637436e-12
LLY230421P00335000,2023-04-07,10:00:00,2023-04-21,0.6,0.5,0.7,335.0,14,p,158,0.3321012898534245,-0.0635838961727031,0.005876398951887296,-0.08877624358323544,36,31.033792577070052,-0.08926865671641782,0.2947275286134885,2.103361182149616e-13,0.4558153326847034,-0.12363117247091478,-2.993348228158061e-15
LLY230421P00337500,2023-04-07,10:00:00,2023-04-21,0.78,0.6,0.96,337.5,14,p,54,0.3250992881868753,-0.07981887822396949,0.007043143088747428,-0.10548869098493818,7,28.713792577070052,-0.08119999999999994,0.29279590992099574,1.7351529424445986e-11,0.6293786400544038,-0.05064305541783504,-8.439521467364419e-14
LLY230421P00340000,2023-04-07,10:00:00,2023-04-21,1.325,0.62,2.03,340.0,14,p,418,0.3521921986073002,-0.11644780401004473,0.00864082166041058,-0.15103806195291036,7,26.75879257707005,-0.07324999999999982,0.3149127769293628,1.704655512782212e-08,0.8541261593679376,-0.4809400585325565,-6.417992576647649e-10
LLY230421P00342500,2023-04-07,10:00:00,2023-04-21,1.38,0.65,2.11,342.5,14,p,120,0.3313362330539743,-0.12691625951980479,0.009777960314760747,-0.15056096502908045,2,24.31379257707005,-0.06541605839416054,0.2956447348099439,8.230597611452246e-08,1.1399063648700174,-0.15623888995587162,-8.896084864648099e-10
