symbol,date,time,expirationDate,mid,bid,ask,strike,days,typo,oi,iv_traded,delta_bs,gamma_bs,theta_bs,volume,prem_ivalue,moneyness,iv_bs,vanna_bs,merton,gex,vex
LMT230421C00420000,2023-04-07,10:00:00,2023-04-21,75.15,73.9,76.4,420.0,14,c,1,0.4264919636675124,0.9706907720570257,0.0014928326663721236,-0.11795956710119526,1,0.35143142425405927,-0.1769642857142859,0.4467532481473527,9.459840136887724e-21,74.6966137741716,0.0003647844188204102,9.424263847830003e-25
LMT230421C00425000,2023-04-07,10:00:00,2023-04-21,70.1,68.8,71.4,425.0,14,c,2,0.3733653546414324,0.9716949829247312,0.0015776730322158983,-0.1081673131001395,4,0.3014314242540479,-0.1631176470588238,0.4102431448082273,4.8085713558925984e-21,69.7260773613228,0.0007710315470843953,9.580974843822009e-25
LMT230421C00430000,2023-04-07,10:00:00,2023-04-21,65.05,63.6,66.5,430.0,14,c,5,0.3155160276410583,0.9729385980826066,0.0016648191092372144,-0.09830679639175344,2,0.25143142425405074,-0.14959302325581425,0.37397904588649195,1.967683437360854e-21,64.76556367052157,0.0020340527270215373,9.801417156291774e-25
LMT230421C00435000,2023-04-07,10:00:00,2023-04-21,60.15,58.8,61.5,435.0,14,c,2,0.337433829171947,0.9664386536215375,0.002071172247042341,-0.11135347231552117,1,0.35143142425405216,-0.13637931034482786,0.3614495959800309,2.2117415139789027e-19,59.81962369686631,0.0010122117253106376,4.406847322854197e-23
LMT230421C00440000,2023-04-07,10:00:00,2023-04-21,55.650000000000006,54.7,56.6,440.0,14,c,6,0.3965217093743556,0.9416853031673611,0.0030501284697947995,-0.1733255810847112,2,0.8514314242540593,-0.12346590909090938,0.38692767206721207,2.1371669521435598e-14,54.894658362439415,0.0044719252180578884,1.2774777344486938e-17
LMT230421C00445000,2023-04-07,10:00:00,2023-04-21,50.65,49.5,51.8,445.0,14,c,23,0.3644583126398966,0.9379084409555816,0.003481023398421712,-0.16936890609662214,6,0.8514314242540522,-0.11084269662921375,0.35639847384977597,8.21751061392633e-14,49.99949223472343,0.019564102458132133,1.882919481491024e-16
LMT230421C00450000,2023-04-07,10:00:00,2023-04-21,45.95,45.2,46.7,450.0,14,c,17,0.3679147807857718,0.9207683449535153,0.004307774830181188,-0.1969176666921797,11,1.1514314242540564,-0.09850000000000025,0.34833060714975234,1.0250547684201844e-11,45.14595555746704,0.017894808939401336,1.736039613320443e-14
LMT230421C00452500,2023-04-07,10:00:00,2023-04-21,43.35,42.7,44.0,452.5,14,c,2,0.3409955978851794,0.9219993805256621,0.004555238390935301,-0.18400274528729454,2,1.051431424254055,-0.09243093922651946,0.3254705060428738,8.106575452799677e-12,42.73943690698131,0.0022262106483293444,1.6152176963671431e-15
LMT230421C00455000,2023-04-07,10:00:00,2023-04-21,41.150000000000006,40.2,42.1,455.0,14,c,5,0.3454706442491399,0.9064012707632685,0.005169814016880991,-0.21035336852777675,1,1.3514314242540593,-0.08642857142857174,0.3292734523606467,2.598590851776887e-10,40.349353582228154,0.00631640653382998,1.2944090737964525e-13
LMT230421C00460000,2023-04-07,10:00:00,2023-04-21,36.65,35.8,37.5,460.0,14,c,36,0.3438340769528316,0.8790725411085276,0.006338684741535872,-0.24577939864668252,8,1.8514314242540522,-0.07461956521739155,0.3236958749726121,2.8523396639508953e-08,35.628726689469694,0.055760518468063125,1.0229805607261813e-10
LMT230421C00462500,2023-04-07,10:00:00,2023-04-21,33.95,33.4,34.5,462.5,14,c,5,0.3123632673580477,0.881185694333908,0.006841282527147996,-0.2247822486475144,5,1.6514314242540564,-0.06881081081081097,0.29617761910935575,2.2807872953254936e-08,33.30391933972654,0.008358583406125117,1.1361048887131496e-11
LMT230421C00465000,2023-04-07,10:00:00,2023-04-21,32.05,31.2,32.9,465.0,14,c,104,0.330248853688836,0.8534768773483137,0.007624761693136861,-0.26546926375733193,1,2.2514314242540507,-0.06306451612903241,0.3074339577780211,8.28079113934867e-07,31.00707168160078,0.19376920793271266,8.579634942471308e-09
LMT230421C00467500,2023-04-07,10:00:00,2023-04-21,29.8,29.0,30.6,467.5,14,c,3,0.3205247467987773,0.8379571839965294,0.008358911323114171,-0.2762422666071096,2,2.5014314242540543,-0.05737967914438524,0.2998909774362852,4.466252743857585e-06,28.74184757193283,0.006127680638950054,1.3348368574986257e-09
LMT230421C00470000,2023-04-07,10:00:00,2023-04-21,27.5,26.8,28.2,470.0,14,c,131,0.3086217302944288,0.8231179586504211,0.009173871013956614,-0.2817071876448445,5,2.7014314242540536,-0.051755319148936385,0.28917002576371686,1.8676543742213095e-05,26.512426248356604,0.2936628946312358,2.437426026372385e-07
LMT230421C00472500,2023-04-07,10:00:00,2023-04-21,25.15,24.5,25.8,472.5,14,c,96,0.2970170821963915,0.8086232681794314,0.010111169004289877,-0.28234235463491686,12,2.851431424254052,-0.04619047619047634,0.27563786575172206,6.560078673156e-05,24.32372035803886,0.23719075233507736,6.273991413002598e-07
LMT230421C00475000,2023-04-07,10:00:00,2023-04-21,23.35,22.9,23.8,475.0,14,c,448,0.3076024031218027,0.7772662309605494,0.010867498474453896,-0.31211066151067257,1,3.551431424254055,-0.0406842105263161,0.28071445353714874,0.0005742235655323566,22.1816672297004,1.1896870985894743,2.5628469099770387e-05
LMT230421C00477500,2023-04-07,10:00:00,2023-04-21,20.95,20.4,21.5,477.5,14,c,31,0.28718573246787,0.7610020225101266,0.012061885215075563,-0.30509688734645835,2,3.651431424254053,-0.035235602094241036,0.26313105380618707,0.0015764997920699954,20.09356025461132,0.09136966553748639,4.868769907601732e-06
LMT230421C00480000,2023-04-07,10:00:00,2023-04-21,19.2,18.5,19.9,480.0,14,c,495,0.2874451431846545,0.7272951550998386,0.01282366611121688,-0.327626979030768,16,4.401431424254053,-0.02984375000000017,0.2652579161213078,0.007897029873942606,18.06834857461932,1.5511098323184593,0.0003894328823140608
LMT230421C00482500,2023-04-07,10:00:00,2023-04-21,17.35,16.8,17.9,482.5,14,c,20,0.2843285850944287,0.6955632336138606,0.01369309227783333,-0.3394439730636023,4,5.051431424254055,-0.024507772020725627,0.26171988274433555,0.025838821584929884,16.116797473710132,0.06692011530753239,5.148329540661759e-05
LMT230421C00485000,2023-04-07,10:00:00,2023-04-21,15.15,14.6,15.7,485.0,14,c,199,0.2694725332331077,0.6681132785007371,0.015104111081853944,-0.33137413092447154,9,5.351431424254054,-0.019226804123711583,0.24611994187262845,0.059746809765342135,14.251385909679977,0.734468877104874,0.0011844901027736393
LMT230421C00487500,2023-04-07,10:00:00,2023-04-21,13.7,13.3,14.1,487.5,14,c,192,0.2730936758945735,0.6274550754347352,0.015536096089618923,-0.3484025341217247,1,6.401431424254053,-0.014000000000000234,0.24950797721936108,0.12843798308641777,12.485838059542743,0.7289005491419079,0.002456735179975778
