option_1,option_2,c_p_s+k,mid_call,mid_put,K,spot,days,iv_call,iv_put
LMT230616P00580000,LMT230616C00580000,504.9741755380438,0.5,85.85,580.0,494.3250000000001,70,0.18638412811080257,0.2809885750342366
LMT230616P00570000,LMT230616C00570000,465.70737940808016,0.75,75.8,570.0,494.3250000000001,70,0.18223567240299673,0.25537231295647694
LMT230616P00560000,LMT230616C00560000,411.44058327810455,1.35,65.94999999999999,560.0,494.3250000000001,70,0.18548053175603124,0.2334050922659172
LMT230616P00550000,LMT230616C00550000,374.67378714814146,2.075,56.400000000000006,550.0,494.3250000000001,70,0.1834888905301426,0.21610957707365075
LMT230616P00530000,LMT230616C00530000,333.6401948882127,5.2,39.3,530.0,494.3250000000001,70,0.1877246622944012,0.2041454596738204
LMT230616P00540000,LMT230616C00540000,332.9069910181772,3.2,47.2,540.0,494.3250000000001,70,0.1826425617462248,0.20243962945095959
LMT230616P00525000,LMT230616C00525000,299.00679682323135,6.449999999999999,35.25,525.0,494.3250000000001,70,0.1898818441300517,0.20039548779261968
LMT230616P00520000,LMT230616C00520000,294.3733987582498,7.9,31.700000000000003,520.0,494.3250000000001,70,0.19206798602608285,0.2013380830661307
LMT230616P00515000,LMT230616C00515000,289.7400006932621,9.65,28.450000000000003,515.0,494.3250000000001,70,0.1953896116654452,0.2036324692139169
LMT230616P00510000,LMT230616C00510000,270.1066026282796,11.5,25.15,510.0,494.3250000000001,70,0.19723792804554363,0.20285523371192238
LMT230616P00500000,LMT230616C00500000,240.83980649831568,16.5,19.95,500.0,494.3250000000001,70,0.20833835722392402,0.21039509378314547
LMT230616P00505000,LMT230616C00505000,225.47320456329737,14.05,22.299999999999997,505.0,494.3250000000001,70,0.20470211685940284,0.20498578638378157
LMT230421P00530000,LMT230421C00530000,76.09418033225808,0.55,36.0,530.0,494.3250000000001,14,0.221304773024099,0.2451762277770063
