symbol,date,time,expirationDate,mid,bid,ask,strike,days,typo,oi,iv_traded,delta_bs,gamma_bs,theta_bs,volume,prem_ivalue,moneyness,iv_bs,vanna_bs,merton,gex,vex
LOW230421C00160000,2023-04-07,10:00:00,2023-04-21,39.95,39.6,40.3,160.0,14,c,10,0.6293332212425672,0.981732894345555,0.001996802012627086,-0.04086602274655604,2,0.06756364628166978,-0.24790625,0.5494429467370444,2.307991711089056e-25,39.81503052317712,0.0007960473312649726,1.082499275470172e-28
LOW230421C00165000,2023-04-07,10:00:00,2023-04-21,35.1,34.85,35.35,165.0,14,c,13,0.6172121993774932,0.9667543380150079,0.003398868457793469,-0.06276019112262077,7,0.21756364628166835,-0.2100909090909091,0.5427701972000629,1.2991268956194207e-19,34.83568121298828,0.0017614957278932924,7.921151065853396e-23
LOW230421C00167500,2023-04-07,10:00:00,2023-04-21,32.55,31.9,33.2,167.5,14,c,2,0.5589781618408289,0.9695806598607248,0.003507845320882552,-0.054256139562454564,1,0.1675636462816641,-0.19202985074626855,0.48774014619949024,2.131473523499839e-20,32.351288030291826,0.0002796883104604899,1.999416664961671e-24
LOW230421C00170000,2023-04-07,10:00:00,2023-04-21,30.1,29.7,30.5,170.0,14,c,17,0.53211570712943,0.9632121618430745,0.004286682653287244,-0.06034264274159895,20,0.21756364628166835,-0.17449999999999988,0.468585744821452,1.3101425131754336e-18,29.87286813959053,0.00290518731939147,1.044625998691293e-21
LOW230421C00172500,2023-04-07,10:00:00,2023-04-21,27.525,26.85,28.2,172.5,14,c,1,0.4677884327764628,0.9689539446585016,0.004278900256338147,-0.04831244147455749,1,0.1425636462816655,-0.15747826086956507,0.4068468901533157,3.978858228844487e-20,27.403208836000875,0.00017058311781875787,1.8661727116386925e-24
LOW230421C00175000,2023-04-07,10:00:00,2023-04-21,25.125,24.85,25.4,175.0,14,c,28,0.457092844990701,0.9559443184382843,0.005791250785591728,-0.0610458063905952,1,0.24256364628166693,-0.14094285714285704,0.4027820103459955,6.793458203250384e-17,24.946131675463825,0.006464490304762539,8.921590980306906e-20
LOW230421C00177500,2023-04-07,10:00:00,2023-04-21,22.675,22.25,23.1,177.5,14,c,3,0.4316406806885853,0.9474117915271307,0.007112720794566485,-0.06579875126087131,2,0.29256364628166764,-0.12487323943661965,0.37880592459620066,2.7945329790672023e-15,22.50685630711916,0.0008506695762638359,3.932093747022589e-19
LOW230421C00180000,2023-04-07,10:00:00,2023-04-21,20.25,20.0,20.5,180.0,14,c,201,0.408983950403721,0.9350891437957642,0.008907896216214795,-0.07262123421988775,10,0.36756364628166693,-0.10924999999999985,0.35770768523903745,2.0655806209898262e-13,20.09264437553274,0.07137976123909863,1.9472942320183564e-15
LOW230421C00182500,2023-04-07,10:00:00,2023-04-21,17.8,17.6,18.0,182.5,14,c,5,0.3722154564241697,0.9237276599881383,0.010987866296829907,-0.07561479602095389,5,0.41756364628166764,-0.09405479452054788,0.32878667908286746,5.356091848162764e-12,17.71392182689255,0.0021902175545135804,1.2560629046306323e-15
LOW230421C00185000,2023-04-07,10:00:00,2023-04-21,15.525,15.35,15.7,185.0,14,c,62,0.3656517544016177,0.8925644340790129,0.014426598546890546,-0.09356326547364802,1,0.6425636462816673,-0.07927027027027034,0.3236962378163363,3.4622859949998198e-09,15.38595804314563,0.035658208595112345,1.0068111072891938e-11
LOW230421C00187500,2023-04-07,10:00:00,2023-04-21,13.175,13.0,13.35,187.5,14,c,26,0.3293172672611415,0.8658218761306458,0.018216710060414698,-0.10098393499992753,3,0.7925636462816676,-0.06488000000000005,0.30016594890621523,1.925912616998753e-07,13.130783335117588,0.018881964598608247,2.3485688473267134e-10
LOW230421C00190000,2023-04-07,10:00:00,2023-04-21,10.95,10.8,11.1,190.0,14,c,433,0.3080798138013269,0.8238250956182469,0.023056406526222872,-0.11336992764129761,1,1.0675636462816662,-0.05086842105263156,0.2842780003453766,1.8022533426134465e-05,10.978428971789594,0.39800030260447694,3.660135012265933e-07
LOW230421C00192500,2023-04-07,10:00:00,2023-04-21,8.774999999999999,8.6,8.95,192.5,14,c,324,0.2917524052050128,0.7720578122605737,0.02894615269255496,-0.12231446568640081,2,1.3925636462816655,-0.037220779220779265,0.2644826299001472,0.0008411306266838087,8.96616063825027,0.37388646523837576,1.2782088680212729e-05
LOW230421C00195000,2023-04-07,10:00:00,2023-04-21,6.825,6.7,6.95,195.0,14,c,1987,0.2755836601829904,0.6984202513919957,0.03498993597084166,-0.1334580999583661,1,1.9425636462816671,-0.023923076923076936,0.25256888757084295,0.024492881925210454,7.134671911508919,2.771691563034206,0.0022826068990246884
LOW230421C00197500,2023-04-07,10:00:00,2023-04-21,5.075,4.95,5.2,197.5,14,c,245,0.2642597798030326,0.6081077497495535,0.0403640955326523,-0.13943453229332814,1,2.692563646281667,-0.010962025316455737,0.24147309807255438,0.16549599414451566,5.521408042053233,0.3942440927795077,0.0019017216032019208
LOW230421C00200000,2023-04-07,10:00:00,2023-04-21,3.575,3.45,3.7,200.0,14,c,6649,0.2566143893506021,0.5035743512660895,0.04374284034103226,-0.1375356030082262,3,3.692563646281667,0.001675000000000093,0.2314360061362517,0.0016106907754461148,4.152796753959463,11.594905073822325,0.0005022984916103187
LOW230421C00202500,2023-04-07,10:00:00,2023-04-21,2.365,2.27,2.46,202.5,14,c,409,0.2460711494196794,0.3916267388959227,0.04378252056014276,-0.12618046930167282,1,4.982563646281667,0.014000000000000012,0.22270049091969704,-0.1925142994481767,3.0381533257728366,0.7138845011609046,-0.003693003088600063
LOW230421C00205000,2023-04-07,10:00:00,2023-04-21,1.475,1.38,1.57,205.0,14,c,568,0.2384029576696949,0.28395780077032917,0.03972056164425197,-0.10700906231513252,2,6.592563646281667,0.026024390243902462,0.21660825268071623,-0.016229309793352766,2.1676209724716595,0.8994304811090746,-0.0004323562642231791
LOW230421C00207500,2023-04-07,10:00:00,2023-04-21,0.91,0.87,0.95,207.5,14,c,152,0.2385258672556178,0.1961630866692432,0.032455946192833096,-0.08612142470678397,1,8.527563646281667,0.03775903614457832,0.21646002569485145,-0.00013207273250594536,1.5148350289358066,0.19667164378039093,-9.415645973571408e-07
LOW230421C00210000,2023-04-07,10:00:00,2023-04-21,0.54,0.51,0.57,210.0,14,c,5494,0.2415078767044796,0.12873178690444576,0.02457365700037073,-0.06460971582775421,4,10.657563646281666,0.049214285714285766,0.2171025825160211,-1.467606959769393e-07,1.0430479394038317,5.382230985648366,-3.781741045983716e-08
LOW230421C00212500,2023-04-07,10:00:00,2023-04-21,0.315,0.29,0.34,212.5,14,c,2061,0.2450465222399634,0.08158637005662994,0.017473946479773517,-0.04610965949256568,1,12.932563646281666,0.06040000000000001,0.21926163130916906,-3.5889255539033314e-11,0.712318956756263,1.4357303397465435,-3.4692517105601275e-12
LOW230421C00215000,2023-04-07,10:00:00,2023-04-21,0.18,0.15,0.21,215.0,14,c,269,0.2464609234105148,0.050077411200445676,0.011813262007220882,-0.03140452385497966,4,15.297563646281667,0.07132558139534884,0.2219686594437058,-2.4314660589633555e-15,0.48550564851625744,0.12668523498033982,-3.067706885963863e-17
LOW230421C00217500,2023-04-07,10:00:00,2023-04-21,0.08,0.01,0.15,217.5,14,c,60,0.2415070966429164,0.025171876829335055,0.006893241080302426,-0.01704258166455716,1,17.697563646281665,0.08200000000000007,0.21654553371264867,-1.5131992557500191e-21,0.33182924428884075,0.016488403350079003,-4.258343970962885e-24
LOW230421C00220000,2023-04-07,10:00:00,2023-04-21,0.105,0.05,0.16,220.0,14,c,5789,0.2813289738178799,0.028104512788205277,0.006508510772135212,-0.021717394971040735,2,20.222563646281667,0.09243181818181823,0.25146094018164755,-1.357286597746913e-20,0.22797555444951037,1.5020661617560145,-3.6852629409602065e-21
LOW230421C00222500,2023-04-07,10:00:00,2023-04-21,0.055,0.01,0.1,222.5,14,c,3,0.2823880227272906,0.015882892487761868,0.004035447243588841,-0.013087590296032084,1,22.672563646281667,0.10262921348314613,0.250304986856828,-6.251027220314213e-26,0.15745967894094845,0.0004826327780729389,-8.795611012495562e-30
LOW230421P00160000,2023-04-07,10:00:00,2023-04-21,0.085,0.01,0.16,160.0,14,p,413,0.5796839738812352,-0.011859100764820274,0.0015381080972765027,-0.020221177452025785,1,39.967436353718334,-0.24790625,0.5104219789950543,4.8857678009011705e-29,0.006786171759698366,-0.025324495078345194,-9.46403296294943e-31
LOW230421P00165000,2023-04-07,10:00:00,2023-04-21,0.1149999999999999,0.05,0.18,165.0,14,p,538,0.5236100474366586,-0.016830126581585808,0.0022676619525208164,-0.025301974643656022,11,34.997436353718335,-0.2100909090909091,0.4680867867496053,1.168544470487949e-25,0.018135523803666318,-0.048636741847505924,-2.948634142315948e-27
