symbol,date,time,expirationDate,mid,bid,ask,strike,days,typo,oi,iv_traded,delta_bs,gamma_bs,theta_bs,volume,prem_ivalue,moneyness,iv_bs,vanna_bs,merton,gex,vex
MA230421C00337500,2023-04-07,10:00:00,2023-04-21,22.25,21.7,22.8,337.5,14,c,1,0.3148070861445778,0.9775460259298541,0.004615706501454042,-0.05811288306398055,1,0.05467608459537132,-0.06401481481481497,0.16200863997030623,1.393301732615662e-22,23.500783260748616,0.0005952248986152072,1.0071276627631954e-26
MA230421C00340000,2023-04-07,10:00:00,2023-04-21,19.775,19.45,20.1,340.0,14,c,216,0.2876125404984628,0.9716820011126615,0.0060369211851707405,-0.06105359060970983,8,0.0796760845953699,-0.056191176470588244,0.15072341137936052,2.2110517329927557e-20,21.260713045550645,0.16815591993121842,3.452168639323306e-22
MA230421C00342500,2023-04-07,10:00:00,2023-04-21,17.674999999999997,17.15,18.2,342.5,14,c,7,0.2841589807984934,0.9150049857701958,0.011965883430775648,-0.10588948613374072,2,0.4796760845953685,-0.04848175182481751,0.18326114534555651,8.69099949713221e-11,19.068095812776573,0.010801540836222553,4.397512802868335e-14
MA230421C00345000,2023-04-07,10:00:00,2023-04-21,15.475,15.1,15.85,345.0,14,c,645,0.2745466525998656,0.8771317739008744,0.01550570432939935,-0.12792250041358422,2,0.779676084595371,-0.040884057971014576,0.18498274085046112,7.249575123432562e-08,16.935418251065673,1.2897160875617306,3.379960437906345e-09
MA230421C00347500,2023-04-07,10:00:00,2023-04-21,13.375,13.2,13.55,347.5,14,c,39,0.2614879027775495,0.8312505609894494,0.01912674148840665,-0.14994288355322993,1,1.1796760845953713,-0.0333956834532374,0.18577267239932532,1.4669354983568675e-05,14.878885460887846,0.09619411408153847,4.135375714155514e-08
MA230421C00350000,2023-04-07,10:00:00,2023-04-21,11.4,11.2,11.6,350.0,14,c,561,0.2518981947714178,0.7769587456818883,0.022618255677286925,-0.17072550467341152,3,1.7046760845953717,-0.026014285714285768,0.18619130838419995,0.0009167132530090847,12.918182810421257,1.636307324629076,3.717369394372005e-05
MA230421C00352500,2023-04-07,10:00:00,2023-04-21,9.575,9.4,9.75,352.5,14,c,103,0.2480313815425775,0.7147008428260548,0.025697505741106852,-0.18870762237253302,1,2.3796760845953706,-0.018737588652482318,0.18656202711598413,0.019025622847458026,11.07535885246747,0.3413273591363188,0.000141649633680229
MA230421C00355000,2023-04-07,10:00:00,2023-04-21,7.9,7.75,8.05,355.0,14,c,1430,0.2383592985915763,0.6464459862524752,0.02817641488128686,-0.20140263554377746,126,3.2046760845953717,-0.011563380281690128,0.18624087532246858,0.12814162350842045,9.372798480774563,5.19594655133555,0.013245416135997317
MA230421C00357500,2023-04-07,10:00:00,2023-04-21,6.325,6.15,6.5,357.5,14,c,227,0.2328525203490848,0.5742819860802939,0.03022514302841728,-0.205286341201381,12,4.1296760845953715,-0.004489510489510629,0.183091951965729,0.25007027524095776,7.830546712391337,0.8847837260481975,0.004103243375580772
MA230421C00360000,2023-04-07,10:00:00,2023-04-21,4.949999999999999,4.85,5.05,360.0,14,c,722,0.2237257011314098,0.49750292359584947,0.031200414287724243,-0.20287470144821018,8,5.254676084595371,0.002486111111111078,0.1805146151610628,-0.02872310834813926,6.463511784488247,2.9049620449384808,-0.001499021913858855
MA230421C00362500,2023-04-07,10:00:00,2023-04-21,3.775,3.65,3.9,362.5,14,c,188,0.2199955443328149,0.41928162425857174,0.030964088280072133,-0.1934275012949893,7,6.579676084595372,0.00936551724137924,0.17816812104387486,-0.27660085051804456,5.279201889208585,0.7506872684962753,-0.003758812895795773
MA230421C00365000,2023-04-07,10:00:00,2023-04-21,2.775,2.67,2.88,365.0,14,c,809,0.2120300361935106,0.34200866836400223,0.029616410346378075,-0.17633479858645984,9,8.079676084595372,0.016150684931506842,0.17507181381636527,-0.11225553444986615,4.276561008739478,3.0897535828447293,-0.006564408984754754
MA230421C00367500,2023-04-07,10:00:00,2023-04-21,2.005,1.91,2.1,367.5,14,c,608,0.2108410233077908,0.2709119097435986,0.026936392161225342,-0.15563925194929884,1,9.80967608459537,0.02284353741496592,0.1736092854589574,-0.011867820756392384,3.44618463954402,2.1119610753434626,-0.0005215715636331029
MA230421C00370000,2023-04-07,10:00:00,2023-04-21,1.42,1.32,1.52,370.0,14,c,2083,0.206036014162617,0.2086001992812725,0.0234368635809723,-0.13261134519820783,1,11.724676084595371,0.02944594594594585,0.1729471820468642,-0.00039979785163963313,2.7718207336313454,6.2955208444655995,-6.019619962176291e-05
MA230421C00372500,2023-04-07,10:00:00,2023-04-21,0.965,0.88,1.05,372.5,14,c,198,0.2064593904928706,0.1545464415375397,0.01957357301574092,-0.10751410981938403,74,13.769676084595371,0.035959731543624085,0.17156320253973673,-3.994563055146792e-06,2.232736097945328,0.49977923119938095,-5.717074070493444e-08
MA230421C00375000,2023-04-07,10:00:00,2023-04-21,0.6100000000000001,0.55,0.67,375.0,14,c,1679,0.1988161410500103,0.1078400437651339,0.015541310413036413,-0.08106756911636726,3,15.91467608459537,0.04238666666666657,0.16842241754071766,-8.16360471441748e-09,1.8063642182962543,3.364970298112177,-9.907680922793099e-10
MA230421C00377500,2023-04-07,10:00:00,2023-04-21,0.39,0.34,0.44,377.5,14,c,119,0.1993197429393036,0.07437162149799836,0.011838666469365933,-0.06034304664233958,9,18.194676084595372,0.04872847682119197,0.1677561399263948,-7.884637209383951e-12,1.4706809905118532,0.18167394667814815,-6.782159893767616e-14
MA230421C00380000,2023-04-07,10:00:00,2023-04-21,0.25,0.22,0.28,380.0,14,c,2867,0.1976312890308991,0.050706474261365264,0.008750162856785426,-0.04420736860416527,9,20.55467608459537,0.054986842105263056,0.16830413329093802,-4.077427356079001e-15,1.2059347037612134,3.2350927262986837,-8.4499331476994375e-16
MA230421C00385000,2023-04-07,10:00:00,2023-04-21,0.105,0.07,0.14,385.0,14,c,10519,0.2008475576261091,0.02331455347803907,0.004529687584464703,-0.023134473351500665,333,25.40967608459537,0.06725974025974024,0.17181731753077484,-3.65902050335077e-22,0.8265958190779168,6.144486702896579,-2.7821378576057485e-22
MA230421C00390000,2023-04-07,10:00:00,2023-04-21,0.185,0.05,0.32,390.0,14,c,2151,0.2538944739882751,0.03126813853385063,0.004566498933711305,-0.037565281247394416,5,30.48967608459537,0.07921794871794863,0.2177375669694539,-1.4718006706310392e-19,0.5757877014397921,1.2666793049859826,-2.288383220148305e-20
MA230421C00395000,2023-04-07,10:00:00,2023-04-21,0.13,0.01,0.25,395.0,14,c,1256,0.2687102343916996,0.021639607304016484,0.003146145156618374,-0.029016773839822596,1,35.434676084595374,0.09087341772151891,0.23230174981710044,-5.464495146058476e-23,0.40267807849674037,0.5095787389636741,-4.961112000599876e-24
MA230421C00400000,2023-04-07,10:00:00,2023-04-21,0.125,0.02,0.23,400.0,14,c,1805,0.2970982260488098,0.019139885960577085,0.002564604028310047,-0.028709097238239598,1,40.42967608459537,0.10223749999999998,0.2568185420612159,-3.491648430936057e-24,0.28056341274399527,0.5969534005088709,-4.555615508273419e-25
MA230421P00290000,2023-04-07,10:00:00,2023-04-21,0.09,0.01,0.17,290.0,14,p,382,0.5135982267108622,-0.008059937435802439,0.0006733679507042734,-0.02314820931299548,7,69.78532391540463,-0.23829310344827603,0.4626829100023234,9.705324331136744e-33,0.022884145417408158,-0.033171011060569834,-2.6798640564390984e-34
MA230421P00295000,2023-04-07,10:00:00,2023-04-21,0.135,0.01,0.26,295.0,14,p,200,0.5057673907169782,-0.011836085580653466,0.0009611982323964874,-0.03207299855798697,2,64.83032391540463,-0.2173050847457627,0.4534022779791131,5.212488837106719e-29,0.03733264565371512,-0.02479053294428852,-7.53554176644756e-31
