symbol,date,time,expirationDate,mid,bid,ask,strike,days,typo,oi,iv_traded,delta_bs,gamma_bs,theta_bs,volume,prem_ivalue,moneyness,iv_bs,vanna_bs,merton,gex,vex
MCD230421C00280000,2023-04-07,10:00:00,2023-04-21,4.85,4.7,5.0,280.0,14,c,3486,0.1694384868221355,0.7925794474180847,0.05408104520654433,-0.07009076554111981,10,0.6120757924481719,-0.014035714285714374,0.0942453387608684,0.0006377210681296584,6.547790701851643,15.198300395878158,7.994592333541719e-05
MCD230421C00282500,2023-04-07,10:00:00,2023-04-21,3.13,2.96,3.3,282.5,14,c,694,0.1546049532108961,0.6292111290062019,0.06967779955235898,-0.08648949684107965,4,1.3920757924481721,-0.005061946902654935,0.09672836741637719,0.32958816858256934,4.931919699149497,3.8983108116474208,0.00822563167318238
MCD230421C00285000,2023-04-07,10:00:00,2023-04-21,1.885,1.75,2.02,285.0,14,c,3135,0.1466441656864422,0.44980321275527313,0.07032724293143389,-0.08921026916757113,20,2.647075792448172,0.003754385964912288,0.10044228318361705,-0.41900733161100867,3.5853769286183788,17.77393968021261,-0.04723863528690246
MCD230421C00287500,2023-04-07,10:00:00,2023-04-21,1.0,0.92,1.08,287.5,14,c,728,0.1395716981750977,0.28635596238401617,0.06019033379378591,-0.07443385194672147,9,4.262075792448172,0.012417391304347825,0.10092358767911007,-0.037841432189359335,2.52435595739371,3.5324880061253268,-0.0009906884945622939
MCD230421C00290000,2023-04-07,10:00:00,2023-04-21,0.51,0.45,0.57,290.0,14,c,1612,0.1381500341698141,0.16632137952478088,0.04283666524607099,-0.05452595411596173,17,6.272075792448172,0.02093103448275857,0.10400157497479844,-2.1682538001734695e-05,1.7341835118596454,5.566769727036645,-1.2569364740136444e-06
MCD230421C00292500,2023-04-07,10:00:00,2023-04-21,0.24,0.19,0.29,292.5,14,c,132,0.137650318434392,0.08791460201205553,0.02674606833646953,-0.03468658549400103,36,8.502075792448172,0.029299145299145235,0.10653967842578185,-3.018563943911327e-10,1.1744031086724818,0.2846141225564952,-1.4328887949563727e-12
MCD230421C00295000,2023-04-07,10:00:00,2023-04-21,0.105,0.06,0.15,295.0,14,c,403,0.137746474376411,0.04260753473150636,0.014881619256335021,-0.019545572533416447,10,10.867075792448173,0.03752542372881351,0.10883481223126724,-1.8430874203074793e-16,0.7920930792058315,0.4834792057783358,-2.6710939042224275e-18
MCD230421P00230000,2023-04-07,10:00:00,2023-04-21,0.02,0.01,0.03,230.0,14,p,316,0.4400092368011846,-0.0029324052249833643,0.0004049143767503871,-0.0061749783867164065,1,54.25792420755183,-0.23447826086956525,0.3953144219552557,1.1495224796231764e-42,0.0005290790031843158,-0.010315085792846264,-1.3062993969625298e-44
MCD230421P00237500,2023-04-07,10:00:00,2023-04-21,0.02,0.01,0.03,237.5,14,p,5,0.3798734047403405,-0.0033730709192840783,0.0005332170916957923,-0.006048284608820098,5,46.75792420755183,-0.1954947368421054,0.34050945180370606,3.3540929113130645e-41,0.0024170510502106563,-0.00021492979824506877,-6.030915843223409e-45
MCD230421P00240000,2023-04-07,10:00:00,2023-04-21,0.025,0.02,0.03,240.0,14,p,1704,0.3663223131587042,-0.004259192112970357,0.0006777461577719968,-0.0072775490127792546,19,44.262924207551826,-0.18304166666666677,0.33020378588888993,7.26855088896228e-39,0.00392802472040393,-0.09310204480040817,-4.4540552610149795e-40
MCD230421P00242500,2023-04-07,10:00:00,2023-04-21,0.03,0.02,0.04,242.5,14,p,18,0.349785950724463,-0.005206431705569864,0.0008410524658664098,-0.008437514866082931,1,41.76792420755183,-0.17084536082474222,0.3182861533668965,7.3493462549186285e-37,0.006317551401897843,-0.001220444848116637,-4.7572874030963544e-40
MCD230421P00245000,2023-04-07,10:00:00,2023-04-21,0.03,0.02,0.04,245.0,14,p,811,0.3283476029803412,-0.005503784378862835,0.0009380924595805973,-0.00835712185104591,7,39.26792420755183,-0.15889795918367344,0.29980730870478367,2.757609851686194e-36,0.01005778153531373,-0.06133227357437856,-8.042514476603456e-38
MCD230421P00247500,2023-04-07,10:00:00,2023-04-21,0.04,0.03,0.05,247.5,14,p,22,0.3172914736571746,-0.007346980803707784,0.0012475450440058156,-0.010563663921214984,1,36.77792420755183,-0.14719191919191932,0.291109506788995,1.951284536597475e-33,0.015855947830667242,-0.0022125927294097906,-1.5437659541727075e-36
MCD230421P00250000,2023-04-07,10:00:00,2023-04-21,0.04,0.03,0.05,250.0,14,p,2399,0.296279837651261,-0.007814158194806298,0.0014082039771767807,-0.010440358669811675,17,34.27792420755183,-0.13572000000000006,0.27228510427586616,8.350824803416854e-33,0.024762915573402343,-0.2723443559470764,-7.204399635862992e-34
MCD230421P00252500,2023-04-07,10:00:00,2023-04-21,0.05,0.04,0.06,252.5,14,p,49,0.2855666576612102,-0.009947779313033978,0.001816782330965605,-0.01243363015770263,3,31.78792420755183,-0.12447524752475259,0.2607817682740547,1.9367077797622163e-30,0.03832373179076076,-0.007176646296832688,-3.412701884733315e-33
MCD230421P00255000,2023-04-07,10:00:00,2023-04-21,0.06,0.05,0.07,255.0,14,p,914,0.2695791298182008,-0.012291533298539048,0.0023001526815169537,-0.01426291208873895,2,29.297924207551826,-0.11345098039215684,0.24759103418678186,2.234779763763592e-28,0.05877551770677076,-0.16948272009883408,-7.345461740236795e-30
MCD230421P00257500,2023-04-07,10:00:00,2023-04-21,0.07,0.06,0.08,257.5,14,p,200,0.2507464683962836,-0.014908848210361259,0.0028861820450254427,-0.01593096129317685,1,26.807924207551828,-0.10264077669902916,0.23309304470318779,1.6649195818806006e-26,0.08928832979782451,-0.04653463171355078,-1.1974611496526193e-28
MCD230421P00260000,2023-04-07,10:00:00,2023-04-21,0.085,0.07,0.1,260.0,14,p,1367,0.234273959328613,-0.018716947014157242,0.003723225322632695,-0.01831767003332603,4,24.32292420755183,-0.09203846153846151,0.21950617972310502,2.5235129148497017e-24,0.1342301596699972,-0.4103083915320355,-1.2405441395766905e-25
MCD230421P00262500,2023-04-07,10:00:00,2023-04-21,0.095,0.05,0.14,262.5,14,p,545,0.2158960797969901,-0.022190786257149375,0.004657240719463385,-0.019598441571597,3,21.832924207551827,-0.08163809523809529,0.2027208355487416,1.078789393503092e-22,0.19942919103881432,-0.2046198458271893,-2.1143230543464742e-24
MCD230421P00265000,2023-04-07,10:00:00,2023-04-21,0.16,0.11,0.21,265.0,14,p,1575,0.2102279155106063,-0.03563231960577451,0.007028378493090237,-0.02889901060531541,1,19.397924207551828,-0.07143396226415089,0.19922732310033925,2.4825058842305525e-18,0.29243759625234794,-0.8923973339119476,-1.406076726600178e-19
MCD230421P00267500,2023-04-07,10:00:00,2023-04-21,0.22,0.17,0.27,267.5,14,p,249,0.1972485264600866,-0.04929799836645432,0.009660808126810139,-0.03577893315015768,16,16.957924207551827,-0.061420560747663666,0.18849641911394943,2.065035950367445e-15,0.42292817555762413,-0.19392570039682624,-1.8491201832750242e-17
MCD230421P00270000,2023-04-07,10:00:00,2023-04-21,0.315,0.27,0.36,270.0,14,p,1203,0.1855216772398314,-0.07010086413306582,0.013419837961992087,-0.04500950535686837,9,14.552924207551827,-0.051592592592592634,0.17885616465883883,2.357717231268066e-12,0.6035985679198036,-1.3014739032257123,-1.0199890748160357e-13
MCD230421P00272500,2023-04-07,10:00:00,2023-04-21,0.46,0.39,0.53,272.5,14,p,760,0.1734733139861393,-0.1006957008265863,0.018563044688058028,-0.05628305268357753,2,12.197924207551829,-0.04194495412844046,0.16967017471455215,2.3287857791055407e-09,0.8521299943763273,-1.1373270470632189,-6.364749385752037e-11
MCD230421P00275000,2023-04-07,10:00:00,2023-04-21,0.76,0.69,0.83,275.0,14,p,1424,0.1670773627104567,-0.1537152301880007,0.025347027292621505,-0.07471623956833029,22,9.997924207551828,-0.03247272727272721,0.16693452289503405,3.74216396474411e-06,1.1943234350893932,-2.9097761954255583,-1.9163329932997945e-07
MCD230421P00277500,2023-04-07,10:00:00,2023-04-21,1.17,1.08,1.26,277.5,14,p,385,0.1591334621021161,-0.22117474208336318,0.03276395911910868,-0.09072447994038901,11,7.907924207551828,-0.02317117117117129,0.16184115128733048,0.0009607307156517662,1.6670482229657115,-1.0169033306122666,-1.3301498826718667e-05
MCD230421P00280000,2023-04-07,10:00:00,2023-04-21,1.785,1.65,1.92,280.0,14,p,470,0.1519623125130934,-0.3091493807393264,0.03980279238868789,-0.1045117005829923,44,6.022924207551828,-0.014035714285714374,0.15804177530563265,0.05138045211017817,2.3177501671970604,-1.5081132796878502,-0.0008684282737696426
MCD230421P00282500,2023-04-07,10:00:00,2023-04-21,2.65,2.52,2.78,282.5,14,p,329,0.1423606612620153,-0.41418221442601766,0.04488320123119394,-0.11184770668537336,8,4.387924207551828,-0.005061946902654935,0.15496570246062308,0.2964786866092159,3.1972284956113155,-1.1904256818331211,-0.003507741259819902
MCD230421P00285000,2023-04-07,10:00:00,2023-04-21,3.925,3.75,4.1,285.0,14,p,261,0.1361301034765669,-0.5276281993028542,0.04494249784325888,-0.11419773094677277,37,3.1629242075518276,0.003754385964912288,0.15802159323093773,-0.18105553467327173,4.346035056196603,-0.9456279026755186,0.0016993799414323184
MCD230421P00287500,2023-04-07,10:00:00,2023-04-21,5.65,5.25,6.05,287.5,14,p,103,0.1348373182541931,-0.6268879517669301,0.03986944714817753,-0.11392325594350439,3,2.387924207551828,0.012417391304347825,0.16938860050991114,-0.20077238692270022,5.780363416088337,-0.3310548868784839,0.0007436684929284607
