symbol,date,time,expirationDate,mid,bid,ask,strike,days,typo,oi,iv_traded,delta_bs,gamma_bs,theta_bs,volume,prem_ivalue,moneyness,iv_bs,vanna_bs,merton,gex,vex
MDLZ230421C00068000,2023-04-07,10:00:00,2023-04-21,2.5250000000000004,2.45,2.6,68.0,14,c,168,0.2260398021413092,0.9121973446378551,0.0853732827899023,-0.014673691131942501,1,0.07054066593699737,-0.03499999999999992,0.13360119687348015,1.9640821136742882e-10,2.775194489508966,0.07104438973245246,4.1842677922145064e-13
MDLZ230421C00069000,2023-04-07,10:00:00,2023-04-21,1.725,1.65,1.8,69.0,14,c,761,0.2071121625658221,0.7698661012212948,0.14987509207475824,-0.025617066732061877,5,0.2705406659369971,-0.020000000000000018,0.1456847399336048,0.0017454182143886313,1.9691690775446327,0.5649534234492989,1.6843591868581853e-05
MDLZ230421C00070000,2023-04-07,10:00:00,2023-04-21,1.0,0.85,1.15,70.0,14,c,1584,0.1817036841005662,0.5998589529302323,0.20404846145849476,-0.029187128838218945,81,0.545540665936997,-0.005428571428571338,0.13627906571514747,0.31718264722165374,1.2746086367359157,1.6009841293681764,0.006371110621481708
MDLZ230421C00071000,2023-04-07,10:00:00,2023-04-21,0.525,0.4,0.65,71.0,14,c,886,0.1753631407952227,0.3933718790860796,0.20061578468899555,-0.028349117996751605,18,1.070540665936997,0.008732394366197216,0.13804968720225108,-0.31173427567912365,0.7376472860206053,0.8804350992457858,-0.0035024248635076296
MDLZ230421C00072000,2023-04-07,10:00:00,2023-04-21,0.2,0.15,0.25,72.0,14,c,208,0.1581837253582105,0.20127378652775862,0.15622993112252015,-0.018862399064066615,6,1.745540665936997,0.022500000000000075,0.12956454174214935,-0.0003205705625428837,0.3789263383127597,0.16096301612312913,-8.455465529499563e-07
MDLZ230421C00072500,2023-04-07,10:00:00,2023-04-21,0.125,0.05,0.2,72.5,14,c,61,0.1594696996351511,0.13697056096224833,0.12042360699029975,-0.014648962028324788,6,2.170540665936997,0.029241379310344873,0.13116521133500517,-7.021133623298024e-07,0.2607477825583686,0.03638647555810533,-5.431097789528385e-10
MDLZ230421C00073000,2023-04-07,10:00:00,2023-04-21,0.1,0.05,0.15,73.0,14,c,94,0.1707327528945547,0.10638702266535585,0.09254278007062022,-0.0131779284711626,1,2.645540665936997,0.03589041095890422,0.14288796364539522,-7.598201512565717e-09,0.17563681984648688,0.04308924857378439,-9.057100984332764e-12
MDLZ230421P00066000,2023-04-07,10:00:00,2023-04-21,0.1,0.05,0.15,66.0,14,p,167,0.2444784895611851,-0.07012239017023039,0.04246113276193397,-0.014337611342693943,2,4.554459334063003,-0.0663636363636364,0.22809749862773132,1.8581179841126544e-12,0.12294858668418814,-0.03512421056872502,-3.934959864163331e-15
MDLZ230421P00067000,2023-04-07,10:00:00,2023-04-21,0.15,0.1,0.2,67.0,14,p,89,0.2200858293444181,-0.1064071089459967,0.06354212724712927,-0.017963355718884855,1,3.604459334063003,-0.05044776119402972,0.2081310757601452,5.177541844766616e-09,0.20248235193215877,-0.028012397574565303,-5.8433805855502024e-12
MDLZ230421P00067500,2023-04-07,10:00:00,2023-04-21,0.2,0.15,0.25,67.5,14,p,235,0.2127889077216948,-0.1375307695960587,0.0780903774733055,-0.021030231632296725,5,3.154459334063003,-0.04266666666666663,0.20283584206808158,4.809013578717642e-07,0.25722341133630955,-0.09090000547855172,-1.4330931321524509e-09
MDLZ230421P00068000,2023-04-07,10:00:00,2023-04-21,0.25,0.2,0.3,68.0,14,p,1059,0.2000788944383626,-0.17105826263824758,0.09469031880371404,-0.023163378419476188,1,2.704459334063003,-0.03499999999999992,0.19326074377727023,1.798386158248224e-05,0.3253011065063591,-0.4967067522430465,-2.415068539176449e-07
MDLZ230421P00069000,2023-04-07,10:00:00,2023-04-21,0.45,0.4,0.5,69.0,14,p,546,0.1877117710071339,-0.27775205370677014,0.1302626056021161,-0.02926878715600373,4,1.904459334063003,-0.020000000000000018,0.18538708865964004,0.014483977799716576,0.517415426988588,-0.35229860920180306,-0.00010028386008549622
MDLZ230421P00070000,2023-04-07,10:00:00,2023-04-21,0.575,0.2,0.95,70.0,14,p,260,0.1343025216087074,-0.4026389342807357,0.1967799579605245,-0.025070380870580333,15,1.029459334063003,-0.005428571428571338,0.14161507934316564,0.3111280552061396,0.8209947186264323,-0.25342691472695983,-0.001025800889665216
MDLZ230421P00071000,2023-04-07,10:00:00,2023-04-21,1.25,1.0,1.5,71.0,14,p,593,0.156025843985863,-0.5830848021513124,0.16367271407746742,-0.030036058766683693,1,0.704459334063003,0.008732394366197216,0.17161472950048226,-0.28524534787734984,1.2821731003576837,-0.4807613017730957,0.002144982792954797
MDLZ230421P00072000,2023-04-07,10:00:00,2023-04-21,2.025,1.95,2.1,72.0,14,p,4,0.1618716349386465,-0.7078964834550172,0.12752345950328703,-0.02885510896815613,1,0.4794593340630029,0.022500000000000075,0.19372291406609995,-0.023789714497155005,1.921591885096399,-0.0025266704559969337,1.2067012718948893e-06
MDLZ230421P00072500,2023-04-07,10:00:00,2023-04-21,2.425,2.35,2.5,72.5,14,p,5,0.1519286378657574,-0.7596809903798185,0.11202576693847277,-0.026207132522440446,10,0.3794593340630028,0.029241379310344873,0.19964769048533054,-0.002299440663796012,2.302483195565288,-0.0027745110266019454,1.457950437983033e-07
MDLZ230428C00065000,2023-04-07,10:00:00,2023-04-28,5.5,5.4,5.6,65.0,21,c,3,0.3037968880467845,0.9768938092963086,0.0182705853379872,-0.007801141414605972,4,0.008281463445001691,-0.0827692307692307,0.16831576373937676,3.587286033859188e-15,5.603322145995963,0.00027150150470592294,1.3647019451073065e-19
MDLZ230428C00066000,2023-04-07,10:00:00,2023-04-28,4.550000000000001,4.4,4.7,66.0,21,c,117,0.2711345008442506,0.9432154789203562,0.03802841630040632,-0.011997637892371849,5,0.0582814634450024,-0.0663636363636364,0.17347147037268482,1.3208642893931276e-09,4.681426989263768,0.022039037621930904,1.9597226390591522e-12
MDLZ230428C00067000,2023-04-07,10:00:00,2023-04-28,3.65,3.5,3.8,67.0,21,c,43,0.2496462728372236,0.8858495856371329,0.06369784277371338,-0.01765284378066445,5,0.1582814634450016,-0.05044776119402972,0.1769156190750027,9.525033662431405e-06,3.7965694137085886,0.013567246170195908,5.193803609716531e-09
