symbol,date,time,expirationDate,mid,bid,ask,strike,days,typo,oi,iv_traded,delta_bs,gamma_bs,theta_bs,volume,prem_ivalue,moneyness,iv_bs,vanna_bs,merton,gex,vex
MMC230421C00160000,2023-04-07,10:00:00,2023-04-21,8.7,7.3,10.1,160,14,c,243,0.3359095401582426,0.893330929112679,0.026257717102851075,-0.05769606748406453,5,0.34576991921674605,-0.05081249999999993,0.21047067482341048,4.8692385891384845e-09,8.810822767363199,0.1803655807688897,3.218113594913466e-11
MMC230421C00165000,2023-04-07,10:00:00,2023-04-21,4.625,2.95,6.3,165,14,c,1256,0.2745554970540434,0.7015659209462566,0.052252044993039704,-0.09258646453152064,5,1.2707699192167468,-0.01896969696969686,0.19999846614058317,0.0281268529122599,4.778645513905118,1.8551684826571218,0.00096082616843578
MMC230421C00170000,2023-04-07,10:00:00,2023-04-21,1.625,0.9,2.35,170,14,c,507,0.2273404365748585,0.39695729828573834,0.06554813008596838,-0.08715560045820903,36,3.2707699192167468,0.01100000000000001,0.17733936222048347,-0.2511161314449798,2.1303967641343995,0.9394175995313859,-0.0034627139201481747
MMC230421C00175000,2023-04-07,10:00:00,2023-04-21,0.775,0.05,1.5,175,14,c,789,0.2661392822623127,0.19411276564871294,0.03734652433751151,-0.0743511682679433,21,7.420769919216747,0.03925714285714288,0.221997161506562,-0.00010987796634944016,0.9032591839146452,0.8329474816603453,-2.357879774916095e-06
MMC230421C00180000,2023-04-07,10:00:00,2023-04-21,0.6,0.05,1.15,180,14,c,92,0.341628997202379,0.12773935282447968,0.021656152265903117,-0.07232090755386755,1,12.245769919216746,0.06594444444444447,0.29101072388495675,-9.561239465626924e-08,0.41001490636860105,0.05631959844109736,-2.3924125063520484e-10
MMC230421P00155000,2023-04-07,10:00:00,2023-04-21,0.85,0.2,1.5,155,14,p,236,0.4113962659176023,-0.12917914136073017,0.01655136779521449,-0.09199031961187853,10,14.204230080783253,-0.08470967741935476,0.3837380987023393,8.601184613455912e-08,0.16114953264814286,-0.11041709535526847,-5.520829227244159e-10
MMC230421P00160000,2023-04-07,10:00:00,2023-04-21,1.175,0.6,1.75,160,14,p,244,0.3309751948821731,-0.19693478166405987,0.026613896679794635,-0.0992259258858037,10,9.529230080783254,-0.05081249999999993,0.31426424008079645,9.376705300699219e-05,0.47213378973318376,-0.18356450978005365,-6.222632234966411e-07
MMC230421P00165000,2023-04-07,10:00:00,2023-04-21,2.0,0.4,3.6,165,14,p,1130,0.2628431615037495,-0.3382783301501102,0.04223865590180509,-0.1076544899654095,8,5.354230080783253,-0.01896969696969686,0.2610424219297444,0.06661953285933302,1.430655198507906,-1.3492081604200534,-0.002047453596967923
MMC230421P00170000,2023-04-07,10:00:00,2023-04-21,3.975,2.25,5.7,170,14,p,155,0.2112415259275444,-0.5748712684611634,0.0508720359393422,-0.09840635641609952,1,2.3292300807832533,0.01100000000000001,0.2321880054633618,-0.2148597707759781,3.7731051109699947,-0.22289547035598098,0.0009057760799131973
MMC230421P00185000,2023-04-07,10:00:00,2023-04-21,17.950000000000003,16.8,19.1,185,14,p,0,0.3940356573459206,-0.8324093604249683,0.01597284576604352,-0.12228549463548077,1,1.304230080783256,0.09118918918918917,0.47241321381962825,-5.179165370323708e-06,16.803151782136656,-0.0,0.0
