symbol,date,time,expirationDate,mid,bid,ask,strike,days,typo,oi,iv_traded,delta_bs,gamma_bs,theta_bs,volume,prem_ivalue,moneyness,iv_bs,vanna_bs,merton,gex,vex
MMM230421C00085000,2023-04-07,10:00:00,2023-04-21,17.9,17.65,18.15,85,14,c,0,0.7010373586378107,0.9109262161075549,0.010722781169647533,-0.07584051421015303,10,0.5929959732075147,-0.20411764705882351,0.7299021528210647,3.4716903542831745e-11,17.276520400205307,0.0,0.0
MMM230421C00090000,2023-04-07,10:00:00,2023-04-21,12.8,12.65,12.95,90,14,c,34,0.4790806608686789,0.8991496266997245,0.016360767034484525,-0.05977792320132025,1,0.49299597320751687,-0.13722222222222213,0.5255717113306959,5.162405317272841e-10,12.320441787430841,0.00582717782835803,2.9695183684582803e-13
MMM230421C00092000,2023-04-07,10:00:00,2023-04-21,11.0,10.7,11.3,92,14,c,1,0.4864257824143975,0.8652638652247191,0.020954883055424034,-0.07279159056152373,1,0.6929959732075162,-0.11250000000000004,0.5063184469859103,1.0277520092119264e-07,10.383549325291256,0.0002195133489319632,1.7387747867448429e-12
MMM230421C00094000,2023-04-07,10:00:00,2023-04-21,9.05,8.75,9.35,94,14,c,1,0.4315448235195107,0.8421498584397114,0.026645249953105576,-0.07161644786588184,1,0.7429959732075169,-0.08882978723404245,0.44380971287770804,1.7336369718432346e-06,8.513977235102285,0.00027912291540188144,2.933007407420318e-11
MMM230421C00095000,2023-04-07,10:00:00,2023-04-21,8.05,7.9,8.2,95,14,c,46,0.3963880635098841,0.8307467219077935,0.03047079506046657,-0.06879521277732348,1,0.7429959732075169,-0.07736842105263153,0.40640589784009795,5.9150851258913815e-06,7.618115438576007,0.014683084965445094,4.6033482412440055e-09
MMM230421C00096000,2023-04-07,10:00:00,2023-04-21,7.35,7.0,7.7,96,14,c,5,0.4207825237647898,0.7879294672632042,0.03375059190346974,-0.08369336266557958,2,1.0429959732075158,-0.06614583333333335,0.4224261780197393,0.00017721109187059794,6.756716674644556,0.0017677754243655755,1.4990492634132237e-08
MMM230421C00097000,2023-04-07,10:00:00,2023-04-21,6.199999999999999,6.1,6.3,97,14,c,14,0.3475020506531691,0.7844323560083577,0.0404115746110989,-0.0709339358434713,2,0.8929959732075154,-0.05515463917525776,0.35622577673544853,0.0002662053952382947,5.936444139097665,0.005926653027385933,6.305214830638055e-08
MMM230421C00098000,2023-04-07,10:00:00,2023-04-21,5.35,5.25,5.45,98,14,c,33,0.3388065911559281,0.7488655167581904,0.04624294307475907,-0.07420288005041265,2,1.0429959732075158,-0.04438775510204085,0.3392751732421667,0.002172658433578385,5.163734464206355,0.015985826691313307,1.2129988667653044e-06
MMM230421C00099000,2023-04-07,10:00:00,2023-04-21,4.625,4.55,4.7,99,14,c,58,0.3384090156220484,0.7000391394358374,0.051035216568351416,-0.08103953599192248,4,1.3179959732075162,-0.03383838383838378,0.33593418025262606,0.016714128693783678,4.444389272570056,0.031007992448340002,1.6400864285264344e-05
MMM230421C00100000,2023-04-07,10:00:00,2023-04-21,3.8,3.7,3.9,100,14,c,366,0.3174360180769509,0.6543296273921362,0.05825883210075489,-0.08035131324587041,7,1.492995973207516,-0.023499999999999854,0.31233635021383693,0.06264503083573425,3.7831886295128823,0.2233667645772359,0.00038790261941586287
MMM230421C00101000,2023-04-07,10:00:00,2023-04-21,3.1,3.0,3.2,101,14,c,133,0.3080680645132984,0.5962430480137559,0.06383914527674506,-0.08145661531134163,2,1.7929959732075162,-0.013366336633663378,0.2996171906705016,0.14264655446531538,3.1835710602061353,0.08894353756273243,0.0003209725751243917
MMM230421C00102000,2023-04-07,10:00:00,2023-04-21,2.465,2.41,2.52,102,14,c,1265,0.2973981210248951,0.5311957054446426,0.06828918968526665,-0.08073876204770913,1,2.157995973207516,-0.0034313725490195957,0.28782597959082457,0.08908183319242856,2.6474163375739854,0.9049366529642949,0.001906490610735282
MMM230421C00103000,2023-04-07,10:00:00,2023-04-21,1.915,1.85,1.98,103,14,c,698,0.291126631618955,0.4609011603937674,0.07051219255593821,-0.07820638084145437,1,2.607995973207516,0.006310679611650549,0.27840245440606853,-0.13520668035401623,2.174953072194247,0.515579137631556,-0.0015966457604062703
MMM230421C00104000,2023-04-07,10:00:00,2023-04-21,1.455,1.4,1.51,104,14,c,269,0.2848489779490521,0.3888426491754471,0.06989349627950503,-0.07369661667767047,5,3.1479959732075162,0.01586538461538467,0.27130302669807316,-0.15555516714053033,1.7647961001800245,0.19695397018461808,-0.0007079322894986469
MMM230421C00105000,2023-04-07,10:00:00,2023-04-21,1.0750000000000002,1.03,1.12,105,14,c,3144,0.2804340755856674,0.3181857356633566,0.06657218359684691,-0.06700589000539403,21,3.7679959732075163,0.02523809523809528,0.2651588243059872,-0.04180729947032522,1.4141020075273123,2.1925577120572797,-0.00222376890025966
MMM230421C00106000,2023-04-07,10:00:00,2023-04-21,0.76,0.72,0.8,106,14,c,501,0.2751228346078602,0.2504573901739249,0.060993776439532965,-0.058013791416688165,22,4.452995973207516,0.034433962264150964,0.25810131191224095,-0.0032026644714171462,1.1188177030862463,0.320109780403601,-2.7145895156404678e-05
MMM230421C00107000,2023-04-07,10:00:00,2023-04-21,0.5549999999999999,0.52,0.59,107,14,c,527,0.2759635637637579,0.1960794400840793,0.05295873200972245,-0.05036797132520909,29,5.247995973207516,0.04345794392523372,0.25856991816004404,-0.00011238706867283536,0.8739886461760829,0.2923639948656204,-1.002032848352711e-06
MMM230421C00108000,2023-04-07,10:00:00,2023-04-21,0.38,0.34,0.42,108,14,c,535,0.2754536749000633,0.14637821288972508,0.04448833915593475,-0.040996965901090754,26,6.072995973207516,0.052314814814814814,0.2552562586073199,-1.1346852802374266e-06,0.6740908077903877,0.24933064983135966,-1.0270325371184693e-08
MMM230421C00109000,2023-04-07,10:00:00,2023-04-21,0.275,0.26,0.29,109,14,c,241,0.2779067842171923,0.11126280660766485,0.03633720462969947,-0.03408826675083093,11,6.9679959732075165,0.06100917431192665,0.2583204533428909,-9.69748464386292e-09,0.5133531889914241,0.09173694032921055,-3.9539497231167565e-11
MMM230421C00110000,2023-04-07,10:00:00,2023-04-21,0.22,0.21,0.23,110,14,c,3012,0.2900209711563264,0.08950432722533014,0.029819292071409098,-0.030082319049718753,9,7.912995973207516,0.06954545454545458,0.26855021689752323,-1.7287509627943512e-10,0.3860443786296464,0.9408664670646902,-8.809320324253587e-12
MMM230421C00111000,2023-04-07,10:00:00,2023-04-21,0.16,0.15,0.17,111,14,c,109,0.2984104283876408,0.0676179383324052,0.02378537743846776,-0.024470853912159113,12,8.852995973207516,0.07792792792792802,0.2721714882306764,-7.987201193098947e-13,0.2867054351562623,0.027158903961515088,-1.4729096980735732e-15
MMM230421C00112000,2023-04-07,10:00:00,2023-04-21,0.12,0.11,0.13,112,14,c,868,0.3015896013588393,0.051942578826112,0.01895427043333009,-0.020167617799154644,7,9.812995973207515,0.08616071428571437,0.2777625659944747,-4.18710764278339e-15,0.21032057201161705,0.1723465093912368,-6.14877853002805e-17
MMM230421C00113000,2023-04-07,10:00:00,2023-04-21,0.095,0.09,0.1,113,14,c,173,0.3125470979933025,0.04137430075492124,0.015332267816331457,-0.01719783344721773,68,10.787995973207517,0.09424778761061947,0.28607888176767765,-3.965247967227612e-17,0.15242530220356554,0.02778613835207905,-1.1605703038649947e-19
MMM230421C00114000,2023-04-07,10:00:00,2023-04-21,0.075,0.07,0.08,114,14,c,83,0.3260096143841395,0.03289216674423612,0.012376328713259444,-0.014547544896334023,1,11.767995973207515,0.10219298245614039,0.29380338999839106,-3.2951652904539e-19,0.10915795761810287,0.010760826321961063,-4.627115030950743e-22
MMM230421C00115000,2023-04-07,10:00:00,2023-04-21,0.065,0.06,0.07,115,14,c,2754,0.3366317448410469,0.02802322549501704,0.010415241743916281,-0.013196610341003022,3,12.757995973207516,0.1100000000000001,0.3057310689402782,-1.0835417955705527e-20,0.07726448115510362,0.30047544328309445,-5.048526073457212e-22
MMM230421C00120000,2023-04-07,10:00:00,2023-04-21,0.035,0.03,0.04,120,14,c,1237,0.4055328125429206,0.013932572652320882,0.004861373891149046,-0.008462557404674786,32,17.727995973207516,0.14708333333333334,0.36207980850383276,-2.526689843602019e-27,0.01163053552156717,0.0629947588615461,-5.287819643300707e-29
