option_1,option_2,c_p_s+k,mid_call,mid_put,K,spot,days,iv_call,iv_put
MRK230512P00102000,MRK230512C00102000,86.12934074904182,11.225,0.665,102.0,111.225,35,0.3942699406136662,0.2694912271140517
MRK230428P00100000,MRK230428C00100000,61.608967957389815,12.375,0.255,100.0,111.225,21,0.4599851811285387,0.30724193839024105
MRK230505P00103000,MRK230505C00103000,61.21413253147967,9.8,0.5800000000000001,103.0,111.225,28,0.36897623832146287,0.26491011991365077
MRK230421P00101000,MRK230421C00101000,60.71129771026911,11.1,0.08,101.0,111.225,14,0.4806748691415589,0.2731979193859815
MRK230428P00109000,MRK230428C00109000,60.09877507355456,4.625,1.495,109.0,111.225,21,0.31233240888905217,0.23649579689578154
MRK230428P00095000,MRK230428C00095000,60.00351955952041,17.174999999999997,0.0849999999999999,95.0,111.225,21,0.5656107199469538,0.34030089945209385
MRK230421P00108000,MRK230421C00108000,58.90911042286291,4.550000000000001,0.5349999999999999,108.0,111.225,14,0.2966857805341963,0.19800085975188583
MRK230428P00112000,MRK230428C00112000,58.762044112276655,2.725,2.5999999999999996,112.0,111.225,21,0.28200827724426486,0.21206437130750916
MRK230421P00107000,MRK230421C00107000,58.59513717820688,5.4,0.39,107.0,111.225,14,0.3164251249097881,0.2067295317473765
MRK230421P00111000,MRK230421C00111000,58.35103015683099,2.31,1.295,111.0,111.225,14,0.24557281526580169,0.16632721226348238
MRK230421P00103000,MRK230421C00103000,58.33924419958123,9.125,0.125,103.0,111.225,14,0.417593359993772,0.24819891087910517
MRK230428P00110000,MRK230428C00110000,58.319864753129515,3.925,1.81,110.0,111.225,21,0.30018809440918703,0.2289777211663739
MRK230421P00112000,MRK230421C00112000,58.16500340148703,1.735,1.72,112.0,111.225,14,0.23426129359328066,0.15477699620276933
