symbol,date,time,expirationDate,mid,bid,ask,strike,days,typo,oi,iv_traded,delta_bs,gamma_bs,theta_bs,volume,prem_ivalue,moneyness,iv_bs,vanna_bs,merton,gex,vex
MSFT230421C00270000,2023-04-07,10:00:00,2023-04-21,16.875,16.7,17.05,270.0,14,c,13703,0.3120776497808299,0.979900584346538,0.005649335221846741,-0.04134645819081939,63,0.0306871075295021,-0.06077777777777782,0.15014190463605864,1.17554463410971e-23,18.339155220217215,6.3502285776791325,1.5019103997396408e-23
MSFT230421C00272500,2023-04-07,10:00:00,2023-04-21,14.65,14.25,15.05,272.5,14,c,7201,0.2976555661656528,0.9273982221984056,0.013493587971424859,-0.07506001372344606,1,0.30568710752950246,-0.05104587155963314,0.1805022928672012,4.167300146573614e-12,16.20394032267131,7.970702693190058,2.797929939850844e-12
MSFT230421C00275000,2023-04-07,10:00:00,2023-04-21,12.55,12.5,12.6,275.0,14,c,12756,0.291415574649809,0.8691161130513159,0.01940018906410046,-0.10652181082684287,80,0.7056871075295028,-0.041490909090909245,0.1935925519370989,2.0495057084770522e-07,14.15736253847384,20.300036907176956,2.4375463703513687e-07
MSFT230421C00277500,2023-04-07,10:00:00,2023-04-21,10.6,10.55,10.65,277.5,14,c,1616,0.2804338084656593,0.8025822990455289,0.02433471982143942,-0.1354161564484464,467,1.2556871075295017,-0.03210810810810827,0.2018585617827131,0.0001478720285180853,12.21805059055573,3.2258491996641903,2.2280074072624367e-05
MSFT230421C00280000,2023-04-07,10:00:00,2023-04-21,8.75,8.7,8.8,280.0,14,c,15397,0.2754720636419029,0.7322502474031545,0.028551851212199608,-0.15652295770379254,1903,1.905687107529502,-0.02289285714285727,0.20400645979802728,0.008491655865044198,10.404847952954237,36.061744838565126,0.012190393892113448
MSFT230421C00282500,2023-04-07,10:00:00,2023-04-21,7.15,7.1,7.2,282.5,14,c,1658,0.2688529831798181,0.6520223390527935,0.03133901445018239,-0.17492931830260172,265,2.8056871075295025,-0.013840707964601906,0.20869299086487655,0.10218248936136215,8.735258572841728,4.262321604902898,0.01579611359639161
MSFT230421C00285000,2023-04-07,10:00:00,2023-04-21,5.6,5.55,5.65,285.0,14,c,14162,0.2627624739403503,0.570912486467412,0.03375585829523686,-0.1803703615319483,528,3.7556871075295017,-0.004947368421052811,0.2058429623480842,0.2194853451033144,7.223804937424925,39.21480860500626,0.289814000216379
MSFT230421C00287500,2023-04-07,10:00:00,2023-04-21,4.324999999999999,4.3,4.35,287.5,14,c,3732,0.254960850152836,0.48551419852707056,0.03425539954804435,-0.18055906056528404,408,4.980687107529501,0.003791304347826041,0.2059916743019953,-0.08360806508940423,5.880559056967511,10.486897593320208,-0.0290923665768097
MSFT230421C00290000,2023-04-07,10:00:00,2023-04-21,3.25,3.2,3.3,290.0,14,c,19355,0.2556240507091983,0.4013192699755752,0.03328847370198673,-0.17252775329682857,4572,6.405687107529502,0.012379310344827532,0.20560759104931062,-0.22429374200151106,4.710093161839677,52.852241791150114,-0.40476185308145873
MSFT230421C00292500,2023-04-07,10:00:00,2023-04-21,2.365,2.35,2.38,292.5,14,c,2186,0.2474583410396133,0.32128062862182283,0.03099521226346269,-0.15709600381004574,248,8.020687107529502,0.020820512820512782,0.2045744040023623,-0.05786995136747617,3.7110249953430112,5.558033077253404,-0.011794852612240865
MSFT230421C00295000,2023-04-07,10:00:00,2023-04-21,1.69,1.68,1.7,295.0,14,c,25392,0.2481765963639453,0.24995920925535708,0.02747915451850602,-0.13774066186554745,2302,9.845687107529502,0.029118644067796517,0.2046959450934137,-0.003841039093733867,2.8762209979164854,57.23696934877708,-0.009093579755389433
MSFT230421C00297500,2023-04-07,10:00:00,2023-04-21,1.18,1.17,1.19,297.5,14,c,2517,0.2441713238310698,0.1889076847646165,0.023342020532002294,-0.11599099438181537,630,11.835687107529502,0.0372773109243697,0.20507658550994964,-7.895760860722866e-05,2.193599121872696,4.819455968811227,-1.852961710795771e-05
MSFT230421C00300000,2023-04-07,10:00:00,2023-04-21,0.81,0.8,0.82,300.0,14,c,16949,0.2456019804126402,0.13924485024532918,0.019056730761191076,-0.09435277746724002,1378,13.965687107529503,0.045299999999999896,0.20600841228703412,-5.884156081531534e-07,1.6473722805208653,26.495299460106875,-9.298598741878144e-07
MSFT230421C00302500,2023-04-07,10:00:00,2023-04-21,0.55,0.54,0.56,302.5,14,c,1647,0.2447887099970479,0.10063913326616158,0.01503715722717125,-0.07461543084484717,590,16.205687107529503,0.05319008264462799,0.20757968116668737,-1.8915883287746273e-09,1.2195157093180131,2.0315882597177923,-2.904754734407598e-10
MSFT230421C00305000,2023-04-07,10:00:00,2023-04-21,0.375,0.37,0.38,305.0,14,c,33868,0.2488060182682691,0.07216885420305852,0.011575113123551972,-0.05814757148328914,546,18.530687107529502,0.06095081967213112,0.21022649419562336,-3.5329454946359567e-12,0.8912346953018507,32.15815689499493,-1.1156185624055852e-11
MSFT230421C00310000,2023-04-07,10:00:00,2023-04-21,0.175,0.17,0.18,310.0,14,c,5541,0.2574307289427648,0.03643039394290448,0.006517300670250137,-0.03395738521884942,938,23.330687107529503,0.07609677419354832,0.21690610420810763,-3.616754388874087e-18,0.4617566664962139,2.962321986943599,-1.8685142342658766e-18
MSFT230421C00315000,2023-04-07,10:00:00,2023-04-21,0.095,0.09,0.1,315.0,14,c,7565,0.2673173654452804,0.02025257912870934,0.0037789819211375697,-0.021508311213824863,162,28.2506871075295,0.09076190476190471,0.22926173319641224,-1.330773430141458e-23,0.2339208098386856,2.345093166487856,-9.386470011318608e-24
MSFT230421C00320000,2023-04-07,10:00:00,2023-04-21,0.06,0.05,0.07,320.0,14,c,2627,0.2871226549730508,0.012645504240489311,0.002358757865902894,-0.015095243003426295,7,33.215687107529504,0.10496874999999994,0.24532018343533454,-4.221062120200691e-28,0.11878874101238109,0.5082996244150203,-1.0338822033828528e-28
MSFT230421C00325000,2023-04-07,10:00:00,2023-04-21,0.04,0.03,0.05,325.0,14,c,2642,0.3031735763991806,0.008281644283192335,0.0015299467071017148,-0.010946654432261713,111,38.1956871075295,0.11873846153846146,0.2614811255750495,-3.2032478067314137e-32,0.06180642557533872,0.3315778193715705,-7.890646619703771e-33
MSFT230421P00230000,2023-04-07,10:00:00,2023-04-21,0.04,0.02,0.06,230.0,14,p,9071,0.49057720581585,-0.004947690805661917,0.0005742272648351365,-0.011281179014236177,6,56.8843128924705,-0.24526086956521742,0.44166260813475183,1.6415577974610238e-37,0.03670122297398685,-0.42728272123573946,-1.3883551917113524e-37
MSFT230421P00235000,2023-04-07,10:00:00,2023-04-21,0.05,0.04,0.06,235.0,14,p,6830,0.4558433050280746,-0.0064494753836040475,0.0007763784569403409,-0.013451492899765681,8,51.894312892470495,-0.2187659574468086,0.41334722786144656,7.186938643965551e-35,0.06329259700013318,-0.4349812473035252,-4.576715160686277e-35
MSFT230421P00240000,2023-04-07,10:00:00,2023-04-21,0.075,0.07,0.08,240.0,14,p,8379,0.4372704915775668,-0.009742457265710103,0.0011718509118630038,-0.0186165752873007,16,46.9193128924705,-0.19337500000000007,0.39359048379663025,7.969002651733096e-31,0.10676183886675764,-0.8054543053965058,-6.225660087222129e-31
MSFT230421P00245000,2023-04-07,10:00:00,2023-04-21,0.09,0.08,0.1,245.0,14,p,9541,0.3998235315857267,-0.012397965266246203,0.0015713030604436184,-0.02123331641782826,9,41.9343128924705,-0.16902040816326536,0.36201233195783533,1.8288980905345677e-28,0.17544945566894055,-1.2297878749090814,-1.626944153766441e-28
MSFT230421P00250000,2023-04-07,10:00:00,2023-04-21,0.135,0.13,0.14,250.0,14,p,25175,0.371192524937747,-0.018812894251910017,0.0023873193649714963,-0.028903338932018005,137,36.979312892470496,-0.14564,0.3408758702644326,1.7953315541809104e-24,0.28030147155666213,-4.93010710936571,-4.214085924296069e-24
MSFT230421P00252500,2023-04-07,10:00:00,2023-04-21,0.165,0.16,0.17,252.5,14,p,1716,0.3603519783026319,-0.023146827117734303,0.00293960102704105,-0.03350667852641326,210,34.5093128924705,-0.13429702970297042,0.32993765459577307,1.6205517350196138e-22,0.35065957984765617,-0.41379194139879727,-2.59280244159579e-23
MSFT230421P00255000,2023-04-07,10:00:00,2023-04-21,0.2,0.19,0.21,255.0,14,p,10797,0.3491025329751429,-0.028318755742255675,0.0036071668049753036,-0.0384466921787687,275,32.0443128924705,-0.12317647058823544,0.31832904253504063,1.234019614870744e-20,0.4360109168805843,-3.194814755993598,-1.242265452460096e-20
MSFT230421P00257500,2023-04-07,10:00:00,2023-04-21,0.255,0.25,0.26,257.5,14,p,3385,0.3340197710349475,-0.03593403313464083,0.004519325884078107,-0.04572131469562882,2,29.599312892470497,-0.11227184466019424,0.30930567688939464,1.88508420936515e-18,0.5393979025751512,-1.2548987496845452,-5.949475382715251e-19
MSFT230421P00260000,2023-04-07,10:00:00,2023-04-21,0.33,0.32,0.34,260.0,14,p,19417,0.3233387434704047,-0.04601951591764741,0.005674844575920268,-0.0546892742715937,71,27.174312892470496,-0.10157692307692323,0.30108349236652104,3.161817818382338e-16,0.6648428410706702,-9.038834959104067,-5.724113236350357e-16
MSFT230421P00262500,2023-04-07,10:00:00,2023-04-21,0.435,0.43,0.44,262.5,14,p,1357,0.3190364672561491,-0.05954747840730967,0.007129463496791111,-0.06588000548418654,106,24.779312892470497,-0.09108571428571444,0.29405547985982944,5.765114853685293e-14,0.8177655616923892,-0.7936208187495488,-7.294189716483778e-15
MSFT230421P00265000,2023-04-07,10:00:00,2023-04-21,0.575,0.57,0.58,265.0,14,p,8071,0.3063691188713897,-0.0769359594782415,0.00888977941260194,-0.07885147752707772,216,22.419312892470497,-0.08079245283018888,0.2874259256615801,8.740151447629926e-12,1.0054553081207618,-5.885653443464989,-6.577116714364888e-12
MSFT230421P00267500,2023-04-07,10:00:00,2023-04-21,0.755,0.75,0.76,267.5,14,p,2279,0.2976762181884571,-0.09859492154014049,0.010958195701959994,-0.09299603111870669,116,20.099312892470497,-0.07069158878504678,0.280607607741449,9.462038016988897e-10,1.237517226561701,-2.048612092653263,-2.0105656439032925e-10
MSFT230421P00270000,2023-04-07,10:00:00,2023-04-21,1.01,1.0,1.02,270.0,14,p,9549,0.2929776906753182,-0.1270740341736465,0.01336884080327394,-0.10991258212445554,483,17.8543128924705,-0.06077777777777782,0.27574055824254345,9.013323786848031e-08,1.5261772564805132,-10.471960602122627,-8.024761045868624e-08
