symbol,date,time,expirationDate,mid,bid,ask,strike,days,typo,oi,iv_traded,delta_bs,gamma_bs,theta_bs,volume,prem_ivalue,moneyness,iv_bs,vanna_bs,merton,gex,vex
MS230421C00070000,2023-04-07,10:00:00,2023-04-21,14.275,14.2,14.35,70.0,14,c,838,0.6487741661118686,0.9409721601532972,0.011376657749195829,-0.04097374170911827,22,0.23595633335416188,-0.19999999999999996,0.6122548027485506,1.4632577576626083e-14,14.02582426032395,0.06726935815163701,2.51011070041059e-16
MS230421C00072500,2023-04-07,10:00:00,2023-04-21,11.85,11.75,11.95,72.5,14,c,8,0.5893989779558971,0.9209169884277557,0.016003550840082426,-0.04674933180935881,1,0.3109563333541612,-0.1586206896551725,0.5482805810977972,5.5841348701316616e-12,11.558105543832024,0.0009033684378209727,9.1447935864313e-16
MS230421C00073000,2023-04-07,10:00:00,2023-04-21,11.35,11.25,11.45,73.0,14,c,43,0.5666564463406004,0.9185360329078129,0.016994042457696423,-0.046189957577007945,40,0.3109563333541612,-0.15068493150684925,0.5282662003040275,1.031914246351218e-11,11.068856247399841,0.005156128434004757,9.083225267958115e-15
MS230421C00074000,2023-04-07,10:00:00,2023-04-21,10.4,10.3,10.5,74.0,14,c,3,0.5421077561246157,0.9056980452450958,0.01978777945055299,-0.04974745950757686,3,0.3609563333541619,-0.1351351351351351,0.5070394937023484,1.766280289817299e-10,10.097141203856179,0.00041886771540930565,1.084698147641204e-14
MS230421C00075000,2023-04-07,10:00:00,2023-04-21,9.475,9.4,9.55,75.0,14,c,52,0.5280632283612171,0.8881689299654383,0.023170211314038625,-0.05484321193249109,2,0.4359563333541612,-0.1200000000000001,0.4911053518486668,4.290942822317418e-09,9.137414479906349,0.008501428573656539,4.567558225939708e-12
MS230421C00076000,2023-04-07,10:00:00,2023-04-21,8.55,8.45,8.65,76.0,14,c,46,0.5142158905657329,0.8693221127177075,0.026997376796344952,-0.058985111323124784,41,0.5109563333541622,-0.10526315789473695,0.4710162423598023,7.183026139188249e-08,8.194111725605094,0.00876270057105046,6.763839594758798e-11
MS230421C00077000,2023-04-07,10:00:00,2023-04-21,7.65,7.55,7.75,77.0,14,c,1,0.4913362266958494,0.8455226524804793,0.031429638003288574,-0.0639160167466386,1,0.6109563333541619,-0.09090909090909083,0.453717872840186,1.284689614560222e-06,7.272839761975567,0.00022176752575120418,2.629821275141457e-11
MS230421C00077500,2023-04-07,10:00:00,2023-04-21,7.199999999999999,7.1,7.3,77.5,14,c,121,0.4790119707312947,0.83287670854304,0.03388161232464881,-0.065883437639644,2,0.6609563333541608,-0.08387096774193559,0.44332682059565953,4.743363875054778e-06,6.822568978310439,0.02892730744408937,1.1748971037442597e-08
MS230421C00078000,2023-04-07,10:00:00,2023-04-21,6.75,6.65,6.85,78.0,14,c,9,0.466772912043463,0.8196041000552157,0.036533136658079,-0.06751316526197293,8,0.7109563333541615,-0.07692307692307687,0.43185519588062876,1.6291885122809706e-05,6.380497630764729,0.002320000310334649,3.0015243417775306e-09
MS230421C00079000,2023-04-07,10:00:00,2023-04-21,5.925,5.85,6.0,79.0,14,c,2,0.4623215075336166,0.782845086879691,0.041915531747704904,-0.07392986051069173,2,0.8859563333541614,-0.06329113924050622,0.4214351627255035,0.0002604633479843636,5.5253047237430355,0.0005915119840236116,1.0663619385735181e-08
MS230421C00080000,2023-04-07,10:00:00,2023-04-21,5.1,5.05,5.15,80.0,14,c,498,0.4403787969570409,0.743595133500552,0.0479203332481859,-0.07794094915758354,50,1.0609563333541612,-0.050000000000000044,0.404258997142577,0.002430976411018808,4.716624623219742,0.16838668395680145,2.4782100201314972e-05
MS230421C00081000,2023-04-07,10:00:00,2023-04-21,4.35,4.3,4.4,81.0,14,c,13,0.4293866193373549,0.6950495193250639,0.05352628798860337,-0.08277320655589282,5,1.3109563333541612,-0.03703703703703698,0.3939121687396886,0.017077151261842716,3.9644433315270238,0.00490985934461861,4.544507230203563e-06
MS230421C00082000,2023-04-07,10:00:00,2023-04-21,3.65,3.6,3.7,82.0,14,c,41,0.4228951932694805,0.6405487245493502,0.05867157423455893,-0.08623009927224379,1,1.6109563333541614,-0.024390243902439046,0.38386348493614886,0.06666892553768188,3.2784177292311605,0.01697345173976096,5.595454052162842e-05
MS230421C00082500,2023-04-07,10:00:00,2023-04-21,3.3,3.25,3.35,82.5,14,c,1274,0.410717897492429,0.6119090392042725,0.06144297307386637,-0.08651984841203664,27,1.7609563333541614,-0.018181818181818077,0.37567382312985126,0.10034713787426815,2.9628253922736882,0.5523320213437223,0.002616992265720698
MS230421C00083000,2023-04-07,10:00:00,2023-04-21,2.97,2.94,3.0,83.0,14,c,406,0.4020562293582265,0.5813931682789208,0.06387680054675826,-0.08654385705534784,50,1.9309563333541617,-0.012048192771084265,0.36848067941913193,0.12006292129300458,2.6665821835490893,0.1829901700911181,0.0009978447136533126
MS230421C00084000,2023-04-07,10:00:00,2023-04-21,2.385,2.36,2.41,84.0,14,c,593,0.3976935429201011,0.5160011404031772,0.06700650392321705,-0.0859258404145562,6,2.3459563333541613,0.0,0.3586016994581474,0.030393922046101533,2.134020184055728,0.28036914976755617,0.00036895165246198506
MS230421C00085000,2023-04-07,10:00:00,2023-04-21,1.86,1.83,1.89,85.0,14,c,2088,0.3806060701064251,0.4470759219673992,0.06855127253402316,-0.08256770855731177,21,2.820956333354162,0.0117647058823529,0.34781009863729695,-0.13298647599064056,1.6819290002167941,1.0099609625521406,-0.005684156062884958
MS230421C00086000,2023-04-07,10:00:00,2023-04-21,1.4049999999999998,1.38,1.43,86.0,14,c,559,0.3740646198676296,0.37629759367400206,0.06793242744995709,-0.07661637846438962,1,3.3659563333541613,0.023255813953488413,0.3370130854036624,-0.10893525157665081,1.307416616105155,0.2679461453205756,-0.0012465458861029444
MS230421C00087000,2023-04-07,10:00:00,2023-04-21,1.035,1.01,1.06,87.0,14,c,1445,0.3603175762692595,0.3072981908652017,0.06455375391345441,-0.06885652775086337,2,3.9959563333541617,0.03448275862068961,0.3283990428879859,-0.02437493403786674,1.004097468114108,0.6581849106012682,-0.0007210067281109248
MS230421C00087500,2023-04-07,10:00:00,2023-04-21,0.88,0.86,0.9,87.5,14,c,3683,0.3577512939922165,0.2745104434382195,0.06192123960802043,-0.06444236084106292,3,4.340956333354161,0.040000000000000036,0.3247870025922635,-0.007537679701995517,0.8764649279965324,1.6091626101610499,-0.0005682866045103378
MS230421C00088000,2023-04-07,10:00:00,2023-04-21,0.75,0.73,0.77,88.0,14,c,1389,0.3599385776999271,0.24424700267563493,0.058651969458978215,-0.060134547262679416,10,4.7109563333541615,0.045454545454545414,0.32281897955308797,-0.0018539379231418127,0.7632528241675555,0.5748352838420423,-5.271393723605637e-05
MS230421C00089000,2023-04-07,10:00:00,2023-04-21,0.525,0.51,0.54,89.0,14,c,578,0.3489455558432043,0.18754797498203857,0.05122569829874024,-0.05033247392735496,4,5.485956333354162,0.0561797752808989,0.3170774867159902,-4.670575991346336e-05,0.5751599468085918,0.20891724871923664,-5.526196228769415e-07
MS230421C00090000,2023-04-07,10:00:00,2023-04-21,0.365,0.35,0.38,90.0,14,c,5601,0.3523536902827753,0.1410725770670973,0.04295292241551785,-0.04114785043330471,2,6.325956333354162,0.06666666666666665,0.3143035705340986,-4.906552257544136e-07,0.4302305859696925,1.6975276709783702,-5.625615200552472e-08
MS230421C00091000,2023-04-07,10:00:00,2023-04-21,0.255,0.25,0.26,91.0,14,c,721,0.3471630510230942,0.10502712356681987,0.03491020005519374,-0.03317492798928326,3,7.215956333354161,0.07692307692307687,0.3143749859215746,-2.7781262868170545e-09,0.31976674160369983,0.17760131391599132,-4.100296568187176e-11
MS230421C00092000,2023-04-07,10:00:00,2023-04-21,0.175,0.17,0.18,92.0,14,c,404,0.35289280587426,0.07653674701505464,0.027579938050026342,-0.025993936383897104,2,8.135956333354162,0.08695652173913049,0.3145610680837972,-7.488852911963783e-12,0.23632205416181942,0.07862003332391831,-6.193336642871365e-14
MS230421C00092500,2023-04-07,10:00:00,2023-04-21,0.155,0.15,0.16,92.5,14,c,2718,0.3575244564164862,0.06809458745758445,0.024802142009616723,-0.024076188607999288,1,8.615956333354161,0.09189189189189184,0.31982697686210226,-7.678252487778868e-13,0.20276744017822784,0.47566063830596744,-4.2720847798385895e-14
MS230421C00093000,2023-04-07,10:00:00,2023-04-21,0.125,0.12,0.13,93.0,14,c,123,0.3534055207727044,0.05682869755309558,0.02162359608051667,-0.020713716039431507,100,9.085956333354162,0.09677419354838712,0.31858448235442993,-2.1760902150374555e-14,0.17376815397654738,0.01876685955512745,-5.479110116175998e-17
MS230421C00094000,2023-04-07,10:00:00,2023-04-21,0.095,0.09,0.1,94.0,14,c,291,0.3637603303935464,0.04389076763398475,0.017162848667540143,-0.017144958909196442,8,10.055956333354162,0.1063829787234043,0.3266741917921268,-1.1471811254321347e-16,0.12719213531539672,0.0352404085176655,-6.833654270337151e-19
MS230421C00095000,2023-04-07,10:00:00,2023-04-21,0.075,0.07,0.08,95.0,14,c,7062,0.3801317808868268,0.03481121555852715,0.013793292714253669,-0.014519778430440354,9,11.03595633335416,0.11578947368421055,0.33659991734467953,-9.255782882998737e-19,0.09272494617402519,0.6873124930927071,-1.3380393727208662e-19
MS230421C00096000,2023-04-07,10:00:00,2023-04-21,0.055,0.05,0.06,96.0,14,c,277,0.3813010872468089,0.02614386276035656,0.010712356411438084,-0.011525188073307498,26,12.015956333354161,0.125,0.3418531090013524,-2.1814536083461076e-21,0.0673593747299552,0.020937429154432672,-1.2369546335934623e-23
