option_1,option_2,c_p_s+k,mid_call,mid_put,K,spot,days,iv_call,iv_put
MS230616P00100000,MS230616C00100000,123.66796129966069,0.315,16.625,100.0,84.0,70,0.26196278244128257,0.35388311389046573
MS230616P00097500,MS230616C00097500,113.35126226716845,0.495,14.225,97.5,84.0,70,0.2609144877825834,0.3272585613551394
MS230616P00095000,MS230616C00095000,101.53456323467758,0.79,11.925,95.0,84.0,70,0.26295907756241027,0.30695385720073753
MS230526P00096000,MS230526C00096000,98.35977994884075,0.34,12.7,96.0,84.0,49,0.2616767794560317,0.3491188481773728
MS230519P00097500,MS230519C00097500,98.31166629042104,0.185,14.125,97.5,84.0,42,0.26778478522386306,0.3912332122856364
MS230616P00092500,MS230616C00092500,97.71786420218635,1.23,9.85,92.5,84.0,70,0.2662492991993833,0.30021923144469065
MS230519P00100000,MS230519C00100000,92.70427311838141,0.105,16.475,100.0,84.0,42,0.272757940341552,0.4126202578213587
MS230519P00095000,MS230519C00095000,92.41905946246227,0.33,11.725,95.0,84.0,42,0.2643828306126265,0.35657839162747373
MS230616P00090000,MS230616C00090000,91.40116516969402,1.895,7.975,90.0,84.0,70,0.27380075792181496,0.2988010331299339
MS230519P00092500,MS230519C00092500,86.026452634502,0.605,9.45,92.5,84.0,42,0.2655753949847014,0.3316081912055659
MS230512P00094000,MS230512C00094000,83.65531342735383,0.3249999999999999,10.725,94.0,84.0,35,0.27037593016754247,0.3642353285630167
MS230519P00090000,MS230519C00090000,82.13384580654335,1.08,7.4,90.0,84.0,42,0.2703236165183561,0.32034989817313997
MS230505P00097000,MS230505C00097000,81.05562276161731,0.1,13.55,97.0,84.0,28,0.28380056281852,0.44233076281609673
MS230505P00096000,MS230505C00096000,80.68391531046579,0.125,12.575,96.0,84.0,28,0.27857000673641,0.4244027431013454
